* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.652
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 13 Jan, 2023 9:51:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ZULINNIAO JINHONG Jan 13
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.873	46.4168
20.299999	87.950	45.9621
20.600000	88.024	45.5089
20.900000	88.094	45.0617
21.200001	88.160	44.6255
21.400000	88.203	44.3427
21.799999	88.286	43.7949
22.000000	88.327	43.5276
22.400000	88.408	42.9983
22.700001	88.467	42.5984
23.000000	88.526	42.1922
23.299999	88.581	41.7817
23.600000	88.634	41.3719
24.000000	88.701	40.8354
24.299999	88.750	40.4442
24.700001	88.815	39.9348
25.000000	88.863	39.5552
25.400000	88.928	39.0439
25.799999	88.990	38.5255
26.200001	89.049	38.0099
26.500000	89.092	37.6336
26.900000	89.147	37.1520
27.200001	89.188	36.8036
27.600000	89.245	36.3460
28.000000	89.302	35.8837
28.500000	89.370	35.2943
29.000000	89.431	34.7111
29.500000	89.488	34.1557
30.000000	89.543	33.6275
30.400000	89.586	33.2121
30.700001	89.618	32.9007
31.100000	89.657	32.4885
31.500000	89.694	32.0870
32.000000	89.738	31.6065
32.500000	89.783	31.1406
33.000000	89.828	30.6712
33.500000	89.871	30.1927
34.000000	89.912	29.7143
34.500000	89.950	29.2458
35.000000	89.988	28.7881
35.500000	90.026	28.3347
36.000000	90.063	27.8794
36.500000	90.098	27.4214
37.000000	90.131	26.9682
37.500000	90.161	26.5315
38.200001	90.203	25.9567
38.700001	90.234	25.5600
39.500000	90.283	24.9122
40.000000	90.311	24.4997
40.599998	90.340	24.0161
41.200001	90.365	23.5603
41.799999	90.391	23.1292
42.500000	90.422	22.6365
43.099998	90.448	22.2101
43.700001	90.474	21.7812
44.400002	90.501	21.2818
45.000000	90.524	20.8555
45.500000	90.541	20.5042
46.200001	90.563	20.0237
46.799999	90.582	19.6233
47.500000	90.603	19.1688
48.200001	90.625	18.7214
48.700001	90.640	18.3997
49.400002	90.657	17.9540
50.000000	90.670	17.5959
50.799999	90.689	17.1476
51.500000	90.706	16.7504
52.200001	90.720	16.3544
53.000000	90.736	15.9296
53.799999	90.756	15.5076
54.500000	90.774	15.0979
55.200001	90.782	14.6635
56.000000	90.782	14.2478
57.000000	90.799	13.8464
58.000000	90.825	13.3071
59.000000	90.832	12.8122
60.000000	90.853	12.3479
60.799999	90.861	11.9077
61.500000	90.862	11.5802
62.200001	90.870	11.2628
63.000000	90.876	10.8468
64.000000	90.872	10.3957
65.000000	90.881	9.9864
66.000000	90.888	9.5181
67.000000	90.887	9.0989
68.000000	90.895	8.7284
69.000000	90.902	8.2706
70.000000	90.894	7.8921
71.000000	90.902	7.5558
72.000000	90.902	7.1205
73.000000	90.898	6.7677
74.000000	90.902	6.3735
75.000000	90.896	5.9810
76.199997	90.895	5.5610
77.500000	90.898	5.0805
78.800003	90.888	4.6112
80.000000	90.888	4.2721
81.199997	90.889	3.8512
82.500000	90.881	3.4219
83.800003	90.871	3.0283
85.000000	90.867	2.6534
86.199997	90.856	2.2684
87.500000	90.846	1.8877
88.500000	90.838	1.6023
90.000000	90.834	1.1760
91.199997	90.824	0.7955
92.500000	90.811	0.4453
93.800003	90.799	0.1084
95.000000	90.795	-0.1948
96.199997	90.785	-0.5612
97.500000	90.767	-0.8870
98.800003	90.762	-1.1948
100.000000	90.750	-1.5726
101.500000	90.726	-1.8992
103.000000	90.715	-2.2857
104.400002	90.695	-2.6088
106.000000	90.679	-2.9642
107.500000	90.663	-3.2976
109.000000	90.646	-3.6758
110.599998	90.624	-3.9809
112.000000	90.609	-4.3215
113.800003	90.584	-4.6697
115.000000	90.572	-4.9308
117.199997	90.538	-5.3616
118.000000	90.531	-5.4934
120.599998	90.498	-6.0901
122.000000	90.463	-6.3264
124.099998	90.445	-6.7198
125.000000	90.428	-6.8565
126.500000	90.418	-7.1358
128.000000	90.397	-7.4627
131.500000	90.347	-8.0122
132.000000	90.335	-8.1244
134.000000	90.297	-8.4351
136.000000	90.273	-8.7195
138.000000	90.227	-9.0595
140.000000	90.208	-9.4363
143.000000	90.175	-9.8100
145.000000	90.152	-10.1204
147.500000	90.115	-10.4265
150.000000	90.059	-10.8355
152.500000	90.014	-11.2096
155.000000	89.978	-11.4669
157.500000	89.916	-11.7572
160.000000	89.894	-12.1306
162.500000	89.839	-12.4442
165.000000	89.816	-12.6855
167.500000	89.763	-13.0749
170.000000	89.713	-13.3421
172.500000	89.669	-13.7246
175.000000	89.642	-13.9512
177.500000	89.599	-14.0944
180.000000	89.566	-14.4342
