* Measurement data measured by REW V5.20.5
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 20/02/2023 07:38:22 Õ
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: B2D NO TIP L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.718	-175.1306
20.299999	92.717	-175.6974
20.600000	92.679	-176.0903
20.900000	92.625	-176.2138
21.200001	92.583	-176.0913
21.400000	92.571	-175.9546
21.799999	92.583	-175.7103
22.000000	92.602	-175.6693
22.400000	92.646	-175.8072
22.700001	92.674	-176.0702
23.000000	92.696	-176.4282
23.299999	92.712	-176.8671
23.600000	92.721	-177.3861
24.000000	92.719	-178.1868
24.299999	92.702	-178.8228
24.700001	92.658	-179.6161
25.000000	92.617	179.9001
25.400000	92.570	179.4352
25.799999	92.550	179.1005
26.200001	92.557	178.7551
26.500000	92.571	178.4318
26.900000	92.585	177.9259
27.200001	92.584	177.5485
27.600000	92.570	177.1370
28.000000	92.557	176.8671
28.500000	92.559	176.6082
29.000000	92.572	176.1971
29.500000	92.555	175.5796
30.000000	92.482	175.0063
30.400000	92.400	174.7835
30.700001	92.345	174.7758
31.100000	92.302	174.8480
31.500000	92.294	174.8099
32.000000	92.294	174.4061
32.500000	92.249	173.7720
33.000000	92.160	173.3741
33.500000	92.094	173.4366
34.000000	92.119	173.6067
34.500000	92.208	173.2905
35.000000	92.267	172.3773
35.500000	92.232	171.3934
36.000000	92.144	170.9377
36.500000	92.100	171.0027
37.000000	92.136	170.9383
37.500000	92.170	170.2998
38.200001	92.047	169.2616
38.700001	91.892	169.4220
39.500000	91.899	170.6929
40.000000	92.042	170.5768
40.599998	92.111	169.2843
41.200001	91.984	168.2948
41.799999	91.861	168.5361
42.500000	91.938	169.0164
43.099998	92.042	168.3778
43.700001	92.032	167.5308
44.400002	91.987	167.2675
45.000000	92.028	167.0670
45.500000	92.051	166.4538
46.200001	91.964	165.5392
46.799999	91.843	165.4098
47.500000	91.789	165.6724
48.200001	91.819	165.5039
48.700001	91.839	164.9065
49.400002	91.775	163.5676
50.000000	91.594	162.6693
50.799999	91.354	162.9197
51.500000	91.350	163.4716
52.200001	91.397	163.1190
53.000000	91.361	162.7991
53.799999	91.428	162.9426
54.500000	91.528	162.2698
55.200001	91.494	161.4067
56.000000	91.403	161.4842
57.000000	91.481	161.8621
58.000000	91.503	160.9961
59.000000	91.373	160.9944
60.000000	91.420	161.0106
60.799999	91.363	160.2023
61.500000	91.271	160.0906
62.200001	91.262	159.8880
63.000000	91.197	159.2195
64.000000	91.150	158.9350
65.000000	91.032	157.7993
66.000000	90.928	159.0322
67.000000	91.174	158.0521
68.000000	90.960	157.6299
69.000000	91.167	157.7107
70.000000	90.893	156.3668
71.000000	91.041	158.4675
72.000000	91.012	155.2259
73.000000	90.636	157.9080
74.000000	91.174	156.4537
75.000000	90.561	154.5787
76.199997	91.063	156.7829
77.500000	90.503	151.9358
78.800003	90.811	155.5646
80.000000	90.553	151.5196
81.199997	90.584	154.7289
82.500000	90.474	151.0901
83.800003	90.388	154.5642
85.000000	90.494	151.3074
86.199997	90.149	153.0451
87.500000	90.562	152.2021
88.500000	90.348	149.8303
90.000000	90.138	153.2878
91.199997	90.507	150.8932
92.500000	89.968	152.0672
93.800003	90.295	151.7267
95.000000	89.935	151.0274
96.199997	89.858	151.1034
97.500000	89.922	151.4113
98.800003	89.758	148.0706
100.000000	89.527	151.0497
101.500000	89.975	149.0235
103.000000	89.670	148.4608
104.400002	89.609	150.0675
106.000000	89.810	148.6943
107.500000	89.459	147.3647
109.000000	89.247	150.0947
110.599998	89.720	147.9942
112.000000	89.256	146.8848
113.800003	89.188	148.4074
115.000000	89.270	149.1197
117.199997	89.226	146.3307
118.000000	88.967	146.5364
120.599998	89.166	148.7164
122.000000	89.032	147.0961
124.099998	88.927	145.9906
125.000000	88.687	146.0200
126.500000	88.692	148.3495
128.000000	89.016	147.3018
131.500000	88.675	145.0700
132.000000	88.599	145.1595
134.000000	88.534	145.5996
136.000000	88.478	146.7629
138.000000	88.702	145.8812
140.000000	88.376	144.3420
143.000000	88.276	144.8831
145.000000	87.914	144.7655
147.500000	88.171	147.5535
150.000000	88.088	146.1531
152.500000	88.077	146.6944
155.000000	88.035	145.2845
157.500000	87.929	144.4882
160.000000	87.715	144.0053
162.500000	87.895	144.3448
165.000000	87.793	142.5247
167.500000	87.489	144.1930
170.000000	87.674	144.8951
172.500000	87.644	143.5925
175.000000	87.395	144.0394
177.500000	87.382	144.9873
180.000000	87.301	145.6776
182.500000	87.183	146.2270
185.000000	87.108	146.6149
187.500000	86.986	145.0704
190.000000	86.924	143.5609
192.500000	86.900	143.8629
195.000000	86.863	145.6334
197.500000	86.725	146.1554
200.000000	86.657	145.4102
203.000000	86.720	144.6106
206.000000	86.661	145.3522
209.000000	86.490	145.5008
212.000000	86.433	145.3014
214.000000	86.429	145.6481
218.000000	86.341	146.0505
220.000000	86.331	146.0255
224.000000	86.357	146.4232
227.000000	86.282	146.9459
230.000000	86.210	147.3718
233.000000	86.100	147.4730
236.000000	85.991	147.0074
240.000000	86.046	146.5502
243.000000	86.099	147.0296
247.000000	86.004	147.3666
250.000000	86.029	147.3352
254.000000	85.989	148.4703
258.000000	85.805	148.0385
262.000000	85.917	147.8730
265.000000	85.888	148.8514
269.000000	85.759	148.7260
272.000000	85.819	148.4660
276.000000	85.762	149.2650
280.000000	85.694	149.1136
285.000000	85.718	149.5009
290.000000	85.646	149.7498
295.000000	85.644	149.9961
300.000000	85.625	150.1207
304.000000	85.604	150.4728
307.000000	85.589	150.5503
311.000000	85.596	150.7427
315.000000	85.586	150.9403
320.000000	85.588	151.0306
325.000000	85.563	151.1859
330.000000	85.511	151.4756
335.000000	85.517	151.7149
340.000000	85.501	152.0150
345.000000	85.499	152.2705
350.000000	85.514	152.3918
355.000000	85.500	152.5620
360.000000	85.503	152.5949
365.000000	85.520	152.7420
370.000000	85.543	152.9556
375.000000	85.517	153.1524
382.000000	85.500	152.8746
387.000000	85.537	153.0010
395.000000	85.564	153.1930
400.000000	85.549	153.5012
406.000000	85.554	153.6195
412.000000	85.543	153.6102
418.000000	85.543	153.6873
425.000000	85.558	153.7690
431.000000	85.547	153.9445
437.000000	85.541	153.8705
444.000000	85.550	153.9259
450.000000	85.568	153.7800
455.000000	85.594	153.9797
462.000000	85.609	153.9614
468.000000	85.630	153.8228
475.000000	85.653	153.8593
482.000000	85.663	153.9342
487.000000	85.675	153.9099
494.000000	85.691	154.0337
500.000000	85.705	154.0048
508.000000	85.725	154.0019
515.000000	85.730	153.9092
522.000000	85.737	153.8991
530.000000	85.726	153.9480
538.000000	85.733	154.0017
545.000000	85.729	154.0876
552.000000	85.739	154.1460
560.000000	85.747	154.0510
570.000000	85.767	154.0282
580.000000	85.801	153.9038
590.000000	85.837	153.9572
600.000000	85.857	153.9269
608.000000	85.868	153.9174
615.000000	85.885	153.9356
622.000000	85.892	153.9044
630.000000	85.896	153.9451
640.000000	85.908	153.9505
650.000000	85.919	153.9803
660.000000	85.930	154.0134
670.000000	85.952	154.0426
680.000000	85.979	154.0667
690.000000	86.003	154.0279
700.000000	86.029	154.0882
710.000000	86.055	154.1381
720.000000	86.085	154.1616
730.000000	86.109	154.3151
740.000000	86.136	154.2908
750.000000	86.160	154.3878
762.000000	86.177	154.4550
775.000000	86.233	154.5455
788.000000	86.257	154.6327
800.000000	86.303	154.8060
812.000000	86.356	154.9229
825.000000	86.420	154.9749
838.000000	86.484	155.0762
850.000000	86.556	155.1784
862.000000	86.620	155.1980
875.000000	86.695	155.3414
885.000000	86.762	155.3739
900.000000	86.858	155.4541
912.000000	86.931	155.4529
925.000000	87.019	155.5238
938.000000	87.118	155.4750
950.000000	87.196	155.5402
962.000000	87.289	155.4786
975.000000	87.375	155.4375
988.000000	87.478	155.3760
1000.000000	87.587	155.1684
1015.000000	87.710	155.0238
1030.000000	87.845	154.8574
1044.000000	87.961	154.5385
1060.000000	88.111	154.2065
1075.000000	88.238	153.8499
1090.000000	88.374	153.4229
1106.000000	88.507	152.9542
1120.000000	88.626	152.5082
1138.000000	88.772	151.8065
1150.000000	88.859	151.3908
1172.000000	89.021	150.5372
1180.000000	89.067	150.2052
1206.000000	89.243	149.0909
1220.000000	89.335	148.5051
1241.000000	89.473	147.4751
1250.000000	89.519	147.0636
1265.000000	89.617	146.3487
1280.000000	89.702	145.6504
1315.000000	89.881	143.9623
1320.000000	89.907	143.7232
1340.000000	90.009	142.7730
1360.000000	90.091	141.8489
1380.000000	90.174	140.8456
1400.000000	90.241	139.9370
1430.000000	90.337	138.5770
1450.000000	90.393	137.7168
1475.000000	90.452	136.6175
1500.000000	90.518	135.4781
1525.000000	90.593	134.4267
1550.000000	90.666	133.3902
1575.000000	90.743	132.3844
1600.000000	90.805	131.4021
1625.000000	90.883	130.4209
1650.000000	90.949	129.4748
1675.000000	91.011	128.5350
1700.000000	91.077	127.6117
1725.000000	91.131	126.6987
1750.000000	91.193	125.7725
1775.000000	91.239	124.9458
1800.000000	91.300	124.0951
1825.000000	91.347	123.2056
1850.000000	91.402	122.3653
1875.000000	91.464	121.5440
1900.000000	91.533	120.6383
1925.000000	91.609	119.7924
1950.000000	91.681	118.9424
1975.000000	91.761	118.1198
2000.000000	91.841	117.3310
2030.000000	91.917	116.2597
2060.000000	92.005	115.2226
2090.000000	92.094	114.2247
2120.000000	92.200	113.1377
2140.000000	92.262	112.4562
2180.000000	92.404	110.9979
2200.000000	92.467	110.2482
2240.000000	92.606	108.7532
2270.000000	92.701	107.6251
2300.000000	92.795	106.4850
2330.000000	92.897	105.2985
2360.000000	92.990	104.0698
2400.000000	93.116	102.4331
2430.000000	93.209	101.1662
2470.000000	93.323	99.4432
2500.000000	93.416	98.0830
2540.000000	93.540	96.2306
2580.000000	93.656	94.3386
2620.000000	93.777	92.3761
2650.000000	93.873	90.8932
2690.000000	93.989	88.8403
2720.000000	94.066	87.2310
2760.000000	94.160	85.1518
2800.000000	94.242	82.9302
2850.000000	94.330	80.2192
2900.000000	94.394	77.3895
2950.000000	94.439	74.6751
3000.000000	94.460	71.8758
3040.000000	94.476	69.8457
3070.000000	94.478	68.2753
3110.000000	94.497	66.0650
3150.000000	94.524	63.8841
3200.000000	94.532	61.0382
3250.000000	94.517	57.9492
3300.000000	94.442	54.8732
3350.000000	94.346	51.9765
3400.000000	94.205	48.8593
3450.000000	94.058	46.2183
3500.000000	93.865	43.3723
3550.000000	93.686	40.9724
3600.000000	93.499	38.4646
3650.000000	93.334	36.2202
3700.000000	93.161	34.0017
3750.000000	92.986	31.9862
3820.000000	92.727	29.3234
3870.000000	92.550	27.5406
3950.000000	92.226	24.9631
4000.000000	92.017	23.5962
4060.000000	91.777	21.8551
4120.000000	91.528	20.3367
4180.000000	91.262	18.9630
4250.000000	90.939	17.4701
4310.000000	90.653	16.3820
4370.000000	90.366	15.4197
4440.000000	90.103	14.2442
4500.000000	89.905	13.5263
4550.000000	89.733	12.8507
4620.000000	89.536	12.0970
4680.000000	89.392	11.5028
4750.000000	89.220	10.9413
4820.000000	89.032	10.4750
4870.000000	88.916	10.2160
4940.000000	88.756	9.8728
5000.000000	88.621	9.7220
5080.000000	88.491	9.3314
5150.000000	88.360	9.2536
5220.000000	88.269	9.1404
