* Measurement data measured by REW V5.20.5
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 07/02/2023 03:59:49 Õ
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 3 SOFTEARR
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.970	39.4776
20.299999	92.007	38.7024
20.600000	92.045	37.9213
20.900000	92.084	37.1423
21.200001	92.124	36.3729
21.400000	92.152	35.8664
21.799999	92.211	34.8682
22.000000	92.241	34.3770
22.400000	92.300	33.4141
22.700001	92.343	32.7163
23.000000	92.385	32.0464
23.299999	92.425	31.4068
23.600000	92.463	30.7961
24.000000	92.511	30.0218
24.299999	92.543	29.4672
24.700001	92.582	28.7585
25.000000	92.608	28.2470
25.400000	92.638	27.5844
25.799999	92.662	26.9333
26.200001	92.682	26.2842
26.500000	92.693	25.7961
26.900000	92.705	25.1423
27.200001	92.711	24.6488
27.600000	92.717	23.9855
28.000000	92.720	23.3162
28.500000	92.725	22.4749
29.000000	92.730	21.6300
29.500000	92.737	20.7774
30.000000	92.743	19.9238
30.400000	92.746	19.2597
30.700001	92.748	18.7840
31.100000	92.752	18.1842
31.500000	92.759	17.6148
32.000000	92.770	16.9210
32.500000	92.781	16.2325
33.000000	92.786	15.5599
33.500000	92.785	14.9174
34.000000	92.780	14.3058
34.500000	92.771	13.7172
35.000000	92.760	13.1447
35.500000	92.747	12.5781
36.000000	92.733	12.0054
36.500000	92.717	11.4243
37.000000	92.698	10.8457
37.500000	92.679	10.2799
38.200001	92.653	9.5101
38.700001	92.637	8.9716
39.500000	92.612	8.1274
40.000000	92.597	7.6131
40.599998	92.577	7.0172
41.200001	92.556	6.4484
41.799999	92.534	5.8969
42.500000	92.505	5.2683
43.099998	92.477	4.7535
43.700001	92.448	4.2580
44.400002	92.413	3.6836
45.000000	92.380	3.1966
45.500000	92.352	2.8042
46.200001	92.313	2.2723
46.799999	92.280	1.8276
47.500000	92.241	1.3273
48.200001	92.203	0.8388
48.700001	92.175	0.4921
49.400002	92.134	0.0234
50.000000	92.099	-0.3547
50.799999	92.055	-0.8479
51.500000	92.016	-1.2873
52.200001	91.975	-1.7220
53.000000	91.928	-2.1971
53.799999	91.881	-2.6567
54.500000	91.838	-3.0451
55.200001	91.795	-3.4021
56.000000	91.747	-3.7836
57.000000	91.686	-4.2555
58.000000	91.623	-4.6798
59.000000	91.566	-5.1151
60.000000	91.502	-5.5813
60.799999	91.450	-5.9117
61.500000	91.409	-6.1956
62.200001	91.367	-6.4979
63.000000	91.315	-6.8199
64.000000	91.253	-7.1514
65.000000	91.195	-7.4726
66.000000	91.135	-7.7844
67.000000	91.073	-8.0793
68.000000	91.011	-8.3539
69.000000	90.954	-8.6509
70.000000	90.890	-8.9581
71.000000	90.829	-9.2025
72.000000	90.774	-9.4676
73.000000	90.713	-9.7200
74.000000	90.652	-9.9422
75.000000	90.588	-10.1455
76.199997	90.516	-10.3399
77.500000	90.440	-10.6048
78.800003	90.361	-10.8734
80.000000	90.283	-11.0786
81.199997	90.219	-11.2631
82.500000	90.140	-11.4870
83.800003	90.073	-11.6321
85.000000	90.007	-11.8319
86.199997	89.938	-11.9194
87.500000	89.878	-12.0400
88.500000	89.824	-12.1599
90.000000	89.741	-12.2709
91.199997	89.673	-12.3742
92.500000	89.601	-12.4277
93.800003	89.536	-12.5472
95.000000	89.468	-12.6521
96.199997	89.403	-12.7209
97.500000	89.339	-12.8080
98.800003	89.269	-12.9040
100.000000	89.212	-12.9189
101.500000	89.145	-13.0080
103.000000	89.070	-13.0880
104.400002	88.992	-13.0478
106.000000	88.913	-13.0599
107.500000	88.834	-13.0067
109.000000	88.757	-13.0454
110.599998	88.677	-13.0426
112.000000	88.608	-13.0184
113.800003	88.530	-12.9784
115.000000	88.473	-13.0062
117.199997	88.363	-12.9365
118.000000	88.324	-12.9097
120.599998	88.190	-12.8626
122.000000	88.123	-12.6664
124.099998	88.021	-12.5626
125.000000	87.972	-12.5364
126.500000	87.889	-12.4522
128.000000	87.805	-12.4206
131.500000	87.636	-12.0682
132.000000	87.609	-12.0610
134.000000	87.486	-11.8074
136.000000	87.364	-11.4080
138.000000	87.233	-10.9693
140.000000	87.082	-10.3128
143.000000	86.874	-9.0196
145.000000	86.767	-7.7170
147.500000	86.762	-5.6179
150.000000	86.944	-3.8739
152.500000	87.191	-3.3731
155.000000	87.357	-3.9465
157.500000	87.403	-4.8069
160.000000	87.376	-5.4792
162.500000	87.322	-5.8774
165.000000	87.240	-6.1980
167.500000	87.156	-6.3448
170.000000	87.059	-6.3566
172.500000	86.973	-6.2661
175.000000	86.895	-6.2284
177.500000	86.824	-6.1712
180.000000	86.750	-6.0218
182.500000	86.674	-5.7401
185.000000	86.592	-5.4954
187.500000	86.529	-5.1762
190.000000	86.463	-4.8802
192.500000	86.387	-4.6481
195.000000	86.321	-4.4186
197.500000	86.255	-4.1689
200.000000	86.198	-3.8638
203.000000	86.138	-3.5280
206.000000	86.070	-3.1713
209.000000	85.993	-2.8164
212.000000	85.916	-2.3885
214.000000	85.883	-2.1244
218.000000	85.794	-1.6019
220.000000	85.742	-1.3674
224.000000	85.657	-0.8807
227.000000	85.596	-0.4688
230.000000	85.540	-0.0600
233.000000	85.477	0.3801
236.000000	85.413	0.8222
240.000000	85.333	1.4109
243.000000	85.286	1.8830
247.000000	85.182	2.5004
250.000000	85.114	3.0427
254.000000	85.027	3.8011
258.000000	84.957	4.7379
262.000000	84.890	5.7758
265.000000	84.872	6.5993
269.000000	84.898	7.7377
272.000000	84.938	8.4271
276.000000	84.993	8.8539
280.000000	85.026	9.1261
285.000000	85.008	9.3207
290.000000	84.976	9.5568
295.000000	84.906	9.9740
300.000000	84.861	10.4644
304.000000	84.796	10.9038
307.000000	84.761	11.2024
311.000000	84.720	11.6115
315.000000	84.690	12.0796
320.000000	84.627	12.8170
325.000000	84.572	13.4350
330.000000	84.538	14.0590
335.000000	84.477	14.7402
340.000000	84.452	15.3897
345.000000	84.405	15.9563
350.000000	84.362	16.6061
355.000000	84.347	17.2116
360.000000	84.299	17.8748
365.000000	84.255	18.5518
370.000000	84.223	19.2007
375.000000	84.202	19.8510
382.000000	84.165	20.6908
387.000000	84.129	21.4285
395.000000	84.082	22.2800
400.000000	84.053	22.9743
406.000000	84.017	23.8185
412.000000	83.990	24.5844
418.000000	83.972	25.3875
425.000000	83.946	26.2293
431.000000	83.931	26.8066
437.000000	83.918	27.6825
444.000000	83.898	28.5529
450.000000	83.869	29.2481
455.000000	83.848	29.8245
462.000000	83.830	30.6602
468.000000	83.804	31.3975
475.000000	83.773	32.1743
482.000000	83.763	33.0623
487.000000	83.753	33.6613
494.000000	83.730	34.4738
500.000000	83.720	35.3901
508.000000	83.721	36.1353
515.000000	83.692	36.9629
522.000000	83.679	37.8443
530.000000	83.671	38.7078
538.000000	83.661	39.6350
545.000000	83.651	40.4410
552.000000	83.649	41.1906
560.000000	83.647	42.1812
570.000000	83.646	43.3012
580.000000	83.627	44.5357
590.000000	83.625	45.5775
600.000000	83.631	46.6936
608.000000	83.625	47.5793
615.000000	83.633	48.3709
622.000000	83.628	49.1721
630.000000	83.613	50.0997
640.000000	83.635	51.1496
650.000000	83.654	52.2404
660.000000	83.654	53.3809
670.000000	83.657	54.5133
680.000000	83.665	55.6109
690.000000	83.682	56.7252
700.000000	83.694	57.6883
710.000000	83.721	58.8048
720.000000	83.753	59.9572
730.000000	83.781	60.9788
740.000000	83.792	62.0138
750.000000	83.816	63.0706
762.000000	83.870	64.3844
775.000000	83.908	65.7523
788.000000	83.941	67.1575
800.000000	83.996	68.2536
812.000000	84.040	69.5389
825.000000	84.102	70.8494
838.000000	84.173	72.0877
850.000000	84.232	73.2901
862.000000	84.301	74.4239
875.000000	84.374	75.7010
885.000000	84.424	76.5494
900.000000	84.529	77.9937
912.000000	84.606	79.0561
925.000000	84.684	80.2900
938.000000	84.767	81.2893
950.000000	84.867	82.3522
962.000000	84.947	83.2737
975.000000	85.024	84.2444
988.000000	85.142	85.2592
1000.000000	85.258	86.0965
1015.000000	85.371	87.0325
1030.000000	85.486	88.0815
1044.000000	85.591	89.0278
1060.000000	85.696	89.8656
1075.000000	85.811	90.8817
1090.000000	85.936	91.5672
1106.000000	86.046	92.3272
1120.000000	86.162	92.8811
1138.000000	86.264	93.7843
1150.000000	86.345	94.3746
1172.000000	86.496	95.2797
1180.000000	86.561	95.6799
1206.000000	86.707	96.6826
1220.000000	86.796	97.2385
1241.000000	86.920	98.0930
1250.000000	86.978	98.3194
1265.000000	87.064	98.8889
1280.000000	87.144	99.4061
1315.000000	87.329	100.4352
1320.000000	87.354	100.6400
1340.000000	87.452	101.2959
1360.000000	87.549	101.8535
1380.000000	87.649	102.4712
1400.000000	87.720	103.0513
1430.000000	87.864	103.9130
1450.000000	87.940	104.4014
1475.000000	88.036	105.1155
1500.000000	88.127	105.7678
1525.000000	88.223	106.4032
1550.000000	88.317	106.9417
1575.000000	88.395	107.6656
1600.000000	88.493	108.1264
1625.000000	88.578	108.7858
1650.000000	88.644	109.3476
1675.000000	88.727	109.8212
1700.000000	88.811	110.4207
1725.000000	88.889	110.9810
1750.000000	88.957	111.3414
1775.000000	89.021	111.8811
1800.000000	89.087	112.3250
1825.000000	89.151	112.7420
1850.000000	89.212	113.2188
1875.000000	89.266	113.6578
1900.000000	89.310	114.0825
1925.000000	89.362	114.5094
1950.000000	89.408	114.9927
1975.000000	89.438	115.4818
2000.000000	89.469	115.8990
2030.000000	89.509	116.7350
2060.000000	89.563	117.5361
2090.000000	89.634	118.5351
2120.000000	89.777	119.5610
2140.000000	89.885	120.0959
2180.000000	90.177	120.5225
2200.000000	90.290	120.4847
2240.000000	90.471	119.9801
2270.000000	90.566	119.4343
2300.000000	90.628	118.8668
2330.000000	90.639	118.4071
2360.000000	90.652	118.1479
2400.000000	90.651	117.6451
2430.000000	90.647	117.3739
2470.000000	90.605	117.1224
2500.000000	90.575	116.8456
2540.000000	90.538	116.6173
2580.000000	90.460	116.3544
2620.000000	90.370	116.2171
2650.000000	90.319	116.0889
2690.000000	90.215	115.9364
2720.000000	90.119	115.9040
2760.000000	90.016	115.8815
2800.000000	89.895	115.9469
2850.000000	89.720	116.1448
2900.000000	89.521	116.3725
2950.000000	89.334	116.7278
3000.000000	89.131	117.1595
3040.000000	88.947	117.5616
3070.000000	88.812	117.9639
3110.000000	88.625	118.5574
3150.000000	88.438	119.2780
3200.000000	88.242	120.3821
3250.000000	88.028	121.7208
3300.000000	87.842	122.9661
3350.000000	87.658	124.2438
3400.000000	87.494	125.6492
3450.000000	87.337	127.0562
3500.000000	87.201	128.3916
3550.000000	87.053	129.7746
3600.000000	86.906	131.2292
3650.000000	86.787	132.6341
3700.000000	86.668	134.0795
3750.000000	86.542	135.5246
3820.000000	86.375	137.5106
3870.000000	86.254	139.0714
3950.000000	86.034	141.3867
4000.000000	85.932	142.9811
4060.000000	85.803	145.1120
4120.000000	85.692	146.9567
4180.000000	85.597	148.8585
4250.000000	85.519	151.1761
4310.000000	85.437	153.1565
4370.000000	85.365	155.0730
4440.000000	85.294	157.1806
4500.000000	85.218	158.9919
4550.000000	85.182	160.4937
4620.000000	85.092	162.5692
4680.000000	85.028	164.2163
4750.000000	84.934	166.3207
4820.000000	84.850	168.3746
4870.000000	84.746	170.0345
4940.000000	84.659	172.3079
5000.000000	84.570	174.3680
5080.000000	84.521	177.4088
5150.000000	84.451	-179.9355
5220.000000	84.421	-177.2826
5300.000000	84.391	-174.1898
5380.000000	84.380	-171.0067
5450.000000	84.373	-168.3032
5520.000000	84.401	-165.2424
5600.000000	84.426	-161.8331
5700.000000	84.566	-157.3266
5800.000000	84.757	-152.7877
5900.000000	85.025	-147.9206
6000.000000	85.428	-143.1183
6080.000000	85.864	-139.3195
6150.000000	86.323	-136.2849
6220.000000	86.864	-133.5950
6300.000000	87.583	-131.1221
6400.000000	88.587	-129.3582
6500.000000	89.680	-129.5819
6600.000000	90.724	-132.1476
6700.000000	91.603	-136.8481
6800.000000	92.130	-143.4080
6900.000000	92.257	-150.6208
7000.000000	91.980	-156.6807
7100.000000	91.483	-161.3122
7200.000000	90.907	-164.4760
7300.000000	90.296	-166.4003
7400.000000	89.678	-167.3750
7500.000000	89.078	-167.3401
7620.000000	88.400	-166.6117
7750.000000	87.774	-164.9962
7880.000000	87.204	-162.8203
8000.000000	86.736	-160.2096
8120.000000	86.373	-157.2175
8250.000000	86.024	-153.7048
8380.000000	85.761	-149.8527
8500.000000	85.603	-146.0616
8620.000000	85.563	-142.3141
8750.000000	85.592	-137.9348
8850.000000	85.722	-134.6454
9000.000000	86.085	-129.7526
9120.000000	86.473	-126.4516
9250.000000	87.058	-123.2289
9380.000000	87.733	-120.9599
9500.000000	88.497	-119.7593
9620.000000	89.287	-119.4103
9750.000000	90.259	-120.7100
9880.000000	91.230	-124.0708
10000.000000	92.027	-129.1539
10150.000000	92.698	-137.7145
10300.000000	92.902	-147.7855
10440.000000	92.623	-156.9868
10600.000000	91.870	-165.5933
10750.000000	90.969	-171.2923
10900.000000	89.989	-174.9913
11060.000000	88.974	-177.2761
11200.000000	88.130	-178.0738
11380.000000	87.130	-177.9264
11500.000000	86.526	-177.2762
11720.000000	85.614	-175.6360
11800.000000	85.259	-174.6113
12060.000000	84.444	-171.2827
12200.000000	84.062	-168.9569
12410.000000	83.677	-165.3859
12500.000000	83.536	-163.8843
12650.000000	83.358	-160.8371
12800.000000	83.320	-157.5934
13150.000000	83.728	-150.9214
13200.000000	83.860	-150.0367
13400.000000	84.538	-147.3612
13600.000000	85.505	-146.6196
13800.000000	86.612	-148.6782
14000.000000	87.814	-154.7527
14300.000000	88.991	-171.2079
14500.000000	88.830	174.8812
14750.000000	87.712	160.5683
15000.000000	86.133	151.2692
15250.000000	84.607	146.1246
15500.000000	83.198	143.1510
15750.000000	82.065	141.2842
16000.000000	81.136	140.8057
16250.000000	80.264	141.1284
16500.000000	79.731	142.2201
16750.000000	79.456	143.0676
17000.000000	79.357	143.8044
17250.000000	79.675	144.3677
17500.000000	80.223	143.8397
17750.000000	81.539	142.9491
18000.000000	83.276	134.0771
18250.000000	85.215	117.9821
18500.000000	86.366	86.6788
18750.000000	83.949	54.1956
19000.000000	81.132	35.0638
19250.000000	77.560	22.3412
19500.000000	74.477	17.3091
19750.000000	71.810	13.6153
