* Measurement data measured by REW V5.20.4
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 15, 2022 9:21:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ EDS R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.952	-154.6002
20.299999	94.960	-155.3536
20.600000	94.969	-156.0768
20.900000	94.980	-156.7791
21.200001	94.992	-157.4724
21.400000	94.999	-157.9348
21.799999	95.012	-158.8608
22.000000	95.016	-159.3217
22.400000	95.019	-160.2251
22.700001	95.016	-160.8719
23.000000	95.012	-161.4822
23.299999	95.008	-162.0588
23.600000	95.006	-162.6129
24.000000	95.006	-163.3418
24.299999	95.007	-163.8972
24.700001	95.005	-164.6510
25.000000	94.999	-165.2107
25.400000	94.985	-165.9186
25.799999	94.970	-166.5605
26.200001	94.961	-167.1525
26.500000	94.961	-167.5944
26.900000	94.967	-168.2216
27.200001	94.972	-168.7349
27.600000	94.972	-169.4658
28.000000	94.961	-170.2046
28.500000	94.937	-171.0652
29.000000	94.912	-171.8283
29.500000	94.896	-172.5336
30.000000	94.888	-173.2353
30.400000	94.883	-173.8064
30.700001	94.880	-174.2365
31.100000	94.876	-174.8064
31.500000	94.870	-175.3704
32.000000	94.861	-176.0682
32.500000	94.847	-176.7508
33.000000	94.829	-177.3999
33.500000	94.810	-178.0054
34.000000	94.791	-178.5793
34.500000	94.775	-179.1445
35.000000	94.758	-179.7125
35.500000	94.739	179.7219
36.000000	94.718	179.1687
36.500000	94.696	178.6295
37.000000	94.673	178.0978
37.500000	94.650	177.5687
38.200001	94.615	176.8358
38.700001	94.590	176.3242
39.500000	94.550	175.5272
40.000000	94.527	175.0373
40.599998	94.498	174.4565
41.200001	94.469	173.8890
41.799999	94.440	173.3389
42.500000	94.405	172.7151
43.099998	94.375	172.1917
43.700001	94.344	171.6812
44.400002	94.306	171.1064
45.000000	94.273	170.6282
45.500000	94.246	170.2364
46.200001	94.207	169.6968
46.799999	94.175	169.2412
47.500000	94.137	168.7106
48.200001	94.098	168.1789
48.700001	94.069	167.8058
49.400002	94.028	167.3047
50.000000	93.994	166.8940
50.799999	93.952	166.3556
51.500000	93.916	165.8808
52.200001	93.880	165.4041
53.000000	93.835	164.8685
53.799999	93.788	164.3533
54.500000	93.745	163.9223
55.200001	93.702	163.5072
56.000000	93.653	163.0465
57.000000	93.592	162.4861
58.000000	93.532	161.9410
59.000000	93.474	161.3976
60.000000	93.416	160.8486
60.799999	93.368	160.4175
61.500000	93.326	160.0550
62.200001	93.283	159.7087
63.000000	93.235	159.3298
64.000000	93.174	158.8719
65.000000	93.113	158.4245
66.000000	93.050	157.9790
67.000000	92.982	157.5319
68.000000	92.910	157.1187
69.000000	92.843	156.7590
70.000000	92.789	156.3972
71.000000	92.745	155.9725
72.000000	92.701	155.4875
73.000000	92.650	154.9853
74.000000	92.592	154.5140
75.000000	92.529	154.1046
76.199997	92.451	153.6898
77.500000	92.367	153.2906
78.800003	92.281	152.9068
80.000000	92.201	152.5619
81.199997	92.121	152.2239
82.500000	92.037	151.8646
83.800003	91.955	151.5112
85.000000	91.880	151.1981
86.199997	91.807	150.9087
87.500000	91.730	150.5850
88.500000	91.670	150.3089
90.000000	91.570	149.8897
91.199997	91.485	149.5909
92.500000	91.393	149.3096
93.800003	91.303	149.0585
95.000000	91.224	148.8430
96.199997	91.147	148.6341
97.500000	91.066	148.4076
98.800003	90.986	148.1816
100.000000	90.912	147.9842
101.500000	90.819	147.7754
103.000000	90.723	147.6111
104.400002	90.629	147.5038
106.000000	90.521	147.4644
107.500000	90.435	147.4417
109.000000	90.360	147.3347
110.599998	90.273	147.1829
112.000000	90.190	147.1299
113.800003	90.082	147.2193
115.000000	90.011	147.3449
117.199997	89.890	147.6162
118.000000	89.848	147.7119
120.599998	89.724	147.9968
122.000000	89.665	148.1168
124.099998	89.582	148.1978
125.000000	89.544	148.1989
126.500000	89.480	148.1902
128.000000	89.419	148.2037
131.500000	89.313	148.4201
132.000000	89.301	148.4706
134.000000	89.260	148.6836
136.000000	89.224	148.8491
138.000000	89.194	148.9385
140.000000	89.179	148.9481
143.000000	89.163	148.6768
145.000000	89.134	148.3823
147.500000	89.091	148.0928
150.000000	89.067	147.8837
152.500000	89.040	147.6222
155.000000	88.984	147.2948
157.500000	88.902	146.9109
160.000000	88.803	146.5299
162.500000	88.700	146.2145
165.000000	88.602	145.9479
167.500000	88.506	145.7170
170.000000	88.408	145.5331
172.500000	88.306	145.3862
175.000000	88.203	145.2474
177.500000	88.103	145.1155
180.000000	88.005	145.0109
182.500000	87.909	144.9414
185.000000	87.813	144.9028
187.500000	87.720	144.8901
190.000000	87.629	144.8942
192.500000	87.541	144.9066
195.000000	87.456	144.9254
197.500000	87.372	144.9525
200.000000	87.290	144.9860
203.000000	87.194	145.0253
206.000000	87.097	145.0653
209.000000	86.999	145.1349
212.000000	86.902	145.2521
214.000000	86.838	145.3485
218.000000	86.710	145.5530
220.000000	86.646	145.6583
224.000000	86.518	145.8888
227.000000	86.424	146.0876
230.000000	86.335	146.3113
233.000000	86.250	146.5556
236.000000	86.169	146.8132
240.000000	86.071	147.1667
243.000000	86.004	147.4303
247.000000	85.924	147.7596
250.000000	85.870	147.9744
254.000000	85.800	148.2084
258.000000	85.730	148.3990
262.000000	85.657	148.5688
265.000000	85.600	148.6879
269.000000	85.520	148.8467
272.000000	85.458	148.9772
276.000000	85.372	149.1726
280.000000	85.283	149.3832
285.000000	85.174	149.6519
290.000000	85.066	149.9362
295.000000	84.960	150.2523
300.000000	84.855	150.5968
304.000000	84.772	150.8847
307.000000	84.711	151.1050
311.000000	84.630	151.4040
315.000000	84.550	151.7100
320.000000	84.452	152.1042
325.000000	84.356	152.5120
330.000000	84.260	152.9338
335.000000	84.168	153.3743
340.000000	84.078	153.8390
345.000000	83.993	154.3206
350.000000	83.915	154.8014
355.000000	83.843	155.2693
360.000000	83.775	155.7224
365.000000	83.709	156.1565
370.000000	83.643	156.5724
375.000000	83.578	156.9777
382.000000	83.485	157.5376
387.000000	83.419	157.9406
395.000000	83.313	158.6031
400.000000	83.248	159.0288
406.000000	83.174	159.5536
412.000000	83.102	160.0912
418.000000	83.030	160.6337
425.000000	82.946	161.2622
431.000000	82.876	161.7982
437.000000	82.811	162.3406
444.000000	82.737	162.9854
450.000000	82.674	163.5435
455.000000	82.623	164.0093
462.000000	82.554	164.6628
468.000000	82.497	165.2273
475.000000	82.433	165.8929
482.000000	82.370	166.5635
487.000000	82.326	167.0435
494.000000	82.265	167.7165
500.000000	82.215	168.2973
508.000000	82.151	169.0799
515.000000	82.097	169.7687
522.000000	82.045	170.4585
530.000000	81.988	171.2513
538.000000	81.934	172.0522
545.000000	81.886	172.7582
552.000000	81.839	173.4687
560.000000	81.786	174.2865
570.000000	81.725	175.3153
580.000000	81.667	176.3511
590.000000	81.613	177.3981
600.000000	81.562	178.4567
608.000000	81.524	179.3109
615.000000	81.494	-179.9357
622.000000	81.466	-179.1756
630.000000	81.438	-178.2993
640.000000	81.408	-177.1950
650.000000	81.381	-176.0814
660.000000	81.360	-174.9595
670.000000	81.345	-173.8345
680.000000	81.336	-172.7108
690.000000	81.334	-171.5885
700.000000	81.338	-170.4697
710.000000	81.350	-169.3637
720.000000	81.369	-168.2823
730.000000	81.393	-167.2364
740.000000	81.420	-166.2332
750.000000	81.445	-165.2663
762.000000	81.466	-164.1086
775.000000	81.483	-162.7668
788.000000	81.513	-161.2952
