* Measurement data measured by REW V5.20.5
* Source: Microfone (2- USB Sound Device        ), MICROPHONE (Volume geral), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 5/mai/2022 20:32:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCA CRA+ L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.831	-142.0129
20.600000	78.845	-142.3041
20.900000	78.881	-142.9201
21.200001	78.917	-143.5963
21.400000	78.940	-144.0452
21.799999	78.984	-144.9135
22.000000	79.005	-145.3259
22.400000	79.047	-146.1127
22.700001	79.080	-146.6813
23.000000	79.114	-147.2451
23.299999	79.146	-147.8119
23.600000	79.177	-148.3817
24.000000	79.214	-149.1374
24.299999	79.240	-149.6904
24.700001	79.274	-150.4005
25.000000	79.300	-150.9145
25.400000	79.338	-151.5866
25.799999	79.376	-152.2602
26.200001	79.411	-152.9448
26.500000	79.434	-153.4642
26.900000	79.459	-154.1569
27.200001	79.473	-154.6692
27.600000	79.489	-155.3336
28.000000	79.502	-155.9691
28.500000	79.519	-156.7193
29.000000	79.536	-157.4278
29.500000	79.552	-158.1106
30.000000	79.565	-158.7831
30.400000	79.574	-159.3168
30.700001	79.580	-159.7133
31.100000	79.589	-160.2337
31.500000	79.600	-160.7421
32.000000	79.617	-161.3593
32.500000	79.636	-161.9570
33.000000	79.653	-162.5370
33.500000	79.665	-163.1015
34.000000	79.674	-163.6513
34.500000	79.683	-164.1841
35.000000	79.693	-164.6967
35.500000	79.705	-165.1897
36.000000	79.716	-165.6678
36.500000	79.723	-166.1351
37.000000	79.724	-166.5931
37.500000	79.724	-167.0457
38.200001	79.729	-167.6877
38.700001	79.740	-168.1608
39.500000	79.757	-168.9211
40.000000	79.758	-169.3867
40.599998	79.745	-169.9572
41.200001	79.721	-170.5791
41.799999	79.698	-171.2524
42.500000	79.693	-172.0369
43.099998	79.713	-172.6398
43.700001	79.741	-173.1378
44.400002	79.752	-173.5658
45.000000	79.734	-173.8242
45.500000	79.706	-174.0185
46.200001	79.663	-174.3549
46.799999	79.634	-174.7394
47.500000	79.614	-175.2442
48.200001	79.604	-175.7269
48.700001	79.599	-176.0410
49.400002	79.591	-176.4509
50.000000	79.580	-176.7854
50.799999	79.561	-177.2091
51.500000	79.544	-177.5646
52.200001	79.525	-177.9230
53.000000	79.503	-178.3572
53.799999	79.484	-178.8223
54.500000	79.470	-179.2356
55.200001	79.457	-179.6261
56.000000	79.442	179.9746
57.000000	79.424	179.5253
58.000000	79.405	179.0926
59.000000	79.383	178.6810
60.000000	79.358	178.2955
60.799999	79.335	177.9805
61.500000	79.315	177.6853
62.200001	79.294	177.3718
63.000000	79.272	176.9987
64.000000	79.244	176.5306
65.000000	79.213	176.0928
66.000000	79.180	175.6996
67.000000	79.145	175.3371
68.000000	79.109	174.9859
69.000000	79.073	174.6317
70.000000	79.039	174.2775
71.000000	79.006	173.9389
72.000000	78.976	173.6218
73.000000	78.948	173.3231
74.000000	78.921	173.0314
75.000000	78.891	172.7323
76.199997	78.848	172.3616
77.500000	78.799	171.9700
78.800003	78.752	171.6089
80.000000	78.708	171.2954
81.199997	78.664	170.9881
82.500000	78.619	170.6681
83.800003	78.576	170.3678
85.000000	78.537	170.0938
86.199997	78.495	169.8174
87.500000	78.446	169.5229
88.500000	78.408	169.3008
90.000000	78.349	168.9825
91.199997	78.301	168.7472
92.500000	78.250	168.5015
93.800003	78.199	168.2519
95.000000	78.152	168.0231
96.199997	78.106	167.8086
97.500000	78.055	167.6017
98.800003	78.004	167.4233
100.000000	77.956	167.2790
101.500000	77.897	167.1146
103.000000	77.839	166.9618
104.400002	77.789	166.8370
106.000000	77.738	166.7163
107.500000	77.692	166.5956
109.000000	77.647	166.4430
110.599998	77.598	166.2477
112.000000	77.554	166.0640
113.800003	77.493	165.8268
115.000000	77.448	165.6762
117.199997	77.359	165.4232
118.000000	77.326	165.3356
120.599998	77.221	165.0745
122.000000	77.163	164.9684
124.099998	77.073	164.8659
125.000000	77.035	164.8410
126.500000	76.970	164.8236
128.000000	76.906	164.8359
131.500000	76.751	164.9348
132.000000	76.729	164.9550
134.000000	76.650	165.0491
136.000000	76.587	165.1559
138.000000	76.541	165.3105
140.000000	76.507	165.5099
143.000000	76.466	165.7215
145.000000	76.438	165.7278
147.500000	76.402	165.6129
150.000000	76.356	165.4497
152.500000	76.298	165.3077
155.000000	76.227	165.1971
157.500000	76.151	165.1026
160.000000	76.072	165.0219
162.500000	75.991	164.9438
165.000000	75.911	164.8759
167.500000	75.833	164.8390
170.000000	75.759	164.8373
172.500000	75.689	164.8580
175.000000	75.621	164.9028
177.500000	75.554	164.9847
180.000000	75.484	165.0915
182.500000	75.413	165.1905
185.000000	75.344	165.2676
187.500000	75.279	165.3392
190.000000	75.219	165.4207
192.500000	75.162	165.5200
195.000000	75.106	165.6377
197.500000	75.047	165.7644
200.000000	74.986	165.8954
203.000000	74.911	166.0654
206.000000	74.840	166.2505
209.000000	74.771	166.4364
212.000000	74.705	166.6135
214.000000	74.662	166.7288
218.000000	74.578	166.9708
220.000000	74.536	167.1063
224.000000	74.447	167.3993
227.000000	74.378	167.6127
230.000000	74.309	167.8170
233.000000	74.241	168.0227
236.000000	74.175	168.2283
240.000000	74.087	168.5065
243.000000	74.023	168.7236
247.000000	73.941	169.0154
250.000000	73.877	169.2379
254.000000	73.793	169.5500
258.000000	73.713	169.8836
262.000000	73.632	170.2321
265.000000	73.571	170.4906
269.000000	73.493	170.8279
272.000000	73.437	171.0883
276.000000	73.365	171.4731
280.000000	73.296	171.9056
285.000000	73.211	172.4480
290.000000	73.126	172.9261
295.000000	73.039	173.3670
300.000000	72.954	173.8485
304.000000	72.887	174.2681
307.000000	72.838	174.5864
311.000000	72.772	175.0086
315.000000	72.708	175.4337
320.000000	72.631	175.9746
325.000000	72.555	176.5177
330.000000	72.481	177.0576
335.000000	72.409	177.5989
