* Measurement data measured by REW V5.20.9
* Source: Microfone (USB Sound Device        ), MICROPHONE (Volume geral), L, volume: 0,560
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 5/ago/2022 15:18:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final Audio A4000 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.336	-160.5343
20.600000	83.341	-160.8159
20.900000	83.352	-161.4008
21.200001	83.360	-162.0092
21.400000	83.365	-162.3929
21.799999	83.372	-163.1093
22.000000	83.377	-163.4533
22.400000	83.391	-164.1599
22.700001	83.403	-164.7358
23.000000	83.414	-165.3592
23.299999	83.421	-166.0063
23.600000	83.422	-166.6389
24.000000	83.418	-167.3961
24.299999	83.415	-167.8698
24.700001	83.417	-168.3922
25.000000	83.422	-168.7502
25.400000	83.427	-169.2571
25.799999	83.417	-169.8422
26.200001	83.384	-170.4766
26.500000	83.348	-170.9400
26.900000	83.299	-171.4997
27.200001	83.275	-171.8789
27.600000	83.271	-172.3761
28.000000	83.298	-172.9325
28.500000	83.351	-173.7453
29.000000	83.391	-174.5895
29.500000	83.401	-175.3220
30.000000	83.389	-175.8994
30.400000	83.375	-176.3100
30.700001	83.363	-176.6315
31.100000	83.347	-177.1141
31.500000	83.327	-177.6587
32.000000	83.295	-178.3791
32.500000	83.257	-179.0671
33.000000	83.217	-179.6672
33.500000	83.182	179.8228
34.000000	83.158	179.3613
34.500000	83.143	178.8928
35.000000	83.132	178.3895
35.500000	83.119	177.8669
36.000000	83.102	177.3644
36.500000	83.082	176.9047
37.000000	83.063	176.4738
37.500000	83.045	176.0395
38.200001	83.019	175.3970
38.700001	82.995	174.9322
39.500000	82.947	174.2368
40.000000	82.913	173.8386
40.599998	82.868	173.3922
41.200001	82.819	172.9910
41.799999	82.771	172.6538
42.500000	82.723	172.3307
43.099998	82.690	172.0634
43.700001	82.659	171.7538
44.400002	82.616	171.3214
45.000000	82.573	170.9163
45.500000	82.536	170.5834
