* Measurement data measured by REW V5.20.13
* Source: Microfone (USB Sound Device        ), MICROPHONE (Volume geral), R, volume: 0,560
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14/mar/2023 21:44:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LETSHUOER Galileo R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.302	-175.3315
20.600000	81.300	-175.5861
20.900000	81.294	-176.1248
21.200001	81.286	-176.7171
21.400000	81.279	-177.1123
21.799999	81.265	-177.8822
22.000000	81.258	-178.2499
22.400000	81.247	-178.9505
22.700001	81.242	-179.4506
23.000000	81.242	-179.9390
23.299999	81.243	179.5728
23.600000	81.246	179.0779
24.000000	81.249	178.4052
24.299999	81.247	177.8978
24.700001	81.240	177.2325
25.000000	81.231	176.7503
25.400000	81.216	176.1314
25.799999	81.201	175.5303
26.200001	81.185	174.9345
26.500000	81.171	174.4893
26.900000	81.151	173.9049
27.200001	81.134	173.4825
27.600000	81.110	172.9500
28.000000	81.086	172.4517
28.500000	81.059	171.8531
29.000000	81.030	171.2475
29.500000	80.991	170.6275
30.000000	80.942	170.0208
30.400000	80.899	169.5650
30.700001	80.869	169.2412
31.100000	80.834	168.8195
31.500000	80.808	168.3900
32.000000	80.781	167.8250
32.500000	80.755	167.2478
33.000000	80.722	166.7100
33.500000	80.681	166.2476
34.000000	80.638	165.8533
34.500000	80.597	165.4839
35.000000	80.557	165.0983
35.500000	80.518	164.6802
36.000000	80.479	164.2426
36.500000	80.441	163.8118
37.000000	80.404	163.4130
37.500000	80.365	163.0567
38.200001	80.311	162.6080
38.700001	80.269	162.2874
39.500000	80.195	161.7152
40.000000	80.142	161.3302
40.599998	80.075	160.8817
41.200001	80.010	160.4822
41.799999	79.952	160.1344
42.500000	79.896	159.7675
43.099998	79.855	159.4503
43.700001	79.815	159.0938
44.400002	79.758	158.6237
45.000000	79.695	158.2312
45.500000	79.637	157.9618
46.200001	79.561	157.6833
46.799999	79.507	157.4971
47.500000	79.447	157.3176
48.200001	79.388	157.2005
48.700001	79.348	157.1365
49.400002	79.297	156.9898
50.000000	79.251	156.7649
50.799999	79.175	156.3816
51.500000	79.096	156.0720
52.200001	79.015	155.8304
53.000000	78.934	155.6072
53.799999	78.870	155.3745
54.500000	78.826	155.1335
55.200001	78.783	154.8792
56.000000	78.726	154.6327
57.000000	78.640	154.4585
58.000000	78.550	154.4012
59.000000	78.469	154.3376
60.000000	78.397	154.1976
60.799999	78.338	154.0565
61.500000	78.283	153.9380
62.200001	78.225	153.8292
63.000000	78.159	153.7054
64.000000	78.082	153.5403
65.000000	78.009	153.4011
66.000000	77.936	153.3400
67.000000	77.861	153.3605
68.000000	77.787	153.4102
69.000000	77.716	153.4140
70.000000	77.651	153.3352
71.000000	77.589	153.1955
72.000000	77.529	153.0623
73.000000	77.473	153.0000
74.000000	77.423	153.0032
75.000000	77.372	153.0401
76.199997	77.297	153.1061
77.500000	77.202	153.1319
78.800003	77.103	153.0999
80.000000	77.023	153.0737
81.199997	76.952	153.0453
82.500000	76.878	153.0249
83.800003	76.806	153.0212
85.000000	76.740	153.0224
86.199997	76.675	153.0518
87.500000	76.604	153.1564
88.500000	76.547	153.2816
90.000000	76.455	153.4728
91.199997	76.381	153.6165
92.500000	76.312	153.7796
93.800003	76.253	153.9221
95.000000	76.206	154.0145
96.199997	76.161	154.1002
97.500000	76.109	154.2183
98.800003	76.046	154.3707
100.000000	75.984	154.5513
101.500000	75.917	154.7901
103.000000	75.862	154.9588
104.400002	75.816	155.0716
106.000000	75.768	155.2250
107.500000	75.722	155.4085
109.000000	75.672	155.5966
110.599998	75.617	155.7574
112.000000	75.568	155.8403
