* Measurement data measured by REW V5.20.9
* Source: Microfone (USB Sound Device        ), MICROPHONE (Volume geral), R, volume: 0,560
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 27/jul/2022 17:53:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LZ A7 Pop Black R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.068	-170.8990
20.600000	84.076	-171.1429
20.900000	84.085	-171.6146
21.200001	84.064	-171.9839
21.400000	84.034	-172.1075
21.799999	83.971	-172.1088
22.000000	83.953	-172.0614
22.400000	83.967	-172.1367
22.700001	84.010	-172.5371
23.000000	84.057	-173.2931
23.299999	84.084	-174.2712
23.600000	84.086	-175.2752
24.000000	84.058	-176.3469
24.299999	84.033	-176.8190
24.700001	84.020	-177.0600
25.000000	84.028	-177.1081
25.400000	84.044	-177.2212
25.799999	84.035	-177.5261
26.200001	83.986	-177.9983
26.500000	83.930	-178.4019
26.900000	83.853	-178.9570
27.200001	83.812	-179.3902
27.600000	83.794	179.9728
28.000000	83.815	179.2430
28.500000	83.860	178.2778
29.000000	83.884	177.4838
29.500000	83.873	177.0768
30.000000	83.842	177.0767
30.400000	83.818	177.2234
30.700001	83.804	177.3142
31.100000	83.785	177.2980
31.500000	83.758	177.0782
32.000000	83.708	176.5482
32.500000	83.647	175.8195
33.000000	83.593	174.9409
33.500000	83.551	173.9368
34.000000	83.517	172.9089
34.500000	83.490	172.0362
35.000000	83.479	171.4430
35.500000	83.491	171.1196
36.000000	83.515	170.9655
36.500000	83.528	170.9058
37.000000	83.515	170.9109
37.500000	83.478	170.9332
38.200001	83.401	170.7632
38.700001	83.337	170.3571
39.500000	83.234	169.3819
40.000000	83.194	168.8598
40.599998	83.207	168.4924
41.200001	83.281	168.2379
41.799999	83.348	167.8123
42.500000	83.318	167.0534
43.099998	83.178	166.4742
43.700001	82.997	166.1893
44.400002	82.826	166.1832
45.000000	82.749	166.3233
45.500000	82.722	166.5077
46.200001	82.719	166.8181
46.799999	82.727	166.9884
47.500000	82.727	166.8913
48.200001	82.702	166.5022
48.700001	82.672	166.1483
49.400002	82.625	165.6742
50.000000	82.585	165.3317
50.799999	82.527	164.9631
51.500000	82.470	164.6987
52.200001	82.410	164.4665
53.000000	82.348	164.2036
53.799999	82.298	163.8982
54.500000	82.264	163.6034
55.200001	82.236	163.3322
56.000000	82.210	163.1023
57.000000	82.166	163.0054
58.000000	82.082	163.2183
59.000000	81.960	163.6131
60.000000	81.828	163.7443
60.799999	81.736	163.4304
61.500000	81.678	162.9029
62.200001	81.646	162.3160
63.000000	81.633	161.7794
64.000000	81.614	161.4365
65.000000	81.564	161.3249
66.000000	81.491	161.1815
67.000000	81.417	160.9347
68.000000	81.341	160.7568
69.000000	81.256	160.7324
70.000000	81.171	160.7487
71.000000	81.099	160.7017
72.000000	81.040	160.6202
73.000000	80.977	160.5775
74.000000	80.897	160.5866
75.000000	80.807	160.5814
76.199997	80.702	160.4699
77.500000	80.600	160.2562
78.800003	80.513	160.0288
80.000000	80.447	159.8499
81.199997	80.387	159.7453
82.500000	80.317	159.7581
83.800003	80.232	159.8505
85.000000	80.146	159.9280
86.199997	80.063	159.9748
87.500000	79.978	160.0043
88.500000	79.911	160.0320
90.000000	79.802	160.0726
91.199997	79.711	160.0647
92.500000	79.618	160.0801
93.800003	79.535	160.2592
95.000000	79.456	160.5521
96.199997	79.372	160.8537
97.500000	79.283	161.1462
98.800003	79.199	161.4469
100.000000	79.124	161.7557
101.500000	79.036	162.1706
103.000000	78.959	162.6005
104.400002	78.888	163.0250
106.000000	78.819	163.5737
107.500000	78.776	164.1122
109.000000	78.749	164.6277
110.599998	78.747	165.2253
112.000000	78.771	165.7495
113.800003	78.791	166.3073
115.000000	78.774	166.7412
117.199997	78.707	167.9053
118.000000	78.677	168.3402
120.599998	78.558	169.0856
122.000000	78.526	168.8398
124.099998	78.579	167.8162
125.000000	78.622	167.3950
126.500000	78.675	166.9952
128.000000	78.678	166.9607
131.500000	78.553	167.0403
132.000000	78.530	167.0010
134.000000	78.434	166.7560
136.000000	78.339	166.5237
138.000000	78.244	166.4254
140.000000	78.146	166.4393
143.000000	78.002	166.5752
145.000000	77.916	166.7426
147.500000	77.814	167.0143
150.000000	77.707	167.3073
152.500000	77.596	167.6049
155.000000	77.494	167.9236
157.500000	77.407	168.2762
160.000000	77.326	168.6684
162.500000	77.240	169.0635
165.000000	77.147	169.4503
167.500000	77.052	169.8706
170.000000	76.960	170.3315
172.500000	76.872	170.7834
175.000000	76.788	171.2017
177.500000	76.707	171.6302
180.000000	76.626	172.0809
182.500000	76.549	172.5144
185.000000	76.481	172.9341
187.500000	76.424	173.3773
190.000000	76.372	173.8435
192.500000	76.316	174.3185
195.000000	76.256	174.8002
197.500000	76.197	175.2729
200.000000	76.140	175.7126
203.000000	76.073	176.1910
206.000000	76.007	176.6608
209.000000	75.944	177.1591
212.000000	75.878	177.6760
214.000000	75.831	178.0370
218.000000	75.739	178.8261
220.000000	75.695	179.2395
224.000000	75.612	-179.9344
227.000000	75.550	-179.3139
230.000000	75.486	-178.7041
233.000000	75.422	-178.1331
236.000000	75.363	-177.5988
240.000000	75.298	-176.8891
243.000000	75.258	-176.3335
247.000000	75.213	-175.5677
250.000000	75.181	-175.0000
254.000000	75.133	-174.2724
258.000000	75.075	-173.5724
262.000000	75.013	-172.8967
265.000000	74.969	-172.3881
269.000000	74.915	-171.6986
272.000000	74.874	-171.1873
276.000000	74.818	-170.5210
280.000000	74.762	-169.8431
285.000000	74.696	-168.9516
290.000000	74.626	-168.0319
295.000000	74.549	-167.0748
300.000000	74.482	-166.1090
304.000000	74.435	-165.3793
307.000000	74.401	-164.8469
311.000000	74.356	-164.1407
315.000000	74.313	-163.4489
320.000000	74.263	-162.6026
325.000000	74.214	-161.7314
330.000000	74.167	-160.8412
335.000000	74.125	-159.9900
340.000000	74.083	-159.1745
345.000000	74.040	-158.3202
350.000000	73.999	-157.4106
355.000000	73.958	-156.4780
360.000000	73.916	-155.5580
365.000000	73.873	-154.6742
370.000000	73.832	-153.8043
375.000000	73.795	-152.9166
382.000000	73.752	-151.6534
387.000000	73.721	-150.7635
395.000000	73.671	-149.3707
400.000000	73.637	-148.5159
406.000000	73.594	-147.5147
412.000000	73.555	-146.5331
418.000000	73.522	-145.5283
425.000000	73.489	-144.3166
431.000000	73.466	-143.3031
437.000000	73.445	-142.3291
444.000000	73.420	-141.2006
450.000000	73.397	-140.2107
455.000000	73.378	-139.3609
462.000000	73.357	-138.1338
468.000000	73.344	-137.0819
475.000000	73.334	-135.9232
482.000000	73.325	-134.8486
487.000000	73.318	-134.1078
494.000000	73.305	-133.0696
500.000000	73.289	-132.1636
508.000000	73.263	-130.9195
515.000000	73.244	-129.7844
522.000000	73.230	-128.6228
530.000000	73.213	-127.3082
538.000000	73.192	-126.0310
545.000000	73.176	-124.9223
552.000000	73.167	-123.7912
560.000000	73.161	-122.4843
570.000000	73.153	-120.8844
580.000000	73.147	-119.3155
590.000000	73.144	-117.7704
600.000000	73.145	-116.2716
608.000000	73.149	-115.0978
615.000000	73.155	-114.0712
622.000000	73.163	-113.0330
630.000000	73.175	-111.8284
640.000000	73.190	-110.3234
650.000000	73.204	-108.8530
660.000000	73.217	-107.3810
670.000000	73.234	-105.8824
680.000000	73.254	-104.3891
690.000000	73.279	-102.9065
700.000000	73.306	-101.4305
710.000000	73.335	-99.9612
720.000000	73.369	-98.4814
730.000000	73.410	-96.9788
740.000000	73.451	-95.4820
750.000000	73.491	-94.0463
762.000000	73.545	-92.4161
775.000000	73.601	-90.6501
788.000000	73.654	-88.7778
800.000000	73.707	-87.0132
812.000000	73.770	-85.2909
825.000000	73.843	-83.4646
838.000000	73.922	-81.6768
850.000000	74.001	-80.0702
862.000000	74.083	-78.5167
875.000000	74.170	-76.8826
885.000000	74.237	-75.6330
900.000000	74.341	-73.7653
912.000000	74.427	-72.2969
