* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -58.9 dBFS, measurement signal peak level -16.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Dec 6, 2021 9:02:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0200 ms (-6.9 mm, -0.27 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.902832	-173.6573
20.299999	99.898819	-174.0004
20.600000	99.891090	-174.3149
20.900000	99.882240	-174.5926
21.200001	99.875290	-174.8366
21.400000	99.872803	-174.9890
21.799999	99.872879	-175.2880
22.000000	99.874809	-175.4436
22.400000	99.879776	-175.7776
22.700001	99.882065	-176.0438
23.000000	99.881714	-176.3115
23.299999	99.879128	-176.5686
23.600000	99.875526	-176.8089
24.000000	99.871544	-177.1029
24.299999	99.870453	-177.3120
24.700001	99.871498	-177.5904
25.000000	99.872978	-177.8055
25.400000	99.873932	-178.0999
25.799999	99.872559	-178.3913
26.200001	99.869446	-178.6673
26.500000	99.867035	-178.8610
26.900000	99.865067	-179.1050
27.200001	99.865120	-179.2836
27.600000	99.867210	-179.5261
28.000000	99.870415	-179.7849
28.500000	99.872482	179.8612
29.000000	99.867859	179.4891
29.500000	99.855286	179.1363
30.000000	99.839302	178.8353
30.400000	99.828773	178.6281
30.700001	99.823486	178.4792
31.100000	99.819023	178.2711
31.500000	99.814972	178.0451
32.000000	99.807060	177.7514
32.500000	99.796471	177.4727
33.000000	99.787201	177.2154
33.500000	99.781158	176.9593
34.000000	99.776138	176.6878
34.500000	99.769325	176.4091
35.000000	99.760925	176.1404
35.500000	99.753029	175.8865
36.000000	99.746597	175.6379
36.500000	99.740707	175.3880
37.000000	99.734390	175.1400
37.500000	99.727722	174.8983
38.200001	99.718414	174.5701
38.700001	99.711655	174.3412
39.500000	99.700684	173.9838
40.000000	99.693672	173.7609
40.599998	99.683762	173.4913
