* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -17.4 dBFS, measurement signal peak level -17.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 8, 2022 1:18:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0270 ms (-9.2 mm, -0.36 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter R with no timing offset
* Measurement: R medium
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.287811	22.8227
20.299999	99.308487	22.2851
20.600000	99.338776	21.7160
20.900000	99.372307	21.0857
21.200001	99.401161	20.3976
21.400000	99.415054	19.9276
21.799999	99.430809	19.0054
22.000000	99.434471	18.5720
22.400000	99.440102	17.7759
22.700001	99.447533	17.2210
23.000000	99.459061	16.6709
23.299999	99.472107	16.1058
23.600000	99.483612	15.5247
24.000000	99.493164	14.7441
24.299999	99.496262	14.1767
24.700001	99.498596	13.4583
25.000000	99.501793	12.9395
25.400000	99.508720	12.2485
25.799999	99.515129	11.5380
26.200001	99.516304	10.8188
26.500000	99.513054	10.2942
26.900000	99.505707	9.6356
27.200001	99.500916	9.1730
27.600000	99.498238	8.5800
28.000000	99.499115	7.9860
28.500000	99.499496	7.2271
29.000000	99.494629	6.4820
29.500000	99.487839	5.7854
30.000000	99.485458	5.1222
30.400000	99.486732	4.5826
30.700001	99.487305	4.1631
31.100000	99.484283	3.5931
31.500000	99.476059	3.0338
32.000000	99.462143	2.3786
32.500000	99.450630	1.7620
33.000000	99.442932	1.1391
33.500000	99.433983	0.4854
34.000000	99.418808	-0.1806
34.500000	99.397682	-0.8277
35.000000	99.373474	-1.4460
35.500000	99.347603	-2.0382
36.000000	99.320755	-2.5980
36.500000	99.296066	-3.1200
37.000000	99.277176	-3.6271
37.500000	99.262604	-4.1576
38.200001	99.237206	-4.9466
38.700001	99.212036	-5.4909
39.500000	99.173866	-6.2786
40.000000	99.155304	-6.7684
40.599998	99.131767	-7.3839
41.200001	99.102547	-7.9914
41.799999	99.072021	-8.5667
42.500000	99.038216	-9.2252
43.099998	99.008011	-9.7887
43.700001	98.976562	-10.3386
44.400002	98.939575	-10.9674
45.000000	98.906403	-11.4937
45.500000	98.878845	-11.9124
46.200001	98.844162	-12.4863
46.799999	98.815437	-12.9996
47.500000	98.775772	-13.6031
48.200001	98.732811	-14.1647
48.700001	98.703888	-14.5513
49.400002	98.663811	-15.1042
50.000000	98.626152	-15.5798
50.799999	98.572327	-16.1871
51.500000	98.524803	-16.6910
52.200001	98.478592	-17.1754
53.000000	98.428360	-17.7186
53.799999	98.380379	-18.2612
54.500000	98.339386	-18.7466
55.200001	98.295616	-19.2384
56.000000	98.244141	-19.7682
57.000000	98.185669	-20.4540
58.000000	98.108429	-21.1597
59.000000	98.032410	-21.6881
60.000000	97.973206	-22.2623
60.799999	97.919777	-22.7326
61.500000	97.875969	-23.1355
62.200001	97.829399	-23.5720
63.000000	97.768524	-24.0364
64.000000	97.698059	-24.5788
65.000000	97.623245	-25.1199
66.000000	97.556213	-25.6263
67.000000	97.479012	-26.1884
68.000000	97.401390	-26.5630
69.000000	97.353645	-27.0162
70.000000	97.282997	-27.6355
71.000000	97.181931	-28.1049
72.000000	97.104767	-28.3495
73.000000	97.056091	-28.8881
74.000000	96.943893	-29.4837
75.000000	96.863930	-29.6482
76.199997	96.816467	-30.3779
77.500000	96.673431	-30.9903
78.800003	96.599266	-31.2100
80.000000	96.517975	-31.6753
81.199997	96.421921	-32.0158
82.500000	96.285431	-32.4156
83.800003	96.154732	-33.2387
85.000000	95.841194	-33.1401
86.199997	95.934013	-32.3176
87.500000	95.888878	-34.0556
88.500000	95.801117	-34.3580
90.000000	95.656281	-35.0958
91.199997	95.606972	-35.2350
92.500000	95.457672	-35.4850
93.800003	95.434288	-35.6402
95.000000	95.293358	-35.9527
96.199997	95.268394	-36.1181
97.500000	95.109001	-36.8324
98.800003	94.963348	-36.7687
100.000000	94.867424	-36.8218
101.500000	94.723549	-37.2378
103.000000	94.604065	-37.1697
104.400002	94.496353	-37.7962
106.000000	94.307251	-37.7712
107.500000	94.191345	-37.8299
109.000000	94.076813	-38.0004
110.599998	93.842789	-39.2030
112.000000	93.649887	-37.8774
113.800003	93.637856	-39.0231
115.000000	93.368790	-37.2095
117.199997	92.886627	-35.4926
118.000000	93.147072	-34.7963
120.599998	91.850311	-26.1809
122.000000	92.989891	-32.0051
124.099998	93.045319	-37.0144
125.000000	92.883850	-36.9160
126.500000	92.971237	-37.1537
128.000000	92.658249	-33.5959
131.500000	92.890945	-31.8380
132.000000	92.966293	-32.1172
134.000000	92.769722	-34.6168
136.000000	92.929855	-36.3838
138.000000	92.725945	-35.5064
140.000000	92.560341	-36.1203
143.000000	92.368774	-36.3766
145.000000	92.211555	-36.7139
147.500000	92.071571	-36.2961
150.000000	91.875656	-36.3107
152.500000	91.709702	-36.3796
155.000000	91.534027	-36.2340
157.500000	91.409424	-35.8848
160.000000	91.274742	-35.3622
162.500000	91.107117	-35.1396
165.000000	90.965607	-34.9180
167.500000	90.824203	-34.5751
170.000000	90.696144	-34.2833
172.500000	90.562416	-33.9139
175.000000	90.447609	-33.4614
177.500000	90.322151	-32.8390
180.000000	90.219856	-32.3687
182.500000	90.097137	-31.9974
185.000000	89.997070	-31.3651
187.500000	89.828262	-30.8765
190.000000	89.746338	-30.4963
192.500000	89.671974	-30.0307
195.000000	89.556641	-29.6721
197.500000	89.450333	-28.4116
200.000000	89.394493	-28.1902
203.000000	89.288620	-27.4285
206.000000	89.222931	-26.6472
209.000000	89.114136	-26.0139
212.000000	89.007729	-25.2069
214.000000	88.951546	-24.8447
218.000000	88.871521	-23.7651
220.000000	88.818977	-23.2573
224.000000	88.708168	-22.6528
227.000000	88.667160	-21.9982
230.000000	88.658691	-20.8726
233.000000	88.601639	-19.9520
236.000000	88.490723	-19.3105
240.000000	88.360870	-18.3508
243.000000	88.372963	-18.0951
247.000000	88.267227	-17.0740
250.000000	88.212173	-16.6118
254.000000	88.226448	-15.2677
258.000000	88.217247	-14.3287
262.000000	88.214745	-13.9398
265.000000	88.167839	-13.0535
269.000000	88.105171	-12.1294
272.000000	88.076714	-11.6377
276.000000	88.122536	-10.6095
280.000000	88.076286	-9.3172
285.000000	88.038383	-8.5363
290.000000	88.212440	-7.4190
295.000000	88.138130	-5.8647
300.000000	88.181717	-5.4088
304.000000	88.212967	-4.8396
307.000000	88.232910	-4.6586
311.000000	88.296616	-4.2098
315.000000	88.263840	-3.4809
320.000000	88.279350	-3.3817
325.000000	88.338272	-2.9374
330.000000	88.336891	-2.1462
335.000000	88.328827	-1.3940
340.000000	88.357803	-1.0696
345.000000	88.373199	-0.3453
350.000000	88.394188	0.1551
355.000000	88.388435	0.7585
360.000000	88.432831	1.4395
365.000000	88.425835	1.6842
370.000000	88.445793	2.1886
375.000000	88.480553	2.7510
382.000000	88.481125	3.3163
387.000000	88.506668	3.8113
395.000000	88.535934	4.4776
400.000000	88.555305	4.9509
406.000000	88.594498	5.3165
412.000000	88.602264	5.8925
418.000000	88.628372	6.3070
425.000000	88.642242	6.8884
431.000000	88.686623	7.3135
437.000000	88.697845	7.7433
444.000000	88.722641	8.2006
450.000000	88.744453	8.6055
455.000000	88.751999	9.0092
462.000000	88.779831	9.1530
468.000000	88.782433	9.8411
475.000000	88.824211	10.2371
482.000000	88.838631	10.6248
487.000000	88.860794	10.9275
494.000000	88.881081	11.3189
500.000000	88.895943	11.6184
508.000000	88.914894	12.1366
515.000000	88.937019	12.4614
522.000000	88.956268	12.9223
530.000000	88.972641	13.2693
538.000000	88.984192	13.7823
545.000000	89.008392	14.1466
552.000000	89.020439	14.5416
560.000000	89.042221	14.9465
570.000000	89.066971	15.4816
580.000000	89.075890	15.9868
590.000000	89.091942	16.5446
600.000000	89.112709	16.9492
608.000000	89.127029	17.4888
615.000000	89.133644	17.8506
622.000000	89.151894	18.1684
630.000000	89.169861	18.5515
640.000000	89.178986	19.1365
650.000000	89.197647	19.6172
660.000000	89.208458	20.2154
670.000000	89.226349	20.7050
680.000000	89.240349	21.2645
690.000000	89.253929	21.7606
700.000000	89.273369	22.3068
710.000000	89.287071	22.8726
720.000000	89.301888	23.4063
730.000000	89.323463	23.9993
740.000000	89.340576	24.5712
750.000000	89.360298	25.1696
762.000000	89.381111	25.9149
775.000000	89.413849	26.6777
788.000000	89.443848	27.4861
800.000000	89.467865	28.2432
812.000000	89.500687	28.9839
825.000000	89.540474	29.8253
838.000000	89.586273	30.6891
850.000000	89.626266	31.4830
862.000000	89.680237	32.2768
875.000000	89.733017	33.2075
885.000000	89.781525	33.8663
900.000000	89.854843	34.8566
912.000000	89.920715	35.6505
925.000000	90.004723	36.5501
938.000000	90.089394	37.4054
950.000000	90.171494	38.1190
962.000000	90.259766	38.8956
975.000000	90.362068	39.6968
988.000000	90.465675	40.5009
1000.000000	90.572746	41.1659
1015.000000	90.706703	41.9884
1030.000000	90.846085	42.8240
1044.000000	90.988449	43.5084
1060.000000	91.162910	44.2502
1075.000000	91.330124	44.8092
1090.000000	91.491425	45.2429
1106.000000	91.665108	45.6739
1120.000000	91.808350	45.9834
1138.000000	91.998688	46.3333
1150.000000	92.119537	46.5015
1172.000000	92.338623	46.7310
1180.000000	92.413689	46.7895
1206.000000	92.652748	46.8643
1220.000000	92.772964	46.8931
1241.000000	92.940285	46.8485
1250.000000	93.008995	46.8176
1265.000000	93.119057	46.7576
1280.000000	93.224968	46.6877
1315.000000	93.442589	46.4860
1320.000000	93.473541	46.4604
1340.000000	93.583557	46.3442
1360.000000	93.685860	46.2432
1380.000000	93.779205	46.1834
1400.000000	93.866753	46.0871
1430.000000	93.993629	46.0186
1450.000000	94.069489	45.9974
1475.000000	94.165405	45.9999
1500.000000	94.254112	46.0404
1525.000000	94.343460	46.1087
1550.000000	94.423904	46.1824
1575.000000	94.512848	46.3068
1600.000000	94.594543	46.4649
1625.000000	94.682671	46.6225
1650.000000	94.767944	46.8085
1675.000000	94.857071	46.9926
1700.000000	94.945152	47.2010
1725.000000	95.036957	47.4362
1750.000000	95.130753	47.6502
1775.000000	95.227119	47.8698
1800.000000	95.327141	48.0845
1825.000000	95.430725	48.2990
1850.000000	95.533913	48.5193
1875.000000	95.637886	48.7107
1900.000000	95.746078	48.8990
1925.000000	95.856873	49.0946
1950.000000	95.971146	49.2537
1975.000000	96.087296	49.4121
2000.000000	96.204193	49.5458
2030.000000	96.351059	49.6922
2060.000000	96.499763	49.7860
2090.000000	96.647324	49.8808
2120.000000	96.800980	49.8808
2140.000000	96.905441	49.8891
2180.000000	97.112747	49.8457
2200.000000	97.217957	49.8015
2240.000000	97.430580	49.6277
2270.000000	97.588043	49.4276
2300.000000	97.748375	49.1961
2330.000000	97.906067	48.8911
2360.000000	98.060684	48.5343
2400.000000	98.267845	48.0096
2430.000000	98.419609	47.5206
2470.000000	98.613396	46.7823
2500.000000	98.755539	46.1878
2540.000000	98.932358	45.2954
2580.000000	99.098885	44.3284
2620.000000	99.249878	43.2493
2650.000000	99.355347	42.4130
2690.000000	99.481934	41.2504
2720.000000	99.565300	40.3043
2760.000000	99.657272	39.0553
2800.000000	99.732903	37.7539
2850.000000	99.799957	36.1184
2900.000000	99.840576	34.4927
2950.000000	99.850128	32.8873
3000.000000	99.834869	31.3488
3040.000000	99.805313	30.1715
3070.000000	99.776749	29.3205
3110.000000	99.726669	28.2482
3150.000000	99.667023	27.2345
