* Measurement data measured by REW V5.20 Beta 61
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138. Timing signal peak level -22.1 dBFS, measurement signal peak level -18.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Sep 16, 2021 10:05:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0281 ms (-9.7 mm, -0.38 in) using estimated IR delay relative to Acoustic reference on USB-C to 3.5mm Headphone Jack Adapter L with no timing offset
* Measurement: L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.179436	-115.0852
20.299999	89.277702	-115.6872
20.600000	89.366104	-116.3047
20.900000	89.444916	-116.8996
21.200001	89.518387	-117.4422
21.400000	89.567947	-117.7745
21.799999	89.672905	-118.3992
22.000000	89.729248	-118.7124
22.400000	89.847107	-119.3866
22.700001	89.934219	-119.9482
23.000000	90.014572	-120.5441
23.299999	90.086540	-121.1406
23.600000	90.152092	-121.7100
24.000000	90.235977	-122.4056
24.299999	90.301636	-122.8932
24.700001	90.395088	-123.5443
25.000000	90.466393	-124.0630
25.400000	90.555336	-124.7992
25.799999	90.630852	-125.5379
26.200001	90.694839	-126.2102
26.500000	90.741135	-126.6503
26.900000	90.808411	-127.1695
27.200001	90.865540	-127.5448
27.600000	90.947983	-128.0763
28.000000	91.029160	-128.6660
28.500000	91.117538	-129.4429
29.000000	91.191055	-130.1743
29.500000	91.260162	-130.8219
30.000000	91.333763	-131.4270
30.400000	91.395050	-131.9216
30.700001	91.439995	-132.3065
31.100000	91.495995	-132.8278
31.500000	91.547256	-133.3395
32.000000	91.607819	-133.9465
32.500000	91.669067	-134.5245
33.000000	91.732544	-135.1009
33.500000	91.796234	-135.6955
34.000000	91.856720	-136.3114
34.500000	91.910896	-136.9345
35.000000	91.957794	-137.5345
35.500000	92.001579	-138.0779
36.000000	92.050652	-138.5721
36.500000	92.108551	-139.0806
37.000000	92.166267	-139.6624
37.500000	92.210678	-140.2814
38.200001	92.255127	-141.0179
38.700001	92.297241	-141.4402
39.500000	92.385254	-142.2711
40.000000	92.420555	-142.8902
40.599998	92.438911	-143.4815
41.200001	92.476204	-143.8596
41.799999	92.545883	-144.3321
42.500000	92.608421	-145.1643
43.099998	92.620804	-145.7888
43.700001	92.637245	-146.1678
44.400002	92.692383	-146.5760
45.000000	92.747490	-147.0683
45.500000	92.785934	-147.5336
46.200001	92.827827	-148.2264
46.799999	92.845230	-148.8192
47.500000	92.853004	-149.3331
48.200001	92.889099	-149.7142
48.700001	92.931496	-150.0925
49.400002	92.973457	-150.7957
50.000000	92.986671	-151.3412
50.799999	93.011993	-151.9211
51.500000	93.042847	-152.4700
52.200001	93.063660	-153.0210
53.000000	93.086319	-153.5764
53.799999	93.108467	-154.1248
54.500000	93.122375	-154.5503
55.200001	93.143578	-154.9250
56.000000	93.174026	-155.4085
57.000000	93.198769	-156.0552
58.000000	93.218597	-156.6570
59.000000	93.237350	-157.2549
60.000000	93.256691	-157.8212
60.799999	93.277878	-158.2766
61.500000	93.297043	-158.7074
62.200001	93.311188	-159.1532
63.000000	93.320999	-159.6357
64.000000	93.331017	-160.1733
65.000000	93.345428	-160.6747
66.000000	93.358955	-161.1981
67.000000	93.367287	-161.6919
68.000000	93.380989	-162.1926
69.000000	93.385620	-162.7315
70.000000	93.388123	-163.1924
71.000000	93.399513	-163.6772
72.000000	93.402649	-164.1706
73.000000	93.410049	-164.6089
74.000000	93.418755	-165.0992
75.000000	93.415359	-165.5516
76.199997	93.420555	-166.0193
77.500000	93.423653	-166.5754
78.800003	93.426987	-167.0982
80.000000	93.420258	-167.5942
81.199997	93.422348	-168.0038
82.500000	93.422134	-168.5460
83.800003	93.419853	-169.0322
85.000000	93.407852	-169.5069
86.199997	93.402412	-169.8575
87.500000	93.403954	-170.3269
88.500000	93.402412	-170.6753
90.000000	93.393799	-171.2712
91.199997	93.375526	-171.6501
92.500000	93.369278	-172.0246
93.800003	93.365669	-172.4438
95.000000	93.354279	-172.8452
96.199997	93.342728	-173.1898
97.500000	93.329185	-173.5956
98.800003	93.314308	-173.9401
100.000000	93.301453	-174.3157
101.500000	93.284058	-174.6650
103.000000	93.275436	-175.1567
104.400002	93.256203	-175.5054
106.000000	93.237442	-175.9265
107.500000	93.220947	-176.3022
109.000000	93.187729	-176.6457
110.599998	93.175163	-177.0239
112.000000	93.145210	-177.3999
113.800003	93.123505	-177.8405
115.000000	93.112587	-178.1135
117.199997	93.082626	-178.6258
118.000000	93.070038	-178.7125
120.599998	93.032570	-179.3503
122.000000	93.006065	-179.4853
124.099998	92.964844	179.9762
125.000000	92.956673	179.8078
126.500000	92.939590	179.3718
128.000000	92.893509	178.9806
131.500000	92.841362	178.6711
132.000000	92.834183	178.6172
134.000000	92.796440	178.2110
136.000000	92.760345	177.8897
138.000000	92.722412	177.5753
140.000000	92.679504	177.2486
143.000000	92.610336	176.8392
145.000000	92.549965	176.3430
147.500000	92.495529	176.1447
150.000000	92.428146	175.9191
152.500000	92.339172	175.9543
155.000000	92.261368	175.8624
157.500000	92.220634	175.8990
160.000000	92.184616	176.0612
162.500000	92.173538	176.1234
165.000000	92.169968	176.1138
167.500000	92.181488	175.9774
170.000000	92.192680	175.8484
172.500000	92.194405	175.5668
175.000000	92.193001	175.2545
177.500000	92.177681	174.8330
180.000000	92.170868	174.5227
182.500000	92.126976	174.2535
185.000000	92.087875	173.9847
187.500000	92.040459	173.6771
190.000000	92.002007	173.4550
192.500000	91.950745	173.2087
195.000000	91.912628	173.0565
197.500000	91.875687	172.8801
200.000000	91.827820	172.6823
203.000000	91.778793	172.5573
206.000000	91.735947	172.4423
209.000000	91.701797	172.2856
212.000000	91.648682	172.1423
214.000000	91.616280	171.9774
218.000000	91.556274	171.7460
220.000000	91.525391	171.7028
224.000000	91.462418	171.4674
227.000000	91.413193	171.3512
230.000000	91.365120	171.2535
233.000000	91.308388	171.1731
236.000000	91.255920	171.0337
240.000000	91.191032	170.9316
243.000000	91.146484	170.8353
247.000000	91.083206	170.7863
250.000000	91.030281	170.7221
254.000000	90.954285	170.6696
258.000000	90.890869	170.6505
262.000000	90.813148	170.6366
265.000000	90.746552	170.6697
269.000000	90.680191	170.7686
272.000000	90.624016	170.9171
276.000000	90.538605	171.1528
280.000000	90.492836	171.4921
285.000000	90.474609	171.9189
290.000000	90.479118	172.0222
295.000000	90.450989	171.8979
300.000000	90.415695	171.5730
304.000000	90.362129	171.6982
307.000000	90.322647	171.6546
311.000000	90.277740	171.6542
315.000000	90.222122	171.6657
320.000000	90.156403	171.7146
325.000000	90.088959	171.8226
330.000000	90.031357	171.9057
335.000000	89.965874	172.0657
340.000000	89.910606	172.1707
345.000000	89.845879	172.2856
350.000000	89.790771	172.4456
355.000000	89.736389	172.6209
360.000000	89.686737	172.8328
365.000000	89.622009	172.9803
370.000000	89.568008	173.1236
375.000000	89.515991	173.3548
382.000000	89.442253	173.6467
387.000000	89.395538	173.8497
395.000000	89.314690	174.1859
400.000000	89.263260	174.4281
406.000000	89.210510	174.7133
412.000000	89.148163	174.9867
418.000000	89.094986	175.2946
425.000000	89.036377	175.6545
431.000000	88.982391	175.9709
437.000000	88.935402	176.2500
444.000000	88.881996	176.6436
450.000000	88.824768	176.9901
455.000000	88.789841	177.2512
462.000000	88.737495	177.6577
468.000000	88.692955	177.9722
475.000000	88.642517	178.4236
482.000000	88.591713	178.8374
487.000000	88.560432	179.1213
494.000000	88.512398	179.5831
500.000000	88.474564	179.9317
508.000000	88.425545	-179.5784
515.000000	88.382072	-179.1253
522.000000	88.337715	-178.6535
530.000000	88.294624	-178.1452
538.000000	88.253868	-177.5981
545.000000	88.211220	-177.1433
552.000000	88.182457	-176.6420
560.000000	88.137665	-176.0914
570.000000	88.092514	-175.4446
580.000000	88.049622	-174.7100
590.000000	88.008965	-174.0003
600.000000	87.968155	-173.2864
608.000000	87.946442	-172.6928
615.000000	87.923447	-172.1857
622.000000	87.903137	-171.6515
630.000000	87.876633	-171.0684
640.000000	87.852623	-170.3348
650.000000	87.832191	-169.5131
660.000000	87.809479	-168.9427
670.000000	87.790688	-167.9874
680.000000	87.778412	-167.2337
690.000000	87.764587	-166.4305
700.000000	87.755692	-165.6534
710.000000	87.754608	-164.8586
720.000000	87.758614	-164.0598
730.000000	87.756088	-163.2320
740.000000	87.757980	-162.4372
750.000000	87.764786	-161.6297
762.000000	87.776604	-160.6422
775.000000	87.803619	-159.6425
788.000000	87.825363	-158.5544
800.000000	87.853882	-157.6171
812.000000	87.883858	-156.6371
825.000000	87.919640	-155.6201
838.000000	87.951134	-154.5415
850.000000	87.979111	-153.4203
862.000000	88.043167	-152.1960
875.000000	88.147591	-151.1241
885.000000	88.222816	-150.3728
900.000000	88.324669	-149.4013
912.000000	88.414452	-148.3987
925.000000	88.515465	-147.4715
938.000000	88.621559	-146.5203
950.000000	88.731316	-145.6666
962.000000	88.856171	-144.8619
975.000000	88.986160	-144.0284
988.000000	89.138840	-143.2362
1000.000000	89.283508	-142.5642
1015.000000	89.479591	-141.7694
1030.000000	89.698715	-141.1868
1044.000000	89.928276	-140.7758
1060.000000	90.214394	-140.6340
1075.000000	90.526093	-140.9450
1090.000000	90.864204	-142.2151
1106.000000	91.172714	-145.5490
1120.000000	91.025696	-150.9699
1138.000000	89.502853	-153.4008
1150.000000	88.830994	-147.6250
1172.000000	89.126122	-139.2381
1180.000000	89.346680	-137.6979
1206.000000	89.962097	-135.0959
1220.000000	90.230225	-134.3686
1241.000000	90.570366	-133.6691
1250.000000	90.702560	-133.4683
1265.000000	90.900940	-133.2221
1280.000000	91.082985	-132.9795
1315.000000	91.468597	-132.6123
1320.000000	91.522011	-132.5471
1340.000000	91.713776	-132.4096
1360.000000	91.894745	-132.2868
1380.000000	92.066566	-132.1028
1400.000000	92.238724	-132.0574
1430.000000	92.480415	-131.8789
1450.000000	92.639252	-131.7810
1475.000000	92.828110	-131.6512
1500.000000	93.026489	-131.4916
1525.000000	93.203300	-131.4253
1550.000000	93.392296	-131.3413
1575.000000	93.578979	-131.2391
1600.000000	93.765106	-131.1518
1625.000000	93.958679	-131.1164
1650.000000	94.149216	-131.0943
1675.000000	94.343727	-131.1071
1700.000000	94.539452	-131.1354
1725.000000	94.738983	-131.1992
1750.000000	94.938225	-131.3262
1775.000000	95.141388	-131.4765
1800.000000	95.347183	-131.6889
1825.000000	95.549866	-131.9296
1850.000000	95.755089	-132.2708
1875.000000	95.962990	-132.6459
1900.000000	96.168686	-133.1082
1925.000000	96.375755	-133.6197
1950.000000	96.577484	-134.1928
1975.000000	96.780693	-134.8617
2000.000000	96.977829	-135.5912
2030.000000	97.210297	-136.5590
2060.000000	97.433929	-137.6556
2090.000000	97.647873	-138.8447
2120.000000	97.847946	-140.1233
2140.000000	97.974144	-141.0377
2180.000000	98.206230	-142.9908
2200.000000	98.310913	-144.0136
2240.000000	98.490341	-146.1687
2270.000000	98.603668	-147.8600
2300.000000	98.693268	-149.5565
2330.000000	98.759369	-151.2857
2360.000000	98.803879	-152.9951
2400.000000	98.827026	-155.2317
2430.000000	98.824112	-156.8871
2470.000000	98.787270	-158.9731
2500.000000	98.738548	-160.4454
2540.000000	98.656807	-162.2967
2580.000000	98.549210	-163.9471
2620.000000	98.423340	-165.4673
2650.000000	98.323639	-166.4782
2690.000000	98.180878	-167.6696
2720.000000	98.071335	-168.4711
2760.000000	97.923004	-169.3724
2800.000000	97.776978	-170.1143
2850.000000	97.598961	-170.8696
2900.000000	97.425888	-171.4435
2950.000000	97.269882	-171.8174
3000.000000	97.125763	-172.0636
3040.000000	97.019615	-172.1764
3070.000000	96.950676	-172.2148
3110.000000	96.866730	-172.1935
3150.000000	96.792877	-172.1469
3200.000000	96.719193	-172.0242
3250.000000	96.660912	-171.8594
3300.000000	96.620361	-171.7034
3350.000000	96.603386	-171.4328
3400.000000	96.603104	-171.2549
3450.000000	96.617546	-171.0759
3500.000000	96.645912	-170.9257
3550.000000	96.700134	-170.8028
3600.000000	96.760429	-170.7230
3650.000000	96.845833	-170.7441
3700.000000	96.946426	-170.7848
3750.000000	97.062073	-170.8966
3820.000000	97.264488	-171.3205
3870.000000	97.431854	-171.8452
3950.000000	97.720375	-173.1470
4000.000000	97.905174	-174.2883
4060.000000	98.119568	-175.9881
4120.000000	98.319382	-178.1088
4180.000000	98.489685	179.4109
4250.000000	98.634796	175.9996
4310.000000	98.693626	172.7110
4370.000000	98.680084	169.1804
4440.000000	98.555420	164.9427
4500.000000	98.358376	161.3254
4550.000000	98.129089	158.3829
4620.000000	97.725136	154.4994
4680.000000	97.308609	151.5448
4750.000000	96.749039	148.5795
4820.000000	96.131485	146.2706
4870.000000	95.694824	145.0611
4940.000000	95.105751	143.5882
5000.000000	94.565155	142.5667
5080.000000	93.827927	141.8310
5150.000000	93.200035	141.7372
5220.000000	92.599640	142.0640
5300.000000	91.951157	142.7649
5380.000000	91.340050	143.7727
5450.000000	90.835922	144.9372
5520.000000	90.364433	146.2065
5600.000000	89.867043	148.0219
5700.000000	89.299355	150.3954
5800.000000	88.783409	153.0696
5900.000000	88.324196	155.9077
6000.000000	87.934929	158.6956
6080.000000	87.627090	161.2314
6150.000000	87.394196	163.3914
6220.000000	87.197350	165.7672
6300.000000	87.000336	168.3558
6400.000000	86.814377	171.8984
6500.000000	86.705727	175.6655
6600.000000	86.671127	179.3103
6700.000000	86.750748	-177.2358
6800.000000	86.882164	-173.7072
6900.000000	87.137550	-170.4187
7000.000000	87.468811	-167.4594
7100.000000	87.913147	-164.7975
7200.000000	88.439117	-162.6131
7300.000000	89.111908	-161.0113
7400.000000	89.889473	-160.2606
7500.000000	90.778244	-160.5459
7620.000000	92.052063	-163.1068
7750.000000	93.521561	-169.8361
7880.000000	94.735497	177.6565
8000.000000	95.025352	161.8000
8120.000000	94.222069	146.3495
8250.000000	92.584869	134.3823
8380.000000	90.774704	127.5434
8500.000000	89.189552	124.3310
8620.000000	87.760773	123.0127
8750.000000	86.388023	122.9591
8850.000000	85.474190	123.3527
9000.000000	84.133614	124.9591
9120.000000	83.193542	126.5977
9250.000000	82.280457	128.7622
9380.000000	81.400703	131.4472
9500.000000	80.708664	133.9859
9620.000000	80.080406	136.8324
9750.000000	79.461670	139.9684
9880.000000	78.921227	143.3679
10000.000000	78.488655	146.4709
10150.000000	78.071884	150.5056
10300.000000	77.676567	154.6701
10440.000000	77.404930	158.5498
10600.000000	77.198456	162.7189
10750.000000	77.074348	166.5175
10900.000000	77.033852	170.3964
11060.000000	77.092056	174.4531
11200.000000	77.237366	178.0398
11380.000000	77.450066	-178.3003
11500.000000	77.696762	-175.6374
11720.000000	78.228378	-171.3066
11800.000000	78.519653	-169.9709
12060.000000	79.602600	-165.0923
12200.000000	80.308380	-163.3977
12410.000000	81.710068	-161.5809
12500.000000	82.464432	-161.1311
12650.000000	83.903305	-161.2024
12800.000000	85.722473	-163.0547
13150.000000	91.662613	173.5999
13200.000000	92.545868	165.5242
13400.000000	93.286690	121.2438
13600.000000	90.002838	91.6443
13800.000000	86.938477	79.6415
14000.000000	84.727737	73.8370
14300.000000	82.607559	68.9348
14500.000000	81.812805	66.3525
14750.000000	81.449432	62.0674
15000.000000	81.645409	56.0450
15250.000000	82.449348	46.9973
15500.000000	83.775177	33.5007
15750.000000	85.358589	11.8904
16000.000000	86.278030	-20.6569
16250.000000	85.150002	-56.5356
16500.000000	82.709679	-84.3389
16750.000000	80.397202	-104.3207
17000.000000	78.629974	-121.1489
17250.000000	77.326744	-137.0697
17500.000000	76.619118	-154.0276
17750.000000	76.422256	-173.7752
18000.000000	76.668304	161.3663
18250.000000	77.179039	124.9609
18500.000000	76.116508	72.6143
18750.000000	71.582802	21.9451
19000.000000	65.675301	-18.4590
19250.000000	58.949993	-50.9792
19500.000000	50.415016	-94.4867
19750.000000	32.268749	-107.8474
