* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 16, 2022 5:14:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCA Lyra Y2
* Measurement: KZ EDX Ultra Jul 16
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.343	21.3064
20.299999	105.341	20.6556
20.600000	105.335	20.0136
20.900000	105.324	19.3812
21.200001	105.311	18.7605
21.400000	105.302	18.3549
21.799999	105.288	17.5644
22.000000	105.283	17.1795
22.400000	105.275	16.4288
22.700001	105.272	15.8795
23.000000	105.269	15.3392
23.299999	105.268	14.8063
23.600000	105.266	14.2799
24.000000	105.265	13.5881
24.299999	105.262	13.0768
24.700001	105.256	12.4058
25.000000	105.249	11.9109
25.400000	105.238	11.2626
25.799999	105.225	10.6276
26.200001	105.213	10.0062
26.500000	105.202	9.5493
26.900000	105.186	8.9527
27.200001	105.172	8.5155
27.600000	105.151	7.9471
28.000000	105.129	7.3958
28.500000	105.104	6.7280
29.000000	105.082	6.0770
29.500000	105.062	5.4359
30.000000	105.042	4.8016
30.400000	105.026	4.3002
30.700001	105.014	3.9288
31.100000	104.999	3.4410
31.500000	104.983	2.9620
32.000000	104.961	2.3749
32.500000	104.936	1.7982
33.000000	104.909	1.2289
33.500000	104.885	0.6662
34.000000	104.861	0.1119
34.500000	104.839	-0.4307
35.000000	104.819	-0.9601
35.500000	104.801	-1.4785
36.000000	104.786	-1.9888
36.500000	104.771	-2.4902
37.000000	104.753	-2.9785
37.500000	104.731	-3.4501
38.200001	104.692	-4.0852
38.700001	104.658	-4.5275
39.500000	104.598	-5.2203
40.000000	104.561	-5.6415
40.599998	104.521	-6.1334
41.200001	104.485	-6.6150
41.799999	104.453	-7.0905
42.500000	104.417	-7.6381
43.099998	104.388	-8.0984
43.700001	104.358	-8.5469
44.400002	104.321	-9.0535
45.000000	104.286	-9.4749
45.500000	104.256	-9.8195
46.200001	104.213	-10.2958
46.799999	104.174	-10.7006
47.500000	104.125	-11.1676
48.200001	104.069	-11.6242
48.700001	104.027	-11.9412
49.400002	103.967	-12.3682
50.000000	103.918	-12.7151
50.799999	103.859	-13.1445
51.500000	103.812	-13.4828
52.200001	103.767	-13.7780
53.000000	103.719	-14.0627
53.799999	103.679	-14.3224
54.500000	103.652	-14.5668
55.200001	103.629	-14.8490
56.000000	103.600	-15.2172
57.000000	103.551	-15.7000
58.000000	103.492	-16.1445
59.000000	103.430	-16.5479
60.000000	103.372	-16.9243
60.799999	103.328	-17.2004
61.500000	103.294	-17.4286
62.200001	103.265	-17.6548
63.000000	103.239	-17.9197
64.000000	103.210	-18.2682
65.000000	103.181	-18.6383
66.000000	103.149	-19.0354
67.000000	103.115	-19.4701
68.000000	103.073	-19.9276
69.000000	103.024	-20.3729
70.000000	102.971	-20.7947
71.000000	102.917	-21.2087
72.000000	102.865	-21.6254
73.000000	102.814	-22.0284
74.000000	102.766	-22.3988
75.000000	102.722	-22.7371
76.199997	102.667	-23.1147
77.500000	102.604	-23.5020
78.800003	102.539	-23.8683
80.000000	102.479	-24.2119
81.199997	102.417	-24.5808
82.500000	102.348	-24.9996
83.800003	102.277	-25.4187
85.000000	102.208	-25.7854
86.199997	102.138	-26.1180
87.500000	102.059	-26.4385
88.500000	101.997	-26.6575
90.000000	101.905	-26.9412
91.199997	101.837	-27.1386
92.500000	101.771	-27.3372
93.800003	101.711	-27.5365
95.000000	101.659	-27.7310
96.199997	101.606	-27.9358
97.500000	101.543	-28.1654
98.800003	101.475	-28.3896
100.000000	101.408	-28.5818
