* Measurement data measured by REW V5.20.5
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 24, 2022 5:57:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	112.563	-131.7369
20.299999	112.608	-132.6530
20.600000	112.650	-133.5276
20.900000	112.692	-134.3617
21.200001	112.735	-135.1626
21.400000	112.765	-135.6854
21.799999	112.824	-136.7211
22.000000	112.854	-137.2427
22.400000	112.910	-138.3058
22.700001	112.944	-139.1177
23.000000	112.970	-139.9260
23.299999	112.986	-140.7049
23.600000	112.996	-141.4324
24.000000	113.003	-142.3039
24.299999	113.012	-142.8943
24.700001	113.033	-143.6445
25.000000	113.056	-144.2228
25.400000	113.089	-145.0538
25.799999	113.118	-145.9503
26.200001	113.139	-146.8684
26.500000	113.151	-147.5461
26.900000	113.168	-148.4323
27.200001	113.184	-149.1027
27.600000	113.205	-150.0312
28.000000	113.220	-150.9915
28.500000	113.220	-152.1298
29.000000	113.217	-153.0526
29.500000	113.240	-153.7719
30.000000	113.302	-154.5020
30.400000	113.361	-155.2229
30.700001	113.397	-155.8390
31.100000	113.422	-156.6588
31.500000	113.426	-157.3536
32.000000	113.424	-157.9555
32.500000	113.440	-158.3617
33.000000	113.468	-158.7394
33.500000	113.492	-159.0902
34.000000	113.516	-159.3028
34.500000	113.570	-159.4257
35.000000	113.664	-159.7463
35.500000	113.754	-160.5520
36.000000	113.778	-161.7726
36.500000	113.704	-162.9921
37.000000	113.564	-163.7653
37.500000	113.427	-164.0031
38.200001	113.336	-164.0101
38.700001	113.336	-164.2561
39.500000	113.349	-165.2786
40.000000	113.340	-166.1047
40.599998	113.327	-167.1350
41.200001	113.321	-168.2138
41.799999	113.320	-169.3270
42.500000	113.327	-170.5406
43.099998	113.356	-171.4231
43.700001	113.426	-172.1706
44.400002	113.583	-173.0108
45.000000	113.782	-174.0313
45.500000	113.950	-175.3931
46.200001	114.060	-178.0487
46.799999	113.952	179.7679
47.500000	113.638	178.7141
48.200001	113.347	179.5132
48.700001	113.255	-179.4387
49.400002	113.264	-178.3288
50.000000	113.305	-177.9514
50.799999	113.329	-177.9432
51.500000	113.323	-178.1662
52.200001	113.298	-178.5614
53.000000	113.250	-179.1577
53.799999	113.194	-179.8220
54.500000	113.150	179.5812
55.200001	113.117	178.9928
56.000000	113.096	178.3357
57.000000	113.089	177.5254
58.000000	113.084	176.7586
59.000000	113.068	176.0922
60.000000	113.037	175.5348
60.799999	113.001	175.1420
61.500000	112.962	174.8092
62.200001	112.918	174.4735
63.000000	112.864	174.0910
64.000000	112.804	173.6030
65.000000	112.764	173.0472
66.000000	112.745	172.3575
67.000000	112.724	171.5472
68.000000	112.689	170.8236
69.000000	112.662	170.3245
70.000000	112.658	169.9162
71.000000	112.661	169.4370
72.000000	112.641	168.8937
73.000000	112.593	168.4049
74.000000	112.531	168.0245
75.000000	112.469	167.6893
76.199997	112.398	167.2794
77.500000	112.327	166.8170
78.800003	112.252	166.3101
80.000000	112.167	165.8930
81.199997	112.077	165.6058
82.500000	112.000	165.2781
83.800003	111.941	164.7038
85.000000	111.887	163.9564
86.199997	111.837	163.1689
87.500000	111.804	162.4005
88.500000	111.794	161.8842
90.000000	111.777	161.2226
91.199997	111.740	160.8108
92.500000	111.676	160.4605
93.800003	111.604	160.0779
95.000000	111.541	159.5651
96.199997	111.486	158.9066
97.500000	111.440	158.1309
98.800003	111.396	157.3889
100.000000	111.330	156.9200
101.500000	111.223	156.9131
103.000000	111.138	157.2882
104.400002	111.080	157.5353
106.000000	111.017	157.5099
107.500000	110.960	157.2692
109.000000	110.912	156.9622
110.599998	110.873	156.6570
112.000000	110.842	156.4191
113.800003	110.786	156.0867
115.000000	110.730	155.8475
117.199997	110.606	155.4495
118.000000	110.562	155.3120
120.599998	110.436	154.8248
122.000000	110.374	154.5450
124.099998	110.279	154.1500
125.000000	110.237	153.9949
126.500000	110.163	153.7529
128.000000	110.088	153.5264
131.500000	109.927	153.0333
132.000000	109.907	152.9655
134.000000	109.829	152.6986
136.000000	109.751	152.4559
138.000000	109.669	152.2626
140.000000	109.587	152.1159
143.000000	109.462	151.9537
145.000000	109.382	151.8474
147.500000	109.289	151.6353
150.000000	109.202	151.3638
152.500000	109.116	151.1364
155.000000	109.018	150.9661
157.500000	108.910	150.8063
160.000000	108.806	150.6567
162.500000	108.717	150.5636
165.000000	108.636	150.5315
167.500000	108.552	150.4998
170.000000	108.462	150.4445
172.500000	108.370	150.3666
175.000000	108.279	150.2650
177.500000	108.186	150.1649
180.000000	108.091	150.0874
182.500000	107.993	150.0591
185.000000	107.890	150.1201
187.500000	107.787	150.2549
190.000000	107.698	150.3738
192.500000	107.630	150.3874
195.000000	107.573	150.3193
197.500000	107.513	150.2605
200.000000	107.440	150.2736
203.000000	107.342	150.3907
206.000000	107.253	150.5491
209.000000	107.174	150.6996
212.000000	107.099	150.8466
214.000000	107.051	150.9377
218.000000	106.959	151.1061
220.000000	106.911	151.2003
224.000000	106.805	151.4136
227.000000	106.721	151.5897
230.000000	106.636	151.7896
233.000000	106.556	152.0113
236.000000	106.484	152.2310
240.000000	106.404	152.4978
243.000000	106.350	152.7200
247.000000	106.271	153.0431
250.000000	106.204	153.2219
254.000000	106.111	153.3522
258.000000	106.025	153.4861
262.000000	105.945	153.6899
265.000000	105.888	153.8731
269.000000	105.813	154.1370
272.000000	105.757	154.3399
276.000000	105.685	154.6049
280.000000	105.618	154.8624
285.000000	105.537	155.2242
290.000000	105.455	155.6675
295.000000	105.378	156.1326
300.000000	105.305	156.5686
304.000000	105.249	156.8894
307.000000	105.210	157.1177
311.000000	105.161	157.4158
315.000000	105.115	157.7174
320.000000	105.058	158.1125
325.000000	105.000	158.5312
330.000000	104.945	158.9576
335.000000	104.891	159.3634
340.000000	104.839	159.7382
345.000000	104.789	160.1006
350.000000	104.744	160.4810
355.000000	104.701	160.8980
360.000000	104.660	161.3385
365.000000	104.619	161.7712
370.000000	104.582	162.1746
375.000000	104.549	162.5475
382.000000	104.510	163.0457
387.000000	104.483	163.4025
395.000000	104.438	163.9889
400.000000	104.408	164.3625
406.000000	104.375	164.8077
412.000000	104.348	165.2578
418.000000	104.327	165.7250
425.000000	104.308	166.2755
431.000000	104.292	166.7173
437.000000	104.272	167.1242
444.000000	104.247	167.5783
450.000000	104.225	167.9579
455.000000	104.209	168.2658
462.000000	104.192	168.6923
468.000000	104.185	169.0665
475.000000	104.181	169.5153
482.000000	104.175	169.9634
487.000000	104.169	170.2745
494.000000	104.157	170.6969
500.000000	104.147	171.0526
508.000000	104.138	171.5185
515.000000	104.135	171.9170
522.000000	104.135	172.3091
530.000000	104.135	172.7509
538.000000	104.136	173.1852
545.000000	104.135	173.5563
552.000000	104.133	173.9184
560.000000	104.132	174.3286
570.000000	104.135	174.8494
580.000000	104.145	175.3733
590.000000	104.156	175.8794
600.000000	104.165	176.3494
608.000000	104.171	176.6984
615.000000	104.177	176.9996
622.000000	104.184	177.3132
630.000000	104.193	177.6938
640.000000	104.208	178.1951
650.000000	104.225	178.7062
660.000000	104.244	179.2002
670.000000	104.262	179.6640
680.000000	104.281	-179.8990
690.000000	104.303	-179.4822
700.000000	104.327	-179.0672
710.000000	104.355	-178.6307
720.000000	104.386	-178.1660
730.000000	104.418	-177.6887
740.000000	104.452	-177.2267
750.000000	104.489	-176.8099
762.000000	104.531	-176.3807
775.000000	104.571	-175.9487
788.000000	104.609	-175.4763
800.000000	104.649	-174.9937
812.000000	104.695	-174.4870
825.000000	104.751	-173.9207
838.000000	104.816	-173.3481
850.000000	104.885	-172.8457
862.000000	104.962	-172.4047
875.000000	105.048	-172.0149
885.000000	105.110	-171.7632
900.000000	105.196	-171.4133
912.000000	105.262	-171.1326
925.000000	105.337	-170.8247
938.000000	105.417	-170.5123
950.000000	105.495	-170.2164
962.000000	105.575	-169.9191
975.000000	105.663	-169.6100
988.000000	105.755	-169.3306
1000.000000	105.843	-169.1110
1015.000000	105.956	-168.9015
1030.000000	106.074	-168.7655
1044.000000	106.186	-168.6934
1060.000000	106.313	-168.6607
1075.000000	106.432	-168.6709
1090.000000	106.548	-168.7237
1106.000000	106.668	-168.8377
1120.000000	106.767	-168.9934
1138.000000	106.891	-169.2754
1150.000000	106.971	-169.5139
1172.000000	107.115	-170.0306
1180.000000	107.167	-170.2339
1206.000000	107.326	-170.9295
1220.000000	107.407	-171.3338
1241.000000	107.521	-171.9827
1250.000000	107.568	-172.2721
1265.000000	107.642	-172.7644
1280.000000	107.712	-173.2659
1315.000000	107.855	-174.4376
1320.000000	107.873	-174.6021
1340.000000	107.942	-175.2561
1360.000000	108.005	-175.9143
1380.000000	108.064	-176.5843
1400.000000	108.120	-177.2695
1430.000000	108.194	-178.3157
1450.000000	108.238	-178.9999
1475.000000	108.286	-179.8180
1500.000000	108.328	179.3973
1525.000000	108.366	178.6193
1550.000000	108.402	177.8232
1575.000000	108.435	177.0084
1600.000000	108.465	176.1954
1625.000000	108.489	175.4013
1650.000000	108.506	174.6260
1675.000000	108.518	173.8648
1700.000000	108.527	173.1161
1725.000000	108.534	172.3753
1750.000000	108.538	171.6376
1775.000000	108.539	170.9070
1800.000000	108.537	170.1886
1825.000000	108.531	169.4836
1850.000000	108.523	168.7882
1875.000000	108.512	168.0947
1900.000000	108.499	167.3953
1925.000000	108.484	166.6905
1950.000000	108.466	165.9894
1975.000000	108.444	165.3040
2000.000000	108.418	164.6428
2030.000000	108.382	163.8833
2060.000000	108.341	163.1495
2090.000000	108.300	162.4272
2120.000000	108.260	161.7117
2140.000000	108.233	161.2395
2180.000000	108.174	160.3178
2200.000000	108.140	159.8769
2240.000000	108.062	159.0505
2270.000000	107.994	158.4757
2300.000000	107.919	157.9289
2330.000000	107.840	157.4046
2360.000000	107.760	156.9014
2400.000000	107.647	156.2703
2430.000000	107.555	155.8440
2470.000000	107.417	155.3863
2500.000000	107.299	155.1673
2540.000000	107.119	155.1031
2580.000000	106.921	155.3732
2620.000000	106.718	156.0684
2650.000000	106.577	156.9216
2690.000000	106.425	158.5365
2720.000000	106.358	160.0786
2760.000000	106.354	162.4496
2800.000000	106.465	164.9664
2850.000000	106.765	167.9526
2900.000000	107.216	170.4062
2950.000000	107.766	172.0905
3000.000000	108.364	172.9598
3040.000000	108.855	173.1221
3070.000000	109.220	172.9657
3110.000000	109.700	172.4187
3150.000000	110.165	171.5156
3200.000000	110.721	169.9256
3250.000000	111.244	167.8629
3300.000000	111.728	165.3778
3350.000000	112.163	162.5335
3400.000000	112.541	159.4027
3450.000000	112.854	156.0682
3500.000000	113.105	152.6165
3550.000000	113.297	149.1262
3600.000000	113.440	145.6650
3650.000000	113.539	142.2889
3700.000000	113.602	139.0305
3750.000000	113.632	135.8994
3820.000000	113.628	131.7474
3870.000000	113.599	128.9625
3950.000000	113.526	124.7888
4000.000000	113.475	122.3227
4060.000000	113.414	119.4789
4120.000000	113.354	116.7178
4180.000000	113.288	113.9855
4250.000000	113.196	110.7957
4310.000000	113.095	108.0524
4370.000000	112.964	105.3192
4440.000000	112.767	102.2336
4500.000000	112.558	99.7995
4550.000000	112.359	97.9990
4620.000000	112.055	95.9065
4680.000000	111.784	94.5390
4750.000000	111.477	93.4082
4820.000000	111.199	92.6631
4870.000000	111.024	92.2778
4940.000000	110.802	91.8549
5000.000000	110.615	91.6358
5080.000000	110.359	91.8428
5150.000000	110.166	92.7374
5220.000000	110.062	94.2669
5300.000000	110.110	96.4800
5380.000000	110.367	98.7599
5450.000000	110.762	100.4824
5520.000000	111.298	101.6941
5600.000000	112.040	102.1839
5700.000000	113.071	101.1197
5800.000000	114.095	98.0107
5900.000000	115.008	92.9709
6000.000000	115.745	86.4130
6080.000000	116.186	80.4504
6150.000000	116.462	74.9535
6220.000000	116.639	69.3696
6300.000000	116.731	63.0591
6400.000000	116.704	55.5179
6500.000000	116.555	48.5716
6600.000000	116.330	42.3268
6700.000000	116.072	36.7641
6800.000000	115.826	31.7578
6900.000000	115.623	27.1095
7000.000000	115.478	22.5719
7100.000000	115.393	17.8590
7200.000000	115.349	12.6697
7300.000000	115.307	6.7542
7400.000000	115.212	0.0073
7500.000000	115.001	-7.4488
7620.000000	114.531	-16.8033
7750.000000	113.724	-26.4447
7880.000000	112.643	-34.5952
8000.000000	111.479	-40.3599
8120.000000	110.237	-44.4352
8250.000000	108.891	-47.2175
8380.000000	107.618	-48.6760
8500.000000	106.545	-49.1445
8620.000000	105.587	-48.9969
8750.000000	104.679	-48.3396
8850.000000	104.068	-47.5759
9000.000000	103.285	-46.1399
9120.000000	102.771	-44.8460
9250.000000	102.326	-43.4028
9380.000000	101.995	-42.0012
9500.000000	101.786	-40.8070
9620.000000	101.667	-39.7550
9750.000000	101.636	-38.8167
9880.000000	101.705	-38.1328
10000.000000	101.854	-37.7773
10150.000000	102.157	-37.7897
10300.000000	102.587	-38.4262
10440.000000	103.097	-39.7224
10600.000000	103.784	-42.2474
10750.000000	104.492	-45.8682
10900.000000	105.207	-50.9429
11060.000000	105.900	-58.1442
11200.000000	106.378	-65.9507
11380.000000	106.729	-77.6229
11500.000000	106.769	-85.9427
11720.000000	106.440	-100.8484
11800.000000	106.210	-105.8248
12060.000000	105.208	-119.4716
12200.000000	104.605	-125.1792
12410.000000	103.769	-131.9875
12500.000000	103.469	-134.4138
12650.000000	103.084	-138.0079
12800.000000	102.871	-141.2604
13150.000000	103.155	-149.1315
13200.000000	103.286	-150.4723
13400.000000	103.996	-156.9938
13600.000000	104.873	-166.2427
13800.000000	105.673	-179.2161
14000.000000	106.125	164.0681
14300.000000	105.755	136.0034
14500.000000	104.789	119.3702
14750.000000	103.026	104.0002
15000.000000	101.054	94.4595
15250.000000	99.275	88.8381
15500.000000	97.928	85.2657
15750.000000	97.080	82.5077
16000.000000	96.714	79.7709
16250.000000	96.794	76.2545
16500.000000	97.219	70.9039
16750.000000	97.787	62.7259
17000.000000	98.272	51.2980
17250.000000	98.496	36.9224
17500.000000	98.338	20.5031
17750.000000	97.727	3.4250
18000.000000	96.627	-12.6002
18250.000000	95.060	-25.9633
18500.000000	93.110	-35.8402
18750.000000	90.917	-42.4659
19000.000000	88.610	-46.5115
19250.000000	86.259	-48.3162
19500.000000	83.889	-47.8414
19750.000000	81.533	-45.0877
20000.000000	79.271	-40.4495
