* Measurement data measured by REW V5.20.5
* Source: ASIO MOTU UltraLite-mk5, Mic/Line/Inst In 1. Timing signal peak level -37.5 dBFS, measurement signal peak level -28.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -0.5 dBFS using an acoustic timing reference
* Dated: Apr 10, 2022 2:53:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0194 ms (-6.7 mm, -0.26 in) using estimated IR delay relative to Acoustic reference on 12: Phones Out 2 with no timing offset
* Measurement: Tanjim Tanya mod Apr 10
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.003	-146.2475
20.299999	83.050	-146.7687
20.600000	83.092	-147.2801
20.900000	83.132	-147.7831
21.200001	83.168	-148.2791
21.400000	83.191	-148.6063
21.799999	83.232	-149.2515
22.000000	83.251	-149.5692
22.400000	83.286	-150.1931
22.700001	83.312	-150.6507
23.000000	83.340	-151.1000
23.299999	83.373	-151.5428
23.600000	83.409	-151.9809
24.000000	83.463	-152.5606
24.299999	83.506	-152.9935
24.700001	83.562	-153.5679
25.000000	83.601	-153.9953
25.400000	83.650	-154.5585
25.799999	83.695	-155.1122
26.200001	83.737	-155.6574
26.500000	83.768	-156.0624
26.900000	83.806	-156.5988
27.200001	83.832	-156.9979
27.600000	83.861	-157.5232
28.000000	83.884	-158.0356
28.500000	83.905	-158.6530
29.000000	83.922	-159.2471
29.500000	83.939	-159.8268
30.000000	83.956	-160.4015
30.400000	83.969	-160.8616
30.700001	83.979	-161.2076
31.100000	83.993	-161.6692
31.500000	84.008	-162.1285
32.000000	84.031	-162.6929
32.500000	84.059	-163.2404
33.000000	84.090	-163.7716
33.500000	84.121	-164.2947
34.000000	84.150	-164.8174
34.500000	84.176	-165.3373
35.000000	84.198	-165.8442
35.500000	84.220	-166.3292
36.000000	84.241	-166.7928
36.500000	84.260	-167.2435
37.000000	84.275	-167.6894
37.500000	84.286	-168.1326
38.200001	84.298	-168.7456
38.700001	84.307	-169.1789
39.500000	84.319	-169.8745
40.000000	84.320	-170.3112
40.599998	84.315	-170.8293
41.200001	84.303	-171.3317
41.799999	84.289	-171.8185
42.500000	84.279	-172.3754
43.099998	84.278	-172.8453
43.700001	84.284	-173.3039
44.400002	84.297	-173.8242
45.000000	84.311	-174.2642
45.500000	84.323	-174.6306
46.200001	84.335	-175.1402
46.799999	84.341	-175.5669
47.500000	84.340	-176.0494
48.200001	84.332	-176.5209
48.700001	84.321	-176.8556
49.400002	84.300	-177.3230
50.000000	84.280	-177.7199
50.799999	84.257	-178.2404
51.500000	84.241	-178.6898
52.200001	84.229	-179.1343
53.000000	84.222	-179.6296
53.799999	84.219	179.8961
54.500000	84.219	179.4967
55.200001	84.220	179.1057
56.000000	84.220	178.6624
57.000000	84.212	178.1082
58.000000	84.191	177.5506
59.000000	84.158	176.9946
60.000000	84.117	176.4625
60.799999	84.088	176.0616
61.500000	84.067	175.7190
62.200001	84.051	175.3753
63.000000	84.037	174.9826
64.000000	84.024	174.5042
65.000000	84.016	174.0422
66.000000	84.009	173.5915
67.000000	83.997	173.1483
68.000000	83.975	172.7064
69.000000	83.943	172.2664
70.000000	83.901	171.8375
71.000000	83.858	171.4252
72.000000	83.819	171.0312
73.000000	83.789	170.6524
74.000000	83.768	170.2829
75.000000	83.752	169.9188
76.199997	83.733	169.4859
77.500000	83.703	169.0176
78.800003	83.659	168.5496
80.000000	83.607	168.1253
81.199997	83.553	167.7166
82.500000	83.503	167.2909
83.800003	83.469	166.8779
85.000000	83.448	166.5029
86.199997	83.428	166.1328
87.500000	83.397	165.7440
88.500000	83.365	165.4583
90.000000	83.306	165.0492
91.199997	83.255	164.7321
92.500000	83.206	164.3947
93.800003	83.166	164.0594
95.000000	83.135	163.7484
96.199997	83.107	163.4368
97.500000	83.072	163.1041
98.800003	83.029	162.7831
100.000000	82.984	162.5023
101.500000	82.926	162.1708
103.000000	82.875	161.8507
104.400002	82.835	161.5568
106.000000	82.792	161.2283
107.500000	82.748	160.9258
109.000000	82.695	160.6250
110.599998	82.631	160.3088
112.000000	82.576	160.0404
113.800003	82.517	159.7114
115.000000	82.484	159.5026
117.199997	82.426	159.1375
118.000000	82.401	159.0093
120.599998	82.310	158.6028
122.000000	82.260	158.3894
124.099998	82.194	158.0759
125.000000	82.169	157.9430
126.500000	82.128	157.7238
128.000000	82.082	157.5075
131.500000	81.953	157.0220
132.000000	81.935	156.9571
134.000000	81.869	156.7102
136.000000	81.813	156.4790
138.000000	81.756	156.2593
140.000000	81.690	156.0497
143.000000	81.586	155.7479
145.000000	81.522	155.5491
147.500000	81.446	155.2980
150.000000	81.368	155.0483
152.500000	81.293	154.8141
155.000000	81.225	154.6033
157.500000	81.158	154.4063
160.000000	81.084	154.2144
162.500000	81.010	154.0388
165.000000	80.940	153.8899
167.500000	80.872	153.7595
170.000000	80.796	153.6368
172.500000	80.712	153.5212
175.000000	80.621	153.4103
177.500000	80.518	153.2994
180.000000	80.403	153.1922
182.500000	80.281	153.1014
185.000000	80.164	153.0429
187.500000	80.058	153.0259
190.000000	79.966	153.0460
192.500000	79.886	153.0954
195.000000	79.814	153.1758
197.500000	79.740	153.2988
200.000000	79.654	153.4816
203.000000	79.536	153.8214
206.000000	79.413	154.3498
209.000000	79.303	155.1123
212.000000	79.229	156.1139
214.000000	79.216	156.8748
218.000000	79.295	158.3328
220.000000	79.381	158.8566
224.000000	79.589	159.1648
227.000000	79.722	158.7457
230.000000	79.799	157.9807
233.000000	79.817	157.1145
236.000000	79.789	156.3140
240.000000	79.710	155.4673
243.000000	79.637	155.0046
247.000000	79.534	154.5705
250.000000	79.455	154.3456
254.000000	79.347	154.1394
258.000000	79.243	154.0067
262.000000	79.146	153.9293
265.000000	79.077	153.9031
269.000000	78.987	153.8974
272.000000	78.921	153.9121
276.000000	78.833	153.9588
280.000000	78.746	154.0255
285.000000	78.642	154.1220
290.000000	78.546	154.2305
295.000000	78.454	154.3534
300.000000	78.363	154.4930
304.000000	78.290	154.6175
307.000000	78.235	154.7167
311.000000	78.164	154.8547
315.000000	78.095	154.9963
320.000000	78.015	155.1756
325.000000	77.938	155.3622
330.000000	77.863	155.5598
335.000000	77.789	155.7769
340.000000	77.718	156.0233
345.000000	77.647	156.2868
350.000000	77.576	156.5441
355.000000	77.504	156.7947
360.000000	77.432	157.0458
365.000000	77.359	157.2998
370.000000	77.290	157.5586
375.000000	77.225	157.8229
