* Measurement data measured by REW V5.20 Beta 9
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Oct 9, 2022 2:28:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dita Perpetua R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	54.736	-161.181
20.586	54.747	-161.439
20.885	54.771	-161.938
21.189	54.795	-162.445
21.497	54.817	-162.931
21.810	54.836	-163.411
22.127	54.853	-163.893
22.449	54.868	-164.374
22.776	54.883	-164.845
23.107	54.899	-165.308
23.443	54.916	-165.772
23.784	54.934	-166.245
24.130	54.950	-166.729
24.481	54.963	-167.214
24.837	54.972	-167.686
25.198	54.979	-168.133
25.565	54.987	-168.551
25.937	54.997	-168.948
26.314	55.009	-169.340
26.697	55.023	-169.742
27.085	55.036	-170.162
27.479	55.046	-170.591
27.879	55.051	-171.013
28.284	55.053	-171.415
28.696	55.055	-171.793
29.113	55.059	-172.158
29.537	55.066	-172.529
29.966	55.073	-172.919
30.402	55.078	-173.327
30.844	55.080	-173.744
31.293	55.080	-174.160
31.748	55.078	-174.571
32.210	55.075	-174.981
32.678	55.071	-175.389
33.154	55.065	-175.787
33.636	55.058	-176.172
34.125	55.051	-176.544
34.621	55.046	-176.914
35.125	55.040	-177.289
35.636	55.032	-177.668
36.154	55.022	-178.046
36.680	55.010	-178.418
37.214	54.997	-178.782
37.755	54.983	-179.140
38.304	54.968	-179.491
38.861	54.954	-179.836
39.427	54.942	179.816
40.000	54.932	179.452
40.582	54.921	179.072
41.172	54.907	178.692
41.771	54.892	178.331
42.379	54.878	177.994
42.995	54.867	177.668
43.620	54.855	177.339
44.255	54.840	177.016
44.898	54.821	176.718
45.552	54.800	176.457
46.214	54.780	176.217
46.886	54.762	175.967
47.568	54.744	175.682
48.260	54.723	175.355
48.962	54.697	174.993
49.674	54.666	174.624
50.397	54.635	174.276
