* Measurement data measured by REW V5.20 Beta 9
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 24, 2023 7:49:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MD kXXS L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
10.145	48.602	-79.845
10.293	48.641	-80.553
10.443	48.682	-81.732
10.595	48.761	-83.637
10.749	48.846	-85.774
10.905	48.909	-87.620
11.064	48.961	-89.332
11.225	49.010	-90.833
11.388	49.060	-92.162
11.554	49.131	-93.432
11.722	49.223	-94.634
11.892	49.346	-95.834
12.065	49.498	-97.041
12.241	49.676	-98.347
12.419	49.877	-99.760
12.599	50.088	-101.355
12.782	50.304	-103.104
12.968	50.511	-105.002
13.157	50.707	-106.977
13.348	50.885	-108.991
13.543	51.052	-110.941
13.740	51.208	-112.797
13.939	51.368	-114.496
14.142	51.538	-116.060
14.348	51.731	-117.501
14.557	51.951	-118.927
14.768	52.199	-120.385
14.983	52.465	-122.005
15.201	52.733	-123.812
15.422	52.991	-125.844
15.646	53.216	-128.045
15.874	53.398	-130.331
16.105	53.530	-132.609
16.339	53.615	-134.714
16.577	53.664	-136.559
16.818	53.691	-138.075
17.063	53.719	-139.242
17.311	53.768	-140.143
17.563	53.844	-140.875
17.818	53.953	-141.560
18.077	54.085	-142.330
18.340	54.224	-143.233
18.607	54.357	-144.263
18.877	54.477	-145.380
19.152	54.581	-146.520
19.431	54.676	-147.624
19.713	54.767	-148.660
20.000	54.855	-149.602
20.291	54.939	-150.446
20.586	55.014	-151.223
20.885	55.077	-151.995
21.189	55.125	-152.824
21.497	55.157	-153.707
21.810	55.173	-154.579
22.127	55.178	-155.365
22.449	55.182	-156.027
22.776	55.196	-156.577
23.107	55.227	-157.074
23.443	55.275	-157.595
23.784	55.331	-158.200
24.130	55.381	-158.903
24.481	55.413	-159.661
24.837	55.424	-160.393
25.198	55.416	-161.013
25.565	55.402	-161.477
25.937	55.395	-161.804
26.314	55.403	-162.065
26.697	55.425	-162.343
27.085	55.452	-162.680
27.479	55.478	-163.062
