* Measurement data measured by REW V5.20 Beta 9
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Oct 31, 2022 6:34:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TRI Kai R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
10.145	61.805	-107.784
10.293	61.870	-108.389
10.443	61.940	-109.414
10.595	62.085	-111.077
10.749	62.249	-112.983
10.905	62.396	-114.716
11.064	62.537	-116.415
11.225	62.669	-118.053
11.388	62.795	-119.655
11.554	62.918	-121.305
11.722	63.038	-122.985
11.892	63.152	-124.670
12.065	63.260	-126.357
12.241	63.361	-128.017
12.419	63.456	-129.653
12.599	63.544	-131.258
12.782	63.628	-132.829
12.968	63.708	-134.358
13.157	63.787	-135.852
13.348	63.865	-137.310
13.543	63.944	-138.748
13.740	64.024	-140.170
13.939	64.104	-141.590
14.142	64.181	-143.009
14.348	64.255	-144.434
14.557	64.325	-145.858
14.768	64.389	-147.279
14.983	64.448	-148.685
15.201	64.503	-150.070
15.422	64.555	-151.430
15.646	64.604	-152.763
15.874	64.652	-154.076
16.105	64.699	-155.375
16.339	64.744	-156.673
16.577	64.787	-157.975
16.818	64.828	-159.285
17.063	64.864	-160.600
17.311	64.896	-161.907
17.563	64.924	-163.200
17.818	64.948	-164.471
18.077	64.971	-165.718
18.340	64.996	-166.953
18.607	65.022	-168.190
18.877	65.049	-169.443
19.152	65.077	-170.728
19.431	65.101	-172.043
19.713	65.117	-173.345
20.000	65.118	-174.554
20.291	65.101	-175.590
20.586	65.066	-176.408
20.885	65.023	-177.038
21.189	64.983	-177.564
21.497	64.953	-178.062
21.810	64.932	-178.565
22.127	64.918	-179.079
22.449	64.907	-179.601
22.776	64.896	179.879
23.107	64.884	179.369
23.443	64.870	178.880
23.784	64.855	178.413
24.130	64.839	177.965
24.481	64.822	177.524
24.837	64.804	177.080
25.198	64.783	176.627
25.565	64.757	176.169
25.937	64.727	175.714
26.314	64.694	175.272
26.697	64.661	174.840
27.085	64.630	174.405
27.479	64.600	173.953
27.879	64.569	173.485
28.284	64.536	173.019
28.696	64.503	172.581
29.113	64.475	172.177
29.537	64.456	171.785
29.966	64.445	171.365
30.402	64.436	170.895
30.844	64.423	170.387
31.293	64.401	169.887
31.748	64.373	169.437
32.210	64.345	169.046
32.678	64.321	168.690
33.154	64.302	168.332
33.636	64.282	167.949
34.125	64.258	167.544
34.621	64.228	167.140
35.125	64.193	166.767
35.636	64.159	166.431
36.154	64.130	166.107
36.680	64.108	165.755
37.214	64.088	165.347
37.755	64.063	164.900
38.304	64.031	164.455
38.861	63.998	164.049
39.427	63.969	163.681
40.000	63.948	163.323
40.582	63.932	162.946
41.172	63.917	162.543
41.771	63.899	162.128
42.379	63.878	161.725
42.995	63.853	161.357
43.620	63.829	161.029
44.255	63.806	160.729
44.898	63.785	160.436
45.552	63.763	160.148
46.214	63.740	159.873
46.886	63.721	159.586
47.568	63.702	159.246
48.260	63.674	158.866
48.962	63.640	158.504
49.674	63.608	158.174
50.397	63.584	157.831
51.130	63.564	157.447
51.874	63.543	157.033
52.628	63.518	156.616
53.394	63.489	156.228
54.170	63.459	155.892
54.958	63.429	155.597
55.758	63.399	155.326
56.569	63.370	155.073
57.391	63.343	154.822
58.226	63.318	154.544
59.073	63.293	154.221
59.932	63.264	153.870
60.804	63.232	153.521
61.688	63.201	153.171
62.586	63.169	152.814
63.496	63.133	152.471
64.420	63.092	152.166
65.357	63.049	151.911
66.307	63.007	151.692
67.272	62.968	151.478
68.250	62.928	151.264
69.243	62.887	151.061
70.250	62.844	150.871
71.272	62.798	150.691
72.309	62.750	150.532
73.360	62.704	150.391
74.427	62.663	150.214
75.510	62.617	149.985
76.608	62.559	149.809
77.723	62.500	149.778
78.853	62.449	149.876
80.000	62.404	150.067
81.164	62.369	150.278
82.344	62.341	150.360
83.542	62.304	150.245
84.757	62.256	150.058
85.990	62.219	149.910
87.241	62.214	149.866
88.510	62.263	149.854
89.797	62.335	149.353
91.103	62.267	148.471
92.428	62.082	148.324
93.773	61.933	148.585
95.137	61.817	148.641
96.520	61.713	148.479
97.924	61.624	148.221
99.349	61.548	147.962
100.794	61.475	147.767
102.260	61.397	147.661
103.747	61.311	147.624
105.256	61.220	147.621
106.787	61.132	147.625
108.340	61.050	147.619
109.916	60.976	147.610
111.515	60.906	147.599
113.137	60.834	147.582
114.783	60.752	147.551
116.452	60.653	147.516
118.146	60.539	147.542
119.865	60.445	147.696
121.608	60.399	147.702
123.377	60.350	147.545
125.171	60.287	147.528
126.992	60.221	147.641
128.839	60.150	147.769
130.713	60.079	147.858
132.615	60.014	147.922
134.543	59.948	148.006
136.500	59.870	148.154
138.486	59.787	148.310
140.500	59.709	148.353
142.544	59.634	148.319
144.617	59.560	148.324
146.721	59.486	148.420
148.855	59.414	148.543
151.020	59.349	148.646
153.217	59.294	148.728
155.445	59.246	148.813
157.706	59.199	148.916
160.000	59.154	149.026
162.327	59.114	149.145
164.688	59.084	149.277
167.084	59.057	149.403
169.514	59.022	149.521
171.980	58.967	149.640
174.481	58.879	149.785
177.019	58.769	150.003
179.594	58.656	150.303
182.206	58.554	150.638
184.856	58.465	150.957
187.545	58.386	151.218
190.273	58.312	151.412
193.041	58.238	151.569
195.849	58.160	151.704
198.697	58.079	151.832
201.587	57.998	151.967
204.520	57.920	152.122
207.494	57.847	152.294
210.512	57.779	152.487
213.574	57.713	152.707
216.681	57.647	152.948
219.833	57.580	153.199
223.030	57.510	153.458
226.274	57.439	153.720
229.565	57.370	153.981
232.905	57.308	154.257
236.292	57.252	154.574
239.729	57.195	154.941
243.216	57.135	155.338
246.754	57.074	155.728
250.343	57.017	156.097
253.984	56.963	156.450
257.678	56.907	156.802
261.426	56.849	157.164
265.229	56.789	157.534
269.087	56.728	157.914
273.001	56.671	158.314
276.972	56.619	158.733
281.000	56.568	159.180
285.088	56.521	159.651
289.234	56.479	160.145
293.441	56.442	160.659
297.710	56.412	161.170
302.040	56.390	161.641
306.433	56.373	162.060
310.890	56.359	162.460
315.412	56.346	162.950
320.000	56.331	163.607
324.655	56.312	164.376
329.377	56.288	165.187
334.168	56.259	166.017
339.028	56.226	166.858
343.959	56.190	167.712
348.962	56.151	168.580
354.038	56.114	169.467
359.188	56.077	170.376
364.412	56.040	171.297
369.713	56.003	172.222
375.090	55.966	173.152
380.546	55.928	174.089
386.081	55.891	175.043
391.697	55.854	176.012
397.395	55.818	176.996
403.175	55.783	177.987
409.039	55.749	178.979
414.989	55.716	179.968
421.025	55.685	-179.041
427.149	55.656	-178.036
433.362	55.630	-177.012
439.665	55.607	-175.977
446.060	55.585	-174.940
452.548	55.564	-173.906
459.131	55.544	-172.872
465.809	55.526	-171.831
472.584	55.508	-170.779
479.458	55.491	-169.716
486.432	55.475	-168.641
493.507	55.461	-167.566
500.686	55.447	-166.498
507.968	55.434	-165.427
515.357	55.422	-164.342
522.853	55.411	-163.239
530.458	55.401	-162.124
538.174	55.393	-161.009
546.002	55.386	-159.898
553.943	55.379	-158.791
562.001	55.373	-157.674
570.175	55.368	-156.539
578.469	55.363	-155.384
586.883	55.359	-154.218
595.419	55.357	-153.053
604.080	55.358	-151.891
612.866	55.361	-150.727
621.780	55.366	-149.550
630.824	55.373	-148.355
640.000	55.379	-147.145
649.309	55.387	-145.927
658.753	55.397	-144.702
668.335	55.409	-143.477
678.056	55.423	-142.249
687.919	55.439	-141.005
697.925	55.454	-139.741
708.076	55.471	-138.462
718.376	55.488	-137.175
728.825	55.509	-135.881
739.426	55.530	-134.580
750.181	55.553	-133.264
761.093	55.577	-131.927
772.163	55.603	-130.568
783.394	55.630	-129.192
794.789	55.657	-127.803
806.349	55.683	-126.391
