* Measurement data measured by REW V5.20 Beta 9
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Mar 29, 2023 12:55:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TRI Starsea (12) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
10.145	58.276	-143.958
10.293	58.319	-144.435
10.443	58.364	-145.244
10.595	58.458	-146.554
10.749	58.564	-148.055
10.905	58.657	-149.414
11.064	58.746	-150.741
11.225	58.829	-152.011
11.388	58.906	-153.243
11.554	58.982	-154.502
11.722	59.058	-155.776
11.892	59.131	-157.050
12.065	59.203	-158.323
12.241	59.274	-159.586
12.419	59.342	-160.841
12.599	59.408	-162.095
12.782	59.471	-163.345
12.968	59.532	-164.589
13.157	59.591	-165.825
13.348	59.647	-167.050
13.543	59.702	-168.260
13.740	59.756	-169.454
13.939	59.809	-170.627
14.142	59.861	-171.779
14.348	59.914	-172.910
14.557	59.969	-174.028
14.768	60.026	-175.136
14.983	60.087	-176.245
15.201	60.150	-177.365
15.422	60.216	-178.503
15.646	60.281	-179.666
15.874	60.344	179.147
16.105	60.403	177.938
16.339	60.455	176.718
16.577	60.499	175.502
16.818	60.537	174.304
17.063	60.570	173.143
17.311	60.599	172.031
17.563	60.627	170.972
17.818	60.656	169.965
18.077	60.689	168.994
18.340	60.728	168.036
18.607	60.771	167.069
18.877	60.817	166.074
19.152	60.862	165.040
19.431	60.902	163.977
19.713	60.932	162.935
20.000	60.947	161.994
20.291	60.943	161.235
20.586	60.923	160.691
20.885	60.895	160.320
21.189	60.868	160.025
21.497	60.846	159.729
21.810	60.826	159.410
22.127	60.805	159.085
22.449	60.779	158.781
22.776	60.751	158.521
23.107	60.723	158.308
23.443	60.698	158.127
23.784	60.674	157.951
24.130	60.651	157.763
24.481	60.623	157.558
24.837	60.589	157.353
25.198	60.550	157.168
25.565	60.509	157.009
25.937	60.470	156.865
26.314	60.434	156.710
26.697	60.399	156.525
27.085	60.362	156.308
27.479	60.322	156.075
27.879	60.279	155.852
28.284	60.236	155.651
28.696	60.197	155.470
29.113	60.161	155.291
29.537	60.129	155.102
29.966	60.097	154.898
30.402	60.063	154.688
30.844	60.027	154.485
31.293	59.988	154.297
31.748	59.947	154.120
32.210	59.904	153.953
32.678	59.858	153.797
33.154	59.809	153.660
33.636	59.759	153.539
34.125	59.711	153.420
34.621	59.663	153.284
35.125	59.614	153.124
35.636	59.562	152.949
36.154	59.507	152.771
