* Measurement data measured by REW V5.20 Beta 9
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Dec 4, 2022 10:05:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Xenns Top L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
10.145	54.461	-115.277
10.293	54.517	-115.853
10.443	54.577	-116.831
10.595	54.700	-118.416
10.749	54.840	-120.232
10.905	54.964	-121.882
11.064	55.084	-123.497
11.225	55.195	-125.052
11.388	55.300	-126.568
11.554	55.403	-128.122
11.722	55.501	-129.698
11.892	55.595	-131.265
12.065	55.684	-132.822
12.241	55.768	-134.337
12.419	55.849	-135.815
12.599	55.927	-137.250
12.782	56.004	-138.643
12.968	56.082	-139.991
13.157	56.164	-141.307
13.348	56.251	-142.596
13.543	56.343	-143.883
13.740	56.440	-145.173
13.939	56.539	-146.487
14.142	56.639	-147.824
14.348	56.736	-149.193
14.557	56.829	-150.582
14.768	56.917	-151.986
14.983	56.999	-153.385
15.201	57.075	-154.769
15.422	57.147	-156.126
15.646	57.216	-157.448
15.874	57.283	-158.736
16.105	57.349	-159.992
16.339	57.416	-161.227
16.577	57.485	-162.451
16.818	57.554	-163.670
17.063	57.623	-164.890
17.311	57.691	-166.112
17.563	57.758	-167.332
17.818	57.822	-168.548
18.077	57.884	-169.756
18.340	57.943	-170.955
18.607	58.002	-172.146
18.877	58.059	-173.333
19.152	58.115	-174.518
19.431	58.170	-175.701
19.713	58.220	-176.850
20.000	58.260	-177.903
20.291	58.286	-178.800
20.586	58.296	-179.512
20.885	58.295	179.925
21.189	58.293	179.435
21.497	58.293	178.959
21.810	58.295	178.487
22.127	58.298	178.030
22.449	58.302	177.602
22.776	58.306	177.206
23.107	58.311	176.837
23.443	58.318	176.484
