* Measurement data measured by REW V5.19
* Source: Microphone (USB Sound Device        ), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Aug 26, 2021 5:50:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Goldplanar GL12 L filter
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.210	-118.0328
20.299999	83.216	-118.6580
20.600000	83.235	-119.2736
20.900000	83.264	-119.9497
21.200001	83.302	-120.7007
21.400000	83.329	-121.2376
21.799999	83.379	-122.3612
22.000000	83.401	-122.9214
22.400000	83.440	-123.9766
22.700001	83.474	-124.6842
23.000000	83.514	-125.3225
23.299999	83.561	-125.9183
23.600000	83.610	-126.4954
24.000000	83.673	-127.2549
24.299999	83.717	-127.8090
24.700001	83.767	-128.4985
25.000000	83.801	-128.9662
25.400000	83.844	-129.5345
25.799999	83.884	-130.0822
26.200001	83.921	-130.6488
26.500000	83.943	-131.0902
26.900000	83.963	-131.6843
27.200001	83.972	-132.1183
27.600000	83.980	-132.6726
28.000000	83.987	-133.2112
28.500000	83.997	-133.8981
29.000000	84.010	-134.6187
29.500000	84.025	-135.3488
30.000000	84.045	-136.0518
30.400000	84.068	-136.5895
30.700001	84.089	-136.9855
31.100000	84.122	-137.5144
31.500000	84.156	-138.0459
32.000000	84.194	-138.6981
32.500000	84.228	-139.3145
33.000000	84.259	-139.8929
33.500000	84.286	-140.4474
34.000000	84.310	-140.9814
34.500000	84.332	-141.4848
35.000000	84.357	-141.9640
35.500000	84.383	-142.4495
36.000000	84.407	-142.9574
36.500000	84.427	-143.4630
37.000000	84.444	-143.9323
37.500000	84.463	-144.3752
38.200001	84.487	-145.0301
38.700001	84.492	-145.5245
39.500000	84.480	-146.2084
40.000000	84.481	-146.5465
40.599998	84.507	-146.9524
41.200001	84.546	-147.4323
41.799999	84.578	-147.9427
42.500000	84.602	-148.4748
43.099998	84.617	-148.8628
43.700001	84.632	-149.2194
44.400002	84.650	-149.6165
45.000000	84.665	-149.9550
45.500000	84.680	-150.2518
46.200001	84.703	-150.6956
46.799999	84.719	-151.0808
47.500000	84.734	-151.5063
48.200001	84.745	-151.9150
48.700001	84.750	-152.2142
49.400002	84.750	-152.6463
50.000000	84.750	-153.0019
50.799999	84.759	-153.4193
51.500000	84.775	-153.7499
52.200001	84.794	-154.0832
53.000000	84.812	-154.4763
53.799999	84.828	-154.8765
54.500000	84.846	-155.2317
55.200001	84.866	-155.5867
56.000000	84.885	-155.9738
57.000000	84.897	-156.4045
58.000000	84.905	-156.8118
59.000000	84.914	-157.2306
60.000000	84.927	-157.6417
60.799999	84.938	-157.9824
61.500000	84.944	-158.2831
62.200001	84.951	-158.5632
63.000000	84.966	-158.8609
64.000000	84.989	-159.2276
65.000000	85.008	-159.5654
66.000000	85.024	-159.8783
67.000000	85.039	-160.2131
68.000000	85.046	-160.5580
69.000000	85.044	-160.8792
70.000000	85.042	-161.1726
71.000000	85.046	-161.4746
72.000000	85.049	-161.7991
73.000000	85.052	-162.1008
74.000000	85.064	-162.3675
75.000000	85.082	-162.6419
76.199997	85.095	-162.9785
77.500000	85.102	-163.3108
78.800003	85.106	-163.6472
80.000000	85.106	-163.9429
81.199997	85.111	-164.2307
82.500000	85.117	-164.5381
83.800003	85.125	-164.8360
85.000000	85.134	-165.0914
86.199997	85.145	-165.3355
87.500000	85.153	-165.6056
88.500000	85.154	-165.8061
90.000000	85.151	-166.0962
91.199997	85.150	-166.3371
92.500000	85.150	-166.5964
93.800003	85.156	-166.8345
95.000000	85.168	-167.0589
96.199997	85.179	-167.2923
97.500000	85.187	-167.5508
98.800003	85.183	-167.8023
100.000000	85.175	-168.0108
101.500000	85.169	-168.2492
103.000000	85.170	-168.4901
104.400002	85.177	-168.7037
106.000000	85.188	-168.9321
107.500000	85.193	-169.1460
109.000000	85.187	-169.3579
110.599998	85.180	-169.5650
112.000000	85.181	-169.7509
113.800003	85.185	-169.9981
115.000000	85.185	-170.1498
117.199997	85.179	-170.3981
118.000000	85.176	-170.4804
120.599998	85.160	-170.7349
122.000000	85.154	-170.8804
124.099998	85.152	-171.0894
125.000000	85.153	-171.1568
126.500000	85.156	-171.2364
128.000000	85.156	-171.2953
131.500000	85.129	-171.4147
132.000000	85.125	-171.4232
134.000000	85.121	-171.4252
136.000000	85.140	-171.3825
138.000000	85.166	-171.3215
140.000000	85.190	-171.2652
143.000000	85.254	-171.2482
145.000000	85.310	-171.3442
147.500000	85.378	-171.5774
150.000000	85.437	-171.9364
152.500000	85.484	-172.4066
155.000000	85.521	-172.8950
157.500000	85.548	-173.3500
160.000000	85.563	-173.7863
162.500000	85.574	-174.2132
165.000000	85.584	-174.6086
167.500000	85.583	-174.9423
170.000000	85.570	-175.2205
172.500000	85.546	-175.4917
175.000000	85.509	-175.7566
177.500000	85.455	-175.9895
180.000000	85.397	-176.1878
182.500000	85.362	-176.3931
185.000000	85.358	-176.6047
187.500000	85.375	-176.8027
190.000000	85.392	-177.0054
192.500000	85.402	-177.2156
195.000000	85.411	-177.4301
197.500000	85.419	-177.6346
200.000000	85.423	-177.8010
203.000000	85.423	-177.9662
206.000000	85.419	-178.1363
209.000000	85.412	-178.3268
212.000000	85.403	-178.5106
214.000000	85.400	-178.6254
218.000000	85.397	-178.8453
220.000000	85.393	-178.9504
224.000000	85.379	-179.1357
227.000000	85.373	-179.2782
230.000000	85.376	-179.4264
233.000000	85.383	-179.5767
236.000000	85.391	-179.7457
240.000000	85.399	179.9886
243.000000	85.401	179.7990
247.000000	85.402	179.5760
250.000000	85.401	179.3943
254.000000	85.394	179.1350
258.000000	85.384	178.9103
262.000000	85.370	178.6944
265.000000	85.361	178.5423
269.000000	85.353	178.3664
272.000000	85.347	178.2309
276.000000	85.339	178.0521
280.000000	85.331	177.8654
285.000000	85.325	177.6025
290.000000	85.319	177.3660
295.000000	85.314	177.1459
300.000000	85.310	176.9098
304.000000	85.307	176.7070
307.000000	85.307	176.5612
311.000000	85.304	176.3972
315.000000	85.297	176.2456
320.000000	85.283	176.0471
325.000000	85.271	175.8485
330.000000	85.264	175.6510
335.000000	85.258	175.4429
340.000000	85.249	175.2370
345.000000	85.230	175.0494
350.000000	85.215	174.8795
355.000000	85.208	174.7048
360.000000	85.203	174.5165
365.000000	85.195	174.3171
370.000000	85.181	174.1335
375.000000	85.164	173.9652
382.000000	85.143	173.7287
387.000000	85.128	173.5694
395.000000	85.106	173.3214
400.000000	85.094	173.1451
406.000000	85.076	172.9376
412.000000	85.054	172.7474
418.000000	85.034	172.5582
425.000000	85.020	172.3467
431.000000	85.011	172.1732
437.000000	84.999	171.9827
