* Measurement data measured by REW V5.20.4
* Source: Trace Arithmetic result Merge B to A
* Format: Trace Arithmetic result Merge B to A
* Dated: 11-Oct-2022 11:47:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EJ07M CIEM R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.330	172.4626
20.299999	81.319	172.0876
20.600000	81.309	171.7196
20.900000	81.299	171.3539
21.200001	81.289	170.9878
21.400000	81.282	170.7437
21.799999	81.267	170.2579
22.000000	81.259	170.0175
22.400000	81.242	169.5435
22.700001	81.228	169.1939
23.000000	81.214	168.8488
23.299999	81.199	168.5090
23.600000	81.183	168.1763
24.000000	81.161	167.7472
24.299999	81.145	167.4377
24.700001	81.123	167.0382
25.000000	81.109	166.7424
25.400000	81.090	166.3432
25.799999	81.072	165.9308
26.200001	81.051	165.5067
26.500000	81.033	165.1873
26.900000	81.005	164.7700
27.200001	80.983	164.4699
27.600000	80.951	164.0915
28.000000	80.920	163.7360
28.500000	80.883	163.3125
29.000000	80.848	162.8943
29.500000	80.814	162.4690
30.000000	80.779	162.0370
30.400000	80.749	161.6940
30.700001	80.725	161.4424
31.100000	80.693	161.1177
31.500000	80.660	160.8049
32.000000	80.620	160.4275
32.500000	80.580	160.0621
33.000000	80.541	159.7045
33.500000	80.504	159.3445
34.000000	80.467	158.9677
34.500000	80.426	158.5726
35.000000	80.380	158.1821
35.500000	80.328	157.8307
36.000000	80.278	157.5300
36.500000	80.233	157.2555
37.000000	80.195	156.9655
37.500000	80.157	156.6407
38.200001	80.098	156.1606
38.700001	80.052	155.8359
39.500000	79.980	155.3575
40.000000	79.936	155.0638
40.599998	79.882	154.7120
41.200001	79.826	154.3785
41.799999	79.771	154.0725
42.500000	79.709	153.7333
43.099998	79.658	153.4374
43.700001	79.606	153.1348
44.400002	79.543	152.7882
45.000000	79.486	152.5087
45.500000	79.439	152.2897
46.200001	79.375	151.9964
46.799999	79.322	151.7435
47.500000	79.260	151.4346
48.200001	79.196	151.1208
48.700001	79.149	150.9064
49.400002	79.082	150.6263
50.000000	79.027	150.3953
50.799999	78.954	150.0901
51.500000	78.889	149.8372
52.200001	78.825	149.6091
53.000000	78.755	149.3658
53.799999	78.688	149.1155
54.500000	78.628	148.8939
55.200001	78.566	148.6885
56.000000	78.498	148.4700
57.000000	78.413	148.1806
58.000000	78.322	147.9020
59.000000	78.231	147.6769
60.000000	78.147	147.4708
60.799999	78.082	147.2941
61.500000	78.025	147.1211
62.200001	77.965	146.9454
63.000000	77.893	146.7737
64.000000	77.808	146.5934
65.000000	77.725	146.3973
66.000000	77.639	146.1997
67.000000	77.551	146.0255
68.000000	77.464	145.8718
69.000000	77.378	145.7414
70.000000	77.296	145.6312
71.000000	77.218	145.5167
72.000000	77.141	145.3965
73.000000	77.063	145.2941
74.000000	76.986	145.2085
75.000000	76.910	145.1426
76.199997	76.821	145.0650
77.500000	76.720	144.9612
78.800003	76.617	144.8765
80.000000	76.522	144.7966
81.199997	76.427	144.7347
82.500000	76.332	144.6755
83.800003	76.239	144.6044
85.000000	76.151	144.5571
86.199997	76.065	144.5456
87.500000	75.972	144.5462
88.500000	75.900	144.5564
90.000000	75.791	144.5618
91.199997	75.701	144.5807
92.500000	75.609	144.6257
93.800003	75.522	144.6473
95.000000	75.443	144.6731
96.199997	75.366	144.7164
97.500000	75.284	144.7842
98.800003	75.203	144.8708
100.000000	75.127	144.9715
101.500000	75.035	145.1107
103.000000	74.945	145.2174
104.400002	74.857	145.3008
106.000000	74.757	145.4167
107.500000	74.668	145.5137
109.000000	74.576	145.6116
110.599998	74.478	145.7624
112.000000	74.397	145.9237
113.800003	74.298	146.1292
115.000000	74.232	146.2621
117.199997	74.112	146.5467
118.000000	74.070	146.6583
120.599998	73.932	147.0128
122.000000	73.858	147.2152
124.099998	73.751	147.5133
125.000000	73.707	147.6519
126.500000	73.642	147.8760
128.000000	73.578	148.0695
131.500000	73.406	148.6426
132.000000	73.383	148.7444
134.000000	73.297	149.1169
136.000000	73.216	149.4230
138.000000	73.133	149.6992
140.000000	73.049	150.0017
143.000000	72.927	150.5032
145.000000	72.846	150.8489
147.500000	72.748	151.3202
150.000000	72.657	151.7608
152.500000	72.565	152.1541
155.000000	72.483	152.5971
157.500000	72.419	153.0599
160.000000	72.350	153.5356
162.500000	72.271	154.0560
165.000000	72.200	154.5611
167.500000	72.138	154.9829
170.000000	72.071	155.4030
172.500000	72.002	155.8693
175.000000	71.934	156.3728
177.500000	71.873	156.8627
180.000000	71.813	157.3230
182.500000	71.762	157.7506
185.000000	71.714	158.1476
187.500000	71.665	158.5852
190.000000	71.615	159.0955
192.500000	71.566	159.6218
195.000000	71.519	160.0989
197.500000	71.477	160.5126
200.000000	71.437	160.9241
203.000000	71.393	161.4823
206.000000	71.348	162.0746
209.000000	71.308	162.6542
212.000000	71.274	163.2095
214.000000	71.251	163.5949
218.000000	71.212	164.2787
220.000000	71.194	164.5539
224.000000	71.160	165.1019
227.000000	71.132	165.5876
230.000000	71.104	166.0887
233.000000	71.076	166.5554
236.000000	71.050	166.9918
240.000000	71.026	167.5517
243.000000	71.010	167.9856
247.000000	70.989	168.4886
250.000000	70.974	168.8393
254.000000	70.959	169.4650
258.000000	70.944	170.1034
262.000000	70.919	170.6421
265.000000	70.902	171.0396
269.000000	70.885	171.5429
272.000000	70.875	171.9045
276.000000	70.867	172.3945
280.000000	70.863	172.8630
285.000000	70.847	173.4407
290.000000	70.833	173.9875
295.000000	70.827	174.5914
300.000000	70.817	175.1881
304.000000	70.813	175.5674
307.000000	70.812	175.8530
311.000000	70.814	176.2386
315.000000	70.817	176.6111
320.000000	70.815	177.1012
325.000000	70.814	177.6041
330.000000	70.807	178.0474
335.000000	70.799	178.4919
340.000000	70.804	178.9400
345.000000	70.803	179.3522
350.000000	70.797	179.7468
355.000000	70.802	-179.8499
360.000000	70.807	-179.4603
365.000000	70.804	-179.0953
370.000000	70.804	-178.7253
375.000000	70.805	-178.3400
382.000000	70.807	-177.8574
387.000000	70.807	-177.4937
395.000000	70.818	-176.8760
400.000000	70.823	-176.5134
406.000000	70.821	-176.0938
412.000000	70.818	-175.6734
418.000000	70.824	-175.2853
425.000000	70.822	-174.8386
431.000000	70.818	-174.4501
437.000000	70.818	-174.1066
444.000000	70.824	-173.7289
450.000000	70.830	-173.3506
455.000000	70.830	-173.0178
462.000000	70.825	-172.6139
468.000000	70.820	-172.2691
475.000000	70.833	-171.8294
482.000000	70.848	-171.4045
487.000000	70.850	-171.1301
494.000000	70.846	-170.7915
500.000000	70.845	-170.5031
508.000000	70.847	-170.0740
515.000000	70.848	-169.7064
522.000000	70.846	-169.3111
530.000000	70.845	-168.8273
538.000000	70.849	-168.3926
545.000000	70.855	-168.0233
552.000000	70.850	-167.6502
560.000000	70.845	-167.2477
570.000000	70.851	-166.7060
580.000000	70.854	-166.1224
590.000000	70.851	-165.5623
600.000000	70.863	-165.0049
608.000000	70.876	-164.5835
615.000000	70.877	-164.2113
622.000000	70.873	-163.8009
630.000000	70.867	-163.2450
640.000000	70.876	-162.4863
650.000000	70.910	-161.9143
660.000000	70.944	-161.5012
670.000000	70.960	-161.0967
680.000000	70.959	-160.6093
690.000000	70.952	-160.0493
700.000000	70.955	-159.4739
710.000000	70.965	-158.9101
720.000000	70.972	-158.3517
730.000000	70.981	-157.7411
740.000000	70.992	-157.1240
750.000000	71.012	-156.5502
762.000000	71.045	-155.8654
775.000000	71.074	-155.1048
788.000000	71.104	-154.3367
800.000000	71.138	-153.6085
812.000000	71.178	-152.9055
825.000000	71.231	-152.1470
838.000000	71.279	-151.3387
850.000000	71.319	-150.5948
862.000000	71.365	-149.8779
875.000000	71.425	-149.1105
885.000000	71.480	-148.5170
900.000000	71.569	-147.6328
912.000000	71.636	-146.9705
925.000000	71.714	-146.2706
938.000000	71.798	-145.5902
950.000000	71.876	-144.9992
962.000000	71.958	-144.4134
975.000000	72.055	-143.8073
988.000000	72.153	-143.2710
1000.000000	72.245	-142.8068
1015.000000	72.368	-142.2102
1030.000000	72.488	-141.6484
1044.000000	72.603	-141.2054
1060.000000	72.734	-140.7667
1075.000000	72.862	-140.3958
1090.000000	72.986	-140.0747
1106.000000	73.115	-139.7810
1120.000000	73.228	-139.5571
1138.000000	73.375	-139.3182
1150.000000	73.472	-139.1954
1172.000000	73.647	-139.0585
1180.000000	73.706	-139.0204
1206.000000	73.891	-138.8841
1220.000000	73.986	-138.8369
1241.000000	74.126	-138.8179
1250.000000	74.184	-138.8282
1265.000000	74.278	-138.8731
1280.000000	74.367	-138.9304
1315.000000	74.562	-139.0848
1320.000000	74.589	-139.1073
1340.000000	74.695	-139.1928
1360.000000	74.796	-139.2834
1380.000000	74.891	-139.3817
1400.000000	74.981	-139.4937
1430.000000	75.112	-139.6794
1450.000000	75.195	-139.7931
1475.000000	75.297	-139.9222
1500.000000	75.397	-140.0580
1525.000000	75.496	-140.1844
1550.000000	75.597	-140.3199
1575.000000	75.689	-140.4647
1600.000000	75.782	-140.6407
1625.000000	75.873	-140.7888
1650.000000	75.964	-140.9404
1675.000000	76.057	-141.1179
1700.000000	76.148	-141.2878
1725.000000	76.239	-141.4478
1750.000000	76.328	-141.6464
1775.000000	76.417	-141.8835
1800.000000	76.510	-142.1378
1825.000000	76.603	-142.3942
1850.000000	76.695	-142.6664
1875.000000	76.785	-142.9674
1900.000000	76.873	-143.2811
1925.000000	76.960	-143.6174
1950.000000	77.045	-143.9781
1975.000000	77.129	-144.3638
2000.000000	77.213	-144.7766
2030.000000	77.310	-145.3147
2060.000000	77.407	-145.8995
2090.000000	77.501	-146.5210
2120.000000	77.591	-147.1605
2140.000000	77.646	-147.6055
2180.000000	77.750	-148.5412
2200.000000	77.799	-149.0381
2240.000000	77.893	-150.0770
2270.000000	77.954	-150.8914
2300.000000	78.007	-151.7340
2330.000000	78.054	-152.6006
2360.000000	78.095	-153.4866
2400.000000	78.137	-154.6798
2430.000000	78.157	-155.5791
2470.000000	78.172	-156.7968
2500.000000	78.173	-157.7195
2540.000000	78.164	-158.9324
2580.000000	78.141	-160.1363
2620.000000	78.104	-161.3126
2650.000000	78.068	-162.1625
2690.000000	78.010	-163.2680
2720.000000	77.959	-164.0690
2760.000000	77.884	-165.0879
2800.000000	77.800	-166.0504
2850.000000	77.684	-167.1800
2900.000000	77.561	-168.1877
2950.000000	77.430	-169.1024
3000.000000	77.293	-169.9218
3040.000000	77.184	-170.4982
3070.000000	77.103	-170.8846
3110.000000	76.995	-171.3374
3150.000000	76.889	-171.7389
3200.000000	76.759	-172.2047
3250.000000	76.631	-172.5980
3300.000000	76.510	-172.9198
3350.000000	76.396	-173.1749
3400.000000	76.289	-173.3787
3450.000000	76.186	-173.5560
3500.000000	76.087	-173.7182
3550.000000	75.997	-173.8543
3600.000000	75.913	-173.9798
3650.000000	75.834	-174.1069
3700.000000	75.759	-174.2160
3750.000000	75.691	-174.3228
3820.000000	75.606	-174.4709
3870.000000	75.550	-174.5696
3950.000000	75.474	-174.7047
4000.000000	75.435	-174.8176
4060.000000	75.394	-174.9819
4120.000000	75.361	-175.1612
4180.000000	75.334	-175.3973
4250.000000	75.315	-175.7678
4310.000000	75.303	-176.1674
4370.000000	75.294	-176.6599
4440.000000	75.285	-177.3779
4500.000000	75.275	-178.1094
4550.000000	75.260	-178.7910
4620.000000	75.222	-179.8592
4680.000000	75.172	179.1224
4750.000000	75.094	177.8370
4820.000000	74.994	176.4818
4870.000000	74.907	175.5027
4940.000000	74.756	174.1481
5000.000000	74.602	172.9959
5080.000000	74.363	171.5085
5150.000000	74.125	170.2979
5220.000000	73.855	169.1501
5300.000000	73.502	167.9910
5380.000000	73.104	167.1801
5450.000000	72.733	166.8621
5520.000000	72.359	166.9282
5600.000000	71.951	167.4319
5700.000000	71.497	168.5371
5800.000000	71.106	169.9345
5900.000000	70.766	171.5566
6000.000000	70.476	173.3875
6080.000000	70.277	174.9679
6150.000000	70.136	176.4097
6220.000000	70.027	177.8792
6300.000000	69.935	179.6114
6400.000000	69.870	-178.1126
6500.000000	69.861	-175.8104
6600.000000	69.922	-173.5124
6700.000000	70.050	-171.2684
6800.000000	70.253	-169.0832
6900.000000	70.535	-166.9666
7000.000000	70.901	-165.0608
7100.000000	71.367	-163.4932
7200.000000	71.936	-162.3669
7300.000000	72.617	-161.8427
7400.000000	73.409	-162.1530
7500.000000	74.302	-163.6421
7620.000000	75.447	-167.6736
7750.000000	76.596	-175.7296
7880.000000	77.316	172.0792
8000.000000	77.322	158.6919
8120.000000	76.634	146.1412
8250.000000	75.310	136.0483
8380.000000	73.715	130.1253
8500.000000	72.242	127.6081
8620.000000	70.891	127.0640
8750.000000	69.598	127.9674
8850.000000	68.720	129.3966
9000.000000	67.581	132.3158
9120.000000	66.810	135.1040
9250.000000	66.103	138.4966
9380.000000	65.519	142.0760
9500.000000	65.075	145.5102
9620.000000	64.720	149.0210
9750.000000	64.435	152.7420
9880.000000	64.242	156.3932
10000.000000	64.133	159.6846
10150.000000	64.090	163.6539
10300.000000	64.146	167.3813
10440.000000	64.281	170.4844
10600.000000	64.512	173.5423
10750.000000	64.796	175.8864
10900.000000	65.117	177.6414
11060.000000	65.463	178.8631
11200.000000	65.732	179.4016
11380.000000	65.986	179.5482
11500.000000	66.071	179.5119
11720.000000	66.061	179.8491
11800.000000	66.021	-179.7479
12060.000000	65.829	-177.0314
12200.000000	65.737	-174.7102
12410.000000	65.700	-170.3807
12500.000000	65.738	-168.3068
12650.000000	65.875	-164.7190
12800.000000	66.106	-161.1641
13150.000000	66.943	-154.1727
13200.000000	67.085	-153.4056
13400.000000	67.670	-151.0684
13600.000000	68.220	-149.8284
13800.000000	68.685	-149.3124
14000.000000	69.050	-149.1430
14300.000000	69.503	-148.8672
14500.000000	69.861	-148.5821
14750.000000	70.484	-148.6810
15000.000000	71.307	-150.7531
15250.000000	72.125	-156.2668
15500.000000	72.617	-165.2534
15750.000000	72.623	-176.2462
16000.000000	72.103	172.0153
16250.000000	70.993	161.2720
16500.000000	69.404	153.6342
16750.000000	67.665	149.3960
17000.000000	66.088	146.9502
17250.000000	64.786	143.8026
17500.000000	63.550	137.2837
17750.000000	61.801	127.4076
18000.000000	58.916	121.1216
18250.000000	54.813	128.7734
18500.000000	50.617	150.0257
18750.000000	48.540	172.3956
19000.000000	48.467	-172.1931
19250.000000	48.868	-163.7312
19500.000000	49.213	-160.1143
19750.000000	49.519	-159.6732
