X,Y
20.000000,90.774
20.299999,90.831
20.600000,90.883
20.900000,90.929
21.200001,90.970
21.400000,90.994
21.799999,91.035
22.000000,91.053
22.400000,91.081
22.700001,91.098
23.000000,91.112
23.299999,91.127
23.600000,91.143
24.000000,91.168
24.299999,91.187
24.700001,91.208
25.000000,91.219
25.400000,91.225
25.799999,91.223
26.200001,91.216
26.500000,91.211
26.900000,91.206
27.200001,91.203
27.600000,91.201
28.000000,91.199
28.500000,91.196
29.000000,91.191
29.500000,91.184
30.000000,91.177
30.400000,91.172
30.700001,91.168
31.100000,91.164
31.500000,91.159
32.000000,91.152
32.500000,91.142
33.000000,91.132
33.500000,91.123
34.000000,91.113
34.500000,91.102
35.000000,91.087
35.500000,91.068
36.000000,91.049
36.500000,91.031
37.000000,91.017
37.500000,91.005
38.200001,90.990
38.700001,90.977
39.500000,90.947
40.000000,90.928
40.599998,90.914
41.200001,90.906
41.799999,90.896
42.500000,90.871
43.099998,90.841
43.700001,90.815
44.400002,90.794
45.000000,90.783
45.500000,90.776
46.200001,90.767
46.799999,90.757
47.500000,90.746
48.200001,90.744
48.700001,90.745
49.400002,90.731
50.000000,90.700
50.799999,90.645
51.500000,90.601
52.200001,90.565
53.000000,90.526
53.799999,90.487
54.500000,90.455
55.200001,90.427
56.000000,90.400
57.000000,90.369
58.000000,90.338
59.000000,90.304
60.000000,90.265
60.799999,90.232
61.500000,90.202
62.200001,90.171
63.000000,90.138
64.000000,90.102
65.000000,90.071
66.000000,90.039
67.000000,90.003
68.000000,89.965
69.000000,89.926
70.000000,89.885
71.000000,89.842
72.000000,89.799
73.000000,89.759
74.000000,89.719
75.000000,89.680
76.199997,89.636
77.500000,89.587
78.800003,89.535
80.000000,89.482
81.199997,89.429
82.500000,89.375
83.800003,89.324
85.000000,89.278
86.199997,89.232
87.500000,89.183
88.500000,89.146
90.000000,89.091
91.199997,89.048
92.500000,89.002
93.800003,88.954
95.000000,88.911
96.199997,88.866
97.500000,88.816
98.800003,88.765
100.000000,88.720
101.500000,88.671
103.000000,88.624
104.400002,88.579
106.000000,88.527
107.500000,88.477
109.000000,88.427
110.599998,88.376
112.000000,88.334
113.800003,88.281
115.000000,88.247
117.199997,88.183
118.000000,88.159
120.599998,88.078
122.000000,88.034
124.099998,87.970
125.000000,87.944
126.500000,87.901
128.000000,87.859
131.500000,87.763
132.000000,87.750
134.000000,87.698
136.000000,87.647
138.000000,87.596
140.000000,87.544
143.000000,87.464
145.000000,87.409
147.500000,87.338
150.000000,87.268
152.500000,87.206
155.000000,87.151
157.500000,87.099
160.000000,87.045
162.500000,86.988
165.000000,86.929
167.500000,86.871
170.000000,86.815
172.500000,86.760
175.000000,86.706
177.500000,86.656
180.000000,86.611
182.500000,86.570
185.000000,86.527
187.500000,86.480
190.000000,86.431
192.500000,86.384
195.000000,86.338
197.500000,86.293
200.000000,86.249
203.000000,86.198
206.000000,86.147
209.000000,86.094
212.000000,86.042
214.000000,86.009
218.000000,85.944
220.000000,85.913
224.000000,85.855
227.000000,85.813
230.000000,85.772
233.000000,85.732
236.000000,85.693
240.000000,85.643
243.000000,85.606
247.000000,85.556
250.000000,85.517
254.000000,85.465
258.000000,85.415
262.000000,85.368
265.000000,85.334
269.000000,85.289
272.000000,85.256
276.000000,85.214
280.000000,85.173
285.000000,85.122
290.000000,85.073
295.000000,85.027
300.000000,84.984
304.000000,84.952
307.000000,84.928
311.000000,84.895
315.000000,84.860
320.000000,84.819
325.000000,84.781
330.000000,84.746
335.000000,84.710
340.000000,84.673
345.000000,84.637
350.000000,84.602
355.000000,84.569
360.000000,84.537
365.000000,84.507
370.000000,84.479
375.000000,84.454
382.000000,84.418
387.000000,84.391
395.000000,84.348
400.000000,84.323
406.000000,84.295
412.000000,84.268
418.000000,84.241
425.000000,84.213
431.000000,84.190
437.000000,84.170
444.000000,84.148
450.000000,84.129
455.000000,84.113
462.000000,84.091
468.000000,84.072
475.000000,84.051
482.000000,84.031
487.000000,84.018
494.000000,83.999
500.000000,83.983
508.000000,83.961
515.000000,83.944
522.000000,83.928
530.000000,83.913
538.000000,83.900
545.000000,83.890
552.000000,83.878
560.000000,83.865
570.000000,83.850
580.000000,83.838
590.000000,83.827
600.000000,83.818
608.000000,83.811
615.000000,83.806
622.000000,83.801
630.000000,83.795
640.000000,83.790
650.000000,83.788
660.000000,83.789
670.000000,83.793
680.000000,83.798
690.000000,83.803
700.000000,83.807
710.000000,83.813
720.000000,83.821
730.000000,83.831
740.000000,83.843
750.000000,83.857
762.000000,83.878
775.000000,83.904
788.000000,83.934
800.000000,83.964
812.000000,83.999
825.000000,84.041
838.000000,84.085
850.000000,84.130
862.000000,84.180
875.000000,84.240
885.000000,84.288
900.000000,84.364
912.000000,84.428
925.000000,84.502
938.000000,84.582
950.000000,84.659
962.000000,84.739
975.000000,84.829
988.000000,84.921
1000.000000,85.009
1015.000000,85.122
1030.000000,85.240
1044.000000,85.352
1060.000000,85.482
1075.000000,85.605
1090.000000,85.730
1106.000000,85.865
1120.000000,85.984
1138.000000,86.141
1150.000000,86.246
1172.000000,86.443
1180.000000,86.516
1206.000000,86.758
1220.000000,86.890
1241.000000,87.087
1250.000000,87.170
1265.000000,87.302
1280.000000,87.425
1315.000000,87.644
1320.000000,87.667
1340.000000,87.744
1360.000000,87.819
1380.000000,87.909
1400.000000,88.016
1430.000000,88.185
1450.000000,88.295
1475.000000,88.424
1500.000000,88.548
1525.000000,88.666
1550.000000,88.783
1575.000000,88.899
1600.000000,89.015
1625.000000,89.130
1650.000000,89.245
1675.000000,89.360
1700.000000,89.477
1725.000000,89.596
1750.000000,89.715
1775.000000,89.835
1800.000000,89.956
1825.000000,90.078
1850.000000,90.201
1875.000000,90.325
1900.000000,90.449
1925.000000,90.574
1950.000000,90.701
1975.000000,90.827
2000.000000,90.954
2030.000000,91.105
2060.000000,91.256
2090.000000,91.407
2120.000000,91.557
2140.000000,91.656
2180.000000,91.851
2200.000000,91.948
2240.000000,92.138
2270.000000,92.276
2300.000000,92.412
2330.000000,92.543
2360.000000,92.669
2400.000000,92.830
2430.000000,92.944
2470.000000,93.086
2500.000000,93.186
2540.000000,93.309
2580.000000,93.420
2620.000000,93.517
2650.000000,93.582
2690.000000,93.658
2720.000000,93.706
2760.000000,93.759
2800.000000,93.800
2850.000000,93.834
2900.000000,93.852
2950.000000,93.855
3000.000000,93.842
3040.000000,93.824
3070.000000,93.805
3110.000000,93.774
3150.000000,93.739
3200.000000,93.689
3250.000000,93.633
3300.000000,93.573
3350.000000,93.511
3400.000000,93.447
3450.000000,93.383
3500.000000,93.320
3550.000000,93.258
3600.000000,93.198
3650.000000,93.141
3700.000000,93.087
3750.000000,93.037
3820.000000,92.972
3870.000000,92.931
3950.000000,92.873
4000.000000,92.841
4060.000000,92.807
4120.000000,92.778
4180.000000,92.752
4250.000000,92.726
4310.000000,92.705
4370.000000,92.685
4440.000000,92.660
4500.000000,92.636
4550.000000,92.612
4620.000000,92.572
4680.000000,92.528
4750.000000,92.466
4820.000000,92.390
