X,Y
20.000000,94.366
20.299999,94.370
20.600000,94.381
20.900000,94.404
21.200001,94.440
21.400000,94.467
21.799999,94.513
22.000000,94.525
22.400000,94.514
22.700001,94.475
23.000000,94.419
23.299999,94.359
23.600000,94.306
24.000000,94.257
24.299999,94.235
24.700001,94.214
25.000000,94.194
25.400000,94.153
25.799999,94.097
26.200001,94.037
26.500000,94.001
26.900000,93.969
27.200001,93.959
27.600000,93.953
28.000000,93.943
28.500000,93.905
29.000000,93.837
29.500000,93.756
30.000000,93.687
30.400000,93.647
30.700001,93.623
31.100000,93.593
31.500000,93.560
32.000000,93.515
32.500000,93.468
33.000000,93.421
33.500000,93.372
34.000000,93.321
34.500000,93.270
35.000000,93.222
35.500000,93.179
36.000000,93.139
36.500000,93.102
37.000000,93.067
37.500000,93.031
38.200001,92.981
38.700001,92.945
39.500000,92.893
40.000000,92.862
40.599998,92.821
41.200001,92.776
41.799999,92.731
42.500000,92.681
43.099998,92.640
43.700001,92.599
44.400002,92.552
45.000000,92.511
45.500000,92.475
46.200001,92.421
46.799999,92.377
47.500000,92.338
48.200001,92.310
48.700001,92.290
49.400002,92.251
50.000000,92.209
50.799999,92.157
51.500000,92.121
52.200001,92.088
53.000000,92.045
53.799999,91.988
54.500000,91.934
55.200001,91.890
56.000000,91.852
57.000000,91.782
58.000000,91.691
59.000000,91.621
60.000000,91.541
60.799999,91.467
61.500000,91.410
62.200001,91.366
63.000000,91.323
64.000000,91.276
65.000000,91.239
66.000000,91.206
67.000000,91.170
68.000000,91.121
69.000000,91.058
70.000000,90.994
71.000000,90.936
72.000000,90.883
73.000000,90.834
74.000000,90.788
75.000000,90.741
76.199997,90.680
77.500000,90.605
78.800003,90.521
80.000000,90.441
81.199997,90.369
82.500000,90.301
83.800003,90.241
85.000000,90.189
86.199997,90.137
87.500000,90.079
88.500000,90.035
90.000000,89.957
91.199997,89.885
92.500000,89.806
93.800003,89.733
95.000000,89.672
96.199997,89.615
97.500000,89.554
98.800003,89.491
100.000000,89.433
101.500000,89.361
103.000000,89.288
104.400002,89.222
106.000000,89.152
107.500000,89.088
109.000000,89.020
110.599998,88.947
112.000000,88.887
113.800003,88.816
115.000000,88.772
117.199997,88.696
118.000000,88.667
120.599998,88.567
122.000000,88.512
124.099998,88.429
125.000000,88.393
126.500000,88.334
128.000000,88.277
131.500000,88.144
132.000000,88.125
134.000000,88.047
136.000000,87.970
138.000000,87.897
140.000000,87.827
143.000000,87.725
145.000000,87.658
147.500000,87.574
150.000000,87.489
152.500000,87.404
155.000000,87.321
157.500000,87.241
160.000000,87.162
162.500000,87.085
165.000000,87.012
167.500000,86.940
170.000000,86.867
172.500000,86.789
175.000000,86.711
177.500000,86.636
180.000000,86.565
182.500000,86.496
185.000000,86.428
187.500000,86.361
190.000000,86.294
192.500000,86.229
195.000000,86.163
197.500000,86.099
200.000000,86.035
203.000000,85.959
206.000000,85.884
209.000000,85.810
212.000000,85.738
214.000000,85.691
218.000000,85.599
220.000000,85.554
224.000000,85.467
227.000000,85.403
230.000000,85.340
233.000000,85.275
236.000000,85.208
240.000000,85.119
243.000000,85.056
247.000000,84.976
250.000000,84.918
254.000000,84.843
258.000000,84.770
262.000000,84.698
265.000000,84.645
269.000000,84.578
272.000000,84.530
276.000000,84.465
280.000000,84.400
285.000000,84.321
290.000000,84.241
295.000000,84.161
300.000000,84.085
304.000000,84.026
307.000000,83.983
311.000000,83.926
315.000000,83.871
320.000000,83.806
325.000000,83.745
330.000000,83.684
335.000000,83.622
340.000000,83.560
345.000000,83.502
350.000000,83.446
355.000000,83.391
360.000000,83.335
365.000000,83.281
370.000000,83.227
375.000000,83.175
382.000000,83.107
387.000000,83.060
395.000000,82.989
400.000000,82.944
406.000000,82.893
412.000000,82.845
418.000000,82.798
425.000000,82.745
431.000000,82.701
437.000000,82.659
444.000000,82.612
450.000000,82.571
455.000000,82.537
462.000000,82.492
468.000000,82.454
475.000000,82.413
482.000000,82.375
487.000000,82.349
494.000000,82.313
500.000000,82.284
508.000000,82.245
515.000000,82.213
522.000000,82.184
530.000000,82.151
538.000000,82.120
545.000000,82.095
552.000000,82.072
560.000000,82.044
570.000000,81.990
580.000000,81.905
590.000000,81.822
600.000000,81.778
608.000000,81.766
615.000000,81.764
622.000000,81.764
630.000000,81.761
640.000000,81.752
650.000000,81.740
660.000000,81.729
670.000000,81.720
680.000000,81.711
690.000000,81.704
700.000000,81.699
710.000000,81.697
720.000000,81.696
730.000000,81.697
740.000000,81.700
750.000000,81.707
762.000000,81.721
775.000000,81.742
788.000000,81.766
800.000000,81.792
812.000000,81.823
825.000000,81.861
838.000000,81.903
850.000000,81.944
862.000000,81.989
875.000000,82.043
885.000000,82.090
900.000000,82.168
912.000000,82.235
925.000000,82.313
938.000000,82.397
950.000000,82.478
962.000000,82.563
975.000000,82.658
988.000000,82.757
1000.000000,82.850
1015.000000,82.971
1030.000000,83.095
