X,Y
20.000000,86.123
20.299999,86.124
20.600000,86.126
20.900000,86.126
21.200001,86.116
21.400000,86.106
21.799999,86.093
22.000000,86.095
22.400000,86.120
22.700001,86.142
23.000000,86.140
23.299999,86.090
23.600000,85.986
24.000000,85.782
24.299999,85.625
24.700001,85.482
25.000000,85.458
25.400000,85.537
25.799999,85.682
26.200001,85.827
26.500000,85.916
26.900000,86.012
27.200001,86.080
27.600000,86.177
28.000000,86.284
28.500000,86.406
29.000000,86.492
29.500000,86.547
30.000000,86.587
30.400000,86.613
30.700001,86.624
31.100000,86.616
31.500000,86.578
32.000000,86.498
32.500000,86.411
33.000000,86.350
33.500000,86.327
34.000000,86.336
34.500000,86.366
35.000000,86.415
35.500000,86.477
36.000000,86.536
36.500000,86.576
37.000000,86.597
37.500000,86.615
38.200001,86.666
38.700001,86.708
39.500000,86.718
40.000000,86.678
40.599998,86.619
41.200001,86.590
41.799999,86.595
42.500000,86.610
43.099998,86.612
43.700001,86.612
44.400002,86.618
45.000000,86.630
45.500000,86.640
46.200001,86.652
46.799999,86.658
47.500000,86.658
48.200001,86.655
48.700001,86.653
49.400002,86.648
50.000000,86.639
50.799999,86.628
51.500000,86.630
52.200001,86.640
53.000000,86.646
53.799999,86.640
54.500000,86.629
55.200001,86.615
56.000000,86.589
57.000000,86.552
58.000000,86.530
59.000000,86.525
60.000000,86.525
60.799999,86.524
61.500000,86.519
62.200001,86.511
63.000000,86.502
64.000000,86.492
65.000000,86.485
66.000000,86.482
67.000000,86.477
68.000000,86.461
69.000000,86.437
70.000000,86.413
71.000000,86.394
72.000000,86.379
73.000000,86.362
74.000000,86.341
75.000000,86.319
76.199997,86.293
77.500000,86.269
78.800003,86.246
80.000000,86.223
81.199997,86.203
82.500000,86.190
83.800003,86.186
85.000000,86.179
86.199997,86.163
87.500000,86.140
88.500000,86.122
90.000000,86.089
91.199997,86.056
92.500000,86.016
93.800003,85.978
95.000000,85.949
96.199997,85.927
97.500000,85.902
98.800003,85.868
100.000000,85.828
101.500000,85.780
103.000000,85.740
104.400002,85.703
106.000000,85.655
107.500000,85.608
109.000000,85.563
110.599998,85.522
112.000000,85.489
113.800003,85.449
115.000000,85.422
117.199997,85.375
118.000000,85.360
120.599998,85.322
122.000000,85.309
124.099998,85.296
125.000000,85.292
126.500000,85.287
128.000000,85.281
131.500000,85.244
132.000000,85.237
134.000000,85.212
136.000000,85.185
138.000000,85.150
140.000000,85.111
143.000000,85.054
145.000000,85.021
147.500000,84.985
150.000000,84.946
152.500000,84.905
155.000000,84.859
157.500000,84.801
160.000000,84.731
162.500000,84.658
165.000000,84.590
167.500000,84.527
170.000000,84.468
172.500000,84.410
175.000000,84.350
177.500000,84.286
180.000000,84.218
182.500000,84.150
185.000000,84.084
187.500000,84.017
190.000000,83.949
192.500000,83.881
195.000000,83.814
197.500000,83.748
200.000000,83.681
203.000000,83.600
206.000000,83.516
209.000000,83.432
212.000000,83.346
214.000000,83.289
218.000000,83.172
220.000000,83.114
224.000000,82.998
227.000000,82.911
230.000000,82.826
233.000000,82.742
236.000000,82.659
240.000000,82.549
243.000000,82.466
247.000000,82.353
250.000000,82.266
254.000000,82.150
258.000000,82.034
262.000000,81.916
265.000000,81.827
269.000000,81.708
272.000000,81.620
276.000000,81.504
280.000000,81.388
285.000000,81.245
290.000000,81.104
295.000000,80.966
300.000000,80.829
304.000000,80.721
307.000000,80.641
311.000000,80.535
315.000000,80.431
320.000000,80.304
325.000000,80.181
330.000000,80.062
335.000000,79.945
340.000000,79.829
345.000000,79.717
350.000000,79.612
355.000000,79.517
360.000000,79.431
365.000000,79.351
370.000000,79.275
375.000000,79.205
382.000000,79.121
387.000000,79.072
395.000000,79.007
400.000000,78.975
406.000000,78.947
412.000000,78.929
418.000000,78.922
425.000000,78.927
431.000000,78.941
437.000000,78.962
444.000000,78.997
450.000000,79.036
455.000000,79.075
462.000000,79.137
468.000000,79.197
475.000000,79.271
482.000000,79.349
487.000000,79.406
494.000000,79.489
500.000000,79.563
508.000000,79.664
515.000000,79.757
522.000000,79.851
530.000000,79.960
538.000000,80.068
545.000000,80.160
552.000000,80.248
560.000000,80.344
570.000000,80.459
580.000000,80.568
590.000000,80.674
600.000000,80.775
608.000000,80.850
615.000000,80.911
622.000000,80.967
630.000000,81.025
640.000000,81.091
650.000000,81.150
660.000000,81.205
670.000000,81.255
680.000000,81.300
690.000000,81.341
700.000000,81.378
710.000000,81.411
720.000000,81.441
730.000000,81.469
740.000000,81.497
750.000000,81.525
762.000000,81.558
775.000000,81.592
788.000000,81.623
800.000000,81.648
812.000000,81.673
825.000000,81.702
838.000000,81.738
850.000000,81.776
862.000000,81.818
875.000000,81.864
885.000000,81.900
900.000000,81.952
912.000000,81.993
925.000000,82.038
938.000000,82.087
950.000000,82.138
962.000000,82.193
975.000000,82.258
988.000000,82.326
1000.000000,82.390
1015.000000,82.469
1030.000000,82.548
1044.000000,82.624
1060.000000,82.715
1075.000000,82.803
1090.000000,82.893
1106.000000,82.987
1120.000000,83.067
1138.000000,83.167
1150.000000,83.233
1172.000000,83.352
1180.000000,83.395
1206.000000,83.533
1220.000000,83.608
1241.000000,83.718
1250.000000,83.764
1265.000000,83.838
1280.000000,83.910
1315.000000,84.072
1320.000000,84.095
1340.000000,84.188
1360.000000,84.282
1380.000000,84.377
1400.000000,84.470
1430.000000,84.606
1450.000000,84.694
1475.000000,84.803
1500.000000,84.913
1525.000000,85.026
1550.000000,85.143
1575.000000,85.265
1600.000000,85.388
1625.000000,85.512
1650.000000,85.635
1675.000000,85.759
1700.000000,85.885
1725.000000,86.014
1750.000000,86.143
1775.000000,86.272
1800.000000,86.399
