X,Y
1.000000,44.157
1.015000,44.216
1.030000,44.276
1.044000,44.331
1.060000,44.395
1.075000,44.455
1.090000,44.515
1.106000,44.580
1.120000,44.636
1.138000,44.708
1.150000,44.757
1.172000,44.845
1.180000,44.877
1.206000,44.981
1.220000,45.037
1.241000,45.120
1.250000,45.155
1.265000,45.214
1.280000,45.273
1.315000,45.408
1.320000,45.427
1.340000,45.503
1.360000,45.579
1.380000,45.654
1.400000,45.728
1.430000,45.839
1.450000,45.913
1.475000,46.005
1.500000,46.095
1.525000,46.185
1.550000,46.274
1.575000,46.362
1.600000,46.450
1.625000,46.536
1.650000,46.621
1.675000,46.705
1.700000,46.788
1.725000,46.870
1.750000,46.950
1.775000,47.030
1.800000,47.109
1.825000,47.187
1.850000,47.265
1.875000,47.341
1.900000,47.416
1.925000,47.490
1.950000,47.564
1.975000,47.636
2.000000,47.708
2.030000,47.792
2.060000,47.875
2.090000,47.957
2.120000,48.037
2.140000,48.090
2.180000,48.194
2.200000,48.245
2.240000,48.345
2.270000,48.420
2.300000,48.493
2.330000,48.565
2.360000,48.636
2.400000,48.730
2.430000,48.798
2.470000,48.888
2.500000,48.954
2.540000,49.040
2.580000,49.125
2.620000,49.209
2.650000,49.271
2.690000,49.353
2.720000,49.414
2.760000,49.494
2.800000,49.572
2.850000,49.669
2.900000,49.764
2.950000,49.858
3.000000,49.951
3.040000,50.025
3.070000,50.081
3.110000,50.154
3.150000,50.227
3.200000,50.317
3.250000,50.407
3.300000,50.496
3.350000,50.585
3.400000,50.674
3.450000,50.762
3.500000,50.851
3.550000,50.938
3.600000,51.026
3.650000,51.112
3.700000,51.198
3.750000,51.283
3.820000,51.402
3.870000,51.487
3.950000,51.619
4.000000,51.700
4.060000,51.795
4.120000,51.888
4.180000,51.980
4.250000,52.084
4.310000,52.171
4.370000,52.254
4.440000,52.349
4.500000,52.426
4.550000,52.489
4.620000,52.575
4.680000,52.646
4.750000,52.727
4.820000,52.804
4.870000,52.858
4.940000,52.931
5.000000,52.995
5.080000,53.080
5.150000,53.154
5.220000,53.227
5.300000,53.314
5.380000,53.406
5.450000,53.492
5.520000,53.580
5.600000,53.685
5.700000,53.826
5.800000,53.980
5.900000,54.146
6.000000,54.320
6.080000,54.464
6.150000,54.595
6.220000,54.731
6.300000,54.889
6.400000,55.087
6.500000,55.285
6.600000,55.485
6.700000,55.681
6.800000,55.870
6.900000,56.055
7.000000,56.234
7.100000,56.406
7.200000,56.570
7.300000,56.727
7.400000,56.878
7.500000,57.022
7.620000,57.187
7.750000,57.358
7.880000,57.522
8.000000,57.667
8.120000,57.807
8.250000,57.953
8.380000,58.091
8.500000,58.212
8.620000,58.326
8.750000,58.439
8.850000,58.519
9.000000,58.627
9.120000,58.703
9.250000,58.774
9.380000,58.836
9.500000,58.887
9.620000,58.931
9.750000,58.975
9.880000,59.017
10.000000,59.054
10.150000,59.101
10.300000,59.149
10.440000,59.194
10.600000,59.246
10.750000,59.290
10.900000,59.326
11.060000,59.356
11.200000,59.371
11.380000,59.375
11.500000,59.371
11.720000,59.349
11.800000,59.343
12.060000,59.332
12.200000,59.349
12.410000,59.407
12.500000,59.449
12.650000,59.541
12.800000,59.654
13.150000,59.979
13.200000,60.028
13.400000,60.219
13.600000,60.385
13.800000,60.522
14.000000,60.622
14.300000,60.719
14.500000,60.762
14.750000,60.808
15.000000,60.873
15.250000,60.962
15.500000,61.075
15.750000,61.202
16.000000,61.323
16.250000,61.431
16.500000,61.522
16.750000,61.600
17.000000,61.673
17.250000,61.748
17.500000,61.824
17.750000,61.896
18.000000,61.953
18.250000,61.988
18.500000,61.997
18.750000,61.987
19.000000,61.970
19.250000,61.962
19.500000,61.973
19.750000,62.010
20.000000,62.066
20.299999,62.143
20.600000,62.211
20.900000,62.258
21.200001,62.283
21.400000,62.291
21.799999,62.296
22.000000,62.295
22.400000,62.284
22.700001,62.272
23.000000,62.270
23.299999,62.297
23.600000,62.369
24.000000,62.526
24.299999,62.649
24.700001,62.743
25.000000,62.732
25.400000,62.622
25.799999,62.502
26.200001,62.483
26.500000,62.548
26.900000,62.665
27.200001,62.715
27.600000,62.703
28.000000,62.677
28.500000,62.826
29.000000,63.176
29.500000,63.415
30.000000,63.265
30.400000,62.903
30.700001,62.629
31.100000,62.477
31.500000,62.659
32.000000,63.075
32.500000,63.283
33.000000,63.156
33.500000,62.905
34.000000,62.855
34.500000,63.073
35.000000,63.328
35.500000,63.401
36.000000,63.257
36.500000,63.031
37.000000,62.921
37.500000,63.013
38.200001,63.239
38.700001,63.265
39.500000,63.104
40.000000,63.057
40.599998,63.092
41.200001,63.107
41.799999,63.110
42.500000,63.229
43.099998,63.346
43.700001,63.306
44.400002,63.131
45.000000,63.071
45.500000,63.076
46.200001,62.999
46.799999,62.876
47.500000,62.916
48.200001,63.098
48.700001,63.115
49.400002,62.959
50.000000,62.939
50.799999,63.257
51.500000,63.435
52.200001,63.309
53.000000,63.173
53.799999,63.260
54.500000,63.289
55.200001,63.247
56.000000,63.195
57.000000,63.028
58.000000,63.091
59.000000,63.321
60.000000,63.250
