X,Y
1.000000,34.363
1.015000,34.128
1.030000,33.907
1.044000,33.717
1.060000,33.520
1.075000,33.359
1.090000,33.221
1.106000,33.087
1.120000,32.972
1.138000,32.832
1.150000,32.744
1.172000,32.601
1.180000,32.556
1.206000,32.439
1.220000,32.398
1.241000,32.369
1.250000,32.371
1.265000,32.394
1.280000,32.444
1.315000,32.678
1.320000,32.726
1.340000,32.958
1.360000,33.274
1.380000,33.676
1.400000,34.152
1.430000,34.973
1.450000,35.574
1.475000,36.360
1.500000,37.161
1.525000,37.951
1.550000,38.704
1.575000,39.394
1.600000,40.006
1.625000,40.594
1.650000,41.170
1.675000,41.732
1.700000,42.277
1.725000,42.804
1.750000,43.310
1.775000,43.795
1.800000,44.255
1.825000,44.690
1.850000,45.096
1.875000,45.468
1.900000,45.810
1.925000,46.126
1.950000,46.420
1.975000,46.696
2.000000,46.959
2.030000,47.263
2.060000,47.561
2.090000,47.862
2.120000,48.157
2.140000,48.346
2.180000,48.706
2.200000,48.879
2.240000,49.210
2.270000,49.449
2.300000,49.680
2.330000,49.906
2.360000,50.126
2.400000,50.406
2.430000,50.606
2.470000,50.861
2.500000,51.044
2.540000,51.278
2.580000,51.503
2.620000,51.717
2.650000,51.870
2.690000,52.064
2.720000,52.202
2.760000,52.377
2.800000,52.544
2.850000,52.741
2.900000,52.923
2.950000,53.091
3.000000,53.246
3.040000,53.361
3.070000,53.442
3.110000,53.545
3.150000,53.639
3.200000,53.746
3.250000,53.842
3.300000,53.927
3.350000,54.003
3.400000,54.068
3.450000,54.123
3.500000,54.168
3.550000,54.205
3.600000,54.235
3.650000,54.255
3.700000,54.267
3.750000,54.273
3.820000,54.273
3.870000,54.270
3.950000,54.251
4.000000,54.235
4.060000,54.217
4.120000,54.202
4.180000,54.182
4.250000,54.162
4.310000,54.161
4.370000,54.183
4.440000,54.228
4.500000,54.285
4.550000,54.350
4.620000,54.469
4.680000,54.597
4.750000,54.775
4.820000,54.981
4.870000,55.145
4.940000,55.404
5.000000,55.647
5.080000,55.987
5.150000,56.301
5.220000,56.636
5.300000,57.021
5.380000,57.391
5.450000,57.710
5.520000,58.022
5.600000,58.361
5.700000,58.761
5.800000,59.130
5.900000,59.460
6.000000,59.754
6.080000,59.959
6.150000,60.117
6.220000,60.255
6.300000,60.389
6.400000,60.523
6.500000,60.617
6.600000,60.682
6.700000,60.714
6.800000,60.719
6.900000,60.704
7.000000,60.667
7.100000,60.622
7.200000,60.569
7.300000,60.516
7.400000,60.481
7.500000,60.461
7.620000,60.464
7.750000,60.505
7.880000,60.589
8.000000,60.706
8.120000,60.849
8.250000,61.036
8.380000,61.228
8.500000,61.408
8.620000,61.580
8.750000,61.754
8.850000,61.875
9.000000,62.033
9.120000,62.135
9.250000,62.219
9.380000,62.283
9.500000,62.323
9.620000,62.348
9.750000,62.356
9.880000,62.346
10.000000,62.322
10.150000,62.265
10.300000,62.178
10.440000,62.087
10.600000,61.971
10.750000,61.853
10.900000,61.729
11.060000,61.592
11.200000,61.474
11.380000,61.333
11.500000,61.253
11.720000,61.151
11.800000,61.129
12.060000,61.139
12.200000,61.192
12.410000,61.316
12.500000,61.382
12.650000,61.497
12.800000,61.616
13.150000,61.846
13.200000,61.870
13.400000,61.939
13.600000,61.966
13.800000,61.951
14.000000,61.896
14.300000,61.765
14.500000,61.663
14.750000,61.532
15.000000,61.416
15.250000,61.322
15.500000,61.249
15.750000,61.196
16.000000,61.163
16.250000,61.156
16.500000,61.183
16.750000,61.250
17.000000,61.361
17.250000,61.504
17.500000,61.660
17.750000,61.813
18.000000,61.946
18.250000,62.047
18.500000,62.111
18.750000,62.138
19.000000,62.133
19.250000,62.108
19.500000,62.075
19.750000,62.044
20.000000,62.024
20.299999,62.019
20.600000,62.029
20.900000,62.046
21.200001,62.057
21.400000,62.057
21.799999,62.040
22.000000,62.026
22.400000,62.002
22.700001,61.994
23.000000,61.997
23.299999,62.005
23.600000,62.013
24.000000,62.016
24.299999,62.012
24.700001,61.999
25.000000,61.992
25.400000,61.984
25.799999,61.977
26.200001,61.961
26.500000,61.943
26.900000,61.919
27.200001,61.905
27.600000,61.897
28.000000,61.898
28.500000,61.901
29.000000,61.897
29.500000,61.890
30.000000,61.890
30.400000,61.897
30.700001,61.900
31.100000,61.897
31.500000,61.884
32.000000,61.866
32.500000,61.857
33.000000,61.860
33.500000,61.866
34.000000,61.872
34.500000,61.873
35.000000,61.866
35.500000,61.846
36.000000,61.808
36.500000,61.767
37.000000,61.742
37.500000,61.736
38.200001,61.740
38.700001,61.735
39.500000,61.711
40.000000,61.693
40.599998,61.672
41.200001,61.654
41.799999,61.641
42.500000,61.637
43.099998,61.634
43.700001,61.610
44.400002,61.570
45.000000,61.561
45.500000,61.562
46.200001,61.521
46.799999,61.446
47.500000,61.387
48.200001,61.356
48.700001,61.318
49.400002,61.302
50.000000,61.388
50.799999,61.517
51.500000,61.480
52.200001,61.382
53.000000,61.353
53.799999,61.349
54.500000,61.317
55.200001,61.301
56.000000,61.290
57.000000,61.253
58.000000,61.234
