X,Y
20.000000,96.485
20.299999,96.455
20.600000,96.450
20.900000,96.469
21.200001,96.501
21.400000,96.521
21.799999,96.547
22.000000,96.547
22.400000,96.524
22.700001,96.492
23.000000,96.458
23.299999,96.429
23.600000,96.408
24.000000,96.394
24.299999,96.394
24.700001,96.399
25.000000,96.400
25.400000,96.385
25.799999,96.338
26.200001,96.258
26.500000,96.187
26.900000,96.100
27.200001,96.054
27.600000,96.025
28.000000,96.015
28.500000,95.982
29.000000,95.909
29.500000,95.831
30.000000,95.798
30.400000,95.823
30.700001,95.860
31.100000,95.915
31.500000,95.953
32.000000,95.942
32.500000,95.852
33.000000,95.722
33.500000,95.632
34.000000,95.624
34.500000,95.643
35.000000,95.588
35.500000,95.427
36.000000,95.240
36.500000,95.132
37.000000,95.127
37.500000,95.152
38.200001,95.129
38.700001,95.082
39.500000,94.997
40.000000,94.913
40.599998,94.797
41.200001,94.732
41.799999,94.722
42.500000,94.691
43.099998,94.597
43.700001,94.519
44.400002,94.504
45.000000,94.490
45.500000,94.430
46.200001,94.306
46.799999,94.233
47.500000,94.202
48.200001,94.175
48.700001,94.131
49.400002,94.027
50.000000,93.939
50.799999,93.907
51.500000,93.912
52.200001,93.860
53.000000,93.785
53.799999,93.750
54.500000,93.675
55.200001,93.579
56.000000,93.556
57.000000,93.486
58.000000,93.335
59.000000,93.395
60.000000,93.302
60.799999,93.239
61.500000,93.271
62.200001,93.142
63.000000,92.880
64.000000,92.873
65.000000,92.809
66.000000,92.725
67.000000,92.755
68.000000,92.594
69.000000,92.531
70.000000,92.508
71.000000,92.399
72.000000,92.343
73.000000,92.292
74.000000,92.195
75.000000,92.131
76.199997,92.104
77.500000,91.997
78.800003,91.912
80.000000,91.880
81.199997,91.740
82.500000,91.681
83.800003,91.563
85.000000,91.553
86.199997,91.519
87.500000,91.416
88.500000,91.344
90.000000,91.294
91.199997,91.279
92.500000,91.202
93.800003,91.100
95.000000,91.043
96.199997,90.955
97.500000,90.898
98.800003,90.808
100.000000,90.761
101.500000,90.705
103.000000,90.670
104.400002,90.578
106.000000,90.491
107.500000,90.396
109.000000,90.398
110.599998,90.331
112.000000,90.288
113.800003,90.218
115.000000,90.186
117.199997,90.080
118.000000,90.100
120.599998,89.847
122.000000,89.911
124.099998,89.847
125.000000,89.778
126.500000,89.811
128.000000,89.731
