X,Y
20.000000,103.313
20.299999,103.267
20.600000,103.221
20.900000,103.176
21.200001,103.132
21.400000,103.102
21.799999,103.045
22.000000,103.017
22.400000,102.962
22.700001,102.921
23.000000,102.882
23.299999,102.842
23.600000,102.804
24.000000,102.753
24.299999,102.715
24.700001,102.664
25.000000,102.626
25.400000,102.576
25.799999,102.525
26.200001,102.473
26.500000,102.434
26.900000,102.382
27.200001,102.342
27.600000,102.288
28.000000,102.233
28.500000,102.164
29.000000,102.094
29.500000,102.023
30.000000,101.951
30.400000,101.893
30.700001,101.850
31.100000,101.792
31.500000,101.735
32.000000,101.663
32.500000,101.591
33.000000,101.519
33.500000,101.448
34.000000,101.378
34.500000,101.308
35.000000,101.238
35.500000,101.168
36.000000,101.099
36.500000,101.031
37.000000,100.962
37.500000,100.894
38.200001,100.799
38.700001,100.731
39.500000,100.623
40.000000,100.557
40.599998,100.477
41.200001,100.398
41.799999,100.320
42.500000,100.229
43.099998,100.153
43.700001,100.077
44.400002,99.989
45.000000,99.915
45.500000,99.853
46.200001,99.768
46.799999,99.696
47.500000,99.613
48.200001,99.530
48.700001,99.471
49.400002,99.390
50.000000,99.320
50.799999,99.228
51.500000,99.148
52.200001,99.069
53.000000,98.979
53.799999,98.890
54.500000,98.812
55.200001,98.735
56.000000,98.647
57.000000,98.538
58.000000,98.431
59.000000,98.325
60.000000,98.221
60.799999,98.139
61.500000,98.067
62.200001,97.997
63.000000,97.917
64.000000,97.818
65.000000,97.721
66.000000,97.625
67.000000,97.529
68.000000,97.435
69.000000,97.341
70.000000,97.247
71.000000,97.155
72.000000,97.063
73.000000,96.971
74.000000,96.881
75.000000,96.791
76.199997,96.683
77.500000,96.568
78.800003,96.455
80.000000,96.351
81.199997,96.249
82.500000,96.139
83.800003,96.031
85.000000,95.933
86.199997,95.836
87.500000,95.733
88.500000,95.654
90.000000,95.538
91.199997,95.447
92.500000,95.350
93.800003,95.253
95.000000,95.166
96.199997,95.079
97.500000,94.987
98.800003,94.895
100.000000,94.812
101.500000,94.709
103.000000,94.607
104.400002,94.513
106.000000,94.406
107.500000,94.307
109.000000,94.209
110.599998,94.106
112.000000,94.017
113.800003,93.904
115.000000,93.829
117.199997,93.695
118.000000,93.646
120.599998,93.492
122.000000,93.410
124.099998,93.289
125.000000,93.239
126.500000,93.155
128.000000,93.073
131.500000,92.887
132.000000,92.861
134.000000,92.760
136.000000,92.661
138.000000,92.564
140.000000,92.470
143.000000,92.332
145.000000,92.241
147.500000,92.127
150.000000,92.012
152.500000,91.894
155.000000,91.773
157.500000,91.649
160.000000,91.526
162.500000,91.405
165.000000,91.287
167.500000,91.174
170.000000,91.067
172.500000,90.966
175.000000,90.871
177.500000,90.780
180.000000,90.695
182.500000,90.613
185.000000,90.536
187.500000,90.462
190.000000,90.390
192.500000,90.321
195.000000,90.252
197.500000,90.184
200.000000,90.115
203.000000,90.031
206.000000,89.945
209.000000,89.858
212.000000,89.769
214.000000,89.709
218.000000,89.588
220.000000,89.527
224.000000,89.405
227.000000,89.313
230.000000,89.221
233.000000,89.131
236.000000,89.041
240.000000,88.924
243.000000,88.839
247.000000,88.729
250.000000,88.648
254.000000,88.545
258.000000,88.444
262.000000,88.346
265.000000,88.275
269.000000,88.182
272.000000,88.113
276.000000,88.023
280.000000,87.935
285.000000,87.828
290.000000,87.724
295.000000,87.622
300.000000,87.523
304.000000,87.446
307.000000,87.390
311.000000,87.316
315.000000,87.243
320.000000,87.155
325.000000,87.069
330.000000,86.985
335.000000,86.903
340.000000,86.823
345.000000,86.746
350.000000,86.670
355.000000,86.597
360.000000,86.525
365.000000,86.456
370.000000,86.389
375.000000,86.324
382.000000,86.237
387.000000,86.178
395.000000,86.087
400.000000,86.033
406.000000,85.970
412.000000,85.909
418.000000,85.848
425.000000,85.778
431.000000,85.717
437.000000,85.657
444.000000,85.585
450.000000,85.524
455.000000,85.473
462.000000,85.401
468.000000,85.339
475.000000,85.266
482.000000,85.193
487.000000,85.140
494.000000,85.064
500.000000,84.999
508.000000,84.910
515.000000,84.830
522.000000,84.750
530.000000,84.658
538.000000,84.567
545.000000,84.489
552.000000,84.414
560.000000,84.332
570.000000,84.237
580.000000,84.152
590.000000,84.078
600.000000,84.016
608.000000,83.976
615.000000,83.948
622.000000,83.926
630.000000,83.909
640.000000,83.900
650.000000,83.904
660.000000,83.922
670.000000,83.955
680.000000,84.002
690.000000,84.063
700.000000,84.138
710.000000,84.226
720.000000,84.326
730.000000,84.437
740.000000,84.558
750.000000,84.687
762.000000,84.851
775.000000,85.037
788.000000,85.227
800.000000,85.404
812.000000,85.579
825.000000,85.765
838.000000,85.944
850.000000,86.103
862.000000,86.255
875.000000,86.412
885.000000,86.527
900.000000,86.692
912.000000,86.817
925.000000,86.947
938.000000,87.071
950.000000,87.182
962.000000,87.289
975.000000,87.401
988.000000,87.511
1000.000000,87.609
1015.000000,87.729
1030.000000,87.847
1044.000000,87.956
1060.000000,88.078
1075.000000,88.192
1090.000000,88.305
1106.000000,88.426
1120.000000,88.532
1138.000000,88.669
1150.000000,88.762
1172.000000,88.935
1180.000000,88.998
1206.000000,89.209
1220.000000,89.324
1241.000000,89.500
1250.000000,89.577
1265.000000,89.705
1280.000000,89.834
1315.000000,90.138
1320.000000,90.182
1340.000000,90.357
1360.000000,90.533
1380.000000,90.710
1400.000000,90.888
1430.000000,91.157
1450.000000,91.338
1475.000000,91.564
1500.000000,91.789
1525.000000,92.015
1550.000000,92.240
1575.000000,92.466
1600.000000,92.692
1625.000000,92.920
1650.000000,93.148
1675.000000,93.377
1700.000000,93.607
1725.000000,93.838
1750.000000,94.068
1775.000000,94.296
1800.000000,94.523
1825.000000,94.747
1850.000000,94.967
1875.000000,95.181
1900.000000,95.390
1925.000000,95.591
1950.000000,95.784
1975.000000,95.968
2000.000000,96.141
2030.000000,96.334
2060.000000,96.510
2090.000000,96.667
2120.000000,96.805
2140.000000,96.885
2180.000000,97.020
2200.000000,97.073
2240.000000,97.153
2270.000000,97.190
2300.000000,97.208
2330.000000,97.208
2360.000000,97.191
2400.000000,97.145
2430.000000,97.094
2470.000000,97.008
2500.000000,96.932
2540.000000,96.816
2580.000000,96.689
2620.000000,96.554
2650.000000,96.449
2690.000000,96.307
2720.000000,96.199
2760.000000,96.058
2800.000000,95.920
2850.000000,95.756
2900.000000,95.605
2950.000000,95.468
3000.000000,95.349
3040.000000,95.267
3070.000000,95.215
3110.000000,95.156
3150.000000,95.112
3200.000000,95.076
3250.000000,95.064
3300.000000,95.076
3350.000000,95.111
3400.000000,95.170
3450.000000,95.249
3500.000000,95.349
3550.000000,95.466
3600.000000,95.596
3650.000000,95.738
3700.000000,95.886
3750.000000,96.036
3820.000000,96.243
3870.000000,96.381
3950.000000,96.575
4000.000000,96.673
4060.000000,96.760
4120.000000,96.809
4180.000000,96.815
4250.000000,96.766
4310.000000,96.673
4370.000000,96.532
4440.000000,96.311
4500.000000,96.074
4550.000000,95.846
4620.000000,95.485
4680.000000,95.141
4750.000000,94.707
4820.000000,94.246
4870.000000,93.903
4940.000000,93.412
5000.000000,92.986
5080.000000,92.418
5150.000000,91.927
5220.000000,91.450
5300.000000,90.928
5380.000000,90.439
5450.000000,90.042
5520.000000,89.680
5600.000000,89.312
5700.000000,88.927
5800.000000,88.633
5900.000000,88.433
6000.000000,88.330
6080.000000,88.317
6150.000000,88.358
6220.000000,88.446
6300.000000,88.604
6400.000000,88.887
6500.000000,89.263
6600.000000,89.728
6700.000000,90.274
6800.000000,90.889
6900.000000,91.559
7000.000000,92.263
7100.000000,92.980
7200.000000,93.689
7300.000000,94.369
7400.000000,95.001
7500.000000,95.570
7620.000000,96.149
7750.000000,96.628
7880.000000,96.936
8000.000000,97.063
8120.000000,97.039
8250.000000,96.852
