X,Y
20.000000,89.076
20.299999,89.105
20.600000,89.132
20.900000,89.158
21.200001,89.184
21.400000,89.201
21.799999,89.235
22.000000,89.252
22.400000,89.286
22.700001,89.311
23.000000,89.333
23.299999,89.352
23.600000,89.368
24.000000,89.387
24.299999,89.401
24.700001,89.422
25.000000,89.438
25.400000,89.459
25.799999,89.474
26.200001,89.484
26.500000,89.488
26.900000,89.491
27.200001,89.493
27.600000,89.499
28.000000,89.508
28.500000,89.519
29.000000,89.527
29.500000,89.529
30.000000,89.529
30.400000,89.534
30.700001,89.540
31.100000,89.548
31.500000,89.556
32.000000,89.560
32.500000,89.558
33.000000,89.555
33.500000,89.554
34.000000,89.553
34.500000,89.548
35.000000,89.539
35.500000,89.531
36.000000,89.529
36.500000,89.531
37.000000,89.531
37.500000,89.523
38.200001,89.501
38.700001,89.484
39.500000,89.469
40.000000,89.460
40.599998,89.435
41.200001,89.393
41.799999,89.360
42.500000,89.371
43.099998,89.385
43.700001,89.371
44.400002,89.336
45.000000,89.316
45.500000,89.305
46.200001,89.286
46.799999,89.277
47.500000,89.276
48.200001,89.260
48.700001,89.241
49.400002,89.223
50.000000,89.213
50.799999,89.181
51.500000,89.151
52.200001,89.141
53.000000,89.132
53.799999,89.093
54.500000,89.073
55.200001,89.087
56.000000,89.066
57.000000,89.007
58.000000,89.005
59.000000,88.874
60.000000,88.926
60.799999,88.995
61.500000,88.896
62.200001,88.805
63.000000,88.795
64.000000,88.742
65.000000,88.731
66.000000,88.681
67.000000,88.624
68.000000,88.605
69.000000,88.547
70.000000,88.516
71.000000,88.492
72.000000,88.461
73.000000,88.407
74.000000,88.356
75.000000,88.317
76.199997,88.276
77.500000,88.216
78.800003,88.167
80.000000,88.112
81.199997,88.062
82.500000,88.029
83.800003,87.955
85.000000,87.907
86.199997,87.884
87.500000,87.811
88.500000,87.791
90.000000,87.734
91.199997,87.681
92.500000,87.632
93.800003,87.608
95.000000,87.544
96.199997,87.511
97.500000,87.479
98.800003,87.388
100.000000,87.345
