X,Y
20.299999,84.084
20.600000,84.083
20.900000,84.080
21.200001,84.077
21.400000,84.076
21.799999,84.085
22.000000,84.094
22.400000,84.121
22.700001,84.141
23.000000,84.158
23.299999,84.173
23.600000,84.189
24.000000,84.214
24.299999,84.238
24.700001,84.275
25.000000,84.301
25.400000,84.328
25.799999,84.345
26.200001,84.358
26.500000,84.369
26.900000,84.386
27.200001,84.400
27.600000,84.416
28.000000,84.423
28.500000,84.422
29.000000,84.418
29.500000,84.420
30.000000,84.433
30.400000,84.445
30.700001,84.455
31.100000,84.467
31.500000,84.482
32.000000,84.504
32.500000,84.527
33.000000,84.540
33.500000,84.541
34.000000,84.534
34.500000,84.528
35.000000,84.530
35.500000,84.538
36.000000,84.547
36.500000,84.556
37.000000,84.562
37.500000,84.567
38.200001,84.570
38.700001,84.573
39.500000,84.580
40.000000,84.585
40.599998,84.591
41.200001,84.596
41.799999,84.601
42.500000,84.609
43.099998,84.614
43.700001,84.616
44.400002,84.618
45.000000,84.619
45.500000,84.619
46.200001,84.615
46.799999,84.607
47.500000,84.597
48.200001,84.594
48.700001,84.598
49.400002,84.607
50.000000,84.607
50.799999,84.594
51.500000,84.589
52.200001,84.602
53.000000,84.624
53.799999,84.633
54.500000,84.631
55.200001,84.630
56.000000,84.634
57.000000,84.635
58.000000,84.615
59.000000,84.600
60.000000,84.600
60.799999,84.598
61.500000,84.596
62.200001,84.595
63.000000,84.591
64.000000,84.584
65.000000,84.582
66.000000,84.579
67.000000,84.573
68.000000,84.562
69.000000,84.551
70.000000,84.546
71.000000,84.545
72.000000,84.542
73.000000,84.538
74.000000,84.535
75.000000,84.526
76.199997,84.517
77.500000,84.518
78.800003,84.497
80.000000,84.498
81.199997,84.508
82.500000,84.491
83.800003,84.452
85.000000,84.423
86.199997,84.412
87.500000,84.422
88.500000,84.432
90.000000,84.429
91.199997,84.414
92.500000,84.406
93.800003,84.400
95.000000,84.389
96.199997,84.383
97.500000,84.373
98.800003,84.353
100.000000,84.342
101.500000,84.337
103.000000,84.327
104.400002,84.314
106.000000,84.299
107.500000,84.293
109.000000,84.283
110.599998,84.270
112.000000,84.271
113.800003,84.257
115.000000,84.230
117.199997,84.194
118.000000,84.188
120.599998,84.184
122.000000,84.182
124.099998,84.189
125.000000,84.190
126.500000,84.169
128.000000,84.124
131.500000,84.153
132.000000,84.137
134.000000,84.000
136.000000,83.964
138.000000,83.999
140.000000,84.055
143.000000,84.113
145.000000,83.986
147.500000,83.756
150.000000,83.731
152.500000,83.762
155.000000,83.753
157.500000,83.744
160.000000,83.732
162.500000,83.674
165.000000,83.644
167.500000,83.634
170.000000,83.617
172.500000,83.592
175.000000,83.571
177.500000,83.553
180.000000,83.526
182.500000,83.496
185.000000,83.466
187.500000,83.438
190.000000,83.412
192.500000,83.388
195.000000,83.364
197.500000,83.332
200.000000,83.301
203.000000,83.278
206.000000,83.257
209.000000,83.218
212.000000,83.163
214.000000,83.127
218.000000,83.095
220.000000,83.090
224.000000,83.045
227.000000,83.066
230.000000,83.096
233.000000,83.004
236.000000,82.863
240.000000,82.822
243.000000,82.808
247.000000,82.749
250.000000,82.714
254.000000,82.687
258.000000,82.646
262.000000,82.594
265.000000,82.559
269.000000,82.511
272.000000,82.482
276.000000,82.450
280.000000,82.409
285.000000,82.348
290.000000,82.291
295.000000,82.239
300.000000,82.189
304.000000,82.150
307.000000,82.122
311.000000,82.081
315.000000,82.038
320.000000,81.988
325.000000,81.939
330.000000,81.889
335.000000,81.839
340.000000,81.794
345.000000,81.747
350.000000,81.698
355.000000,81.650
360.000000,81.606
365.000000,81.567
370.000000,81.523
375.000000,81.477
382.000000,81.414
387.000000,81.369
395.000000,81.303
400.000000,81.261
406.000000,81.210
412.000000,81.162
418.000000,81.115
425.000000,81.062
431.000000,81.016
437.000000,80.970
444.000000,80.918
450.000000,80.874
455.000000,80.840
462.000000,80.796
468.000000,80.756
475.000000,80.701
482.000000,80.653
487.000000,80.624
494.000000,80.583
500.000000,80.546
508.000000,80.497
515.000000,80.448
522.000000,80.393
530.000000,80.351
538.000000,80.317
545.000000,80.283
552.000000,80.246
560.000000,80.205
570.000000,80.155
580.000000,80.107
590.000000,80.061
600.000000,80.006
608.000000,79.963
615.000000,79.928
622.000000,79.900
630.000000,79.870
640.000000,79.825
650.000000,79.789
660.000000,79.766
670.000000,79.748
680.000000,79.729
690.000000,79.706
700.000000,79.693
710.000000,79.684
720.000000,79.674
730.000000,79.666
740.000000,79.659
750.000000,79.657
762.000000,79.647
775.000000,79.631
788.000000,79.634
800.000000,79.659
812.000000,79.683
825.000000,79.707
838.000000,79.735
850.000000,79.764
862.000000,79.798
875.000000,79.839
885.000000,79.877
900.000000,79.942
912.000000,79.999
925.000000,80.063
938.000000,80.127
950.000000,80.197
962.000000,80.277
975.000000,80.365
988.000000,80.453
1000.000000,80.536
1015.000000,80.645
1030.000000,80.757
1044.000000,80.867
1060.000000,81.001
1075.000000,81.125
1090.000000,81.250
1106.000000,81.385
1120.000000,81.501
1138.000000,81.650
1150.000000,81.748
1172.000000,81.926
1180.000000,81.993
1206.000000,82.205
1220.000000,82.316
1241.000000,82.480
1250.000000,82.549
1265.000000,82.663
1280.000000,82.775
1315.000000,83.031
1320.000000,83.067
1340.000000,83.211
1360.000000,83.353
1380.000000,83.492
1400.000000,83.631
1430.000000,83.838
1450.000000,83.976
1475.000000,84.147
1500.000000,84.318
1525.000000,84.491
1550.000000,84.667
1575.000000,84.842
1600.000000,85.019
1625.000000,85.198
1650.000000,85.380
1675.000000,85.563
1700.000000,85.748
1725.000000,85.935
1750.000000,86.125
1775.000000,86.317
1800.000000,86.511
1825.000000,86.706
1850.000000,86.902
1875.000000,87.100
1900.000000,87.298
1925.000000,87.497
1950.000000,87.696
1975.000000,87.894
2000.000000,88.092
2030.000000,88.326
2060.000000,88.555
2090.000000,88.779
2120.000000,88.995
2140.000000,89.134
2180.000000,89.400
2200.000000,89.525
2240.000000,89.757
2270.000000,89.911
2300.000000,90.048
2330.000000,90.166
2360.000000,90.263
2400.000000,90.360
2430.000000,90.407
2470.000000,90.434
2500.000000,90.430
2540.000000,90.391
2580.000000,90.318
2620.000000,90.213
2650.000000,90.116
2690.000000,89.966
2720.000000,89.839
2760.000000,89.655
2800.000000,89.458
2850.000000,89.199
2900.000000,88.930
2950.000000,88.657
3000.000000,88.384
3040.000000,88.168
3070.000000,88.009
3110.000000,87.800
3150.000000,87.595
3200.000000,87.347
3250.000000,87.108
3300.000000,86.882
3350.000000,86.665
3400.000000,86.458
3450.000000,86.262
3500.000000,86.076
3550.000000,85.901
3600.000000,85.734
3650.000000,85.578
3700.000000,85.432
3750.000000,85.293
3820.000000,85.112
3870.000000,84.991
3950.000000,84.819
4000.000000,84.742
4060.000000,84.683
4120.000000,84.632
4180.000000,84.581
4250.000000,84.528
4310.000000,84.493
4370.000000,84.468
4440.000000,84.453
4500.000000,84.448
4550.000000,84.451
4620.000000,84.462
4680.000000,84.476
4750.000000,84.495
4820.000000,84.515
4870.000000,84.529
4940.000000,84.545
5000.000000,84.554
5080.000000,84.555
5150.000000,84.543
5220.000000,84.517
5300.000000,84.469
5380.000000,84.398
5450.000000,84.316
5520.000000,84.219
5600.000000,84.089
5700.000000,83.904
5800.000000,83.697
5900.000000,83.474
6000.000000,83.242
6080.000000,83.055
6150.000000,82.895
6220.000000,82.740
6300.000000,82.571
6400.000000,82.373
6500.000000,82.198
6600.000000,82.052
6700.000000,81.937
6800.000000,81.858
6900.000000,81.821
7000.000000,81.830
7100.000000,81.893
7200.000000,82.010
7300.000000,82.183
7400.000000,82.410
7500.000000,82.692
7620.000000,83.099
7750.000000,83.611
7880.000000,84.159
8000.000000,84.631
8120.000000,84.978
8250.000000,85.092
8380.000000,84.841
8500.000000,84.278
8620.000000,83.470
8750.000000,82.450
8850.000000,81.653
9000.000000,80.546
9120.000000,79.782
9250.000000,79.077
9380.000000,78.469
9500.000000,77.960
9620.000000,77.472
9750.000000,76.950
9880.000000,76.428
10000.000000,75.948
10150.000000,75.363
10300.000000,74.815
10440.000000,74.350
10600.000000,73.881
10750.000000,73.512
10900.000000,73.219
11060.000000,72.998
11200.000000,72.887
11380.000000,72.838
11500.000000,72.830
11720.000000,72.846
11800.000000,72.863
12060.000000,72.914
12200.000000,72.894
12410.000000,72.718
12500.000000,72.570
12650.000000,72.210
12800.000000,71.708
13150.000000,70.114
13200.000000,69.858
13400.000000,68.814
13600.000000,67.802
13800.000000,66.862
14000.000000,65.995
14300.000000,64.650
14500.000000,63.615
14750.000000,62.710
15000.000000,62.403
15250.000000,62.181
15500.000000,61.886
15750.000000,61.374
16000.000000,60.458
16250.000000,59.167
16500.000000,57.850
16750.000000,56.932
17000.000000,56.558
17250.000000,56.613
17500.000000,56.926
17750.000000,57.425
18000.000000,58.078
18250.000000,58.790
18500.000000,59.430
18750.000000,59.908
19000.000000,60.205
19250.000000,60.352
19500.000000,60.400
19750.000000,60.394
