X,Y
20.000000,83.444
20.299999,83.453
20.600000,83.444
20.900000,83.432
21.200001,83.390
21.400000,83.358
21.799999,83.288
22.000000,83.250
22.400000,83.162
22.700001,83.110
23.000000,83.062
23.299999,83.000
23.600000,82.935
24.000000,82.857
24.299999,82.819
24.700001,82.815
25.000000,82.840
25.400000,82.875
25.799999,82.911
26.200001,82.950
26.500000,82.987
26.900000,83.053
27.200001,83.102
27.600000,83.161
28.000000,83.220
28.500000,83.265
29.000000,83.295
29.500000,83.299
30.000000,83.281
30.400000,83.259
30.700001,83.239
31.100000,83.215
31.500000,83.185
32.000000,83.139
32.500000,83.094
33.000000,83.050
33.500000,83.024
34.000000,83.016
34.500000,83.024
35.000000,83.050
35.500000,83.078
36.000000,83.101
36.500000,83.142
37.000000,83.181
37.500000,83.199
38.200001,83.192
38.700001,83.175
39.500000,83.141
40.000000,83.093
40.599998,83.063
41.200001,83.045
41.799999,83.044
42.500000,83.049
43.099998,83.047
43.700001,83.043
44.400002,83.045
45.000000,83.042
45.500000,83.043
46.200001,83.047
46.799999,83.031
47.500000,83.009
48.200001,83.011
48.700001,83.011
49.400002,82.980
50.000000,82.946
50.799999,82.940
51.500000,82.944
52.200001,82.933
53.000000,82.915
53.799999,82.904
54.500000,82.895
55.200001,82.885
56.000000,82.894
57.000000,82.878
58.000000,82.820
59.000000,82.772
60.000000,82.768
60.799999,82.782
61.500000,82.753
62.200001,82.696
63.000000,82.689
64.000000,82.726
65.000000,82.691
66.000000,82.668
67.000000,82.674
68.000000,82.664
69.000000,82.639
70.000000,82.604
71.000000,82.567
72.000000,82.535
73.000000,82.506
74.000000,82.488
75.000000,82.484
76.199997,82.468
77.500000,82.442
78.800003,82.409
80.000000,82.372
81.199997,82.338
82.500000,82.314
83.800003,82.281
85.000000,82.260
86.199997,82.233
87.500000,82.209
88.500000,82.178
90.000000,82.129
91.199997,82.103
92.500000,82.062
93.800003,82.040
95.000000,82.019
96.199997,81.991
97.500000,81.965
98.800003,81.934
100.000000,81.873
101.500000,81.841
103.000000,81.813
104.400002,81.786
106.000000,81.753
107.500000,81.731
109.000000,81.680
110.599998,81.626
112.000000,81.586
113.800003,81.538
115.000000,81.511
117.199997,81.464
118.000000,81.442
120.599998,81.367
122.000000,81.333
124.099998,81.297
125.000000,81.276
126.500000,81.254
128.000000,81.190
131.500000,81.101
132.000000,81.092
134.000000,81.041
136.000000,81.019
138.000000,80.941
140.000000,80.881
143.000000,80.812
145.000000,80.776
147.500000,80.700
150.000000,80.632
152.500000,80.591
155.000000,80.548
157.500000,80.480
160.000000,80.451
162.500000,80.414
165.000000,80.358
167.500000,80.290
170.000000,80.189
172.500000,80.085
175.000000,79.988
177.500000,79.876
180.000000,79.768
182.500000,79.728
185.000000,79.717
187.500000,79.725
190.000000,79.706
192.500000,79.669
195.000000,79.622
197.500000,79.578
200.000000,79.534
203.000000,79.443
206.000000,79.372
209.000000,79.307
212.000000,79.225
214.000000,79.179
218.000000,79.114
220.000000,79.068
224.000000,78.967
227.000000,78.917
230.000000,78.854
233.000000,78.796
236.000000,78.763
240.000000,78.680
243.000000,78.621
247.000000,78.564
250.000000,78.504
254.000000,78.425
258.000000,78.354
262.000000,78.285
265.000000,78.226
269.000000,78.167
272.000000,78.109
276.000000,78.047
280.000000,77.965
285.000000,77.886
290.000000,77.825
295.000000,77.753
300.000000,77.668
304.000000,77.614
307.000000,77.566
311.000000,77.529
315.000000,77.475
320.000000,77.417
325.000000,77.351
330.000000,77.288
335.000000,77.217
340.000000,77.159
345.000000,77.078
350.000000,76.999
355.000000,76.987
360.000000,76.930
365.000000,76.884
370.000000,76.835
375.000000,76.776
382.000000,76.696
387.000000,76.659
395.000000,76.570
400.000000,76.541
406.000000,76.472
412.000000,76.432
418.000000,76.379
425.000000,76.332
431.000000,76.295
437.000000,76.255
444.000000,76.210
450.000000,76.167
455.000000,76.155
462.000000,76.092
468.000000,76.049
475.000000,76.023
482.000000,76.002
487.000000,75.970
494.000000,75.907
500.000000,75.904
508.000000,75.890
515.000000,75.876
522.000000,75.832
530.000000,75.807
538.000000,75.811
545.000000,75.779
552.000000,75.772
560.000000,75.747
570.000000,75.728
580.000000,75.762
590.000000,75.772
600.000000,75.764
608.000000,75.780
615.000000,75.789
622.000000,75.794
630.000000,75.799
640.000000,75.846
650.000000,75.866
660.000000,75.909
670.000000,75.940
680.000000,75.959
690.000000,75.954
700.000000,75.994
710.000000,76.016
720.000000,76.075
730.000000,76.077
740.000000,76.134
750.000000,76.141
762.000000,76.183
775.000000,76.230
788.000000,76.264
800.000000,76.304
812.000000,76.338
825.000000,76.374
838.000000,76.423
850.000000,76.459
862.000000,76.504
875.000000,76.527
885.000000,76.572
900.000000,76.632
912.000000,76.646
925.000000,76.722
938.000000,76.780
950.000000,76.833
962.000000,76.867
975.000000,76.931
988.000000,76.971
1000.000000,76.939
1015.000000,77.119
1030.000000,77.158
1044.000000,77.209
1060.000000,77.264
1075.000000,77.342
1090.000000,77.393
1106.000000,77.451
1120.000000,77.520
1138.000000,77.590
1150.000000,77.624
1172.000000,77.687
1180.000000,77.713
1206.000000,77.760
1220.000000,77.804
1241.000000,77.858
1250.000000,77.882
1265.000000,77.909
1280.000000,77.903
1315.000000,77.954
1320.000000,77.977
1340.000000,77.997
1360.000000,78.036
1380.000000,78.023
1400.000000,78.033
1430.000000,78.084
1450.000000,78.102
1475.000000,78.146
1500.000000,78.219
1525.000000,78.268
1550.000000,78.378
1575.000000,78.516
1600.000000,78.628
1625.000000,78.649
1650.000000,78.539
1675.000000,78.411
1700.000000,78.259
1725.000000,78.185
1750.000000,78.179
1775.000000,78.250
1800.000000,78.328
1825.000000,78.441
1850.000000,78.537
1875.000000,78.649
1900.000000,78.726
1925.000000,78.857
1950.000000,78.992
1975.000000,79.118
2000.000000,79.247
2030.000000,79.386
2060.000000,79.532
2090.000000,79.697
2120.000000,79.827
2140.000000,79.926
2180.000000,80.140
2200.000000,80.263
2240.000000,80.494
2270.000000,80.677
2300.000000,80.874
2330.000000,81.064
2360.000000,81.228
2400.000000,81.478
2430.000000,81.651
2470.000000,81.907
2500.000000,82.085
2540.000000,82.330
2580.000000,82.540
2620.000000,82.754
2650.000000,82.891
2690.000000,83.083
2720.000000,83.211
2760.000000,83.367
2800.000000,83.504
2850.000000,83.642
2900.000000,83.757
2950.000000,83.850
3000.000000,83.850
3040.000000,83.895
3070.000000,83.896
3110.000000,83.864
3150.000000,83.815
3200.000000,83.783
3250.000000,83.686
3300.000000,83.569
3350.000000,83.435
3400.000000,83.300
3450.000000,83.143
3500.000000,82.975
3550.000000,82.788
3600.000000,82.642
3650.000000,82.489
3700.000000,82.386
3750.000000,82.292
3820.000000,82.207
3870.000000,82.199
3950.000000,82.237
4000.000000,82.204
4060.000000,82.295
4120.000000,82.386
4180.000000,82.479
4250.000000,82.669
4310.000000,82.822
4370.000000,83.052
4440.000000,83.304
4500.000000,83.545
4550.000000,83.747
4620.000000,84.044
4680.000000,84.264
4750.000000,84.496
4820.000000,84.683
4870.000000,84.791
4940.000000,84.894
5000.000000,84.912
5080.000000,84.939
5150.000000,84.889
5220.000000,84.786
5300.000000,84.607
5380.000000,84.420
5450.000000,84.229
5520.000000,84.045
5600.000000,83.836
5700.000000,83.625
5800.000000,83.542
5900.000000,83.528
6000.000000,83.565
6080.000000,83.633
6150.000000,83.727
6220.000000,83.833
6300.000000,83.962
6400.000000,84.116
6500.000000,84.209
6600.000000,84.272
6700.000000,84.307
6800.000000,84.257
6900.000000,84.182
7000.000000,84.081
7100.000000,83.955
7200.000000,83.779
7300.000000,83.625
7400.000000,83.550
7500.000000,83.435
7620.000000,83.326
7750.000000,83.179
7880.000000,82.925
8000.000000,82.735
8120.000000,82.620
8250.000000,82.719
8380.000000,82.902
8500.000000,82.938
8620.000000,82.916
8750.000000,82.664
8850.000000,82.374
9000.000000,81.873
9120.000000,81.493
9250.000000,81.010
9380.000000,80.563
9500.000000,80.183
