X,Y
20.000000,89.641
20.299999,89.576
20.600000,89.508
20.900000,89.448
21.200001,89.369
21.400000,89.319
21.799999,89.233
22.000000,89.193
22.400000,89.106
22.700001,89.058
23.000000,89.017
23.299999,88.970
23.600000,88.922
24.000000,88.856
24.299999,88.801
24.700001,88.731
25.000000,88.680
25.400000,88.604
25.799999,88.535
26.200001,88.473
26.500000,88.425
26.900000,88.357
27.200001,88.297
27.600000,88.215
28.000000,88.150
28.500000,88.060
29.000000,87.968
29.500000,87.871
30.000000,87.785
30.400000,87.722
30.700001,87.672
31.100000,87.605
31.500000,87.536
32.000000,87.455
32.500000,87.381
33.000000,87.296
33.500000,87.209
34.000000,87.128
34.500000,87.052
35.000000,86.982
35.500000,86.910
36.000000,86.834
36.500000,86.774
37.000000,86.715
37.500000,86.648
38.200001,86.550
38.700001,86.469
39.500000,86.324
40.000000,86.224
40.599998,86.145
41.200001,86.066
41.799999,85.988
42.500000,85.904
43.099998,85.829
43.700001,85.753
44.400002,85.669
45.000000,85.588
45.500000,85.525
46.200001,85.452
46.799999,85.381
47.500000,85.291
48.200001,85.204
48.700001,85.134
49.400002,85.027
50.000000,84.952
50.799999,84.876
51.500000,84.804
52.200001,84.732
53.000000,84.639
53.799999,84.543
54.500000,84.476
55.200001,84.409
56.000000,84.334
57.000000,84.230
58.000000,84.120
59.000000,84.019
60.000000,83.916
60.799999,83.829
61.500000,83.764
62.200001,83.714
63.000000,83.648
64.000000,83.544
65.000000,83.480
66.000000,83.404
67.000000,83.317
68.000000,83.240
69.000000,83.140
70.000000,83.066
71.000000,82.985
72.000000,82.872
73.000000,82.778
74.000000,82.701
75.000000,82.651
76.199997,82.576
77.500000,82.489
78.800003,82.388
80.000000,82.291
81.199997,82.214
82.500000,82.127
83.800003,82.034
85.000000,81.963
86.199997,81.903
87.500000,81.817
88.500000,81.756
90.000000,81.662
91.199997,81.587
92.500000,81.500
93.800003,81.432
95.000000,81.394
96.199997,81.327
97.500000,81.272
98.800003,81.200
