X,Y
20.299999,77.897
20.600000,77.917
20.900000,77.954
21.200001,78.000
21.400000,78.033
21.799999,78.102
22.000000,78.136
22.400000,78.202
22.700001,78.250
23.000000,78.294
23.299999,78.336
23.600000,78.375
24.000000,78.425
24.299999,78.462
24.700001,78.511
25.000000,78.547
25.400000,78.593
25.799999,78.636
26.200001,78.676
26.500000,78.704
26.900000,78.740
27.200001,78.767
27.600000,78.802
28.000000,78.836
28.500000,78.876
29.000000,78.912
29.500000,78.945
30.000000,78.977
30.400000,79.001
30.700001,79.019
31.100000,79.043
31.500000,79.066
32.000000,79.093
32.500000,79.118
33.000000,79.142
33.500000,79.164
34.000000,79.185
34.500000,79.204
35.000000,79.222
35.500000,79.238
36.000000,79.252
36.500000,79.265
37.000000,79.278
37.500000,79.291
38.200001,79.310
38.700001,79.324
39.500000,79.345
40.000000,79.357
40.599998,79.369
41.200001,79.379
41.799999,79.387
42.500000,79.395
43.099998,79.401
43.700001,79.404
44.400002,79.406
45.000000,79.406
45.500000,79.406
46.200001,79.406
46.799999,79.408
47.500000,79.410
48.200001,79.411
48.700001,79.410
49.400002,79.407
50.000000,79.403
50.799999,79.396
51.500000,79.390
52.200001,79.384
53.000000,79.377
53.799999,79.367
54.500000,79.357
55.200001,79.346
56.000000,79.333
57.000000,79.317
58.000000,79.301
59.000000,79.286
60.000000,79.272
60.799999,79.259
61.500000,79.248
62.200001,79.235
63.000000,79.220
64.000000,79.199
65.000000,79.177
66.000000,79.154
67.000000,79.132
68.000000,79.110
69.000000,79.089
70.000000,79.067
71.000000,79.044
72.000000,79.021
73.000000,78.996
74.000000,78.970
75.000000,78.942
76.199997,78.908
77.500000,78.868
78.800003,78.829
80.000000,78.793
81.199997,78.757
82.500000,78.716
83.800003,78.675
85.000000,78.637
86.199997,78.599
87.500000,78.558
88.500000,78.526
90.000000,78.475
91.199997,78.434
92.500000,78.388
93.800003,78.342
95.000000,78.301
96.199997,78.261
97.500000,78.218
98.800003,78.176
100.000000,78.135
101.500000,78.082
103.000000,78.026
104.400002,77.972
106.000000,77.907
107.500000,77.844
109.000000,77.778
110.599998,77.704
112.000000,77.635
113.800003,77.542
115.000000,77.477
117.199997,77.352
118.000000,77.304
120.599998,77.149
122.000000,77.073
124.099998,76.987
125.000000,76.964
126.500000,76.951
128.000000,76.963
131.500000,77.043
132.000000,77.053
134.000000,77.080
136.000000,77.076
138.000000,77.040
140.000000,76.980
143.000000,76.858
145.000000,76.764
147.500000,76.637
150.000000,76.501
152.500000,76.359
155.000000,76.221
157.500000,76.106
160.000000,76.038
162.500000,76.030
165.000000,76.076
167.500000,76.147
170.000000,76.209
172.500000,76.238
175.000000,76.229
177.500000,76.185
180.000000,76.118
182.500000,76.037
185.000000,75.950
187.500000,75.860
190.000000,75.771
192.500000,75.683
195.000000,75.595
197.500000,75.507
200.000000,75.421
203.000000,75.320
206.000000,75.224
209.000000,75.131
212.000000,75.039
214.000000,74.979
218.000000,74.857
220.000000,74.797
224.000000,74.679
227.000000,74.591
230.000000,74.504
233.000000,74.417
236.000000,74.331
240.000000,74.218
243.000000,74.135
247.000000,74.026
250.000000,73.945
254.000000,73.838
258.000000,73.733
262.000000,73.629
265.000000,73.553
269.000000,73.451
272.000000,73.376
276.000000,73.276
280.000000,73.177
285.000000,73.054
290.000000,72.931
295.000000,72.810
300.000000,72.692
304.000000,72.600
307.000000,72.531
311.000000,72.441
315.000000,72.352
320.000000,72.243
325.000000,72.135
330.000000,72.029
335.000000,71.922
340.000000,71.814
345.000000,71.705
350.000000,71.599
355.000000,71.495
360.000000,71.394
365.000000,71.294
370.000000,71.195
375.000000,71.099
382.000000,70.969
387.000000,70.878
395.000000,70.734
400.000000,70.643
406.000000,70.535
412.000000,70.428
418.000000,70.322
425.000000,70.198
431.000000,70.090
437.000000,69.982
444.000000,69.858
450.000000,69.755
455.000000,69.672
462.000000,69.558
468.000000,69.464
475.000000,69.356
482.000000,69.251
487.000000,69.179
494.000000,69.080
500.000000,68.996
