X,Y
20.299999,105.902954
20.600000,105.928726
20.900000,105.947968
21.200001,105.967316
21.400000,105.981628
21.799999,106.014198
22.000000,106.032150
22.400000,106.069809
22.700001,106.097839
23.000000,106.124245
23.299999,106.147919
23.600000,106.168182
24.000000,106.189781
24.299999,106.202988
24.700001,106.219299
25.000000,106.232651
25.400000,106.253647
25.799999,106.277847
26.200001,106.302345
26.500000,106.318848
26.900000,106.336830
27.200001,106.347351
27.600000,106.359016
28.000000,106.370087
28.500000,106.385101
29.000000,106.401146
29.500000,106.416656
30.000000,106.430656
30.400000,106.440697
30.700001,106.447548
31.100000,106.455795
31.500000,106.463127
32.000000,106.471527
32.500000,106.479713
33.000000,106.487717
33.500000,106.494919
34.000000,106.501060
34.500000,106.506561
35.000000,106.512016
35.500000,106.517441
36.000000,106.522346
36.500000,106.526291
37.000000,106.529160
37.500000,106.531158
38.200001,106.533501
38.700001,106.535286
39.500000,106.536987
40.000000,106.536171
40.599998,106.533859
41.200001,106.531700
41.799999,106.530228
42.500000,106.529045
43.099998,106.528069
43.700001,106.525620
44.400002,106.519470
45.000000,106.513565
45.500000,106.509933
46.200001,106.505890
46.799999,106.501900
47.500000,106.496384
48.200001,106.487442
48.700001,106.478394
49.400002,106.467628
50.000000,106.463036
50.799999,106.457283
51.500000,106.450584
52.200001,106.443756
53.000000,106.428513
53.799999,106.410843
54.500000,106.403687
55.200001,106.397156
56.000000,106.383156
57.000000,106.359848
58.000000,106.345734
59.000000,106.333313
60.000000,106.281693
60.799999,106.278358
61.500000,106.297020
62.200001,106.280396
63.000000,106.241608
64.000000,106.234802
65.000000,106.219559
66.000000,106.194298
67.000000,106.173164
68.000000,106.151718
69.000000,106.132973
70.000000,106.110054
71.000000,106.084198
72.000000,106.064743
73.000000,106.042786
74.000000,106.015236
75.000000,105.991875
76.199997,105.964546
77.500000,105.933937
78.800003,105.903908
80.000000,105.873184
81.199997,105.839867
82.500000,105.809547
83.800003,105.773865
85.000000,105.744568
86.199997,105.716187
87.500000,105.687721
88.500000,105.652390
90.000000,105.615234
91.199997,105.580795
92.500000,105.546188
93.800003,105.510750
95.000000,105.479523
96.199997,105.445312
97.500000,105.411003
98.800003,105.372116
100.000000,105.340469
101.500000,105.298492
103.000000,105.255432
104.400002,105.215576
106.000000,105.171837
107.500000,105.126961
109.000000,105.086143
110.599998,105.039703
112.000000,105.000290
113.800003,104.943871
115.000000,104.913307
117.199997,104.847496
118.000000,104.812958
120.599998,104.778099
122.000000,104.705467
124.099998,104.642624
125.000000,104.621048
126.500000,104.569878
128.000000,104.526733
131.500000,104.419693
132.000000,104.404633
134.000000,104.343605
136.000000,104.282135
138.000000,104.219887
140.000000,104.157791
143.000000,104.062836
145.000000,103.997948
147.500000,103.917068
150.000000,103.834465
152.500000,103.753128
155.000000,103.671776
157.500000,103.585739
160.000000,103.498383
162.500000,103.404694
165.000000,103.309830
167.500000,103.206825
170.000000,103.095657
172.500000,102.974197
175.000000,102.847572
177.500000,102.717026
180.000000,102.601555
182.500000,102.532150
185.000000,102.540909
187.500000,102.621506
190.000000,102.706757
192.500000,102.762871
195.000000,102.773041
197.500000,102.766708
200.000000,102.730667
203.000000,102.676483
206.000000,102.618446
209.000000,102.560005
212.000000,102.499298
214.000000,102.459908
218.000000,102.376434
220.000000,102.331352
224.000000,102.245789
227.000000,102.175858
230.000000,102.103111
233.000000,102.033386
236.000000,101.962883
240.000000,101.875107
243.000000,101.790787
247.000000,101.698006
250.000000,101.627327
254.000000,101.533897
258.000000,101.442467
262.000000,101.351151
265.000000,101.282379
269.000000,101.191994
272.000000,101.126785
276.000000,101.038406
280.000000,100.950981
285.000000,100.841560
290.000000,100.736534
295.000000,100.637413
300.000000,100.549194
304.000000,100.479042
307.000000,100.431198
311.000000,100.372696
315.000000,100.309647
320.000000,100.228035
325.000000,100.142738
330.000000,100.053696
335.000000,99.966873
340.000000,99.879074
345.000000,99.791672
350.000000,99.705887
355.000000,99.622581
360.000000,99.542732
365.000000,99.454414
370.000000,99.373528
375.000000,99.294174
382.000000,99.185799
387.000000,99.112579
395.000000,98.997238
400.000000,98.927406
406.000000,98.841461
412.000000,98.758324
418.000000,98.675339
425.000000,98.579651
431.000000,98.498955
437.000000,98.418472
444.000000,98.328606
450.000000,98.254745
455.000000,98.191032
462.000000,98.104584
468.000000,98.033485
475.000000,97.949608
482.000000,97.866234
487.000000,97.812935
494.000000,97.735626
500.000000,97.667648
508.000000,97.582130
515.000000,97.507874
522.000000,97.434174
530.000000,97.353767
538.000000,97.272850
545.000000,97.208244
552.000000,97.140472
560.000000,97.065262
570.000000,96.977112
580.000000,96.889687
590.000000,96.802933
600.000000,96.715248
608.000000,96.652069
615.000000,96.597931
622.000000,96.542740
630.000000,96.480331
640.000000,96.405357
650.000000,96.334290
660.000000,96.236710
670.000000,96.198021
680.000000,96.128052
690.000000,96.065117
700.000000,96.002029
710.000000,95.940887
720.000000,95.882286
730.000000,95.826843
740.000000,95.774780
750.000000,95.725006
762.000000,95.674644
775.000000,95.627502
788.000000,95.589951
800.000000,95.566895
812.000000,95.549957
825.000000,95.544304
838.000000,95.539268
850.000000,95.542336
862.000000,95.550980
875.000000,95.558777
885.000000,95.570587
900.000000,95.560303
912.000000,95.607597
925.000000,95.628098
938.000000,95.655914
950.000000,95.683487
962.000000,95.713730
975.000000,95.757187
988.000000,95.801445
1000.000000,95.848557
1015.000000,95.910034
1030.000000,95.976677
1044.000000,96.041733
1060.000000,96.124146
1075.000000,96.205093
1090.000000,96.295456
1106.000000,96.392944
1120.000000,96.482819
1138.000000,96.587234
1150.000000,96.668144
1172.000000,96.804512
1180.000000,96.851913
1206.000000,97.014740
1220.000000,97.098106
1241.000000,97.215935
1250.000000,97.264587
1265.000000,97.344345
1280.000000,97.420441
1315.000000,97.595558
1320.000000,97.613731
1340.000000,97.709656
1360.000000,97.802505
1380.000000,97.875427
1400.000000,97.968750
1430.000000,98.090973
1450.000000,98.172211
1475.000000,98.271004
1500.000000,98.375313
1525.000000,98.467049
1550.000000,98.564056
1575.000000,98.667419
1600.000000,98.770187
1625.000000,98.872070
1650.000000,98.979012
1675.000000,99.087448
1700.000000,99.197250
1725.000000,99.312294
1750.000000,99.431747
1775.000000,99.553467
1800.000000,99.678078
1825.000000,99.807640
1850.000000,99.940460
1875.000000,100.075912
1900.000000,100.220070
1925.000000,100.361069
1950.000000,100.508972
1975.000000,100.658554
2000.000000,100.814598
2030.000000,101.006943
2060.000000,101.201073
2090.000000,101.401642
2120.000000,101.608467
2140.000000,101.749466
2180.000000,102.031670
2200.000000,102.176865
2240.000000,102.474533
2270.000000,102.698708
2300.000000,102.928627
2330.000000,103.159676
2360.000000,103.393974
2400.000000,103.707764
2430.000000,103.947342
2470.000000,104.263519
2500.000000,104.501152
2540.000000,104.817062
2580.000000,105.128578
2620.000000,105.434952
2650.000000,105.656975
2690.000000,105.946587
2720.000000,106.157715
2760.000000,106.424751
2800.000000,106.681679
2850.000000,106.979813
2900.000000,107.255249
2950.000000,107.504143
3000.000000,107.729591
3040.000000,107.894852
3070.000000,108.007225
3110.000000,108.143509
3150.000000,108.265671
3200.000000,108.391800
3250.000000,108.483215
3300.000000,108.534500
3350.000000,108.545692
3400.000000,108.522552
3450.000000,108.476303
3500.000000,108.421204
3550.000000,108.366417
3600.000000,108.322632
3650.000000,108.291412
3700.000000,108.276764
3750.000000,108.276321
3820.000000,108.300919
3870.000000,108.333771
3950.000000,108.413361
4000.000000,108.477112
4060.000000,108.568665
4120.000000,108.674522
4180.000000,108.794128
4250.000000,108.953568
4310.000000,109.107109
4370.000000,109.274109
4440.000000,109.487946
