X,Y
20.299999,112.654556
20.600000,112.648384
20.900000,112.632660
21.200001,112.617973
21.400000,112.610001
21.799999,112.596573
22.000000,112.589760
22.400000,112.573288
22.700001,112.557251
23.000000,112.538223
23.299999,112.516785
23.600000,112.493584
24.000000,112.460823
24.299999,112.435860
24.700001,112.404381
25.000000,112.384369
25.400000,112.364998
25.799999,112.353920
26.200001,112.346916
26.500000,112.340363
26.900000,112.325226
27.200001,112.307564
27.600000,112.276299
28.000000,112.238815
28.500000,112.187317
29.000000,112.132874
29.500000,112.076508
30.000000,112.021332
30.400000,111.980789
30.700001,111.953209
31.100000,111.919601
31.500000,111.887604
32.000000,111.846519
32.500000,111.802773
33.000000,111.757774
33.500000,111.713814
34.000000,111.672081
34.500000,111.632126
35.000000,111.592491
35.500000,111.551758
36.000000,111.509354
36.500000,111.465721
37.000000,111.421532
37.500000,111.376869
38.200001,111.312561
38.700001,111.265663
39.500000,111.193062
40.000000,111.150948
40.599998,111.102371
41.200001,111.053085
41.799999,111.002304
42.500000,110.943985
43.099998,110.896774
43.700001,110.850952
44.400002,110.795837
45.000000,110.745956
45.500000,110.703735
46.200001,110.647575
46.799999,110.605057
47.500000,110.558929
48.200001,110.505165
48.700001,110.457123
49.400002,110.380188
50.000000,110.313843
50.799999,110.231697
51.500000,110.162827
52.200001,110.095573
53.000000,110.025360
53.799999,109.964149
54.500000,109.914139
55.200001,109.863258
56.000000,109.801025
57.000000,109.720108
58.000000,109.658020
59.000000,109.625687
60.000000,109.580338
60.799999,109.515610
61.500000,109.449158
62.200001,109.383659
63.000000,109.314606
64.000000,109.240082
65.000000,109.173065
66.000000,109.103394
67.000000,109.032860
68.000000,108.965698
69.000000,108.899956
70.000000,108.831932
71.000000,108.761284
72.000000,108.690445
73.000000,108.620850
74.000000,108.552711
75.000000,108.486092
76.199997,108.407631
77.500000,108.323547
78.800003,108.240761
80.000000,108.166946
81.199997,108.095459
82.500000,108.017937
83.800003,107.938782
85.000000,107.865013
86.199997,107.791779
87.500000,107.712616
88.500000,107.651222
90.000000,107.559479
91.199997,107.488213
92.500000,107.413574
93.800003,107.340942
95.000000,107.275078
96.199997,107.209282
97.500000,107.137222
98.800003,107.065002
100.000000,106.999367
101.500000,106.919617
103.000000,106.842644
104.400002,106.772995
106.000000,106.694778
107.500000,106.621689
109.000000,106.549332
110.599998,106.473000
112.000000,106.404633
113.800003,106.309364
115.000000,106.238167
117.199997,106.083626
118.000000,106.021080
120.599998,105.858566
122.000000,105.818787
124.099998,105.769432
125.000000,105.740501
126.500000,105.681908
128.000000,105.614174
131.500000,105.433449
132.000000,105.406189
134.000000,105.301292
136.000000,105.213348
138.000000,105.148567
140.000000,105.109322
143.000000,105.109245
145.000000,105.149261
147.500000,105.222549
150.000000,105.283676
152.500000,105.308105
155.000000,105.295731
157.500000,105.254486
160.000000,105.193390
162.500000,105.121933
165.000000,105.047241
167.500000,104.972183
170.000000,104.897202
172.500000,104.822418
175.000000,104.749969
177.500000,104.681793
180.000000,104.617714
182.500000,104.556595
185.000000,104.497421
187.500000,104.439850
190.000000,104.384354
192.500000,104.331131
195.000000,104.279572
197.500000,104.229492
200.000000,104.181061
203.000000,104.124557
206.000000,104.069031
209.000000,104.015022
212.000000,103.963120
214.000000,103.929573
218.000000,103.864510
220.000000,103.832985
224.000000,103.772476
227.000000,103.729156
230.000000,103.685364
233.000000,103.637970
236.000000,103.586945
240.000000,103.526077
243.000000,103.495422
247.000000,103.464645
250.000000,103.439880
254.000000,103.403770
258.000000,103.367943
262.000000,103.334610
265.000000,103.311096
269.000000,103.280579
272.000000,103.256920
276.000000,103.223579
280.000000,103.190559
285.000000,103.151199
290.000000,103.109566
295.000000,103.062614
300.000000,103.015488
304.000000,102.983551
307.000000,102.963287
311.000000,102.941803
315.000000,102.931953
320.000000,102.947220
325.000000,102.998734
330.000000,103.079361
335.000000,103.168983
340.000000,103.244781
345.000000,103.295319
350.000000,103.322433
355.000000,103.333221
360.000000,103.333694
365.000000,103.328316
370.000000,103.320938
375.000000,103.313919
382.000000,103.305717
387.000000,103.301582
395.000000,103.299393
400.000000,103.300888
406.000000,103.305107
412.000000,103.312004
418.000000,103.320969
425.000000,103.331146
431.000000,103.340034
437.000000,103.351074
444.000000,103.366577
450.000000,103.381363
455.000000,103.394562
462.000000,103.414169
468.000000,103.431519
475.000000,103.452736
482.000000,103.477432
487.000000,103.497871
494.000000,103.528549
500.000000,103.555504
508.000000,103.592545
515.000000,103.626450
522.000000,103.661537
530.000000,103.702789
538.000000,103.745575
545.000000,103.784752
552.000000,103.824852
560.000000,103.870483
570.000000,103.926712
580.000000,103.982567
590.000000,104.038605
600.000000,104.094612
608.000000,104.138626
615.000000,104.176331
622.000000,104.213524
630.000000,104.255905
640.000000,104.308937
650.000000,104.361359
660.000000,104.412994
670.000000,104.464310
680.000000,104.514801
690.000000,104.563599
700.000000,104.610344
710.000000,104.655136
720.000000,104.698059
730.000000,104.739258
740.000000,104.778976
750.000000,104.817390
762.000000,104.861931
775.000000,104.908386
788.000000,104.952232
800.000000,104.990189
812.000000,105.026779
825.000000,105.065842
838.000000,105.103912
850.000000,105.137299
862.000000,105.169975
875.000000,105.206612
885.000000,105.236153
900.000000,105.281181
912.000000,105.316338
925.000000,105.354637
938.000000,105.394958
950.000000,105.434616
962.000000,105.477119
975.000000,105.526367
988.000000,105.578003
1000.000000,105.627480
1015.000000,105.691864
1030.000000,105.758835
1044.000000,105.823303
1060.000000,105.898972
1075.000000,105.971153
1090.000000,106.043701
1106.000000,106.121155
1120.000000,106.188751
1138.000000,106.274399
1150.000000,106.330063
1172.000000,106.428627
1180.000000,106.463295
1206.000000,106.570206
1220.000000,106.623283
1241.000000,106.696838
1250.000000,106.726425
1265.000000,106.773872
1280.000000,106.819244
1315.000000,106.914543
1320.000000,106.926872
1340.000000,106.973404
1360.000000,107.015755
1380.000000,107.055237
1400.000000,107.093651
1430.000000,107.149155
1450.000000,107.183884
1475.000000,107.226402
1500.000000,107.270256
1525.000000,107.315964
1550.000000,107.364166
1575.000000,107.416061
1600.000000,107.471970
1625.000000,107.531761
1650.000000,107.595695
1675.000000,107.664070
1700.000000,107.737000
1725.000000,107.814438
1750.000000,107.896225
1775.000000,107.982132
1800.000000,108.072281
1825.000000,108.166908
1850.000000,108.265656
1875.000000,108.368179
1900.000000,108.474083
1925.000000,108.582733
1950.000000,108.693527
1975.000000,108.806099
2000.000000,108.920029
2030.000000,109.057770
2060.000000,109.195610
2090.000000,109.332397
2120.000000,109.466927
2140.000000,109.554703
2180.000000,109.723961
2200.000000,109.804619
2240.000000,109.956024
2270.000000,110.059402
2300.000000,110.152817
2330.000000,110.235558
2360.000000,110.307327
2400.000000,110.385612
2430.000000,110.430962
2470.000000,110.473640
2500.000000,110.492722
2540.000000,110.501846
2580.000000,110.493279
2620.000000,110.468185
2650.000000,110.439468
2690.000000,110.389526
2720.000000,110.344650
2760.000000,110.277382
2800.000000,110.204544
2850.000000,110.110535
2900.000000,110.019234
2950.000000,109.936653
3000.000000,109.867546
3040.000000,109.824333
3070.000000,109.799957
3110.000000,109.779221
3150.000000,109.772995
3200.000000,109.786797
3250.000000,109.825600
3300.000000,109.889511
3350.000000,109.977005
3400.000000,110.084488
3450.000000,110.206688
3500.000000,110.338058
3550.000000,110.473915
3600.000000,110.610741
3650.000000,110.745605
3700.000000,110.875458
3750.000000,110.995949
3820.000000,111.135269
3870.000000,111.199524
3950.000000,111.203995
4000.000000,111.123772
4060.000000,110.925529
4120.000000,110.610794
4180.000000,110.192276
4250.000000,109.618774
4310.000000,109.109612
4370.000000,108.630585
4440.000000,108.133423
4500.000000,107.746201
4550.000000,107.430481
4620.000000,106.971909
4680.000000,106.550156
4750.000000,106.022293
4820.000000,105.464050
4870.000000,105.054375
4940.000000,104.478195
5000.000000,103.993973
5080.000000,103.383865
5150.000000,102.903244
5220.000000,102.489754
5300.000000,102.118889
5380.000000,101.877281
5450.000000,101.788063
5520.000000,101.824852
5600.000000,102.030434
5700.000000,102.535370
5800.000000,103.298553
5900.000000,104.279785
6000.000000,105.422684
6080.000000,106.406532
6150.000000,107.281250
6220.000000,108.133583
6300.000000,109.033401
6400.000000,109.969353
6500.000000,110.620354
6600.000000,110.952309
6700.000000,110.991875
6800.000000,110.817734
6900.000000,110.535019
7000.000000,110.247208
7100.000000,110.036819
7200.000000,109.957611
7300.000000,110.036644
7400.000000,110.281990
7500.000000,110.684456
7620.000000,111.321503
7750.000000,112.056915
7880.000000,112.626190
8000.000000,112.832481
8120.000000,112.638039
8250.000000,111.969048
8380.000000,110.912224
8500.000000,109.722603
8620.000000,108.466942
8750.000000,107.184372
8850.000000,106.335129
9000.000000,105.352325
9120.000000,104.796402
9250.000000,104.357208
9380.000000,104.019943
9500.000000,103.749474
9620.000000,103.477203
9750.000000,103.139740
9880.000000,102.726799
10000.000000,102.265686
10150.000000,101.588058
10300.000000,100.835648
10440.000000,100.126358
10600.000000,99.397873
10750.000000,98.877762
10900.000000,98.574875
11060.000000,98.518242
11200.000000,98.685722
11380.000000,99.149185
11500.000000,99.569839
11720.000000,100.442703
11800.000000,100.757111
12060.000000,101.600983
12200.000000,101.868134
12410.000000,101.961510
12500.000000,101.894943
12650.000000,101.673317
12800.000000,101.361343
13150.000000,100.568825
13200.000000,100.465103
13400.000000,100.075439
13600.000000,99.681717
13800.000000,99.210754
14000.000000,98.616013
14300.000000,97.544601
14500.000000,96.847595
14750.000000,96.214600
15000.000000,95.997620
15250.000000,96.137070
15500.000000,96.340363
15750.000000,96.299011
16000.000000,95.914551
16250.000000,95.330025
16500.000000,94.754532
16750.000000,94.221046
17000.000000,93.523056
17250.000000,92.425392
17500.000000,90.927704
17750.000000,89.342476
18000.000000,88.093689
18250.000000,87.318741
18500.000000,86.773842
18750.000000,86.161987
19000.000000,85.346588
19250.000000,84.307823
19500.000000,83.040504
19750.000000,81.625343
