X,Y
20.291,76.716
20.586,76.720
20.885,76.731
21.189,76.741
21.497,76.747
21.810,76.748
22.127,76.745
22.449,76.739
22.776,76.732
23.107,76.725
23.443,76.718
23.784,76.713
24.130,76.712
24.481,76.715
24.837,76.721
25.198,76.728
25.565,76.734
25.937,76.738
26.314,76.739
26.697,76.738
27.085,76.739
27.479,76.741
27.879,76.745
28.284,76.749
28.696,76.750
29.113,76.749
29.537,76.745
29.966,76.736
30.402,76.721
30.844,76.703
31.293,76.680
31.748,76.658
32.210,76.637
32.678,76.622
33.154,76.613
33.636,76.608
34.125,76.603
34.621,76.596
35.125,76.584
35.636,76.568
36.154,76.549
36.680,76.530
37.214,76.509
37.755,76.483
38.304,76.452
38.861,76.414
39.427,76.374
40.000,76.332
40.582,76.292
41.172,76.253
41.771,76.217
42.379,76.185
42.995,76.154
43.620,76.126
44.255,76.098
44.898,76.069
45.552,76.038
46.214,76.005
46.886,75.969
47.568,75.929
48.260,75.887
48.962,75.844
49.674,75.799
50.397,75.754
51.130,75.710
51.874,75.668
52.628,75.627
53.394,75.587
54.170,75.548
54.958,75.508
55.758,75.469
56.569,75.431
57.391,75.395
58.226,75.362
59.073,75.331
59.932,75.300
60.804,75.262
61.688,75.214
62.586,75.160
63.496,75.103
64.420,75.047
65.357,74.992
66.307,74.938
67.272,74.884
68.250,74.829
69.243,74.772
70.250,74.714
71.272,74.654
72.309,74.594
73.360,74.533
74.427,74.472
75.510,74.412
76.608,74.353
77.723,74.293
78.853,74.234
80.000,74.173
81.164,74.113
82.344,74.052
83.542,73.991
84.757,73.928
85.990,73.863
87.241,73.796
88.510,73.727
89.797,73.657
91.103,73.586
92.428,73.515
93.773,73.443
95.137,73.371
96.520,73.299
97.924,73.227
99.349,73.154
100.794,73.081
102.260,73.008
103.747,72.935
105.256,72.862
106.787,72.789
108.340,72.716
109.916,72.643
111.515,72.571
113.137,72.500
114.783,72.429
116.452,72.360
118.146,72.290
119.865,72.217
121.608,72.143
123.377,72.067
125.171,71.992
126.992,71.917
128.839,71.843
130.713,71.769
132.615,71.694
134.543,71.619
136.500,71.544
138.486,71.467
140.500,71.390
142.544,71.313
144.617,71.234
146.721,71.156
148.855,71.077
151.020,70.998
153.217,70.919
155.445,70.840
157.706,70.761
160.000,70.683
162.327,70.605
164.688,70.527
167.084,70.449
169.514,70.371
171.980,70.293
174.481,70.215
177.019,70.138
179.594,70.061
182.206,69.984
184.856,69.907
187.545,69.830
190.273,69.754
193.041,69.677
195.849,69.600
198.697,69.524
201.587,69.447
204.520,69.372
207.494,69.297
210.512,69.223
213.574,69.148
216.681,69.074
219.833,69.000
223.030,68.926
226.274,68.852
229.565,68.777
232.905,68.703
236.292,68.629
239.729,68.556
243.216,68.482
246.754,68.409
250.343,68.337
253.984,68.264
257.678,68.191
261.426,68.118
265.229,68.045
269.087,67.973
273.001,67.901
276.972,67.828
281.000,67.757
285.088,67.685
289.234,67.613
293.441,67.542
297.710,67.471
302.040,67.402
306.433,67.334
310.890,67.266
315.412,67.199
320.000,67.131
324.655,67.064
