X,Y
20.000000,102.251
20.299999,102.301
20.600000,102.351
20.900000,102.399
21.200001,102.445
21.400000,102.475
21.799999,102.533
22.000000,102.559
22.400000,102.611
22.700001,102.649
23.000000,102.687
23.299999,102.726
23.600000,102.763
24.000000,102.810
24.299999,102.840
24.700001,102.875
25.000000,102.901
25.400000,102.937
25.799999,102.977
26.200001,103.018
26.500000,103.047
26.900000,103.077
27.200001,103.095
27.600000,103.117
28.000000,103.139
28.500000,103.169
29.000000,103.195
29.500000,103.214
30.000000,103.230
30.400000,103.246
30.700001,103.259
31.100000,103.277
31.500000,103.293
32.000000,103.311
32.500000,103.326
33.000000,103.340
33.500000,103.350
34.000000,103.354
34.500000,103.368
35.000000,103.384
35.500000,103.399
36.000000,103.407
36.500000,103.411
37.000000,103.415
37.500000,103.425
38.200001,103.434
38.700001,103.432
39.500000,103.415
40.000000,103.410
40.599998,103.411
41.200001,103.411
41.799999,103.401
42.500000,103.391
43.099998,103.389
43.700001,103.388
44.400002,103.374
45.000000,103.357
45.500000,103.348
46.200001,103.339
46.799999,103.329
47.500000,103.313
48.200001,103.298
48.700001,103.286
49.400002,103.266
50.000000,103.248
50.799999,103.232
51.500000,103.214
52.200001,103.193
53.000000,103.169
53.799999,103.146
54.500000,103.127
55.200001,103.105
56.000000,103.079
57.000000,103.057
58.000000,103.011
59.000000,102.960
60.000000,102.931
60.799999,102.898
61.500000,102.869
62.200001,102.845
63.000000,102.813
64.000000,102.772
65.000000,102.731
66.000000,102.688
67.000000,102.649
68.000000,102.607
69.000000,102.568
70.000000,102.529
71.000000,102.488
72.000000,102.442
73.000000,102.401
74.000000,102.360
75.000000,102.313
76.199997,102.261
77.500000,102.201
78.800003,102.145
80.000000,102.092
81.199997,102.035
82.500000,101.978
83.800003,101.917
85.000000,101.863
86.199997,101.808
87.500000,101.754
88.500000,101.707
90.000000,101.643
91.199997,101.589
92.500000,101.528
93.800003,101.463
95.000000,101.409
96.199997,101.352
97.500000,101.297
98.800003,101.272
100.000000,101.231
101.500000,101.099
103.000000,101.067
104.400002,101.004
106.000000,100.924
107.500000,100.860
109.000000,100.793
110.599998,100.724
112.000000,100.666
113.800003,100.591
115.000000,100.535
117.199997,100.441
118.000000,100.403
120.599998,100.294
122.000000,100.236
124.099998,100.150
125.000000,100.114
126.500000,100.060
128.000000,100.000
131.500000,99.859
132.000000,99.840
134.000000,99.759
136.000000,99.685
138.000000,99.599
140.000000,99.523
143.000000,99.404
145.000000,99.328
147.500000,99.236
150.000000,99.146
152.500000,99.041
155.000000,98.953
157.500000,98.863
160.000000,98.784
162.500000,98.694
165.000000,98.606
167.500000,98.520
170.000000,98.435
172.500000,98.354
175.000000,98.273
177.500000,98.198
180.000000,98.118
182.500000,98.038
185.000000,97.962
187.500000,97.889
190.000000,97.813
192.500000,97.733
195.000000,97.654
197.500000,97.583
200.000000,97.514
203.000000,97.410
206.000000,97.314
209.000000,97.222
212.000000,97.135
214.000000,97.091
218.000000,96.961
220.000000,96.908
224.000000,96.798
227.000000,96.680
230.000000,96.643
233.000000,96.557
236.000000,96.477
240.000000,96.423
243.000000,96.332
247.000000,96.254
250.000000,96.139
254.000000,96.119
258.000000,96.086
262.000000,96.020
265.000000,95.996
269.000000,95.947
272.000000,95.906
276.000000,95.851
280.000000,95.786
285.000000,95.690
290.000000,95.591
295.000000,95.488
300.000000,95.410
304.000000,95.315
307.000000,95.254
311.000000,95.180
315.000000,95.102
320.000000,95.016
325.000000,94.927
330.000000,94.842
335.000000,94.756
340.000000,94.672
345.000000,94.592
350.000000,94.518
355.000000,94.440
360.000000,94.359
365.000000,94.292
370.000000,94.227
375.000000,94.162
382.000000,94.074
387.000000,94.016
395.000000,93.919
400.000000,93.855
406.000000,93.791
412.000000,93.720
418.000000,93.646
425.000000,93.576
431.000000,93.510
437.000000,93.445
444.000000,93.373
450.000000,93.326
455.000000,93.267
462.000000,93.202
468.000000,93.147
475.000000,93.085
482.000000,93.025
487.000000,92.985
494.000000,92.929
500.000000,92.887
508.000000,92.825
515.000000,92.772
522.000000,92.726
530.000000,92.670
538.000000,92.621
545.000000,92.574
552.000000,92.513
560.000000,92.478
570.000000,92.419
580.000000,92.365
590.000000,92.310
600.000000,92.267
