X,Y
20.000000,57.863
20.299999,57.892
20.600000,57.919
20.900000,57.943
21.200001,57.966
21.400000,57.980
21.799999,58.007
22.000000,58.018
22.400000,58.040
22.700001,58.055
23.000000,58.067
23.299999,58.077
23.600000,58.083
24.000000,58.088
24.299999,58.092
24.700001,58.102
25.000000,58.112
25.400000,58.131
25.799999,58.152
26.200001,58.173
26.500000,58.189
26.900000,58.207
27.200001,58.218
27.600000,58.230
28.000000,58.240
28.500000,58.252
29.000000,58.262
29.500000,58.270
30.000000,58.275
30.400000,58.278
30.700001,58.279
31.100000,58.277
31.500000,58.272
32.000000,58.263
32.500000,58.255
33.000000,58.252
33.500000,58.251
34.000000,58.243
34.500000,58.243
35.000000,58.244
35.500000,58.249
36.000000,58.251
36.500000,58.247
37.000000,58.237
37.500000,58.231
38.200001,58.229
38.700001,58.232
39.500000,58.220
40.000000,58.201
40.599998,58.178
41.200001,58.162
41.799999,58.149
42.500000,58.132
43.099998,58.117
43.700001,58.104
44.400002,58.089
45.000000,58.075
45.500000,58.065
46.200001,58.050
46.799999,58.033
47.500000,58.007
48.200001,57.983
48.700001,57.968
49.400002,57.942
50.000000,57.920
50.799999,57.899
51.500000,57.880
52.200001,57.852
53.000000,57.820
53.799999,57.799
54.500000,57.770
55.200001,57.735
56.000000,57.712
57.000000,57.677
58.000000,57.614
59.000000,57.602
60.000000,57.580
60.799999,57.548
61.500000,57.535
62.200001,57.520
63.000000,57.492
64.000000,57.461
65.000000,57.419
66.000000,57.387
67.000000,57.355
68.000000,57.319
69.000000,57.295
70.000000,57.255
71.000000,57.222
72.000000,57.191
73.000000,57.149
74.000000,57.122
75.000000,57.084
76.199997,57.038
77.500000,56.995
78.800003,56.949
80.000000,56.903
81.199997,56.865
82.500000,56.809
83.800003,56.764
85.000000,56.715
86.199997,56.679
87.500000,56.631
88.500000,56.602
90.000000,56.555
91.199997,56.520
92.500000,56.473
93.800003,56.424
95.000000,56.387
96.199997,56.340
97.500000,56.298
98.800003,56.269
100.000000,56.222
101.500000,56.168
103.000000,56.131
104.400002,56.086
106.000000,56.049
107.500000,55.996
109.000000,55.961
110.599998,55.898
112.000000,55.860
113.800003,55.804
115.000000,55.777
117.199997,55.726
118.000000,55.692
120.599998,55.680
122.000000,55.587
124.099998,55.521
125.000000,55.501
126.500000,55.456
128.000000,55.418
131.500000,55.341
132.000000,55.327
134.000000,55.275
136.000000,55.221
138.000000,55.168
140.000000,55.124
143.000000,55.052
145.000000,55.007
147.500000,54.952
150.000000,54.895
152.500000,54.840
155.000000,54.793
157.500000,54.735
160.000000,54.682
162.500000,54.628
165.000000,54.580
167.500000,54.530
170.000000,54.478
172.500000,54.445
175.000000,54.395
177.500000,54.363
180.000000,54.321
182.500000,54.287
185.000000,54.245
187.500000,54.214
190.000000,54.173
192.500000,54.144
195.000000,54.103
197.500000,54.059
200.000000,54.025
203.000000,53.980
206.000000,53.940
209.000000,53.898
212.000000,53.857
214.000000,53.833
218.000000,53.783
220.000000,53.744
224.000000,53.692
227.000000,53.656
230.000000,53.609
233.000000,53.581
236.000000,53.536
240.000000,53.480
243.000000,53.451
247.000000,53.422
250.000000,53.386
254.000000,53.361
258.000000,53.295
262.000000,53.261
265.000000,53.220
269.000000,53.194
272.000000,53.188
276.000000,53.193
280.000000,53.233
285.000000,53.267
290.000000,53.302
295.000000,53.291
300.000000,53.259
304.000000,53.233
307.000000,53.215
311.000000,53.184
315.000000,53.158
320.000000,53.126
325.000000,53.085
330.000000,53.050
335.000000,53.024
340.000000,52.995
345.000000,52.968
350.000000,52.955
355.000000,52.923
360.000000,52.910
365.000000,52.875
370.000000,52.854
375.000000,52.834
382.000000,52.814
387.000000,52.789
395.000000,52.765
400.000000,52.750
406.000000,52.742
412.000000,52.717
418.000000,52.708
425.000000,52.686
431.000000,52.673
437.000000,52.659
444.000000,52.637
450.000000,52.626
455.000000,52.622
462.000000,52.608
468.000000,52.598
475.000000,52.591
482.000000,52.574
487.000000,52.559
494.000000,52.552
500.000000,52.558
508.000000,52.553
515.000000,52.549
522.000000,52.537
530.000000,52.536
538.000000,52.540
545.000000,52.526
552.000000,52.524
560.000000,52.523
570.000000,52.522
580.000000,52.514
590.000000,52.520
600.000000,52.514
608.000000,52.525
615.000000,52.509
622.000000,52.522
630.000000,52.534
640.000000,52.540
650.000000,52.520
660.000000,52.541
670.000000,52.547
680.000000,52.553
690.000000,52.570
700.000000,52.593
710.000000,52.610
720.000000,52.623
730.000000,52.650
740.000000,52.693
750.000000,52.735
762.000000,52.782
775.000000,52.819
788.000000,52.854
800.000000,52.898
812.000000,52.936
825.000000,53.000
838.000000,53.045
850.000000,53.108
862.000000,53.170
875.000000,53.222
885.000000,53.264
900.000000,53.355
912.000000,53.415
925.000000,53.481
938.000000,53.568
950.000000,53.645
962.000000,53.719
975.000000,53.809
988.000000,53.920
1000.000000,54.023
1015.000000,54.124
1030.000000,54.248
1044.000000,54.351
1060.000000,54.485
1075.000000,54.608
1090.000000,54.703
1106.000000,54.821
1120.000000,54.917
1138.000000,55.033
1150.000000,55.086
1172.000000,55.076
1180.000000,55.076
1206.000000,55.223
1220.000000,55.369
1241.000000,55.554
1250.000000,55.586
1265.000000,55.585
1280.000000,55.612
1315.000000,55.907
1320.000000,55.962
1340.000000,56.157
1360.000000,56.381
1380.000000,56.568
1400.000000,56.760
1430.000000,57.011
1450.000000,57.171
1475.000000,57.372
1500.000000,57.575
1525.000000,57.770
1550.000000,57.917
1575.000000,58.058
1600.000000,58.212
1625.000000,58.348
1650.000000,58.489
1675.000000,58.632
1700.000000,58.807
1725.000000,58.929
1750.000000,59.057
1775.000000,59.191
1800.000000,59.324
1825.000000,59.464
1850.000000,59.600
1875.000000,59.737
1900.000000,59.864
1925.000000,60.003
1950.000000,60.129
1975.000000,60.257
2000.000000,60.396
2030.000000,60.539
2060.000000,60.687
2090.000000,60.833
2120.000000,60.977
2140.000000,61.066
2180.000000,61.238
2200.000000,61.325
2240.000000,61.483
2270.000000,61.594
2300.000000,61.709
2330.000000,61.808
2360.000000,61.897
2400.000000,62.014
2430.000000,62.083
2470.000000,62.178
2500.000000,62.236
2540.000000,62.299
2580.000000,62.357
2620.000000,62.395
2650.000000,62.425
2690.000000,62.443
2720.000000,62.459
2760.000000,62.460
2800.000000,62.452
2850.000000,62.425
2900.000000,62.409
2950.000000,62.384
3000.000000,62.348
3040.000000,62.313
3070.000000,62.286
3110.000000,62.250
3150.000000,62.218
3200.000000,62.171
3250.000000,62.133
3300.000000,62.095
3350.000000,62.060
3400.000000,62.021
3450.000000,61.988
3500.000000,61.955
3550.000000,61.929
3600.000000,61.910
3650.000000,61.887
3700.000000,61.868
3750.000000,61.851
3820.000000,61.814
3870.000000,61.798
3950.000000,61.782
4000.000000,61.758
4060.000000,61.724
4120.000000,61.714
4180.000000,61.614
4250.000000,61.540
4310.000000,61.450
4370.000000,61.342
4440.000000,61.182
4500.000000,61.024
4550.000000,60.871
4620.000000,60.639
4680.000000,60.409
4750.000000,60.132
4820.000000,59.807
4870.000000,59.569
4940.000000,59.223
5000.000000,58.907
5080.000000,58.485
5150.000000,58.099
5220.000000,57.708
5300.000000,57.288
5380.000000,56.845
5450.000000,56.470
5520.000000,56.111
5600.000000,55.699
5700.000000,55.223
5800.000000,54.730
5900.000000,54.293
6000.000000,53.865
6080.000000,53.551
6150.000000,53.281
6220.000000,53.096
6300.000000,52.899
6400.000000,52.692
6500.000000,52.505
6600.000000,52.336
6700.000000,52.194
6800.000000,52.082
6900.000000,52.011
7000.000000,51.951
7100.000000,51.992
7200.000000,52.097
7300.000000,52.173
7400.000000,52.320
7500.000000,52.553
7620.000000,52.887
7750.000000,53.343
7880.000000,53.914
8000.000000,54.591
8120.000000,55.440
8250.000000,56.522
8380.000000,57.839
8500.000000,59.120
8620.000000,60.232
8750.000000,60.571
8850.000000,59.925
9000.000000,57.864
9120.000000,55.959
9250.000000,54.004
9380.000000,52.245
9500.000000,50.822
9620.000000,49.508
9750.000000,48.272
9880.000000,47.152
10000.000000,46.272
10150.000000,45.161
10300.000000,44.211
10440.000000,43.488
10600.000000,42.634
10750.000000,41.904
10900.000000,41.278
11060.000000,40.614
11200.000000,40.268
11380.000000,39.763
