X,Y
20.000000,111.607
20.299999,111.643
20.600000,111.666
20.900000,111.674
21.200001,111.669
21.400000,111.660
21.799999,111.632
22.000000,111.616
22.400000,111.586
22.700001,111.566
23.000000,111.548
23.299999,111.529
23.600000,111.504
24.000000,111.460
24.299999,111.418
24.700001,111.358
25.000000,111.316
25.400000,111.270
25.799999,111.235
26.200001,111.202
26.500000,111.171
26.900000,111.118
27.200001,111.070
27.600000,111.003
28.000000,110.943
28.500000,110.884
29.000000,110.834
29.500000,110.777
30.000000,110.712
30.400000,110.659
30.700001,110.623
31.100000,110.579
31.500000,110.539
32.000000,110.487
32.500000,110.433
33.000000,110.381
33.500000,110.338
34.000000,110.307
34.500000,110.283
35.000000,110.261
35.500000,110.239
36.000000,110.215
36.500000,110.191
37.000000,110.167
37.500000,110.141
38.200001,110.103
38.700001,110.074
39.500000,110.024
40.000000,109.991
40.599998,109.950
41.200001,109.908
41.799999,109.864
42.500000,109.807
43.099998,109.757
43.700001,109.706
44.400002,109.646
45.000000,109.591
45.500000,109.542
46.200001,109.469
46.799999,109.403
47.500000,109.327
48.200001,109.254
48.700001,109.203
49.400002,109.133
50.000000,109.072
50.799999,108.988
51.500000,108.912
52.200001,108.834
53.000000,108.741
53.799999,108.644
54.500000,108.559
55.200001,108.473
56.000000,108.376
57.000000,108.256
58.000000,108.143
59.000000,108.034
60.000000,107.925
60.799999,107.838
61.500000,107.761
62.200001,107.683
63.000000,107.594
64.000000,107.483
65.000000,107.375
66.000000,107.267
67.000000,107.161
68.000000,107.054
69.000000,106.949
70.000000,106.850
71.000000,106.756
72.000000,106.661
73.000000,106.561
74.000000,106.453
75.000000,106.343
76.199997,106.215
77.500000,106.082
78.800003,105.963
80.000000,105.871
81.199997,105.798
82.500000,105.733
83.800003,105.668
85.000000,105.594
86.199997,105.506
87.500000,105.397
88.500000,105.314
90.000000,105.214
91.199997,105.157
92.500000,105.096
93.800003,105.024
95.000000,104.943
96.199997,104.844
97.500000,104.716
98.800003,104.588
100.000000,104.504
101.500000,104.456
103.000000,104.429
104.400002,104.396
106.000000,104.345
107.500000,104.281
109.000000,104.205
110.599998,104.120
112.000000,104.046
113.800003,103.955
115.000000,103.895
117.199997,103.783
118.000000,103.742
120.599998,103.611
122.000000,103.544
124.099998,103.448
125.000000,103.408
126.500000,103.340
128.000000,103.272
131.500000,103.113
132.000000,103.090
134.000000,103.000
136.000000,102.910
138.000000,102.820
140.000000,102.734
143.000000,102.607
145.000000,102.522
147.500000,102.419
150.000000,102.326
152.500000,102.247
155.000000,102.184
157.500000,102.132
160.000000,102.085
162.500000,102.036
165.000000,101.981
167.500000,101.918
170.000000,101.846
172.500000,101.771
175.000000,101.695
177.500000,101.614
180.000000,101.530
182.500000,101.445
185.000000,101.359
187.500000,101.276
190.000000,101.197
192.500000,101.116
195.000000,101.030
197.500000,100.942
200.000000,100.862
203.000000,100.787
206.000000,100.728
209.000000,100.673
212.000000,100.626
214.000000,100.602
218.000000,100.566
220.000000,100.549
224.000000,100.508
227.000000,100.467
230.000000,100.416
233.000000,100.357
236.000000,100.295
240.000000,100.211
243.000000,100.150
247.000000,100.075
250.000000,100.024
254.000000,99.959
258.000000,99.890
262.000000,99.820
265.000000,99.768
269.000000,99.700
272.000000,99.651
276.000000,99.587
280.000000,99.525
285.000000,99.452
290.000000,99.380
295.000000,99.311
300.000000,99.243
304.000000,99.191
307.000000,99.153
311.000000,99.102
315.000000,99.053
320.000000,98.994
325.000000,98.939
330.000000,98.886
335.000000,98.833
340.000000,98.782
345.000000,98.732
350.000000,98.683
355.000000,98.636
360.000000,98.592
365.000000,98.551
370.000000,98.511
375.000000,98.473
382.000000,98.419
387.000000,98.379
395.000000,98.316
400.000000,98.280
406.000000,98.242
412.000000,98.206
418.000000,98.171
425.000000,98.130
431.000000,98.096
437.000000,98.063
444.000000,98.028
450.000000,97.999
455.000000,97.975
462.000000,97.945
468.000000,97.920
475.000000,97.892
482.000000,97.865
487.000000,97.846
494.000000,97.822
500.000000,97.802
508.000000,97.778
515.000000,97.759
522.000000,97.741
530.000000,97.721
538.000000,97.703
545.000000,97.687
552.000000,97.673
560.000000,97.658
570.000000,97.643
580.000000,97.632
590.000000,97.621
600.000000,97.612
608.000000,97.607
615.000000,97.605
622.000000,97.605
630.000000,97.606
640.000000,97.608
650.000000,97.610
660.000000,97.615
670.000000,97.622
680.000000,97.633
690.000000,97.646
700.000000,97.659
710.000000,97.673
720.000000,97.689
730.000000,97.709
740.000000,97.731
750.000000,97.757
762.000000,97.790
775.000000,97.830
788.000000,97.873
800.000000,97.917
812.000000,97.965
825.000000,98.020
838.000000,98.079
850.000000,98.136
862.000000,98.196
875.000000,98.266
885.000000,98.322
900.000000,98.413
912.000000,98.490
925.000000,98.577
938.000000,98.667
950.000000,98.752
962.000000,98.837
975.000000,98.931
988.000000,99.028
1000.000000,99.121
1015.000000,99.239
1030.000000,99.360
1044.000000,99.473
1060.000000,99.602
1075.000000,99.724
1090.000000,99.847
1106.000000,99.978
1120.000000,100.092
1138.000000,100.235
1150.000000,100.330
1172.000000,100.504
1180.000000,100.568
1206.000000,100.771
1220.000000,100.879
1241.000000,101.039
1250.000000,101.108
1265.000000,101.220
1280.000000,101.333
1315.000000,101.604
1320.000000,101.644
1340.000000,101.815
1360.000000,101.998
1380.000000,102.192
1400.000000,102.390
1430.000000,102.684
1450.000000,102.873
1475.000000,103.103
1500.000000,103.330
1525.000000,103.553
1550.000000,103.771
1575.000000,103.976
1600.000000,104.156
1625.000000,104.298
1650.000000,104.391
1675.000000,104.436
1700.000000,104.454
1725.000000,104.477
1750.000000,104.534
1775.000000,104.644
1800.000000,104.806
1825.000000,105.010
1850.000000,105.242
1875.000000,105.490
1900.000000,105.747
1925.000000,106.005
1950.000000,106.261
1975.000000,106.512
2000.000000,106.755
2030.000000,107.034
2060.000000,107.299
2090.000000,107.548
2120.000000,107.785
2140.000000,107.937
2180.000000,108.232
2200.000000,108.374
2240.000000,108.648
2270.000000,108.837
2300.000000,108.997
2330.000000,109.097
2360.000000,109.093
2400.000000,108.839
2430.000000,108.419
2470.000000,107.575
2500.000000,106.833
2540.000000,105.915
2580.000000,105.257
2620.000000,104.905
2650.000000,104.809
2690.000000,104.827
2720.000000,104.904
2760.000000,105.039
2800.000000,105.170
2850.000000,105.270
2900.000000,105.238
2950.000000,105.048
3000.000000,104.759
3040.000000,104.543
3070.000000,104.426
3110.000000,104.335
3150.000000,104.296
3200.000000,104.279
3250.000000,104.271
3300.000000,104.263
3350.000000,104.250
3400.000000,104.212
3450.000000,104.117
3500.000000,103.944
3550.000000,103.730
3600.000000,103.555
3650.000000,103.463
3700.000000,103.441
3750.000000,103.462
3820.000000,103.541
3870.000000,103.626
3950.000000,103.797
4000.000000,103.921
4060.000000,104.086
4120.000000,104.272
4180.000000,104.475
4250.000000,104.709
4310.000000,104.861
4370.000000,104.895
4440.000000,104.669
4500.000000,104.184
4550.000000,103.613
4620.000000,102.813
4680.000000,102.417
4750.000000,102.430
4820.000000,102.765
4870.000000,103.049
4940.000000,103.337
5000.000000,103.366
5080.000000,102.941
5150.000000,102.114
5220.000000,101.081
5300.000000,100.195
5380.000000,99.999
5450.000000,100.226
5520.000000,100.547
5600.000000,100.818
5700.000000,100.851
5800.000000,100.493
5900.000000,99.883
6000.000000,99.330
6080.000000,99.053
6150.000000,98.901
6220.000000,98.799
6300.000000,98.772
6400.000000,98.954
6500.000000,99.353
6600.000000,99.858
6700.000000,100.399
6800.000000,100.974
6900.000000,101.603
7000.000000,102.301
7100.000000,103.081
7200.000000,103.958
7300.000000,104.913
7400.000000,105.853
7500.000000,106.670
7620.000000,107.452
7750.000000,108.142
7880.000000,108.689
8000.000000,108.950
8120.000000,108.852
8250.000000,108.280
8380.000000,107.236
8500.000000,105.902
8620.000000,104.307
8750.000000,102.475
8850.000000,101.139
9000.000000,99.389
9120.000000,98.173
9250.000000,96.968
9380.000000,95.855
9500.000000,94.914
9620.000000,94.067
9750.000000,93.271
9880.000000,92.640
10000.000000,92.241
10150.000000,92.022
10300.000000,92.089
10440.000000,92.355
10600.000000,92.826
10750.000000,93.396
10900.000000,94.083
11060.000000,94.937
11200.000000,95.753
11380.000000,96.776
11500.000000,97.349
11720.000000,97.984
11800.000000,98.058
12060.000000,97.747
12200.000000,97.321
12410.000000,96.566
12500.000000,96.265
12650.000000,95.862
12800.000000,95.615
13150.000000,95.565
13200.000000,95.600
13400.000000,95.795
13600.000000,96.042
13800.000000,96.298
14000.000000,96.530
14300.000000,96.814
14500.000000,96.982
14750.000000,97.227
15000.000000,97.579
15250.000000,98.096
15500.000000,98.779
15750.000000,99.503
16000.000000,100.023
16250.000000,100.064
16500.000000,99.462
16750.000000,98.242
17000.000000,96.600
17250.000000,94.792
17500.000000,92.997
17750.000000,91.219
18000.000000,89.304
18250.000000,87.075
18500.000000,84.448
18750.000000,81.438
19000.000000,78.132
19250.000000,74.689
19500.000000,71.422
19750.000000,68.876
