X,Y
20.000000,110.612
20.299999,110.399
20.600000,110.095
20.900000,109.802
21.200001,109.644
21.400000,109.654
21.799999,109.891
22.000000,110.065
22.400000,110.365
22.700001,110.470
23.000000,110.450
23.299999,110.348
23.600000,110.232
24.000000,110.161
24.299999,110.209
24.700001,110.359
25.000000,110.462
25.400000,110.514
25.799999,110.465
26.200001,110.396
26.500000,110.390
26.900000,110.472
27.200001,110.575
27.600000,110.704
28.000000,110.758
28.500000,110.717
29.000000,110.659
29.500000,110.705
30.000000,110.892
30.400000,111.098
30.700001,111.250
31.100000,111.411
31.500000,111.501
32.000000,111.505
32.500000,111.422
33.000000,111.313
33.500000,111.234
34.000000,111.208
34.500000,111.222
35.000000,111.245
35.500000,111.256
36.000000,111.261
36.500000,111.287
37.000000,111.355
37.500000,111.449
38.200001,111.542
38.700001,111.540
39.500000,111.471
40.000000,111.451
40.599998,111.470
41.200001,111.508
41.799999,111.551
42.500000,111.616
43.099998,111.664
43.700001,111.672
44.400002,111.643
45.000000,111.641
45.500000,111.676
46.200001,111.760
46.799999,111.827
47.500000,111.870
48.200001,111.865
48.700001,111.833
49.400002,111.770
50.000000,111.721
50.799999,111.683
51.500000,111.684
52.200001,111.723
53.000000,111.807
53.799999,111.907
54.500000,111.987
55.200001,112.047
56.000000,112.080
57.000000,112.072
58.000000,112.045
59.000000,112.035
60.000000,112.042
60.799999,112.038
61.500000,112.024
62.200001,112.004
63.000000,111.980
64.000000,111.956
65.000000,111.938
66.000000,111.915
67.000000,111.879
68.000000,111.828
69.000000,111.750
70.000000,111.643
71.000000,111.516
72.000000,111.378
73.000000,111.236
74.000000,111.092
75.000000,110.933
76.199997,110.717
77.500000,110.454
78.800003,110.160
80.000000,109.860
81.199997,109.541
82.500000,109.192
83.800003,108.845
85.000000,108.529
86.199997,108.229
87.500000,107.917
88.500000,107.678
90.000000,107.326
91.199997,107.055
92.500000,106.776
93.800003,106.506
95.000000,106.266
96.199997,106.044
97.500000,105.828
98.800003,105.633
100.000000,105.466
101.500000,105.269
103.000000,105.087
104.400002,104.940
106.000000,104.796
107.500000,104.679
109.000000,104.569
110.599998,104.455
112.000000,104.358
113.800003,104.232
115.000000,104.145
117.199997,103.992
118.000000,103.942
120.599998,103.804
122.000000,103.735
124.099998,103.624
125.000000,103.575
126.500000,103.494
128.000000,103.417
131.500000,103.249
132.000000,103.227
134.000000,103.141
136.000000,103.052
138.000000,102.963
140.000000,102.884
143.000000,102.788
145.000000,102.739
147.500000,102.689
150.000000,102.649
152.500000,102.617
155.000000,102.588
157.500000,102.562
