X,Y
19.5,57.9
19.8,57.9
20.1,58
20.3,58
20.6,58
20.9,58.1
21.2,58.1
21.6,58.1
21.9,58.1
22.2,58.1
22.5,58.2
22.8,58.2
23.2,58.2
23.5,58.3
23.8,58.3
24.2,58.4
24.5,58.5
24.9,58.6
25.3,58.7
25.6,58.8
26,58.8
26.4,58.9
26.8,58.9
27.2,58.9
27.5,58.9
28,58.8
28.4,58.8
28.8,58.8
29.2,58.8
29.6,58.8
30,58.8
30.5,58.9
30.9,58.9
31.4,58.9
31.8,59
32.3,59
32.8,59
33.2,59
33.7,59
34.2,59
34.7,59
35.2,59
35.7,59
36.2,59
36.8,59.1
37.3,59.1
37.9,59.1
38.4,59.2
39,59.2
39.5,59.2
40.1,59.2
40.7,59.2
41.3,59.3
41.9,59.4
42.5,59.5
43.1,59.6
43.7,59.6
44.4,59.7
45,59.6
45.7,59.6
46.3,59.5
47,59.4
47.7,59.4
48.4,59.4
49.1,59.4
49.8,59.4
50.5,59.3
51.3,59.3
52,59.3
52.8,59.3
53.5,59.2
54.3,59.1
55.1,59
55.9,59
56.7,59
57.5,59
58.4,59.1
59.2,59.1
60.1,59.1
61,59.1
61.8,59
62.7,58.9
63.7,58.9
64.6,58.8
65.5,58.8
66.5,58.7
67.4,58.8
68.4,58.8
69.4,58.9
70.4,58.9
71.5,58.9
72.5,58.8
73.5,58.8
74.6,58.7
75.7,58.6
76.8,58.6
77.9,58.6
79.1,58.5
80.2,58.4
81.4,58.4
82.6,58.5
83.8,58.5
85,58.5
86.2,58.4
87.5,58.2
88.7,58.1
90,58.1
91.3,58.1
92.7,58.2
94,58.3
95.4,58.3
96.8,58.4
98.2,58.4
99.6,58.4
101,58.3
103,58.2
104,58.1
106,58
107,57.9
109,57.8
110,57.7
112,57.6
113,57.6
115,57.5
117,57.5
118,57.5
120,57.5
122,57.4
124,57.4
125,57.2
127,57.1
129,57.1
131,57.1
133,57
135,56.9
137,56.9
139,56.7
141,56.6
143,56.5
145,56.4
147,56.3
149,56.2
151,56.2
154,56.2
156,56.2
158,56.3
160,56.3
163,56.3
165,56.2
168,56.2
170,56.1
172,56.1
175,56
177,56
180,56
183,55.9
185,55.8
188,55.8
191,55.7
194,55.6
196,55.6
199,55.5
202,55.5
205,55.4
208,55.4
211,55.4
214,55.4
217,55.3
220,55.3
224,55.3
227,55.3
230,55.3
234,55.3
237,55.2
240,55.2
244,55.1
247,55
251,54.8
255,54.8
258,54.7
262,54.7
266,54.7
270,54.8
274,54.8
278,54.8
282,54.7
286,54.6
290,54.5
294,54.5
298,54.4
303,54.4
307,54.3
312,54.4
316,54.4
321,54.4
325,54.4
330,54.3
335,54.2
340,54.2
345,54.1
350,54.2
355,54.1
360,54.1
365,54
371,54
376,54
382,53.9
387,54
393,54
398,54
404,54
410,54.1
416,54.1
422,54.1
428,54
434,53.9
441,53.9
447,53.9
454,53.9
460,53.8
467,53.8
474,53.8
481,53.8
488,53.7
495,53.7
502,53.6
509,53.6
517,53.5
524,53.5
532,53.5
540,53.5
547,53.5
555,53.6
563,53.6
572,53.7
580,53.7
588,53.6
597,53.6
606,53.6
614,53.5
623,53.5
632,53.6
642,53.6
651,53.6
660,53.6
670,53.6
680,53.6
690,53.7
700,53.7
710,53.7
720,53.7
731,53.6
741,53.6
752,53.6
763,53.5
774,53.5
785,53.6
797,53.6
808,53.7
820,53.7
832,53.7
844,53.7
856,53.8
869,53.8
882,53.9
894,53.9
907,54
921,54.1
934,54.2
948,54.3
961,54.4
975,54.5
990,54.5
1004,54.6
1019,54.7
1033,54.9
1048,55
1064,55.2
1079,55.4
1095,55.5
1111,55.7
1127,55.8
1143,56
1160,56.1
1177,56.5
1194,56.6
1211,56.8
1229,57
1247,57.2
1265,57.3
1283,57.5
1302,57.7
1321,57.9
1340,58
1360,58.1
1379,58.3
1399,58.4
1420,58.6
1440,58.7
1461,58.9
1483,59
1504,59.2
1526,59.4
1548,59.5
1571,59.6
1594,59.7
1617,59.9
1640,60
1664,60.1
1688,60.2
1713,60.3
1738,60.5
1763,60.6
1789,60.7
1815,60.8
1841,60.9
1868,61
1895,61.1
1923,61.2
1951,61.3
1979,61.4
2008,61.4
2037,61.4
2067,61.4
2097,61.4
2127,61.3
2158,61.3
2190,61.2
2221,61.1
2254,61
2287,60.8
2320,60.7
2354,60.6
2388,60.4
2423,60.2
2458,60.1
2494,59.9
2530,59.7
2567,59.5
2604,59.3
2642,59.1
2680,59
2719,58.8
2759,58.5
2799,58.3
2840,58
2881,57.8
2923,57.5
2965,57.2
3008,56.9
3052,56.7
3097,56.6
3142,56.4
3187,56.4
3234,56.4
3281,56.4
3328,56.5
3377,56.6
3426,56.8
3476,57
3526,57.2
3578,57.5
3630,57.7
3682,58
3736,58.3
3790,58.5
3846,58.7
3901,58.9
3958,59
4016,59
4074,59
4133,58.9
4194,58.7
4255,58.3
4316,57.9
4379,57.5
4443,57.1
4508,56.7
4573,56.2
4640,55.8
4707,55.4
4776,55
4845,54.6
4916,54.3
4987,53.9
5060,53.6
5133,53.4
5208,53.1
5284,53
5360,52.8
5438,52.8
5518,52.8
5598,52.8
5679,53
5762,53.2
5846,53.5
5931,53.9
6017,54.3
6104,54.9
6193,55.6
6283,56.3
6375,57.2
6467,58.1
6561,59.3
6657,59.8
6754,60.1
6852,60.1
6952,59.9
7053,59.6
7155,59.3
7259,59.1
7365,58.9
7472,58.8
7581,58.9
7691,59
7803,59.2
7916,59.3
8032,59.5
8148,59.6
8267,59.7
8387,59.6
8509,59.6
8633,59.5
8758,59.3
8886,59.1
9015,58.6
9146,57.8
9279,56.7
9414,55.5
9551,54.1
9690,52.7
9831,51.5
9974,49.8
10119,48.8
10266,47.9
10416,47.2
10567,46.6
10721,46.1
10877,45.6
11035,45.2
11196,44.9
11358,44.7
11524,44.6
11691,44.6
11861,44.7
12034,44.9
12209,45.3
12386,45.7
12567,46.1
12749,46.5
12935,46.9
13123,47.2
13314,47.4
13507,47.6
13704,47.8
13903,47.9
14105,48.2
14311,48.5
14519,48.9
14730,49.3
14944,49.7
15162,49.9
15382,49.8
15606,49.6
15833,49.2
16063,48.7
16297,48
16534,47.3
16774,46.7
17018,46.3
17266,45.9
17517,45.3
17772,44.6
18030,43.4
18293,41.9
18559,40.4
18829,38.8
19102,37.4
19380,36.3
20000,35.4
