X,Y
20.000000,89.946
20.299999,89.908
20.600000,89.944
20.900000,89.966
21.200001,89.957
21.400000,89.996
21.799999,90.058
22.000000,90.082
22.400000,90.195
22.700001,90.315
23.000000,90.381
23.299999,90.415
23.600000,90.495
24.000000,90.627
24.299999,90.726
24.700001,90.908
25.000000,91.029
25.400000,91.144
25.799999,91.305
26.200001,91.410
26.500000,91.510
26.900000,91.651
27.200001,91.744
27.600000,91.871
28.000000,91.991
28.500000,92.065
29.000000,92.160
29.500000,92.236
30.000000,92.370
30.400000,92.432
30.700001,92.495
31.100000,92.583
31.500000,92.635
32.000000,92.703
32.500000,92.757
33.000000,92.842
33.500000,92.933
34.000000,93.026
34.500000,93.098
35.000000,93.141
35.500000,93.167
36.000000,93.201
36.500000,93.242
37.000000,93.270
37.500000,93.291
38.200001,93.284
38.700001,93.287
39.500000,93.320
40.000000,93.307
40.599998,93.290
41.200001,93.256
41.799999,93.240
42.500000,93.208
43.099998,93.217
43.700001,93.227
44.400002,93.218
45.000000,93.251
45.500000,93.242
46.200001,93.216
46.799999,93.165
47.500000,93.101
48.200001,93.082
48.700001,93.160
49.400002,93.336
50.000000,93.272
50.799999,92.968
51.500000,92.875
52.200001,92.818
53.000000,92.735
53.799999,92.636
54.500000,92.645
55.200001,92.629
56.000000,92.524
57.000000,92.454
58.000000,92.382
59.000000,92.245
60.000000,92.155
60.799999,92.104
61.500000,92.033
62.200001,91.926
63.000000,91.843
64.000000,91.819
65.000000,91.749
66.000000,91.620
67.000000,91.523
68.000000,91.439
69.000000,91.363
70.000000,91.253
71.000000,91.142
72.000000,90.993
73.000000,90.849
74.000000,90.768
75.000000,90.711
76.199997,90.642
77.500000,90.547
78.800003,90.395
80.000000,90.250
81.199997,90.100
82.500000,89.930
83.800003,89.800
85.000000,89.715
86.199997,89.614
87.500000,89.503
88.500000,89.420
90.000000,89.249
91.199997,89.093
92.500000,88.944
93.800003,88.812
95.000000,88.712
96.199997,88.641
97.500000,88.520
98.800003,88.411
100.000000,88.278
101.500000,88.121
103.000000,87.967
104.400002,87.875
106.000000,87.723
107.500000,87.581
109.000000,87.444
110.599998,87.314
112.000000,87.200
113.800003,87.026
115.000000,86.919
117.199997,86.794
118.000000,86.761
120.599998,86.468
122.000000,86.331
124.099998,86.203
125.000000,86.146
126.500000,86.049
128.000000,85.952
131.500000,85.676
132.000000,85.649
134.000000,85.539
136.000000,85.387
138.000000,85.259
140.000000,85.132
143.000000,84.915
145.000000,84.783
147.500000,84.693
150.000000,84.516
152.500000,84.398
155.000000,84.325
157.500000,84.261
160.000000,84.140
162.500000,84.014
165.000000,83.921
167.500000,83.848
170.000000,83.761
172.500000,83.677
175.000000,83.607
177.500000,83.539
180.000000,83.456
182.500000,83.312
185.000000,83.242
187.500000,83.211
190.000000,83.166
192.500000,83.077
195.000000,83.066
197.500000,83.028
200.000000,82.994
203.000000,82.938
206.000000,82.892
209.000000,82.847
212.000000,82.790
214.000000,82.745
218.000000,82.741
220.000000,82.722
224.000000,82.635
227.000000,82.646
230.000000,82.632
233.000000,82.593
236.000000,82.584
240.000000,82.546
243.000000,82.535
247.000000,82.549
250.000000,82.519
254.000000,82.500
258.000000,82.527
262.000000,82.481
265.000000,82.479
269.000000,82.498
272.000000,82.486
276.000000,82.511
280.000000,82.478
285.000000,82.472
290.000000,82.498
295.000000,82.508
300.000000,82.510
304.000000,82.508
307.000000,82.531
311.000000,82.541
315.000000,82.529
320.000000,82.555
325.000000,82.562
330.000000,82.591
335.000000,82.626
340.000000,82.633
345.000000,82.654
350.000000,82.664
355.000000,82.690
360.000000,82.708
365.000000,82.740
370.000000,82.755
375.000000,82.811
382.000000,82.819
387.000000,82.854
395.000000,82.901
400.000000,82.944
406.000000,82.965
412.000000,83.026
418.000000,83.039
425.000000,83.089
