X,Y
20.000000,90.150
20.299999,90.204
20.600000,90.275
20.900000,90.265
21.200001,90.163
21.400000,90.115
21.799999,89.986
22.000000,89.919
22.400000,89.888
22.700001,89.929
23.000000,89.928
23.299999,89.888
23.600000,89.875
24.000000,89.850
24.299999,89.818
24.700001,89.828
25.000000,89.827
25.400000,89.780
25.799999,89.761
26.200001,89.663
26.500000,89.607
26.900000,89.555
27.200001,89.527
27.600000,89.521
28.000000,89.527
28.500000,89.456
29.000000,89.388
29.500000,89.284
30.000000,89.229
30.400000,89.144
30.700001,89.109
31.100000,89.097
31.500000,89.079
32.000000,89.070
32.500000,89.013
33.000000,88.949
33.500000,88.902
34.000000,88.912
34.500000,88.938
35.000000,88.923
35.500000,88.850
36.000000,88.766
36.500000,88.704
37.000000,88.656
37.500000,88.622
38.200001,88.576
38.700001,88.577
39.500000,88.601
40.000000,88.552
40.599998,88.468
41.200001,88.357
41.799999,88.252
42.500000,88.108
43.099998,88.068
43.700001,88.087
44.400002,88.092
45.000000,88.108
45.500000,88.080
46.200001,88.038
46.799999,87.960
47.500000,87.827
48.200001,87.723
48.700001,87.768
49.400002,87.955
50.000000,87.925
50.799999,87.624
51.500000,87.518
52.200001,87.474
53.000000,87.382
53.799999,87.302
54.500000,87.383
55.200001,87.353
56.000000,87.146
57.000000,87.162
58.000000,87.150
59.000000,86.939
60.000000,86.904
60.799999,86.904
61.500000,86.831
62.200001,86.719
63.000000,86.678
64.000000,86.706
65.000000,86.647
66.000000,86.579
67.000000,86.611
68.000000,86.535
69.000000,86.346
70.000000,86.394
71.000000,86.363
72.000000,86.166
73.000000,86.103
74.000000,86.036
75.000000,86.061
76.199997,86.084
77.500000,86.075
78.800003,85.927
80.000000,85.869
81.199997,85.760
82.500000,85.622
83.800003,85.579
85.000000,85.579
86.199997,85.523
87.500000,85.517
88.500000,85.423
90.000000,85.330
91.199997,85.275
92.500000,85.200
93.800003,85.080
95.000000,85.135
96.199997,85.128
97.500000,85.136
98.800003,85.158
100.000000,85.075
101.500000,84.930
103.000000,84.891
104.400002,84.784
106.000000,84.791
107.500000,84.677
109.000000,84.728
110.599998,84.632
112.000000,84.559
113.800003,84.475
115.000000,84.370
117.199997,84.549
118.000000,84.433
120.599998,84.275
122.000000,84.345
124.099998,84.248
125.000000,84.225
126.500000,84.189
128.000000,84.141
131.500000,84.077
132.000000,84.087
134.000000,84.018
136.000000,83.969
138.000000,83.906
140.000000,83.898
143.000000,83.786
145.000000,83.735
147.500000,83.734
150.000000,83.640
152.500000,83.599
155.000000,83.553
157.500000,83.650
160.000000,83.612
162.500000,83.494
165.000000,83.505
167.500000,83.489
170.000000,83.423
172.500000,83.391
175.000000,83.369
177.500000,83.328
180.000000,83.193
182.500000,83.233
185.000000,83.275
187.500000,83.120
190.000000,83.117
192.500000,83.146
195.000000,83.127
197.500000,83.092
200.000000,83.060
203.000000,83.045
206.000000,83.008
209.000000,82.978
212.000000,82.919
214.000000,82.874
218.000000,82.899
220.000000,82.873
224.000000,82.814
227.000000,82.781
230.000000,82.831
233.000000,82.730
236.000000,82.717
240.000000,82.746
243.000000,82.714
247.000000,82.622
250.000000,82.595
254.000000,82.643
258.000000,82.593
262.000000,82.612
265.000000,82.603
269.000000,82.510
272.000000,82.525
276.000000,82.514
280.000000,82.487
285.000000,82.447
290.000000,82.434
295.000000,82.394
300.000000,82.385
304.000000,82.408
307.000000,82.384
311.000000,82.332
315.000000,82.323
320.000000,82.331
325.000000,82.232
330.000000,82.255
335.000000,82.262
340.000000,82.290
345.000000,82.257
350.000000,82.234
355.000000,82.187
360.000000,82.179
365.000000,82.192
370.000000,82.144
375.000000,82.183
382.000000,82.094
387.000000,82.096
395.000000,82.087
400.000000,82.077
406.000000,82.049
412.000000,82.082
418.000000,81.994
425.000000,82.026
431.000000,82.010
437.000000,82.004
444.000000,81.970
450.000000,82.004
455.000000,81.975
462.000000,81.978
468.000000,81.953
475.000000,81.974
482.000000,81.967
487.000000,81.942
494.000000,81.882
500.000000,81.819
508.000000,81.900
515.000000,81.850
522.000000,81.890
530.000000,81.867
538.000000,81.846
545.000000,81.848
552.000000,81.855
560.000000,81.832
570.000000,81.840
580.000000,81.852
590.000000,81.811
600.000000,81.782
608.000000,81.817
615.000000,81.808
622.000000,81.782
630.000000,81.789
640.000000,81.776
650.000000,81.804
660.000000,81.795
670.000000,81.834
680.000000,81.838
690.000000,81.831
700.000000,81.834
710.000000,81.829
720.000000,81.839
730.000000,81.841
740.000000,81.884
750.000000,81.877
762.000000,81.872
775.000000,81.928
788.000000,81.976
800.000000,81.982
812.000000,82.024
825.000000,82.047
838.000000,82.097
850.000000,82.137
862.000000,82.158
