X,Y
20.000000,83.750
20.299999,83.870
20.600000,83.999
20.900000,84.101
21.200001,84.144
21.400000,84.174
21.799999,84.253
22.000000,84.297
22.400000,84.355
22.700001,84.408
23.000000,84.478
23.299999,84.530
23.600000,84.565
24.000000,84.617
24.299999,84.667
24.700001,84.733
25.000000,84.778
25.400000,84.840
25.799999,84.904
26.200001,84.978
26.500000,85.039
26.900000,85.116
27.200001,85.169
27.600000,85.238
28.000000,85.302
28.500000,85.377
29.000000,85.455
29.500000,85.523
30.000000,85.568
30.400000,85.603
30.700001,85.631
31.100000,85.657
31.500000,85.673
32.000000,85.703
32.500000,85.764
33.000000,85.813
33.500000,85.853
34.000000,85.902
34.500000,85.952
35.000000,85.993
35.500000,86.037
36.000000,86.091
36.500000,86.142
37.000000,86.177
37.500000,86.196
38.200001,86.224
38.700001,86.265
39.500000,86.299
40.000000,86.302
40.599998,86.321
41.200001,86.340
41.799999,86.354
42.500000,86.373
43.099998,86.395
43.700001,86.430
44.400002,86.475
45.000000,86.517
45.500000,86.551
46.200001,86.602
46.799999,86.644
47.500000,86.666
48.200001,86.673
48.700001,86.675
49.400002,86.659
50.000000,86.640
50.799999,86.636
51.500000,86.631
52.200001,86.640
53.000000,86.667
53.799999,86.687
54.500000,86.708
55.200001,86.738
56.000000,86.763
57.000000,86.788
58.000000,86.802
59.000000,86.789
60.000000,86.761
60.799999,86.748
61.500000,86.747
62.200001,86.744
63.000000,86.741
64.000000,86.750
65.000000,86.775
66.000000,86.806
67.000000,86.822
68.000000,86.835
69.000000,86.819
70.000000,86.792
71.000000,86.767
72.000000,86.730
73.000000,86.714
74.000000,86.726
75.000000,86.740
76.199997,86.765
77.500000,86.779
78.800003,86.745
80.000000,86.702
81.199997,86.664
82.500000,86.622
83.800003,86.617
85.000000,86.640
86.199997,86.654
87.500000,86.651
88.500000,86.634
90.000000,86.574
91.199997,86.527
92.500000,86.490
93.800003,86.482
95.000000,86.487
96.199997,86.495
97.500000,86.493
98.800003,86.447
100.000000,86.400
101.500000,86.330
103.000000,86.276
104.400002,86.263
106.000000,86.239
107.500000,86.224
109.000000,86.170
110.599998,86.102
112.000000,86.036
113.800003,85.980
115.000000,85.974
117.199997,85.963
118.000000,85.941
120.599998,85.849
122.000000,85.784
124.099998,85.751
125.000000,85.754
126.500000,85.766
128.000000,85.787
131.500000,85.769
132.000000,85.772
134.000000,85.831
136.000000,85.908
138.000000,85.948
140.000000,85.937
143.000000,85.894
145.000000,85.900
147.500000,85.924
150.000000,85.870
152.500000,85.802
155.000000,85.759
157.500000,85.752
160.000000,85.699
162.500000,85.637
165.000000,85.617
167.500000,85.615
170.000000,85.570
172.500000,85.489
175.000000,85.457
177.500000,85.448
180.000000,85.414
182.500000,85.340
185.000000,85.304
187.500000,85.285
190.000000,85.202
192.500000,85.125
195.000000,85.084
197.500000,85.055
200.000000,85.018
203.000000,84.949
206.000000,84.912
209.000000,84.884
212.000000,84.810
214.000000,84.775
218.000000,84.762
220.000000,84.727
224.000000,84.644
227.000000,84.621
