X,Y
20.000000,67.048
20.299999,67.097
20.600000,67.141
20.900000,67.179
21.200001,67.209
21.400000,67.225
21.799999,67.247
22.000000,67.256
22.400000,67.272
22.700001,67.284
23.000000,67.296
23.299999,67.307
23.600000,67.317
24.000000,67.328
24.299999,67.339
24.700001,67.358
25.000000,67.379
25.400000,67.415
25.799999,67.457
26.200001,67.500
26.500000,67.531
26.900000,67.570
27.200001,67.598
27.600000,67.639
28.000000,67.685
28.500000,67.748
29.000000,67.803
29.500000,67.839
30.000000,67.855
30.400000,67.862
30.700001,67.867
31.100000,67.873
31.500000,67.875
32.000000,67.871
32.500000,67.861
33.000000,67.844
33.500000,67.806
34.000000,67.731
34.500000,67.624
35.000000,67.520
35.500000,67.479
36.000000,67.533
36.500000,67.659
37.000000,67.800
37.500000,67.910
38.200001,67.999
38.700001,68.037
39.500000,68.079
40.000000,68.094
40.599998,68.102
41.200001,68.109
41.799999,68.115
42.500000,68.115
43.099998,68.105
43.700001,68.088
44.400002,68.067
45.000000,68.051
45.500000,68.037
46.200001,68.011
46.799999,67.981
47.500000,67.941
48.200001,67.901
48.700001,67.873
49.400002,67.830
50.000000,67.791
50.799999,67.740
51.500000,67.695
52.200001,67.649
53.000000,67.595
53.799999,67.533
54.500000,67.475
55.200001,67.419
56.000000,67.354
57.000000,67.266
58.000000,67.174
59.000000,67.091
60.000000,67.013
60.799999,66.946
61.500000,66.903
62.200001,66.874
63.000000,66.830
64.000000,66.753
65.000000,66.693
66.000000,66.634
67.000000,66.569
68.000000,66.514
69.000000,66.452
70.000000,66.398
71.000000,66.350
72.000000,66.293
73.000000,66.242
74.000000,66.198
75.000000,66.156
76.199997,66.104
77.500000,66.044
78.800003,65.998
80.000000,65.948
81.199997,65.918
82.500000,65.868
83.800003,65.841
85.000000,65.802
86.199997,65.777
87.500000,65.743
88.500000,65.714
90.000000,65.676
91.199997,65.649
92.500000,65.621
93.800003,65.594
95.000000,65.568
96.199997,65.545
97.500000,65.520
98.800003,65.492
100.000000,65.474
101.500000,65.442
103.000000,65.409
104.400002,65.376
106.000000,65.349
107.500000,65.316
109.000000,65.281
110.599998,65.252
112.000000,65.226
113.800003,65.194
115.000000,65.165
117.199997,65.129
118.000000,65.111
120.599998,65.054
122.000000,65.030
124.099998,64.997
125.000000,64.982
126.500000,64.955
128.000000,64.928
131.500000,64.873
132.000000,64.868
134.000000,64.833
136.000000,64.800
138.000000,64.767
140.000000,64.747
