X,Y
20.000000,64.545
20.299999,64.577
20.600000,64.608
20.900000,64.643
21.200001,64.679
21.400000,64.704
21.799999,64.759
22.000000,64.791
22.400000,64.863
22.700001,64.914
23.000000,64.955
23.299999,64.991
23.600000,65.028
24.000000,65.079
24.299999,65.118
24.700001,65.170
25.000000,65.204
25.400000,65.243
25.799999,65.276
26.200001,65.304
26.500000,65.325
26.900000,65.354
27.200001,65.372
27.600000,65.392
28.000000,65.404
28.500000,65.409
29.000000,65.416
29.500000,65.433
30.000000,65.461
30.400000,65.488
30.700001,65.509
31.100000,65.538
31.500000,65.559
32.000000,65.561
32.500000,65.550
33.000000,65.533
33.500000,65.516
34.000000,65.511
34.500000,65.524
35.000000,65.555
35.500000,65.575
36.000000,65.572
36.500000,65.549
37.000000,65.529
37.500000,65.515
38.200001,65.504
38.700001,65.493
39.500000,65.469
40.000000,65.445
40.599998,65.407
41.200001,65.370
41.799999,65.345
42.500000,65.329
43.099998,65.330
43.700001,65.332
44.400002,65.318
45.000000,65.298
45.500000,65.274
46.200001,65.221
46.799999,65.162
47.500000,65.096
48.200001,65.059
48.700001,65.041
49.400002,65.011
50.000000,64.979
50.799999,64.954
51.500000,64.951
52.200001,64.936
53.000000,64.902
53.799999,64.841
54.500000,64.773
55.200001,64.694
56.000000,64.606
57.000000,64.545
58.000000,64.507
59.000000,64.460
60.000000,64.399
60.799999,64.344
61.500000,64.302
62.200001,64.272
63.000000,64.243
64.000000,64.215
65.000000,64.179
66.000000,64.122
67.000000,64.065
68.000000,64.021
69.000000,63.993
70.000000,63.976
71.000000,63.935
72.000000,63.854
73.000000,63.783
74.000000,63.749
75.000000,63.723
76.199997,63.673
77.500000,63.618
78.800003,63.579
80.000000,63.552
81.199997,63.528
82.500000,63.483
83.800003,63.422
85.000000,63.377
86.199997,63.343
87.500000,63.327
88.500000,63.320
90.000000,63.282
91.199997,63.232
92.500000,63.189
93.800003,63.155
95.000000,63.122
96.199997,63.089
97.500000,63.068
98.800003,63.067
100.000000,63.054
101.500000,62.984
103.000000,62.914
104.400002,62.893
106.000000,62.880
107.500000,62.849
109.000000,62.804
110.599998,62.738
112.000000,62.691
113.800003,62.689
115.000000,62.697
117.199997,62.658
118.000000,62.633
120.599998,62.552
122.000000,62.515
124.099998,62.480
125.000000,62.468
126.500000,62.439
128.000000,62.400
131.500000,62.311
132.000000,62.300
134.000000,62.259
136.000000,62.220
138.000000,62.164
140.000000,62.090
143.000000,62.018
145.000000,61.985
147.500000,61.904
150.000000,61.819
152.500000,61.770
155.000000,61.734
157.500000,61.700
160.000000,61.654
162.500000,61.598
165.000000,61.537
167.500000,61.481
170.000000,61.440
172.500000,61.385
175.000000,61.270
177.500000,61.143
180.000000,61.067
182.500000,61.015
185.000000,60.952
187.500000,60.882
190.000000,60.822
192.500000,60.774
195.000000,60.737
197.500000,60.706
200.000000,60.658
203.000000,60.563
206.000000,60.469
209.000000,60.394
212.000000,60.315
214.000000,60.254
218.000000,60.139
220.000000,60.097
224.000000,60.035
227.000000,60.001
230.000000,59.963
233.000000,59.906
236.000000,59.839
240.000000,59.758
243.000000,59.706
247.000000,59.649
250.000000,59.615
254.000000,59.581
258.000000,59.545
262.000000,59.478
265.000000,59.425
269.000000,59.389
272.000000,59.375
276.000000,59.332
280.000000,59.270
285.000000,59.233
290.000000,59.215
295.000000,59.156
300.000000,59.114
304.000000,59.117
307.000000,59.119
311.000000,59.108
315.000000,59.093
320.000000,59.096
325.000000,59.105
330.000000,59.094
335.000000,59.074
340.000000,59.056
345.000000,59.045
350.000000,59.050
355.000000,59.064
360.000000,59.085
365.000000,59.104
370.000000,59.113
375.000000,59.112
382.000000,59.089
387.000000,59.084
395.000000,59.134
400.000000,59.163
406.000000,59.176
412.000000,59.180
418.000000,59.181
425.000000,59.178
431.000000,59.175
437.000000,59.185
444.000000,59.211
450.000000,59.227
455.000000,59.236
462.000000,59.254
468.000000,59.278
475.000000,59.305
482.000000,59.329
487.000000,59.344
