X,Y
20.000000,111.572
20.299999,111.597
20.600000,111.615
20.900000,111.628
21.200001,111.638
21.400000,111.646
21.799999,111.666
22.000000,111.678
22.400000,111.705
22.700001,111.724
23.000000,111.740
23.299999,111.751
23.600000,111.759
24.000000,111.764
24.299999,111.767
24.700001,111.772
25.000000,111.780
25.400000,111.796
25.799999,111.816
26.200001,111.832
26.500000,111.835
26.900000,111.830
27.200001,111.825
27.600000,111.826
28.000000,111.841
28.500000,111.859
29.000000,111.843
29.500000,111.796
30.000000,111.761
30.400000,111.754
30.700001,111.745
31.100000,111.708
31.500000,111.642
32.000000,111.588
32.500000,111.665
33.000000,111.848
33.500000,111.984
34.000000,111.958
34.500000,111.812
35.000000,111.695
35.500000,111.690
36.000000,111.734
36.500000,111.736
37.000000,111.693
37.500000,111.665
38.200001,111.681
38.700001,111.683
39.500000,111.643
40.000000,111.627
40.599998,111.623
41.200001,111.607
41.799999,111.579
42.500000,111.555
43.099998,111.537
43.700001,111.514
44.400002,111.485
45.000000,111.458
45.500000,111.437
46.200001,111.413
46.799999,111.394
47.500000,111.364
48.200001,111.330
48.700001,111.312
49.400002,111.290
50.000000,111.266
50.799999,111.230
51.500000,111.202
52.200001,111.175
53.000000,111.140
53.799999,111.100
54.500000,111.067
55.200001,111.038
56.000000,111.005
57.000000,110.964
58.000000,110.916
59.000000,110.868
60.000000,110.827
60.799999,110.785
61.500000,110.743
62.200001,110.711
63.000000,110.681
64.000000,110.623
65.000000,110.576
66.000000,110.524
67.000000,110.455
68.000000,110.418
69.000000,110.382
70.000000,110.329
71.000000,110.280
72.000000,110.234
73.000000,110.173
74.000000,110.111
75.000000,110.043
76.199997,109.984
77.500000,109.887
78.800003,109.845
80.000000,109.842
81.199997,109.784
82.500000,109.753
83.800003,109.728
85.000000,109.678
86.199997,109.625
87.500000,109.556
88.500000,109.510
90.000000,109.439
91.199997,109.386
92.500000,109.329
93.800003,109.267
95.000000,109.205
96.199997,109.152
97.500000,109.089
98.800003,109.025
100.000000,108.970
101.500000,108.897
103.000000,108.835
104.400002,108.769
106.000000,108.688
107.500000,108.626
109.000000,108.555
110.599998,108.480
112.000000,108.413
113.800003,108.340
115.000000,108.287
117.199997,108.190
118.000000,108.154
120.599998,108.045
122.000000,107.981
124.099998,107.879
125.000000,107.840
126.500000,107.792
128.000000,107.732
131.500000,107.581
132.000000,107.557
134.000000,107.468
136.000000,107.406
138.000000,107.322
140.000000,107.236
143.000000,107.124
145.000000,107.047
147.500000,106.952
150.000000,106.853
152.500000,106.763
155.000000,106.665
157.500000,106.574
160.000000,106.482
162.500000,106.387
165.000000,106.299
167.500000,106.213
170.000000,106.142
172.500000,106.047
175.000000,105.965
177.500000,105.888
180.000000,105.811
182.500000,105.723
185.000000,105.639
187.500000,105.564
190.000000,105.484
192.500000,105.403
195.000000,105.326
197.500000,105.247
200.000000,105.179
203.000000,105.089
206.000000,104.996
209.000000,104.913
212.000000,104.830
214.000000,104.771
218.000000,104.653
220.000000,104.603
224.000000,104.508
227.000000,104.413
230.000000,104.333
233.000000,104.269
236.000000,104.192
240.000000,104.082
243.000000,104.014
247.000000,103.923
250.000000,103.840
254.000000,103.747
258.000000,103.660
262.000000,103.571
265.000000,103.496
269.000000,103.414
272.000000,103.348
276.000000,103.260
280.000000,103.183
285.000000,103.087
290.000000,102.987
295.000000,102.891
300.000000,102.786
