X,Y
20.299999,88.001
20.600000,88.022
20.900000,88.073
21.200001,88.128
21.400000,88.163
21.799999,88.235
22.000000,88.272
22.400000,88.349
22.700001,88.409
23.000000,88.470
23.299999,88.528
23.600000,88.582
24.000000,88.647
24.299999,88.693
24.700001,88.755
25.000000,88.805
25.400000,88.875
25.799999,88.942
26.200001,88.996
26.500000,89.027
26.900000,89.060
27.200001,89.086
27.600000,89.133
28.000000,89.196
28.500000,89.284
29.000000,89.354
29.500000,89.390
30.000000,89.403
30.400000,89.411
30.700001,89.423
31.100000,89.451
31.500000,89.491
32.000000,89.550
32.500000,89.608
33.000000,89.655
33.500000,89.688
34.000000,89.708
34.500000,89.722
35.000000,89.736
35.500000,89.752
36.000000,89.773
36.500000,89.798
37.000000,89.825
37.500000,89.851
38.200001,89.878
38.700001,89.893
39.500000,89.919
40.000000,89.941
40.599998,89.972
41.200001,90.007
41.799999,90.040
42.500000,90.065
43.099998,90.069
43.700001,90.066
44.400002,90.064
45.000000,90.069
45.500000,90.073
46.200001,90.077
46.799999,90.076
47.500000,90.072
48.200001,90.069
48.700001,90.069
49.400002,90.071
50.000000,90.072
50.799999,90.069
51.500000,90.063
52.200001,90.055
53.000000,90.046
53.799999,90.036
54.500000,90.027
55.200001,90.017
56.000000,90.004
57.000000,89.982
58.000000,89.960
59.000000,89.946
60.000000,89.931
60.799999,89.914
61.500000,89.895
62.200001,89.874
63.000000,89.848
64.000000,89.817
65.000000,89.788
66.000000,89.761
67.000000,89.733
68.000000,89.701
69.000000,89.667
70.000000,89.633
71.000000,89.597
72.000000,89.555
73.000000,89.510
74.000000,89.462
75.000000,89.412
76.199997,89.351
77.500000,89.286
78.800003,89.219
80.000000,89.153
81.199997,89.079
82.500000,88.992
83.800003,88.895
85.000000,88.801
86.199997,88.705
87.500000,88.607
88.500000,88.543
90.000000,88.485
91.199997,88.484
92.500000,88.539
93.800003,88.646
95.000000,88.770
96.199997,88.890
97.500000,88.994
98.800003,89.058
100.000000,89.085
101.500000,89.091
103.000000,89.078
104.400002,89.052
106.000000,89.010
107.500000,88.963
109.000000,88.911
110.599998,88.853
112.000000,88.803
113.800003,88.738
115.000000,88.696
117.199997,88.620
118.000000,88.592
120.599998,88.504
122.000000,88.458
124.099998,88.391
125.000000,88.361
126.500000,88.312
128.000000,88.265
131.500000,88.157
132.000000,88.142
134.000000,88.080
136.000000,88.021
138.000000,87.963
140.000000,87.906
143.000000,87.821
145.000000,87.765
147.500000,87.697
150.000000,87.631
152.500000,87.564
155.000000,87.496
157.500000,87.427
160.000000,87.357
162.500000,87.289
165.000000,87.225
167.500000,87.162
170.000000,87.100
172.500000,87.043
175.000000,86.989
177.500000,86.939
180.000000,86.892
182.500000,86.849
185.000000,86.809
187.500000,86.771
190.000000,86.734
192.500000,86.697
195.000000,86.661
197.500000,86.625
200.000000,86.588
203.000000,86.544
206.000000,86.499
209.000000,86.455
212.000000,86.408
214.000000,86.376
218.000000,86.312
220.000000,86.280
224.000000,86.218
227.000000,86.173
230.000000,86.129
233.000000,86.086
236.000000,86.044
240.000000,85.990
243.000000,85.949
247.000000,85.895
250.000000,85.854
254.000000,85.801
258.000000,85.750
262.000000,85.705
265.000000,85.675
269.000000,85.636
272.000000,85.606
276.000000,85.564
280.000000,85.522
285.000000,85.473
290.000000,85.424
295.000000,85.374
300.000000,85.322
304.000000,85.284
307.000000,85.258
311.000000,85.225
315.000000,85.194
320.000000,85.154
325.000000,85.116
330.000000,85.077
335.000000,85.040
340.000000,85.003
345.000000,84.970
350.000000,84.938
355.000000,84.906
360.000000,84.874
365.000000,84.841
370.000000,84.808
375.000000,84.776
382.000000,84.734
387.000000,84.707
395.000000,84.664
400.000000,84.638
406.000000,84.607
412.000000,84.578
418.000000,84.548
425.000000,84.515
431.000000,84.490
437.000000,84.466
444.000000,84.440
450.000000,84.418
455.000000,84.400
462.000000,84.377
468.000000,84.358
475.000000,84.336
482.000000,84.313
487.000000,84.296
494.000000,84.275
500.000000,84.257
508.000000,84.235
515.000000,84.216
522.000000,84.199
530.000000,84.179
538.000000,84.159
545.000000,84.142
552.000000,84.124
560.000000,84.103
570.000000,84.077
580.000000,84.053
590.000000,84.031
600.000000,84.011
608.000000,83.998
615.000000,83.985
622.000000,83.971
630.000000,83.955
640.000000,83.939
650.000000,83.926
660.000000,83.915
670.000000,83.905
680.000000,83.896
690.000000,83.887
700.000000,83.880
710.000000,83.874
720.000000,83.871
730.000000,83.871
740.000000,83.870
750.000000,83.870
762.000000,83.871
775.000000,83.873
788.000000,83.877
800.000000,83.881
812.000000,83.889
825.000000,83.900
838.000000,83.915
850.000000,83.930
862.000000,83.945
875.000000,83.965
885.000000,83.982
900.000000,84.012
912.000000,84.041
925.000000,84.076
938.000000,84.113
950.000000,84.149
962.000000,84.185
975.000000,84.225
988.000000,84.266
1000.000000,84.304
1015.000000,84.355
1030.000000,84.409
1044.000000,84.461
1060.000000,84.519
1075.000000,84.569
1090.000000,84.615
1106.000000,84.661
1120.000000,84.699
1138.000000,84.747
1150.000000,84.777
1172.000000,84.828
1180.000000,84.846
1206.000000,84.910
1220.000000,84.953
1241.000000,85.025
1250.000000,85.056
1265.000000,85.107
1280.000000,85.156
1315.000000,85.259
1320.000000,85.273
1340.000000,85.326
1360.000000,85.380
1380.000000,85.432
1400.000000,85.480
1430.000000,85.545
1450.000000,85.585
1475.000000,85.627
1500.000000,85.660
1525.000000,85.683
1550.000000,85.695
1575.000000,85.699
1600.000000,85.701
1625.000000,85.705
1650.000000,85.710
1675.000000,85.716
1700.000000,85.719
1725.000000,85.718
1750.000000,85.713
1775.000000,85.704
1800.000000,85.692
1825.000000,85.677
1850.000000,85.660
1875.000000,85.640
1900.000000,85.617
1925.000000,85.591
1950.000000,85.563
1975.000000,85.533
2000.000000,85.502
2030.000000,85.463
2060.000000,85.421
2090.000000,85.378
2120.000000,85.333
2140.000000,85.302
2180.000000,85.236
2200.000000,85.202
2240.000000,85.132
2270.000000,85.076
2300.000000,85.018
2330.000000,84.956
2360.000000,84.891
2400.000000,84.799
2430.000000,84.728
2470.000000,84.633
2500.000000,84.565
2540.000000,84.490
2580.000000,84.442
2620.000000,84.436
2650.000000,84.461
2690.000000,84.527
2720.000000,84.589
2760.000000,84.669
2800.000000,84.729
2850.000000,84.762
2900.000000,84.753
2950.000000,84.718
3000.000000,84.668
3040.000000,84.625
3070.000000,84.594
3110.000000,84.555
3150.000000,84.524
3200.000000,84.502
3250.000000,84.502
3300.000000,84.517
3350.000000,84.540
3400.000000,84.567
3450.000000,84.596
3500.000000,84.625
3550.000000,84.654
3600.000000,84.685
3650.000000,84.719
3700.000000,84.760
3750.000000,84.805
3820.000000,84.874
3870.000000,84.924
3950.000000,84.998
4000.000000,85.041
4060.000000,85.089
4120.000000,85.134
4180.000000,85.176
4250.000000,85.221
4310.000000,85.254
4370.000000,85.279
4440.000000,85.297
4500.000000,85.303
4550.000000,85.303
4620.000000,85.298
4680.000000,85.285
4750.000000,85.258
4820.000000,85.217
4870.000000,85.176
4940.000000,85.102
5000.000000,85.025
5080.000000,84.902
5150.000000,84.777
5220.000000,84.640
5300.000000,84.470
5380.000000,84.290
5450.000000,84.127
5520.000000,83.960
5600.000000,83.768
5700.000000,83.534
5800.000000,83.314
5900.000000,83.114
6000.000000,82.942
6080.000000,82.829
6150.000000,82.750
6220.000000,82.691
6300.000000,82.652
6400.000000,82.648
6500.000000,82.698
6600.000000,82.810
6700.000000,82.992
6800.000000,83.259
6900.000000,83.625
7000.000000,84.099
7100.000000,84.683
7200.000000,85.381
7300.000000,86.197
7400.000000,87.125
7500.000000,88.142
7620.000000,89.396
7750.000000,90.612
7880.000000,91.446
8000.000000,91.721
8120.000000,91.471
8250.000000,90.666
8380.000000,89.457
8500.000000,88.153
8620.000000,86.814
8750.000000,85.439
8850.000000,84.482
9000.000000,83.239
9120.000000,82.415
9250.000000,81.685
9380.000000,81.111
9500.000000,80.712
9620.000000,80.433
9750.000000,80.261
9880.000000,80.218
10000.000000,80.284
10150.000000,80.485
10300.000000,80.758
10440.000000,80.994
10600.000000,81.110
10750.000000,80.954
10900.000000,80.478
11060.000000,79.625
11200.000000,78.646
11380.000000,77.195
11500.000000,76.182
11720.000000,74.378
11800.000000,73.764
12060.000000,71.991
12200.000000,71.190
12410.000000,70.193
12500.000000,69.835
12650.000000,69.312
12800.000000,68.847
13150.000000,67.606
13200.000000,67.382
13400.000000,66.495
13600.000000,66.045
13800.000000,66.306
14000.000000,67.037
14300.000000,68.551
14500.000000,69.767
14750.000000,71.464
15000.000000,73.198
15250.000000,74.720
15500.000000,75.777
15750.000000,76.196
