X,Y
20.299999,92.687
20.600000,92.693
20.900000,92.709
21.200001,92.727
21.400000,92.741
21.799999,92.769
22.000000,92.784
22.400000,92.813
22.700001,92.833
23.000000,92.853
23.299999,92.873
23.600000,92.893
24.000000,92.923
24.299999,92.946
24.700001,92.974
25.000000,92.992
25.400000,93.011
25.799999,93.026
26.200001,93.040
26.500000,93.051
26.900000,93.067
27.200001,93.079
27.600000,93.092
28.000000,93.103
28.500000,93.112
29.000000,93.118
29.500000,93.121
30.000000,93.122
30.400000,93.123
30.700001,93.124
31.100000,93.129
31.500000,93.137
32.000000,93.151
32.500000,93.162
33.000000,93.168
33.500000,93.167
34.000000,93.165
34.500000,93.166
35.000000,93.169
35.500000,93.175
36.000000,93.181
36.500000,93.185
37.000000,93.188
37.500000,93.188
38.200001,93.180
38.700001,93.172
39.500000,93.159
40.000000,93.152
40.599998,93.140
41.200001,93.123
41.799999,93.110
42.500000,93.103
43.099998,93.098
43.700001,93.085
44.400002,93.064
45.000000,93.050
45.500000,93.041
46.200001,93.029
46.799999,93.012
47.500000,92.991
48.200001,92.973
48.700001,92.964
49.400002,92.952
50.000000,92.941
50.799999,92.923
51.500000,92.908
52.200001,92.894
53.000000,92.880
53.799999,92.866
54.500000,92.851
55.200001,92.832
56.000000,92.806
57.000000,92.774
58.000000,92.746
59.000000,92.719
60.000000,92.687
60.799999,92.661
61.500000,92.639
62.200001,92.615
63.000000,92.585
64.000000,92.543
65.000000,92.505
66.000000,92.478
67.000000,92.453
68.000000,92.422
69.000000,92.383
70.000000,92.343
71.000000,92.304
72.000000,92.266
73.000000,92.229
74.000000,92.191
75.000000,92.152
76.199997,92.106
77.500000,92.059
78.800003,92.013
80.000000,91.971
81.199997,91.928
82.500000,91.878
83.800003,91.824
85.000000,91.773
86.199997,91.725
87.500000,91.676
88.500000,91.637
90.000000,91.574
91.199997,91.522
92.500000,91.463
93.800003,91.404
95.000000,91.348
96.199997,91.292
97.500000,91.228
98.800003,91.161
100.000000,91.092
101.500000,90.997
103.000000,90.900
104.400002,90.823
106.000000,90.766
107.500000,90.750
109.000000,90.768
110.599998,90.803
112.000000,90.829
113.800003,90.840
115.000000,90.832
117.199997,90.790
118.000000,90.767
120.599998,90.678
122.000000,90.629
124.099998,90.557
125.000000,90.525
126.500000,90.470
128.000000,90.414
131.500000,90.287
132.000000,90.269
134.000000,90.198
136.000000,90.129
138.000000,90.063
140.000000,89.999
143.000000,89.901
145.000000,89.833
147.500000,89.750
150.000000,89.670
152.500000,89.592
155.000000,89.516
157.500000,89.440
160.000000,89.360
162.500000,89.279
165.000000,89.200
167.500000,89.124
170.000000,89.052
172.500000,88.982
175.000000,88.914
177.500000,88.849
180.000000,88.786
182.500000,88.725
185.000000,88.664
187.500000,88.601
190.000000,88.536
192.500000,88.472
195.000000,88.410
197.500000,88.350
200.000000,88.291
203.000000,88.222
206.000000,88.156
209.000000,88.089
212.000000,88.019
214.000000,87.970
218.000000,87.874
220.000000,87.826
224.000000,87.733
227.000000,87.665
230.000000,87.598
233.000000,87.530
236.000000,87.461
240.000000,87.369
243.000000,87.302
247.000000,87.214
250.000000,87.149
254.000000,87.063
258.000000,86.977
262.000000,86.888
265.000000,86.819
269.000000,86.724
272.000000,86.651
276.000000,86.559
280.000000,86.483
285.000000,86.430
290.000000,86.434
295.000000,86.466
300.000000,86.480
304.000000,86.464
307.000000,86.438
311.000000,86.392
315.000000,86.339
320.000000,86.267
325.000000,86.192
330.000000,86.117
335.000000,86.044
340.000000,85.976
345.000000,85.911
350.000000,85.847
355.000000,85.784
360.000000,85.723
365.000000,85.664
370.000000,85.606
375.000000,85.551
382.000000,85.475
387.000000,85.421
395.000000,85.337
400.000000,85.288
406.000000,85.232
412.000000,85.179
418.000000,85.128
425.000000,85.070
431.000000,85.023
437.000000,84.977
444.000000,84.925
450.000000,84.882
455.000000,84.848
462.000000,84.804
468.000000,84.767
475.000000,84.726
482.000000,84.686
487.000000,84.657
494.000000,84.617
500.000000,84.583
508.000000,84.539
515.000000,84.505
522.000000,84.473
530.000000,84.439
538.000000,84.406
