X,Y
20.299999,65.345
20.600000,65.353
20.900000,65.373
21.200001,65.392
21.400000,65.403
21.799999,65.423
22.000000,65.433
22.400000,65.451
22.700001,65.463
23.000000,65.471
23.299999,65.471
23.600000,65.465
24.000000,65.448
24.299999,65.435
24.700001,65.428
25.000000,65.436
25.400000,65.461
25.799999,65.491
26.200001,65.513
26.500000,65.518
26.900000,65.510
27.200001,65.498
27.600000,65.481
28.000000,65.469
28.500000,65.465
29.000000,65.472
29.500000,65.487
30.000000,65.501
30.400000,65.504
30.700001,65.501
31.100000,65.496
31.500000,65.501
32.000000,65.531
32.500000,65.577
33.000000,65.604
33.500000,65.586
34.000000,65.527
34.500000,65.460
35.000000,65.410
35.500000,65.384
36.000000,65.370
36.500000,65.357
37.000000,65.344
37.500000,65.336
38.200001,65.335
38.700001,65.333
39.500000,65.314
40.000000,65.296
40.599998,65.276
41.200001,65.260
41.799999,65.247
42.500000,65.235
43.099998,65.222
43.700001,65.198
44.400002,65.152
45.000000,65.106
45.500000,65.071
46.200001,65.034
46.799999,65.014
47.500000,65.007
48.200001,65.005
48.700001,64.994
49.400002,64.961
50.000000,64.926
50.799999,64.880
51.500000,64.833
52.200001,64.782
53.000000,64.737
53.799999,64.702
54.500000,64.664
55.200001,64.614
56.000000,64.546
57.000000,64.455
58.000000,64.374
59.000000,64.314
60.000000,64.262
60.799999,64.214
61.500000,64.165
62.200001,64.110
63.000000,64.048
64.000000,63.982
65.000000,63.930
66.000000,63.882
67.000000,63.829
68.000000,63.772
69.000000,63.707
70.000000,63.631
71.000000,63.550
72.000000,63.474
73.000000,63.406
74.000000,63.346
75.000000,63.290
76.199997,63.220
77.500000,63.135
78.800003,63.042
80.000000,62.954
81.199997,62.871
82.500000,62.779
83.800003,62.679
85.000000,62.584
86.199997,62.497
87.500000,62.413
88.500000,62.351
90.000000,62.260
91.199997,62.187
92.500000,62.110
93.800003,62.038
95.000000,61.977
96.199997,61.912
97.500000,61.834
98.800003,61.748
100.000000,61.665
101.500000,61.563
103.000000,61.470
104.400002,61.386
106.000000,61.283
107.500000,61.179
109.000000,61.074
110.599998,60.968
112.000000,60.880
113.800003,60.770
115.000000,60.695
117.199997,60.556
118.000000,60.507
120.599998,60.361
122.000000,60.288
124.099998,60.180
125.000000,60.134
126.500000,60.059
128.000000,59.991
131.500000,59.834
132.000000,59.808
134.000000,59.696
136.000000,59.584
138.000000,59.487
140.000000,59.406
143.000000,59.294
145.000000,59.224
147.500000,59.139
150.000000,59.048
152.500000,58.952
155.000000,58.857
157.500000,58.760
160.000000,58.656
162.500000,58.561
165.000000,58.490
167.500000,58.429
170.000000,58.363
172.500000,58.288
175.000000,58.211
177.500000,58.136
180.000000,58.066
182.500000,58.005
185.000000,57.952
187.500000,57.901
190.000000,57.845
192.500000,57.791
195.000000,57.756
197.500000,57.738
200.000000,57.724
203.000000,57.693
206.000000,57.646
209.000000,57.602
212.000000,57.568
214.000000,57.542
218.000000,57.472
220.000000,57.436
224.000000,57.371
227.000000,57.321
230.000000,57.282
233.000000,57.265
236.000000,57.254
240.000000,57.214
243.000000,57.174
247.000000,57.133
250.000000,57.115
254.000000,57.109
258.000000,57.122
262.000000,57.155
265.000000,57.182
269.000000,57.204
272.000000,57.206
276.000000,57.204
280.000000,57.216
285.000000,57.233
290.000000,57.235
295.000000,57.233
300.000000,57.231
304.000000,57.223
307.000000,57.213
311.000000,57.195
315.000000,57.176
320.000000,57.153
325.000000,57.134
330.000000,57.125
335.000000,57.124
340.000000,57.125
345.000000,57.129
350.000000,57.127
355.000000,57.113
360.000000,57.100
365.000000,57.095
370.000000,57.091
375.000000,57.079
382.000000,57.054
387.000000,57.044
395.000000,57.033
400.000000,57.020
406.000000,57.001
412.000000,56.987
418.000000,56.978
425.000000,56.970
431.000000,56.963
437.000000,56.956
444.000000,56.945
450.000000,56.934
455.000000,56.925
462.000000,56.917
468.000000,56.913
475.000000,56.905
482.000000,56.894
487.000000,56.887
494.000000,56.876
500.000000,56.866
508.000000,56.851
515.000000,56.833
522.000000,56.818
530.000000,56.818
538.000000,56.836
545.000000,56.855
552.000000,56.867
560.000000,56.865
570.000000,56.858
580.000000,56.850
590.000000,56.838
600.000000,56.830
608.000000,56.827
615.000000,56.823
622.000000,56.818
630.000000,56.806
640.000000,56.780
650.000000,56.750
660.000000,56.722
670.000000,56.700
680.000000,56.682
690.000000,56.668
700.000000,56.655
710.000000,56.646
720.000000,56.642
730.000000,56.638
740.000000,56.631
750.000000,56.629
762.000000,56.633
775.000000,56.638
788.000000,56.645
800.000000,56.655
812.000000,56.663
825.000000,56.674
838.000000,56.686
850.000000,56.698
862.000000,56.711
875.000000,56.724
885.000000,56.736
900.000000,56.759
912.000000,56.783
925.000000,56.819
938.000000,56.865
950.000000,56.908
962.000000,56.942
975.000000,56.975
988.000000,57.018
1000.000000,57.070
1015.000000,57.145
1030.000000,57.217
1044.000000,57.280
1060.000000,57.354
1075.000000,57.420
1090.000000,57.483
1106.000000,57.549
1120.000000,57.603
1138.000000,57.666
1150.000000,57.705
1172.000000,57.776
1180.000000,57.800
1206.000000,57.877
1220.000000,57.922
1241.000000,57.999
1250.000000,58.031
1265.000000,58.085
1280.000000,58.139
1315.000000,58.261
1320.000000,58.278
1340.000000,58.343
1360.000000,58.406
1380.000000,58.470
1400.000000,58.536
1430.000000,58.639
1450.000000,58.704
1475.000000,58.774
1500.000000,58.832
1525.000000,58.883
1550.000000,58.936
1575.000000,58.991
1600.000000,59.045
1625.000000,59.092
1650.000000,59.142
1675.000000,59.202
1700.000000,59.268
1725.000000,59.331
1750.000000,59.397
1775.000000,59.472
1800.000000,59.551
1825.000000,59.635
1850.000000,59.725
1875.000000,59.818
1900.000000,59.910
1925.000000,60.004
1950.000000,60.106
1975.000000,60.214
2000.000000,60.324
2030.000000,60.457
2060.000000,60.598
2090.000000,60.748
2120.000000,60.898
2140.000000,60.998
2180.000000,61.203
2200.000000,61.310
2240.000000,61.533
2270.000000,61.711
2300.000000,61.894
2330.000000,62.081
2360.000000,62.270
2400.000000,62.524
2430.000000,62.718
2470.000000,62.983
2500.000000,63.187
2540.000000,63.461
2580.000000,63.732
2620.000000,64.002
2650.000000,64.206
2690.000000,64.473
2720.000000,64.666
2760.000000,64.912
2800.000000,65.145
2850.000000,65.413
2900.000000,65.647
