X,Y
20.299999,78.662
20.600000,78.660
20.900000,78.656
21.200001,78.659
21.400000,78.665
21.799999,78.678
22.000000,78.683
22.400000,78.688
22.700001,78.690
23.000000,78.695
23.299999,78.704
23.600000,78.714
24.000000,78.720
24.299999,78.710
24.700001,78.671
25.000000,78.627
25.400000,78.566
25.799999,78.524
26.200001,78.507
26.500000,78.506
26.900000,78.509
27.200001,78.508
27.600000,78.505
28.000000,78.506
28.500000,78.515
29.000000,78.505
29.500000,78.445
30.000000,78.338
30.400000,78.250
30.700001,78.202
31.100000,78.176
31.500000,78.190
32.000000,78.238
32.500000,78.286
33.000000,78.311
33.500000,78.307
34.000000,78.273
34.500000,78.213
35.000000,78.139
35.500000,78.068
36.000000,78.010
36.500000,77.962
37.000000,77.913
37.500000,77.856
38.200001,77.771
38.700001,77.723
39.500000,77.686
40.000000,77.672
40.599998,77.644
41.200001,77.603
41.799999,77.567
42.500000,77.545
43.099998,77.529
43.700001,77.506
44.400002,77.478
45.000000,77.457
45.500000,77.440
46.200001,77.413
46.799999,77.391
47.500000,77.364
48.200001,77.325
48.700001,77.286
49.400002,77.225
50.000000,77.176
50.799999,77.121
51.500000,77.077
52.200001,77.031
53.000000,76.971
53.799999,76.902
54.500000,76.839
55.200001,76.778
56.000000,76.718
57.000000,76.661
58.000000,76.614
59.000000,76.558
60.000000,76.486
60.799999,76.425
61.500000,76.375
62.200001,76.329
63.000000,76.281
64.000000,76.221
65.000000,76.154
66.000000,76.083
67.000000,76.014
68.000000,75.944
69.000000,75.875
70.000000,75.810
71.000000,75.749
72.000000,75.682
73.000000,75.608
74.000000,75.542
75.000000,75.491
76.199997,75.432
77.500000,75.352
78.800003,75.260
80.000000,75.175
81.199997,75.093
82.500000,75.011
83.800003,74.930
85.000000,74.857
86.199997,74.789
87.500000,74.714
88.500000,74.650
90.000000,74.552
91.199997,74.483
92.500000,74.417
93.800003,74.347
95.000000,74.267
96.199997,74.177
97.500000,74.081
98.800003,73.989
100.000000,73.911
101.500000,73.824
103.000000,73.745
104.400002,73.672
106.000000,73.590
107.500000,73.517
109.000000,73.440
110.599998,73.348
112.000000,73.256
113.800003,73.115
115.000000,73.010
117.199997,72.821
118.000000,72.760
120.599998,72.578
122.000000,72.474
124.099998,72.282
125.000000,72.182
126.500000,71.991
128.000000,71.787
131.500000,71.524
132.000000,71.541
134.000000,71.787
136.000000,72.240
138.000000,72.679
140.000000,72.946
143.000000,73.026
145.000000,72.970
147.500000,72.858
150.000000,72.715
152.500000,72.557
155.000000,72.407
157.500000,72.265
160.000000,72.130
162.500000,72.013
165.000000,71.923
167.500000,71.842
170.000000,71.757
172.500000,71.669
175.000000,71.580
177.500000,71.493
180.000000,71.414
182.500000,71.344
185.000000,71.280
187.500000,71.218
190.000000,71.155
192.500000,71.091
195.000000,71.026
197.500000,70.958
200.000000,70.886
203.000000,70.804
206.000000,70.732
209.000000,70.667
212.000000,70.600
214.000000,70.553
218.000000,70.455
220.000000,70.409
224.000000,70.333
227.000000,70.289
230.000000,70.240
233.000000,70.181
236.000000,70.122
240.000000,70.044
243.000000,69.981
247.000000,69.895
250.000000,69.831
254.000000,69.759
258.000000,69.702
262.000000,69.640
265.000000,69.579
269.000000,69.496
272.000000,69.449
276.000000,69.405
280.000000,69.362
285.000000,69.305
290.000000,69.255
295.000000,69.216
300.000000,69.202
304.000000,69.212
307.000000,69.227
311.000000,69.249
315.000000,69.259
320.000000,69.237
325.000000,69.188
330.000000,69.131
335.000000,69.075
340.000000,69.019
345.000000,68.961
350.000000,68.907
355.000000,68.866
360.000000,68.835
365.000000,68.805
370.000000,68.772
375.000000,68.737
382.000000,68.687
387.000000,68.647
395.000000,68.588
400.000000,68.560
406.000000,68.534
412.000000,68.503
418.000000,68.464
425.000000,68.423
431.000000,68.401
437.000000,68.382
444.000000,68.353
450.000000,68.324
455.000000,68.300
462.000000,68.267
468.000000,68.240
475.000000,68.213
482.000000,68.193
487.000000,68.186
494.000000,68.181
500.000000,68.173
