X,Y
20.000000,91.474
20.299999,91.488
20.600000,91.501
20.900000,91.513
21.200001,91.526
21.400000,91.535
21.799999,91.552
22.000000,91.560
22.400000,91.572
22.700001,91.580
23.000000,91.586
23.299999,91.591
23.600000,91.597
24.000000,91.605
24.299999,91.612
24.700001,91.620
25.000000,91.625
25.400000,91.630
25.799999,91.631
26.200001,91.629
26.500000,91.626
26.900000,91.622
27.200001,91.619
27.600000,91.615
28.000000,91.613
28.500000,91.609
29.000000,91.603
29.500000,91.594
30.000000,91.583
30.400000,91.575
30.700001,91.569
31.100000,91.563
31.500000,91.558
32.000000,91.552
32.500000,91.546
33.000000,91.540
33.500000,91.533
34.000000,91.525
34.500000,91.515
35.000000,91.501
35.500000,91.483
36.000000,91.461
36.500000,91.439
37.000000,91.418
37.500000,91.399
38.200001,91.373
38.700001,91.354
39.500000,91.321
40.000000,91.301
40.599998,91.278
41.200001,91.256
41.799999,91.234
42.500000,91.206
43.099998,91.183
43.700001,91.161
44.400002,91.134
45.000000,91.109
45.500000,91.086
46.200001,91.053
46.799999,91.025
47.500000,90.994
48.200001,90.966
48.700001,90.946
49.400002,90.914
50.000000,90.883
50.799999,90.840
51.500000,90.806
52.200001,90.775
53.000000,90.736
53.799999,90.693
54.500000,90.656
55.200001,90.622
56.000000,90.586
57.000000,90.544
58.000000,90.508
59.000000,90.477
60.000000,90.440
60.799999,90.404
61.500000,90.369
62.200001,90.332
63.000000,90.289
64.000000,90.232
65.000000,90.170
66.000000,90.103
67.000000,90.040
68.000000,89.994
69.000000,89.958
70.000000,89.923
71.000000,89.888
72.000000,89.853
73.000000,89.813
74.000000,89.767
75.000000,89.719
76.199997,89.662
77.500000,89.602
78.800003,89.548
80.000000,89.504
81.199997,89.461
82.500000,89.410
83.800003,89.348
85.000000,89.277
86.199997,89.202
87.500000,89.129
88.500000,89.079
90.000000,89.010
91.199997,88.953
92.500000,88.884
93.800003,88.812
95.000000,88.746
96.199997,88.681
97.500000,88.613
98.800003,88.551
100.000000,88.498
101.500000,88.433
103.000000,88.371
104.400002,88.315
106.000000,88.252
107.500000,88.190
109.000000,88.125
110.599998,88.052
112.000000,87.985
113.800003,87.893
115.000000,87.830
117.199997,87.694
118.000000,87.635
120.599998,87.471
122.000000,87.441
124.099998,87.425
125.000000,87.411
126.500000,87.374
128.000000,87.324
131.500000,87.202
132.000000,87.186
134.000000,87.120
136.000000,87.053
138.000000,86.983
140.000000,86.912
143.000000,86.803
145.000000,86.727
147.500000,86.634
150.000000,86.546
152.500000,86.459
155.000000,86.376
157.500000,86.299
160.000000,86.228
162.500000,86.159
165.000000,86.088
167.500000,86.015
170.000000,85.941
172.500000,85.870
175.000000,85.803
177.500000,85.740
180.000000,85.675
182.500000,85.611
185.000000,85.552
187.500000,85.498
190.000000,85.449
192.500000,85.394
195.000000,85.329
197.500000,85.258
200.000000,85.191
203.000000,85.116
206.000000,85.046
209.000000,84.980
212.000000,84.914
214.000000,84.870
218.000000,84.780
220.000000,84.737
224.000000,84.660
227.000000,84.608
230.000000,84.556
233.000000,84.505
236.000000,84.455
240.000000,84.389
243.000000,84.335
247.000000,84.258
250.000000,84.201
254.000000,84.128
258.000000,84.067
262.000000,84.016
265.000000,83.978
269.000000,83.923
272.000000,83.879
276.000000,83.823
280.000000,83.772
285.000000,83.722
290.000000,83.687
295.000000,83.651
300.000000,83.600
304.000000,83.554
307.000000,83.519
311.000000,83.475
315.000000,83.430
320.000000,83.374
325.000000,83.321
330.000000,83.272
335.000000,83.228
340.000000,83.187
345.000000,83.145
350.000000,83.102
355.000000,83.060
360.000000,83.017
365.000000,82.976
370.000000,82.936
375.000000,82.897
382.000000,82.845
387.000000,82.810
395.000000,82.756
400.000000,82.725
406.000000,82.690
412.000000,82.655
418.000000,82.620
425.000000,82.580
431.000000,82.552
437.000000,82.530
444.000000,82.511
450.000000,82.500
455.000000,82.490
462.000000,82.470
468.000000,82.444
475.000000,82.409
482.000000,82.377
487.000000,82.354
494.000000,82.320
500.000000,82.293
508.000000,82.264
515.000000,82.243
522.000000,82.221
530.000000,82.195
538.000000,82.173
545.000000,82.157
552.000000,82.144
560.000000,82.132
570.000000,82.118
580.000000,82.103
590.000000,82.088
600.000000,82.075
608.000000,82.068
615.000000,82.063
622.000000,82.058
630.000000,82.054
640.000000,82.056
650.000000,82.068
660.000000,82.092
670.000000,82.123
680.000000,82.152
690.000000,82.171
700.000000,82.185
710.000000,82.199
720.000000,82.215
730.000000,82.233
740.000000,82.251
750.000000,82.269
762.000000,82.293
775.000000,82.322
788.000000,82.355
800.000000,82.390
812.000000,82.436
825.000000,82.502
838.000000,82.575
850.000000,82.639
862.000000,82.698
875.000000,82.761
885.000000,82.813
900.000000,82.895
912.000000,82.967
925.000000,83.050
938.000000,83.140
950.000000,83.226
962.000000,83.312
975.000000,83.406
988.000000,83.501
1000.000000,83.589
1015.000000,83.705
1030.000000,83.833
1044.000000,83.964
1060.000000,84.116
1075.000000,84.253
1090.000000,84.381
1106.000000,84.512
1120.000000,84.623
1138.000000,84.762
1150.000000,84.853
1172.000000,85.020
1180.000000,85.082
1206.000000,85.298
1220.000000,85.417
1241.000000,85.585
1250.000000,85.651
1265.000000,85.757
1280.000000,85.858
1315.000000,86.090
1320.000000,86.123
1340.000000,86.253
1360.000000,86.380
1380.000000,86.504
1400.000000,86.635
1430.000000,86.857
1450.000000,87.014
1475.000000,87.205
1500.000000,87.386
1525.000000,87.560
1550.000000,87.731
1575.000000,87.910
1600.000000,88.099
1625.000000,88.285
1650.000000,88.455
1675.000000,88.611
1700.000000,88.752
1725.000000,88.876
1750.000000,88.977
1775.000000,89.058
1800.000000,89.130
1825.000000,89.199
1850.000000,89.267
1875.000000,89.335
1900.000000,89.409
1925.000000,89.497
1950.000000,89.610
1975.000000,89.754
2000.000000,89.925
2030.000000,90.153
2060.000000,90.392
2090.000000,90.633
2120.000000,90.860
2140.000000,90.998
2180.000000,91.241
2200.000000,91.349
