X,Y
20.000000,102.4
20.299999,102.3
20.600000,102.3
20.900000,102.3
21.200001,102.3
21.400000,102.3
21.799999,102.2
22.000000,102.2
22.400000,102.2
22.700001,102.2
23.000000,102.2
23.299999,102.2
23.600000,102.1
24.000000,102.1
24.299999,102.1
24.700001,102.0
25.000000,102.0
25.400000,102.0
25.799999,102.0
26.200001,101.9
26.500000,101.9
26.900000,101.9
27.200001,101.8
27.600000,101.8
28.000000,101.8
28.500000,101.7
29.000000,101.7
29.500000,101.6
30.000000,101.6
30.400000,101.6
30.700001,101.5
31.100000,101.5
31.500000,101.5
32.000000,101.4
32.500000,101.4
33.000000,101.3
33.500000,101.3
34.000000,101.3
34.500000,101.2
35.000000,101.2
35.500000,101.1
36.000000,101.1
36.500000,101.0
37.000000,101.0
37.500000,100.9
38.200001,100.9
38.700001,100.9
39.500000,100.8
40.000000,100.8
40.599998,100.7
41.200001,100.6
41.799999,100.6
42.500000,100.5
43.099998,100.5
43.700001,100.4
44.400002,100.3
45.000000,100.3
45.500000,100.2
46.200001,100.2
46.799999,100.1
47.500000,100.1
48.200001,100.0
48.700001,100.0
49.400002,99.9
50.000000,99.9
50.799999,99.8
51.500000,99.8
52.200001,99.7
53.000000,99.7
53.799999,99.6
54.500000,99.5
55.200001,99.5
56.000000,99.4
57.000000,99.4
58.000000,99.3
59.000000,99.2
60.000000,99.2
60.799999,99.1
61.500000,99.1
62.200001,99.0
63.000000,99.0
64.000000,98.9
65.000000,98.8
66.000000,98.8
67.000000,98.7
68.000000,98.6
69.000000,98.6
70.000000,98.5
71.000000,98.5
72.000000,98.4
73.000000,98.4
74.000000,98.3
75.000000,98.2
76.199997,98.2
77.500000,98.1
78.800003,98.0
80.000000,98.0
81.199997,97.9
82.500000,97.8
83.800003,97.8
85.000000,97.7
86.199997,97.6
87.500000,97.6
88.500000,97.5
90.000000,97.4
91.199997,97.4
92.500000,97.3
93.800003,97.2
95.000000,97.2
96.199997,97.1
97.500000,97.1
98.800003,97.0
100.000000,97.0
101.500000,96.9
103.000000,96.9
104.400002,96.8
106.000000,96.8
107.500000,96.7
109.000000,96.7
110.599998,96.6
112.000000,96.6
113.800003,96.5
115.000000,96.4
117.199997,96.3
118.000000,96.3
120.599998,96.2
122.000000,96.2
124.099998,96.1
125.000000,96.1
126.500000,96.0
128.000000,96.0
131.500000,95.9
132.000000,95.9
134.000000,95.8
136.000000,95.8
138.000000,95.7
140.000000,95.7
143.000000,95.6
145.000000,95.6
147.500000,95.5
150.000000,95.4
152.500000,95.4
155.000000,95.3
157.500000,95.3
160.000000,95.2
162.500000,95.2
165.000000,95.1
167.500000,95.1
170.000000,95.0
172.500000,95.0
175.000000,94.9
177.500000,94.9
180.000000,94.8
182.500000,94.8
185.000000,94.8
187.500000,94.7
190.000000,94.7
192.500000,94.7
195.000000,94.6
197.500000,94.6
200.000000,94.6
203.000000,94.5
206.000000,94.5
209.000000,94.5
212.000000,94.4
214.000000,94.4
218.000000,94.4
220.000000,94.3
224.000000,94.3
227.000000,94.3
230.000000,94.2
233.000000,94.2
236.000000,94.2
240.000000,94.2
243.000000,94.1
247.000000,94.1
250.000000,94.1
254.000000,94.0
258.000000,94.0
262.000000,94.0
265.000000,94.0
269.000000,93.9
272.000000,93.9
276.000000,93.9
280.000000,93.9
285.000000,93.9
290.000000,93.9
295.000000,93.9
300.000000,93.9
304.000000,93.8
307.000000,93.8
311.000000,93.8
315.000000,93.8
320.000000,93.8
325.000000,93.7
330.000000,93.7
335.000000,93.7
340.000000,93.7
345.000000,93.7
350.000000,93.6
355.000000,93.6
360.000000,93.6
365.000000,93.6
370.000000,93.6
375.000000,93.6
382.000000,93.5
387.000000,93.5
395.000000,93.5
400.000000,93.5
406.000000,93.5
412.000000,93.5
418.000000,93.5
425.000000,93.4
431.000000,93.4
437.000000,93.4
444.000000,93.4
450.000000,93.4
455.000000,93.4
462.000000,93.4
468.000000,93.4
475.000000,93.4
482.000000,93.4
487.000000,93.4
494.000000,93.4
500.000000,93.4
508.000000,93.4
515.000000,93.3
522.000000,93.3
530.000000,93.3
538.000000,93.3
545.000000,93.3
552.000000,93.3
560.000000,93.3
570.000000,93.3
580.000000,93.3
590.000000,93.3
600.000000,93.3
608.000000,93.3
615.000000,93.3
622.000000,93.3
630.000000,93.3
640.000000,93.3
650.000000,93.3
660.000000,93.4
670.000000,93.4
680.000000,93.5
690.000000,93.5
700.000000,93.5
