X,Y
20.291,82.482
20.586,82.463
20.885,82.445
21.189,82.404
21.497,82.367
21.810,82.343
22.127,82.316
22.449,82.279
22.776,82.244
23.107,82.216
23.443,82.185
23.784,82.158
24.130,82.138
24.481,82.122
24.837,82.100
25.198,82.064
25.565,82.036
25.937,82.019
26.314,81.998
26.697,81.983
27.085,81.957
27.479,81.914
27.879,81.883
28.284,81.841
28.696,81.805
29.113,81.780
29.537,81.741
29.966,81.696
30.402,81.643
30.844,81.596
31.293,81.567
31.748,81.537
32.210,81.504
32.678,81.446
33.154,81.398
33.636,81.359
34.125,81.316
34.621,81.286
35.125,81.262
35.636,81.237
36.154,81.216
36.680,81.193
37.214,81.165
37.755,81.127
38.304,81.080
38.861,81.038
39.427,80.971
40.000,80.896
40.582,80.842
41.172,80.780
41.771,80.713
42.379,80.658
42.995,80.617
43.620,80.577
44.255,80.530
44.898,80.480
45.552,80.422
46.214,80.365
46.886,80.308
47.568,80.246
48.260,80.179
48.962,80.097
49.674,80.009
50.397,79.945
51.130,79.894
51.874,79.849
52.628,79.797
53.394,79.722
54.170,79.651
54.958,79.595
55.758,79.539
56.569,79.480
57.391,79.422
58.226,79.360
59.073,79.283
59.932,79.203
60.804,79.133
61.688,79.061
62.586,78.985
63.496,78.921
64.420,78.856
65.357,78.783
66.307,78.698
67.272,78.621
68.250,78.558
69.243,78.475
70.250,78.395
71.272,78.312
72.309,78.217
73.360,78.139
74.427,78.082
75.510,78.035
76.608,77.928
77.723,77.873
78.853,77.796
80.000,77.724
81.164,77.634
82.344,77.611
83.542,77.499
84.757,77.394
85.990,77.283
87.241,77.176
88.510,77.068
89.797,76.943
91.103,76.848
92.428,76.767
93.773,76.674
95.137,76.572
96.520,76.535
97.924,76.427
99.349,76.329
100.794,76.255
102.260,76.134
103.747,76.077
105.256,75.968
106.787,75.853
108.340,75.763
109.916,75.700
111.515,75.699
113.137,75.592
114.783,75.403
116.452,75.417
118.146,75.260
119.865,74.504
121.608,74.948
123.377,75.081
125.171,75.002
126.992,75.008
128.839,74.834
130.713,74.732
132.615,74.615
134.543,74.567
136.500,74.424
138.486,74.401
140.500,74.272
142.544,74.188
144.617,74.119
146.721,74.117
148.855,73.982
151.020,73.870
153.217,73.826
155.445,73.682
157.706,73.899
160.000,75.017
162.327,73.771
164.688,73.351
167.084,73.440
169.514,73.389
171.980,73.188
174.481,72.898
177.019,72.817
179.594,72.742
182.206,72.636
184.856,72.568
187.545,72.596
190.273,72.647
193.041,72.522
195.849,72.490
198.697,72.378
201.587,72.234
204.520,72.157
207.494,72.112
210.512,72.014
213.574,71.904
216.681,71.807
219.833,71.681
223.030,71.589
226.274,71.508
229.565,71.430
232.905,71.368
236.292,71.286
239.729,71.208
243.216,71.127
246.754,71.035
250.343,70.930
253.984,70.832
257.678,70.756
261.426,70.729
265.229,70.661
269.087,70.566
273.001,70.477
276.972,70.406
281.000,70.319
285.088,70.253
289.234,70.234
293.441,70.204
297.710,70.113
302.040,70.031
306.433,69.970
310.890,69.915
315.412,69.850
320.000,69.741
324.655,69.671
329.377,69.610
334.168,69.543
339.028,69.486
343.959,69.409
348.962,69.333
354.038,69.287
359.188,69.240
364.412,69.175
369.713,69.103
375.090,69.034
380.546,68.981
386.081,68.925
391.697,68.874
397.395,68.825
403.175,68.763
409.039,68.722
414.989,68.662
421.025,68.596
427.149,68.540
433.362,68.519
439.665,68.484
446.060,68.436
452.548,68.409
459.131,68.444
465.809,68.349
472.584,68.300
479.458,68.247
486.432,68.244
493.507,68.152
500.686,68.101
507.968,68.087
515.357,68.063
522.853,68.034
530.458,67.949
538.174,67.956
546.002,67.920
553.943,67.902
562.001,67.897
570.175,67.886
578.469,67.848
586.883,67.840
595.419,67.542
604.080,67.189
612.866,67.364
621.780,67.494
630.824,67.461
640.000,67.563
649.309,67.546
658.753,67.540
668.335,67.661
678.056,67.680
687.919,67.697
697.925,67.697
708.076,67.702
