X,Y
20.000000,111.346
20.299999,111.355
20.600000,111.365
20.900000,111.376
21.200001,111.390
21.400000,111.401
21.799999,111.420
22.000000,111.428
22.400000,111.441
22.700001,111.446
23.000000,111.449
23.299999,111.451
23.600000,111.452
24.000000,111.455
24.299999,111.458
24.700001,111.464
25.000000,111.469
25.400000,111.472
25.799999,111.468
26.200001,111.456
26.500000,111.443
26.900000,111.426
27.200001,111.418
27.600000,111.417
28.000000,111.425
28.500000,111.441
29.000000,111.448
29.500000,111.442
30.000000,111.429
30.400000,111.418
30.700001,111.410
31.100000,111.400
31.500000,111.390
32.000000,111.375
32.500000,111.360
33.000000,111.347
33.500000,111.334
34.000000,111.321
34.500000,111.307
35.000000,111.291
35.500000,111.274
36.000000,111.255
36.500000,111.237
37.000000,111.218
37.500000,111.200
38.200001,111.178
38.700001,111.160
39.500000,111.124
40.000000,111.098
40.599998,111.067
41.200001,111.036
41.799999,111.008
42.500000,110.978
43.099998,110.953
43.700001,110.927
44.400002,110.897
45.000000,110.872
45.500000,110.849
46.200001,110.816
46.799999,110.787
47.500000,110.759
48.200001,110.732
48.700001,110.710
49.400002,110.676
50.000000,110.646
50.799999,110.612
51.500000,110.583
52.200001,110.553
53.000000,110.516
53.799999,110.478
54.500000,110.445
55.200001,110.415
56.000000,110.382
57.000000,110.338
58.000000,110.292
59.000000,110.245
60.000000,110.194
60.799999,110.152
61.500000,110.116
62.200001,110.082
63.000000,110.045
64.000000,109.999
65.000000,109.955
66.000000,109.913
67.000000,109.870
68.000000,109.826
69.000000,109.777
70.000000,109.725
71.000000,109.678
72.000000,109.640
73.000000,109.606
74.000000,109.569
75.000000,109.529
76.199997,109.479
77.500000,109.425
78.800003,109.372
80.000000,109.321
81.199997,109.266
82.500000,109.204
83.800003,109.148
85.000000,109.106
86.199997,109.067
87.500000,109.025
88.500000,108.992
90.000000,108.946
91.199997,108.910
92.500000,108.868
93.800003,108.822
95.000000,108.779
96.199997,108.741
97.500000,108.705
98.800003,108.669
100.000000,108.632
101.500000,108.575
103.000000,108.512
104.400002,108.456
106.000000,108.400
107.500000,108.355
109.000000,108.311
110.599998,108.258
112.000000,108.209
113.800003,108.151
115.000000,108.115
117.199997,108.046
118.000000,108.019
120.599998,107.925
122.000000,107.881
124.099998,107.837
125.000000,107.821
126.500000,107.790
128.000000,107.754
131.500000,107.683
132.000000,107.676
134.000000,107.657
136.000000,107.641
138.000000,107.614
140.000000,107.560
143.000000,107.456
145.000000,107.396
147.500000,107.334
150.000000,107.279
152.500000,107.230
155.000000,107.184
157.500000,107.140
160.000000,107.094
162.500000,107.050
165.000000,107.008
167.500000,106.967
170.000000,106.926
172.500000,106.886
175.000000,106.847
177.500000,106.808
180.000000,106.769
182.500000,106.732
185.000000,106.695
187.500000,106.659
190.000000,106.623
192.500000,106.588
195.000000,106.554
197.500000,106.520
200.000000,106.489
203.000000,106.454
206.000000,106.423
209.000000,106.390
212.000000,106.357
214.000000,106.334
218.000000,106.292
220.000000,106.271
224.000000,106.230
227.000000,106.200
230.000000,106.168
233.000000,106.138
236.000000,106.110
240.000000,106.075
243.000000,106.052
247.000000,106.021
250.000000,105.997
254.000000,105.966
258.000000,105.934
262.000000,105.903
265.000000,105.878
269.000000,105.846
272.000000,105.823
276.000000,105.796
280.000000,105.773
285.000000,105.743
290.000000,105.708
295.000000,105.670
300.000000,105.636
304.000000,105.617
307.000000,105.606
311.000000,105.590
315.000000,105.574
320.000000,105.549
325.000000,105.521
330.000000,105.493
335.000000,105.468
340.000000,105.445
345.000000,105.425
350.000000,105.407
355.000000,105.391
360.000000,105.375
365.000000,105.360
370.000000,105.344
375.000000,105.327
382.000000,105.304
387.000000,105.288
395.000000,105.267
400.000000,105.254
406.000000,105.240
412.000000,105.225
418.000000,105.214
425.000000,105.204
431.000000,105.196
437.000000,105.186
444.000000,105.171
450.000000,105.155
455.000000,105.143
462.000000,105.128
468.000000,105.116
475.000000,105.103
482.000000,105.090
487.000000,105.082
494.000000,105.070
500.000000,105.059
508.000000,105.044
515.000000,105.032
522.000000,105.022
530.000000,105.011
538.000000,105.001
545.000000,104.992
552.000000,104.984
560.000000,104.975
570.000000,104.963
580.000000,104.953
590.000000,104.944
600.000000,104.936
608.000000,104.930
615.000000,104.925
622.000000,104.919
630.000000,104.914
640.000000,104.909
650.000000,104.905
660.000000,104.904
670.000000,104.904
680.000000,104.905
690.000000,104.906
700.000000,104.909
710.000000,104.913
720.000000,104.919
730.000000,104.926
740.000000,104.935
750.000000,104.945
762.000000,104.960
775.000000,104.978
788.000000,105.000
800.000000,105.024
812.000000,105.052
825.000000,105.086
838.000000,105.123
850.000000,105.162
862.000000,105.204
875.000000,105.254
885.000000,105.294
900.000000,105.358
912.000000,105.411
925.000000,105.470
938.000000,105.535
950.000000,105.604
962.000000,105.686
975.000000,105.786
988.000000,105.895
1000.000000,105.997
1015.000000,106.123
1030.000000,106.248
1044.000000,106.366
1060.000000,106.503
1075.000000,106.632
1090.000000,106.762
1106.000000,106.902
1120.000000,107.024
1138.000000,107.178
1150.000000,107.279
1172.000000,107.458
1180.000000,107.522
1206.000000,107.721
1220.000000,107.823
1241.000000,107.971
1250.000000,108.031
1265.000000,108.129
1280.000000,108.223
1315.000000,108.425
1320.000000,108.453
1340.000000,108.558
1360.000000,108.658
1380.000000,108.753
1400.000000,108.843
1430.000000,108.972
1450.000000,109.054
1475.000000,109.152
1500.000000,109.246
1525.000000,109.338
1550.000000,109.429
1575.000000,109.518
1600.000000,109.606
1625.000000,109.693
1650.000000,109.779
1675.000000,109.865
1700.000000,109.952
1725.000000,110.038
1750.000000,110.124
1775.000000,110.211
1800.000000,110.297
1825.000000,110.384
1850.000000,110.470
1875.000000,110.557
1900.000000,110.644
1925.000000,110.732
1950.000000,110.821
1975.000000,110.910
2000.000000,110.999
2030.000000,111.105
2060.000000,111.210
2090.000000,111.316
2120.000000,111.423
2140.000000,111.493
2180.000000,111.633
2200.000000,111.703
2240.000000,111.842
2270.000000,111.945
2300.000000,112.047
2330.000000,112.148
2360.000000,112.247
2400.000000,112.376
2430.000000,112.470
2470.000000,112.590
2500.000000,112.677
2540.000000,112.787
2580.000000,112.893
2620.000000,112.993
2650.000000,113.065
2690.000000,113.155
2720.000000,113.219
2760.000000,113.297
2800.000000,113.368
2850.000000,113.446
2900.000000,113.513
2950.000000,113.568
3000.000000,113.611
3040.000000,113.638
3070.000000,113.653
3110.000000,113.667
3150.000000,113.675
3200.000000,113.677
3250.000000,113.670
3300.000000,113.653
3350.000000,113.628
3400.000000,113.596
3450.000000,113.557
3500.000000,113.511
3550.000000,113.460
3600.000000,113.402
3650.000000,113.340
3700.000000,113.274
3750.000000,113.204
3820.000000,113.101
3870.000000,113.025
3950.000000,112.899
4000.000000,112.818
4060.000000,112.717
4120.000000,112.614
4180.000000,112.510
4250.000000,112.387
4310.000000,112.281
4370.000000,112.172
4440.000000,112.043
4500.000000,111.929
4550.000000,111.832
4620.000000,111.690
4680.000000,111.562
4750.000000,111.402
4820.000000,111.236
4870.000000,111.130
4940.000000,111.028
5000.000000,110.993
5080.000000,110.979
5150.000000,110.947
5220.000000,110.879
5300.000000,110.768
5380.000000,110.638
5450.000000,110.516
5520.000000,110.390
5600.000000,110.243
5700.000000,110.053
5800.000000,109.861
5900.000000,109.676
6000.000000,109.508
6080.000000,109.386
6150.000000,109.282
6220.000000,109.174
6300.000000,109.048
6400.000000,108.887
6500.000000,108.728
6600.000000,108.574
6700.000000,108.428
6800.000000,108.292
6900.000000,108.168
7000.000000,108.059
7100.000000,107.967
7200.000000,107.896
7300.000000,107.843
7400.000000,107.806
7500.000000,107.779
7620.000000,107.756
7750.000000,107.736
7880.000000,107.714
8000.000000,107.688
8120.000000,107.660
8250.000000,107.643
8380.000000,107.668
8500.000000,107.758
8620.000000,107.939
8750.000000,108.259
8850.000000,108.602
9000.000000,109.266
9120.000000,109.903
9250.000000,110.646
9380.000000,111.358
9500.000000,111.896
9620.000000,112.226
9750.000000,112.266
9880.000000,111.934
10000.000000,111.309
10150.000000,110.178
10300.000000,108.802
10440.000000,107.446
10600.000000,105.984
10750.000000,104.842
10900.000000,104.017
