X,Y
20.000000,118.531
20.299999,118.505
20.600000,118.480
20.900000,118.469
21.200001,118.478
21.400000,118.490
21.799999,118.518
22.000000,118.528
22.400000,118.529
22.700001,118.520
23.000000,118.510
23.299999,118.509
23.600000,118.518
24.000000,118.542
24.299999,118.561
24.700001,118.580
25.000000,118.589
25.400000,118.601
25.799999,118.619
26.200001,118.645
26.500000,118.666
26.900000,118.687
27.200001,118.696
27.600000,118.698
28.000000,118.693
28.500000,118.685
29.000000,118.681
29.500000,118.683
30.000000,118.688
30.400000,118.692
30.700001,118.694
31.100000,118.693
31.500000,118.688
32.000000,118.680
32.500000,118.677
33.000000,118.684
33.500000,118.703
34.000000,118.726
34.500000,118.743
35.000000,118.749
35.500000,118.746
36.000000,118.742
36.500000,118.745
37.000000,118.751
37.500000,118.754
38.200001,118.747
38.700001,118.739
39.500000,118.728
40.000000,118.721
40.599998,118.711
41.200001,118.700
41.799999,118.694
42.500000,118.691
43.099998,118.688
43.700001,118.685
44.400002,118.687
45.000000,118.696
45.500000,118.705
46.200001,118.714
46.799999,118.715
47.500000,118.714
48.200001,118.713
48.700001,118.706
49.400002,118.684
50.000000,118.659
50.799999,118.635
51.500000,118.628
52.200001,118.629
53.000000,118.636
53.799999,118.646
54.500000,118.656
55.200001,118.665
56.000000,118.669
57.000000,118.663
58.000000,118.656
59.000000,118.648
60.000000,118.637
60.799999,118.625
61.500000,118.611
62.200001,118.598
63.000000,118.589
64.000000,118.586
65.000000,118.576
66.000000,118.553
67.000000,118.541
68.000000,118.556
69.000000,118.592
70.000000,118.635
71.000000,118.666
72.000000,118.661
73.000000,118.620
74.000000,118.568
75.000000,118.523
76.199997,118.480
77.500000,118.440
78.800003,118.408
80.000000,118.391
81.199997,118.395
82.500000,118.420
83.800003,118.441
85.000000,118.447
86.199997,118.442
87.500000,118.428
88.500000,118.413
90.000000,118.390
91.199997,118.375
92.500000,118.362
93.800003,118.348
95.000000,118.332
96.199997,118.318
97.500000,118.309
98.800003,118.304
100.000000,118.296
101.500000,118.277
103.000000,118.252
104.400002,118.233
106.000000,118.219
107.500000,118.208
109.000000,118.196
110.599998,118.186
112.000000,118.180
113.800003,118.175
115.000000,118.168
117.199997,118.153
118.000000,118.149
120.599998,118.136
122.000000,118.124
124.099998,118.101
125.000000,118.090
126.500000,118.071
128.000000,118.055
131.500000,118.038
132.000000,118.037
134.000000,118.035
136.000000,118.025
138.000000,118.010
140.000000,118.000
143.000000,117.997
145.000000,117.988
147.500000,117.963
150.000000,117.940
152.500000,117.923
155.000000,117.902
157.500000,117.876
160.000000,117.855
162.500000,117.840
165.000000,117.819
167.500000,117.791
170.000000,117.771
172.500000,117.766
175.000000,117.768
177.500000,117.768
180.000000,117.764
182.500000,117.755
185.000000,117.738
187.500000,117.718
190.000000,117.703
192.500000,117.690
195.000000,117.686
197.500000,117.694
200.000000,117.703
203.000000,117.695
206.000000,117.667
209.000000,117.635
212.000000,117.621
214.000000,117.624
218.000000,117.641
220.000000,117.645
224.000000,117.635
227.000000,117.617
230.000000,117.599
233.000000,117.583
236.000000,117.564
240.000000,117.533
243.000000,117.515
247.000000,117.513
250.000000,117.521
254.000000,117.520
258.000000,117.503
262.000000,117.480
265.000000,117.465
269.000000,117.452
272.000000,117.453
276.000000,117.465
280.000000,117.477
285.000000,117.481
290.000000,117.484
295.000000,117.489
300.000000,117.491
304.000000,117.492
307.000000,117.495
311.000000,117.499
315.000000,117.501
320.000000,117.493
325.000000,117.477
330.000000,117.466
335.000000,117.460
340.000000,117.449
345.000000,117.440
350.000000,117.444
355.000000,117.459
360.000000,117.478
365.000000,117.494
370.000000,117.501
375.000000,117.502
382.000000,117.512
387.000000,117.524
395.000000,117.533
400.000000,117.534
406.000000,117.523
412.000000,117.504
418.000000,117.493
425.000000,117.494
431.000000,117.489
437.000000,117.478
444.000000,117.465
450.000000,117.450
455.000000,117.435
462.000000,117.419
468.000000,117.409
475.000000,117.399
482.000000,117.389
487.000000,117.383
494.000000,117.378
500.000000,117.367
508.000000,117.339
515.000000,117.312
522.000000,117.283
530.000000,117.247
538.000000,117.214
545.000000,117.189
552.000000,117.168
560.000000,117.142
570.000000,117.104
580.000000,117.060
590.000000,117.011
600.000000,116.964
608.000000,116.928
615.000000,116.899
622.000000,116.870
630.000000,116.838
640.000000,116.795
650.000000,116.747
660.000000,116.698
670.000000,116.647
680.000000,116.597
690.000000,116.548
700.000000,116.500
710.000000,116.455
720.000000,116.410
730.000000,116.363
740.000000,116.315
750.000000,116.266
762.000000,116.210
775.000000,116.153
788.000000,116.100
800.000000,116.054
812.000000,116.013
825.000000,115.972
