X,Y
20.299999,90.345
20.600000,90.349
20.900000,90.360
21.200001,90.373
21.400000,90.382
21.799999,90.402
22.000000,90.413
22.400000,90.432
22.700001,90.445
23.000000,90.459
23.299999,90.474
23.600000,90.494
24.000000,90.528
24.299999,90.555
24.700001,90.588
25.000000,90.603
25.400000,90.608
25.799999,90.596
26.200001,90.575
26.500000,90.559
26.900000,90.544
27.200001,90.537
27.600000,90.536
28.000000,90.542
28.500000,90.558
29.000000,90.577
29.500000,90.588
30.000000,90.578
30.400000,90.556
30.700001,90.536
31.100000,90.512
31.500000,90.498
32.000000,90.499
32.500000,90.512
33.000000,90.526
33.500000,90.531
34.000000,90.525
34.500000,90.511
35.000000,90.495
35.500000,90.482
36.000000,90.471
36.500000,90.460
37.000000,90.444
37.500000,90.426
38.200001,90.398
38.700001,90.379
39.500000,90.354
40.000000,90.344
40.599998,90.338
41.200001,90.334
41.799999,90.326
42.500000,90.308
43.099998,90.281
43.700001,90.246
44.400002,90.207
45.000000,90.180
45.500000,90.163
46.200001,90.141
46.799999,90.119
47.500000,90.080
48.200001,90.024
48.700001,89.977
49.400002,89.905
50.000000,89.843
50.799999,89.781
51.500000,89.776
52.200001,89.810
53.000000,89.848
53.799999,89.850
54.500000,89.832
55.200001,89.813
56.000000,89.791
57.000000,89.755
58.000000,89.709
59.000000,89.661
60.000000,89.608
60.799999,89.564
61.500000,89.528
62.200001,89.495
63.000000,89.460
64.000000,89.416
65.000000,89.367
66.000000,89.313
67.000000,89.263
68.000000,89.216
69.000000,89.170
70.000000,89.122
71.000000,89.074
72.000000,89.027
73.000000,88.979
74.000000,88.931
75.000000,88.887
76.199997,88.836
77.500000,88.773
78.800003,88.709
80.000000,88.655
81.199997,88.600
82.500000,88.535
83.800003,88.472
85.000000,88.421
86.199997,88.370
87.500000,88.319
88.500000,88.287
90.000000,88.230
91.199997,88.158
92.500000,88.065
93.800003,87.979
95.000000,87.911
96.199997,87.851
97.500000,87.791
98.800003,87.734
100.000000,87.683
101.500000,87.618
103.000000,87.549
104.400002,87.483
106.000000,87.407
107.500000,87.333
109.000000,87.257
110.599998,87.174
112.000000,87.103
113.800003,87.012
115.000000,86.952
117.199997,86.854
118.000000,86.823
120.599998,86.713
122.000000,86.634
124.099998,86.503
125.000000,86.447
126.500000,86.358
128.000000,86.279
131.500000,86.167
132.000000,86.161
134.000000,86.160
136.000000,86.167
138.000000,86.153
140.000000,86.112
143.000000,86.029
145.000000,85.972
147.500000,85.897
150.000000,85.814
152.500000,85.723
155.000000,85.633
157.500000,85.550
160.000000,85.467
162.500000,85.378
165.000000,85.283
167.500000,85.186
170.000000,85.091
172.500000,84.998
175.000000,84.913
177.500000,84.842
180.000000,84.785
182.500000,84.736
185.000000,84.688
187.500000,84.642
190.000000,84.597
192.500000,84.548
195.000000,84.491
197.500000,84.421
200.000000,84.342
203.000000,84.244
206.000000,84.150
209.000000,84.065
212.000000,83.984
214.000000,83.931
218.000000,83.823
220.000000,83.769
224.000000,83.662
227.000000,83.583
230.000000,83.505
233.000000,83.426
236.000000,83.345
240.000000,83.236
243.000000,83.158
247.000000,83.057
250.000000,82.982
254.000000,82.884
258.000000,82.789
262.000000,82.699
265.000000,82.632
269.000000,82.542
272.000000,82.477
276.000000,82.394
280.000000,82.319
285.000000,82.231
290.000000,82.141
295.000000,82.051
300.000000,81.962
304.000000,81.892
307.000000,81.839
311.000000,81.767
315.000000,81.693
320.000000,81.601
325.000000,81.514
330.000000,81.435
335.000000,81.359
340.000000,81.283
345.000000,81.206
350.000000,81.130
355.000000,81.054
360.000000,80.981
365.000000,80.910
370.000000,80.839
375.000000,80.770
382.000000,80.676
387.000000,80.611
395.000000,80.511
400.000000,80.450
406.000000,80.381
412.000000,80.315
418.000000,80.249
425.000000,80.175
431.000000,80.116
437.000000,80.061
444.000000,79.999
450.000000,79.946
455.000000,79.902
462.000000,79.842
468.000000,79.793
475.000000,79.738
482.000000,79.683
487.000000,79.643
494.000000,79.587
500.000000,79.541
508.000000,79.482
515.000000,79.431
522.000000,79.381
530.000000,79.327
538.000000,79.276
545.000000,79.233
552.000000,79.191
560.000000,79.147
570.000000,79.094
580.000000,79.044
590.000000,78.997
600.000000,78.956
608.000000,78.928
615.000000,78.908
622.000000,78.891
630.000000,78.874
640.000000,78.854
650.000000,78.838
660.000000,78.825
670.000000,78.815
680.000000,78.806
690.000000,78.800
700.000000,78.797
710.000000,78.798
720.000000,78.803
730.000000,78.810
740.000000,78.821
750.000000,78.833
762.000000,78.852
775.000000,78.876
788.000000,78.902
800.000000,78.931
812.000000,78.969
825.000000,79.017
838.000000,79.070
850.000000,79.126
862.000000,79.189
875.000000,79.264
885.000000,79.325
900.000000,79.418
912.000000,79.495
925.000000,79.581
938.000000,79.669
950.000000,79.751
962.000000,79.832
975.000000,79.919
988.000000,80.006
1000.000000,80.088
1015.000000,80.193
1030.000000,80.302
1044.000000,80.407
1060.000000,80.529
1075.000000,80.643
1090.000000,80.754
1106.000000,80.868
1120.000000,80.967
1138.000000,81.093
1150.000000,81.177
1172.000000,81.324
1180.000000,81.375
1206.000000,81.534
1220.000000,81.615
1241.000000,81.731
1250.000000,81.776
1265.000000,81.845
1280.000000,81.903
1315.000000,81.995
1320.000000,82.003
1340.000000,82.024
1360.000000,82.030
1380.000000,82.024
1400.000000,82.007
1430.000000,81.969
1450.000000,81.940
1475.000000,81.913
1500.000000,81.905
1525.000000,81.920
1550.000000,81.958
1575.000000,82.016
1600.000000,82.093
1625.000000,82.184
1650.000000,82.284
1675.000000,82.389
1700.000000,82.497
1725.000000,82.604
1750.000000,82.709
1775.000000,82.812
1800.000000,82.913
1825.000000,83.013
1850.000000,83.113
1875.000000,83.211
1900.000000,83.311
1925.000000,83.415
1950.000000,83.524
1975.000000,83.638
2000.000000,83.752
2030.000000,83.884
2060.000000,84.008
2090.000000,84.124
2120.000000,84.233
2140.000000,84.304
2180.000000,84.437
2200.000000,84.500
2240.000000,84.618
2270.000000,84.700
2300.000000,84.776
2330.000000,84.846
2360.000000,84.910
2400.000000,84.984
2430.000000,85.030
2470.000000,85.078
2500.000000,85.106
2540.000000,85.136
2580.000000,85.157
2620.000000,85.171
2650.000000,85.177
2690.000000,85.180
2720.000000,85.178
2760.000000,85.167
2800.000000,85.149
2850.000000,85.116
2900.000000,85.075
2950.000000,85.026
3000.000000,84.970
3040.000000,84.930
3070.000000,84.909
3110.000000,84.906
3150.000000,84.940
3200.000000,85.035
3250.000000,85.165
3300.000000,85.291
3350.000000,85.386
3400.000000,85.444
3450.000000,85.471
3500.000000,85.480
3550.000000,85.478
3600.000000,85.472
3650.000000,85.466
3700.000000,85.462
3750.000000,85.464
3820.000000,85.483
3870.000000,85.509
3950.000000,85.567
4000.000000,85.605
4060.000000,85.645
4120.000000,85.673
4180.000000,85.689
4250.000000,85.695
4310.000000,85.695
4370.000000,85.697
4440.000000,85.713
4500.000000,85.739
4550.000000,85.765
4620.000000,85.798
4680.000000,85.812
4750.000000,85.803
4820.000000,85.762
4870.000000,85.714
4940.000000,85.620
5000.000000,85.517
5080.000000,85.347
5150.000000,85.171
5220.000000,84.969
5300.000000,84.706
5380.000000,84.405
5450.000000,84.111
5520.000000,83.801
5600.000000,83.457
5700.000000,83.087
5800.000000,82.786
5900.000000,82.522
6000.000000,82.281
6080.000000,82.104
6150.000000,81.962
6220.000000,81.835
6300.000000,81.711
6400.000000,81.591
6500.000000,81.516
6600.000000,81.488
6700.000000,81.506
6800.000000,81.570
6900.000000,81.682
7000.000000,81.849
7100.000000,82.086
7200.000000,82.407
7300.000000,82.825
7400.000000,83.352
7500.000000,83.997
7620.000000,84.923
7750.000000,86.067
7880.000000,87.236
8000.000000,88.186
8120.000000,88.872
8250.000000,89.202
8380.000000,89.052
8500.000000,88.523
8620.000000,87.719
8750.000000,86.681
8850.000000,85.851
9000.000000,84.662
9120.000000,83.805
9250.000000,82.982
9380.000000,82.262
9500.000000,81.674
9620.000000,81.152
9750.000000,80.650
9880.000000,80.203
10000.000000,79.836
10150.000000,79.432
10300.000000,79.088
10440.000000,78.825
10600.000000,78.598
10750.000000,78.460
10900.000000,78.399
11060.000000,78.418
11200.000000,78.509
11380.000000,78.725
11500.000000,78.930
11720.000000,79.402
11800.000000,79.593
12060.000000,80.197
12200.000000,80.452
12410.000000,80.648
12500.000000,80.643
12650.000000,80.502
12800.000000,80.197
13150.000000,78.980
13200.000000,78.768
13400.000000,77.894
13600.000000,77.053
13800.000000,76.338
14000.000000,75.809
14300.000000,75.405
14500.000000,75.416
14750.000000,75.788
15000.000000,76.587
15250.000000,77.771
15500.000000,79.199
15750.000000,80.611
16000.000000,81.644
16250.000000,81.973
16500.000000,81.474
16750.000000,80.284
17000.000000,78.685
17250.000000,76.964
17500.000000,75.422
17750.000000,74.422
18000.000000,74.071
18250.000000,74.105
18500.000000,74.244
18750.000000,74.312
19000.000000,74.204
19250.000000,73.864
19500.000000,73.307
19750.000000,72.661
