X,Y
20.291,93.512
20.586,93.518
20.885,93.534
21.189,93.551
21.497,93.569
21.810,93.586
22.127,93.602
22.449,93.616
22.776,93.629
23.107,93.639
23.443,93.648
23.784,93.658
24.130,93.671
24.481,93.686
24.837,93.704
25.198,93.724
25.565,93.743
25.937,93.762
26.314,93.778
26.697,93.792
27.085,93.802
27.479,93.810
27.879,93.816
28.284,93.821
28.696,93.828
29.113,93.838
29.537,93.849
29.966,93.859
30.402,93.865
30.844,93.866
31.293,93.862
31.748,93.856
32.210,93.850
32.678,93.846
33.154,93.842
33.636,93.840
34.125,93.839
34.621,93.840
35.125,93.843
35.636,93.845
36.154,93.848
36.680,93.851
37.214,93.855
37.755,93.860
38.304,93.867
38.861,93.881
39.427,93.904
40.000,93.928
40.582,93.937
41.172,93.919
41.771,93.876
42.379,93.823
42.995,93.775
43.620,93.737
44.255,93.709
44.898,93.685
45.552,93.665
46.214,93.646
46.886,93.630
47.568,93.614
48.260,93.599
48.962,93.580
49.674,93.557
50.397,93.529
51.130,93.499
51.874,93.468
52.628,93.436
53.394,93.404
54.170,93.371
54.958,93.338
55.758,93.303
56.569,93.268
57.391,93.233
58.226,93.197
59.073,93.161
59.932,93.125
60.804,93.087
61.688,93.047
62.586,93.006
63.496,92.964
64.420,92.921
65.357,92.878
66.307,92.836
67.272,92.794
68.250,92.751
69.243,92.708
70.250,92.664
71.272,92.622
72.309,92.580
73.360,92.539
74.427,92.496
75.510,92.449
76.608,92.400
77.723,92.349
78.853,92.298
80.000,92.246
81.164,92.194
82.344,92.142
83.542,92.089
84.757,92.034
85.990,91.976
87.241,91.915
88.510,91.854
89.797,91.793
91.103,91.732
92.428,91.671
93.773,91.607
95.137,91.543
96.520,91.477
97.924,91.410
99.349,91.342
100.794,91.274
102.260,91.204
103.747,91.134
105.256,91.063
106.787,90.994
108.340,90.927
109.916,90.862
111.515,90.798
113.137,90.732
114.783,90.664
116.452,90.591
118.146,90.514
119.865,90.434
121.608,90.352
123.377,90.269
125.171,90.184
126.992,90.096
128.839,90.004
130.713,89.909
132.615,89.810
134.543,89.706
136.500,89.597
138.486,89.482
140.500,89.361
142.544,89.235
144.617,89.106
146.721,88.978
148.855,88.861
151.020,88.770
153.217,88.723
155.445,88.737
157.706,88.812
160.000,88.926
162.327,89.046
164.688,89.136
167.084,89.178
169.514,89.169
171.980,89.120
174.481,89.044
177.019,88.952
179.594,88.852
182.206,88.748
184.856,88.644
187.545,88.543
190.273,88.443
193.041,88.345
195.849,88.246
198.697,88.147
201.587,88.048
204.520,87.949
207.494,87.850
210.512,87.751
213.574,87.650
216.681,87.550
219.833,87.451
223.030,87.353
226.274,87.255
229.565,87.158
232.905,87.062
236.292,86.965
239.729,86.869
243.216,86.773
246.754,86.677
250.343,86.581
253.984,86.485
257.678,86.389
261.426,86.293
265.229,86.196
269.087,86.101
273.001,86.007
276.972,85.914
281.000,85.821
285.088,85.727
289.234,85.631
293.441,85.535
297.710,85.438
302.040,85.342
306.433,85.247
310.890,85.154
315.412,85.062
320.000,84.971
324.655,84.880
329.377,84.790
334.168,84.699
339.028,84.608
343.959,84.516
348.962,84.422
354.038,84.328
359.188,84.233
364.412,84.140
369.713,84.047
375.090,83.955
380.546,83.863
386.081,83.771
391.697,83.678
397.395,83.586
403.175,83.495
409.039,83.406
414.989,83.317
421.025,83.230
427.149,83.144
433.362,83.060
439.665,82.975
446.060,82.891
452.548,82.806
459.131,82.721
465.809,82.635
472.584,82.550
479.458,82.465
486.432,82.381
493.507,82.297
500.686,82.213
507.968,82.127
515.357,82.040
522.853,81.954
530.458,81.870
538.174,81.787
546.002,81.705
553.943,81.624
562.001,81.544
570.175,81.465
578.469,81.387
586.883,81.309
595.419,81.235
604.080,81.164
612.866,81.096
621.780,81.032
630.824,80.971
640.000,80.911
649.309,80.852
658.753,80.792
668.335,80.731
678.056,80.671
687.919,80.611
697.925,80.554
708.076,80.500
718.376,80.447
728.825,80.395
739.426,80.345
750.181,80.295
761.093,80.247
772.163,80.202
783.394,80.159
794.789,80.118
806.349,80.080
818.078,80.044
829.977,80.011
842.050,79.983
854.297,79.959
866.724,79.941
879.330,79.926
892.120,79.917
905.097,79.913
918.262,79.915
931.618,79.924
945.169,79.937
958.917,79.954
972.864,79.971
987.015,79.990
1001.371,80.010
1015.937,80.035
1030.714,80.066
1045.706,80.102
1060.916,80.142
1076.347,80.183
1092.003,80.226
1107.887,80.270
1124.001,80.315
1140.350,80.360
1156.937,80.406
1173.765,80.451
1190.838,80.497
1208.159,80.544
1225.732,80.590
1243.561,80.637
1261.649,80.681
1280.000,80.721
1298.618,80.755
1317.507,80.785
1336.670,80.813
1356.113,80.842
1375.838,80.872
1395.850,80.902
