X,Y
20.291,87.384
20.586,87.387
20.885,87.392
21.189,87.397
21.497,87.401
21.810,87.401
22.127,87.396
22.449,87.387
22.776,87.373
23.107,87.356
23.443,87.340
23.784,87.325
24.130,87.315
24.481,87.310
24.837,87.310
25.198,87.316
25.565,87.326
25.937,87.338
26.314,87.348
26.697,87.353
27.085,87.352
27.479,87.347
27.879,87.344
28.284,87.345
28.696,87.352
29.113,87.360
29.537,87.363
29.966,87.358
30.402,87.344
30.844,87.326
31.293,87.307
31.748,87.290
32.210,87.276
32.678,87.265
33.154,87.256
33.636,87.250
34.125,87.246
34.621,87.243
35.125,87.241
35.636,87.241
36.154,87.241
36.680,87.242
37.214,87.239
37.755,87.232
38.304,87.219
38.861,87.202
39.427,87.185
40.000,87.170
40.582,87.155
41.172,87.140
41.771,87.124
42.379,87.109
42.995,87.096
43.620,87.086
44.255,87.080
44.898,87.075
45.552,87.069
46.214,87.060
46.886,87.048
47.568,87.032
48.260,87.014
48.962,86.995
49.674,86.978
50.397,86.961
51.130,86.945
51.874,86.930
52.628,86.915
53.394,86.898
54.170,86.880
54.958,86.859
55.758,86.837
56.569,86.813
57.391,86.788
58.226,86.762
59.073,86.737
59.932,86.712
60.804,86.688
61.688,86.663
62.586,86.637
63.496,86.610
64.420,86.583
65.357,86.556
66.307,86.529
67.272,86.503
68.250,86.476
69.243,86.449
70.250,86.421
71.272,86.392
72.309,86.362
73.360,86.333
74.427,86.303
75.510,86.273
76.608,86.244
77.723,86.215
78.853,86.186
80.000,86.158
81.164,86.129
82.344,86.102
83.542,86.074
84.757,86.045
85.990,86.014
87.241,85.983
88.510,85.950
89.797,85.917
91.103,85.881
92.428,85.845
93.773,85.807
95.137,85.769
96.520,85.730
97.924,85.691
99.349,85.650
100.794,85.609
102.260,85.568
103.747,85.527
105.256,85.486
106.787,85.447
108.340,85.409
109.916,85.373
111.515,85.339
113.137,85.306
114.783,85.273
116.452,85.242
118.146,85.211
119.865,85.180
121.608,85.149
123.377,85.117
125.171,85.081
126.992,85.041
