X,Y
20.000000,89.103
20.299999,89.175
20.600000,89.248
20.900000,89.320
21.200001,89.390
21.400000,89.434
21.799999,89.515
22.000000,89.552
22.400000,89.620
22.700001,89.668
23.000000,89.716
23.299999,89.765
23.600000,89.815
24.000000,89.882
24.299999,89.930
24.700001,89.989
25.000000,90.030
25.400000,90.079
25.799999,90.128
26.200001,90.177
26.500000,90.214
26.900000,90.263
27.200001,90.298
27.600000,90.342
28.000000,90.383
28.500000,90.434
29.000000,90.485
29.500000,90.531
30.000000,90.571
30.400000,90.599
30.700001,90.617
31.100000,90.643
31.500000,90.669
32.000000,90.703
32.500000,90.738
33.000000,90.773
33.500000,90.808
34.000000,90.845
34.500000,90.883
35.000000,90.918
35.500000,90.945
36.000000,90.966
36.500000,90.986
37.000000,91.013
37.500000,91.041
38.200001,91.070
38.700001,91.082
39.500000,91.106
40.000000,91.128
40.599998,91.150
41.200001,91.164
41.799999,91.180
42.500000,91.209
43.099998,91.233
43.700001,91.249
44.400002,91.264
45.000000,91.283
45.500000,91.301
46.200001,91.317
46.799999,91.326
47.500000,91.342
48.200001,91.353
48.700001,91.354
49.400002,91.361
50.000000,91.386
50.799999,91.419
51.500000,91.424
52.200001,91.428
53.000000,91.445
53.799999,91.457
54.500000,91.466
55.200001,91.476
56.000000,91.485
57.000000,91.497
58.000000,91.509
59.000000,91.520
60.000000,91.528
60.799999,91.533
61.500000,91.540
62.200001,91.545
63.000000,91.550
64.000000,91.561
65.000000,91.566
66.000000,91.571
67.000000,91.581
68.000000,91.582
69.000000,91.583
70.000000,91.587
71.000000,91.590
72.000000,91.595
73.000000,91.600
74.000000,91.611
75.000000,91.614
76.199997,91.591
77.500000,91.601
78.800003,91.615
80.000000,91.603
81.199997,91.610
82.500000,91.610
83.800003,91.608
85.000000,91.609
86.199997,91.612
87.500000,91.606
88.500000,91.604
90.000000,91.595
91.199997,91.594
92.500000,91.597
93.800003,91.592
95.000000,91.585
96.199997,91.582
97.500000,91.577
98.800003,91.580
100.000000,91.571
101.500000,91.563
103.000000,91.558
104.400002,91.549
106.000000,91.543
107.500000,91.532
109.000000,91.525
110.599998,91.514
112.000000,91.509
113.800003,91.495
115.000000,91.493
117.199997,91.474
118.000000,91.468
120.599998,91.448
122.000000,91.437
124.099998,91.417
125.000000,91.415
126.500000,91.405
128.000000,91.393
131.500000,91.360
132.000000,91.355
134.000000,91.337
136.000000,91.317
138.000000,91.296
140.000000,91.280
143.000000,91.250
145.000000,91.227
147.500000,91.201
150.000000,91.173
152.500000,91.145
155.000000,91.114
157.500000,91.085
160.000000,91.050
162.500000,91.018
165.000000,90.986
167.500000,90.950
170.000000,90.917
172.500000,90.879
175.000000,90.842
177.500000,90.809
180.000000,90.766
182.500000,90.728
185.000000,90.690
187.500000,90.649
190.000000,90.606
192.500000,90.565
195.000000,90.522
197.500000,90.476
200.000000,90.430
203.000000,90.377
206.000000,90.320
209.000000,90.263
212.000000,90.209
214.000000,90.166
218.000000,90.089
220.000000,90.047
224.000000,89.969
227.000000,89.908
230.000000,89.842
233.000000,89.780
236.000000,89.712
240.000000,89.628
243.000000,89.565
247.000000,89.466
250.000000,89.401
254.000000,89.317
258.000000,89.217
262.000000,89.124
265.000000,89.059
269.000000,88.962
