X,Y
20.000000,89.698
20.299999,89.740
20.600000,89.781
20.900000,89.821
21.200001,89.861
21.400000,89.887
21.799999,89.938
22.000000,89.962
22.400000,90.006
22.700001,90.037
23.000000,90.066
23.299999,90.095
23.600000,90.123
24.000000,90.160
24.299999,90.187
24.700001,90.220
25.000000,90.242
25.400000,90.269
25.799999,90.294
26.200001,90.318
26.500000,90.337
26.900000,90.361
27.200001,90.379
27.600000,90.399
28.000000,90.416
28.500000,90.435
29.000000,90.456
29.500000,90.478
30.000000,90.498
30.400000,90.509
30.700001,90.516
31.100000,90.526
31.500000,90.540
32.000000,90.560
32.500000,90.575
33.000000,90.580
33.500000,90.577
34.000000,90.578
34.500000,90.588
35.000000,90.602
35.500000,90.607
36.000000,90.602
36.500000,90.595
37.000000,90.598
37.500000,90.611
38.200001,90.624
38.700001,90.617
39.500000,90.596
40.000000,90.590
40.599998,90.593
41.200001,90.595
41.799999,90.590
42.500000,90.580
43.099998,90.571
43.700001,90.562
44.400002,90.551
45.000000,90.543
45.500000,90.538
46.200001,90.528
46.799999,90.517
47.500000,90.500
48.200001,90.483
48.700001,90.474
49.400002,90.462
50.000000,90.450
50.799999,90.428
51.500000,90.410
52.200001,90.395
53.000000,90.377
53.799999,90.354
54.500000,90.335
55.200001,90.315
56.000000,90.292
57.000000,90.261
58.000000,90.231
59.000000,90.201
60.000000,90.168
60.799999,90.143
61.500000,90.121
62.200001,90.099
63.000000,90.073
64.000000,90.037
65.000000,90.004
66.000000,89.971
67.000000,89.930
68.000000,89.897
69.000000,89.858
70.000000,89.820
71.000000,89.789
72.000000,89.745
73.000000,89.710
74.000000,89.675
75.000000,89.631
76.199997,89.591
77.500000,89.540
78.800003,89.482
80.000000,89.442
81.199997,89.387
82.500000,89.337
83.800003,89.291
85.000000,89.239
86.199997,89.194
87.500000,89.139
88.500000,89.098
90.000000,89.031
91.199997,88.990
92.500000,88.932
93.800003,88.880
95.000000,88.827
96.199997,88.784
97.500000,88.722
98.800003,88.671
100.000000,88.624
101.500000,88.565
103.000000,88.497
104.400002,88.439
106.000000,88.375
107.500000,88.315
109.000000,88.248
110.599998,88.180
112.000000,88.128
113.800003,88.054
115.000000,88.008
117.199997,87.910
118.000000,87.881
120.599998,87.769
122.000000,87.718
124.099998,87.628
125.000000,87.596
126.500000,87.539
128.000000,87.466
131.500000,87.331
132.000000,87.307
134.000000,87.229
136.000000,87.155
138.000000,87.066
140.000000,87.000
143.000000,86.870
145.000000,86.797
147.500000,86.703
150.000000,86.601
152.500000,86.516
155.000000,86.413
157.500000,86.317
160.000000,86.230
162.500000,86.131
165.000000,86.037
167.500000,85.959
170.000000,85.870
172.500000,85.770
175.000000,85.670
177.500000,85.584
180.000000,85.499
182.500000,85.426
185.000000,85.342
187.500000,85.257
190.000000,85.165
192.500000,85.069
195.000000,84.975
197.500000,84.888
200.000000,84.797
203.000000,84.686
206.000000,84.586
209.000000,84.476
212.000000,84.368
214.000000,84.296
218.000000,84.155
220.000000,84.088
224.000000,83.973
227.000000,83.895
230.000000,83.820
233.000000,83.722
236.000000,83.616
240.000000,83.507
243.000000,83.433
247.000000,83.299
250.000000,83.217
254.000000,83.118
258.000000,83.003
262.000000,82.899
265.000000,82.819
269.000000,82.710
272.000000,82.631
276.000000,82.527
280.000000,82.432
285.000000,82.306
290.000000,82.185
295.000000,82.064
300.000000,81.944
304.000000,81.848
307.000000,81.782
311.000000,81.693
315.000000,81.598
320.000000,81.485
325.000000,81.367
330.000000,81.271
335.000000,81.170
340.000000,81.064
345.000000,80.962
350.000000,80.855
355.000000,80.751
360.000000,80.653
365.000000,80.568
370.000000,80.469
375.000000,80.379
382.000000,80.245
387.000000,80.160
395.000000,80.013
400.000000,79.934
406.000000,79.828
412.000000,79.730
418.000000,79.630
425.000000,79.516
431.000000,79.418
437.000000,79.332
444.000000,79.227
450.000000,79.144
455.000000,79.062
462.000000,78.969
468.000000,78.882
475.000000,78.791
482.000000,78.708
487.000000,78.646
494.000000,78.584
500.000000,78.516
508.000000,78.432
515.000000,78.366
522.000000,78.318
530.000000,78.264
538.000000,78.225
545.000000,78.184
552.000000,78.141
560.000000,78.109
570.000000,78.083
580.000000,78.056
590.000000,78.054
600.000000,78.051
608.000000,78.043
615.000000,78.032
622.000000,78.042
630.000000,78.053
640.000000,78.080
650.000000,78.104
660.000000,78.126
670.000000,78.147
680.000000,78.176
690.000000,78.215
700.000000,78.252
710.000000,78.318
720.000000,78.352
730.000000,78.392
740.000000,78.449
750.000000,78.493
762.000000,78.586
775.000000,78.669
788.000000,78.767
800.000000,78.846
812.000000,78.931
825.000000,79.036
838.000000,79.149
850.000000,79.263
862.000000,79.357
875.000000,79.473
885.000000,79.552
900.000000,79.697
912.000000,79.814
925.000000,79.936
938.000000,80.064
950.000000,80.170
962.000000,80.271
975.000000,80.380
988.000000,80.495
1000.000000,80.603
1015.000000,80.727
1030.000000,80.845
1044.000000,80.953
1060.000000,81.066
1075.000000,81.145
1090.000000,81.227
1106.000000,81.325
1120.000000,81.392
1138.000000,81.462
1150.000000,81.506
1172.000000,81.557
1180.000000,81.578
1206.000000,81.622
1220.000000,81.657
1241.000000,81.657
1250.000000,81.670
1265.000000,81.661
1280.000000,81.651
1315.000000,81.616
1320.000000,81.616
1340.000000,81.600
1360.000000,81.564
1380.000000,81.536
1400.000000,81.494
1430.000000,81.418
1450.000000,81.383
1475.000000,81.348
1500.000000,81.286
1525.000000,81.224
1550.000000,81.174
1575.000000,81.131
1600.000000,81.100
1625.000000,81.056
1650.000000,81.026
1675.000000,81.001
1700.000000,80.963
1725.000000,80.934
1750.000000,80.936
1775.000000,80.917
1800.000000,80.908
1825.000000,80.910
1850.000000,80.902
1875.000000,80.887
1900.000000,80.894
1925.000000,80.924
1950.000000,80.932
1975.000000,80.943
2000.000000,80.968
2030.000000,80.979
2060.000000,80.985
2090.000000,81.015
2120.000000,81.048
2140.000000,81.060
2180.000000,81.085
2200.000000,81.098
2240.000000,81.091
2270.000000,81.095
2300.000000,81.105
2330.000000,81.100
2360.000000,81.093
2400.000000,81.069
2430.000000,81.037
2470.000000,80.987
2500.000000,80.947
2540.000000,80.919
2580.000000,80.874
2620.000000,80.830
2650.000000,80.826
2690.000000,80.815
2720.000000,80.824
2760.000000,80.904
2800.000000,81.020
2850.000000,81.191
2900.000000,81.381
2950.000000,81.549
3000.000000,81.654
3040.000000,81.725
3070.000000,81.744
3110.000000,81.737
3150.000000,81.695
3200.000000,81.634
3250.000000,81.532
3300.000000,81.448
3350.000000,81.365
3400.000000,81.281
3450.000000,81.209
3500.000000,81.146
3550.000000,81.083
3600.000000,81.044
3650.000000,81.049
3700.000000,81.055
3750.000000,81.091
3820.000000,81.174
3870.000000,81.241
3950.000000,81.399
4000.000000,81.537
4060.000000,81.686
4120.000000,81.836
4180.000000,81.965
4250.000000,82.052
4310.000000,82.056
4370.000000,82.010
4440.000000,81.823
4500.000000,81.534
4550.000000,81.229
4620.000000,80.667
4680.000000,80.106
4750.000000,79.360
4820.000000,78.617
4870.000000,78.037
4940.000000,77.233
5000.000000,76.556
5080.000000,75.721
5150.000000,75.052
5220.000000,74.483
5300.000000,74.174
5380.000000,73.999
5450.000000,74.041
5520.000000,74.157
5600.000000,74.395
5700.000000,74.937
5800.000000,75.738
5900.000000,76.687
6000.000000,77.686
6080.000000,78.453
6150.000000,79.092
6220.000000,79.592
6300.000000,80.105
6400.000000,80.492
6500.000000,80.606
6600.000000,80.470
6700.000000,80.143
6800.000000,79.696
6900.000000,79.218
7000.000000,78.817
7100.000000,78.458
7200.000000,78.152
7300.000000,77.934
7400.000000,77.766
7500.000000,77.672
7620.000000,77.729
7750.000000,77.878
7880.000000,78.153
8000.000000,78.552
8120.000000,79.047
8250.000000,79.630
8380.000000,80.378
8500.000000,81.076
8620.000000,81.759
8750.000000,82.359
8850.000000,82.660
9000.000000,82.681
9120.000000,82.378
9250.000000,81.815
9380.000000,81.148
9500.000000,80.542
9620.000000,80.044
9750.000000,79.622
9880.000000,79.375
10000.000000,79.334
10150.000000,79.362
10300.000000,79.212
10440.000000,78.495
10600.000000,77.075
10750.000000,75.672
10900.000000,74.573
11060.000000,73.882
11200.000000,73.624
11380.000000,73.601
11500.000000,73.778
11720.000000,74.378
11800.000000,74.710
12060.000000,75.849
12200.000000,76.444
12410.000000,77.364
12500.000000,77.753
12650.000000,78.492
12800.000000,79.143
13150.000000,79.656
13200.000000,79.627
13400.000000,79.393
13600.000000,79.128
13800.000000,78.963
14000.000000,78.914
14300.000000,78.931
14500.000000,78.704
14750.000000,77.536
15000.000000,75.416
