X,Y
20.000000,89.845
20.299999,89.876
20.600000,89.906
20.900000,89.936
21.200001,89.966
21.400000,89.986
21.799999,90.026
22.000000,90.045
22.400000,90.080
22.700001,90.103
23.000000,90.124
23.299999,90.144
23.600000,90.163
24.000000,90.186
24.299999,90.202
24.700001,90.218
25.000000,90.227
25.400000,90.235
25.799999,90.241
26.200001,90.245
26.500000,90.247
26.900000,90.250
27.200001,90.252
27.600000,90.254
28.000000,90.256
28.500000,90.256
29.000000,90.256
29.500000,90.255
30.000000,90.251
30.400000,90.246
30.700001,90.241
31.100000,90.232
31.500000,90.224
32.000000,90.214
32.500000,90.204
33.000000,90.191
33.500000,90.177
34.000000,90.164
34.500000,90.149
35.000000,90.130
35.500000,90.107
36.000000,90.085
36.500000,90.069
37.000000,90.052
37.500000,90.026
38.200001,89.984
38.700001,89.963
39.500000,89.935
40.000000,89.905
40.599998,89.863
41.200001,89.836
41.799999,89.817
42.500000,89.774
43.099998,89.725
43.700001,89.691
44.400002,89.669
45.000000,89.636
45.500000,89.596
46.200001,89.542
46.799999,89.510
47.500000,89.479
48.200001,89.434
48.700001,89.392
49.400002,89.339
50.000000,89.311
50.799999,89.276
51.500000,89.226
52.200001,89.169
53.000000,89.112
53.799999,89.060
54.500000,89.023
55.200001,88.987
56.000000,88.924
57.000000,88.839
58.000000,88.782
59.000000,88.717
60.000000,88.658
60.799999,88.601
61.500000,88.536
62.200001,88.480
63.000000,88.439
64.000000,88.381
65.000000,88.309
66.000000,88.250
67.000000,88.174
68.000000,88.088
69.000000,88.023
70.000000,87.965
71.000000,87.898
72.000000,87.836
73.000000,87.780
74.000000,87.712
75.000000,87.636
76.199997,87.555
77.500000,87.472
78.800003,87.373
80.000000,87.296
81.199997,87.230
82.500000,87.145
83.800003,87.057
85.000000,86.988
86.199997,86.921
87.500000,86.846
88.500000,86.772
90.000000,86.674
91.199997,86.613
92.500000,86.543
93.800003,86.455
95.000000,86.375
96.199997,86.300
97.500000,86.225
98.800003,86.158
100.000000,86.098
101.500000,86.015
103.000000,85.925
104.400002,85.847
106.000000,85.759
107.500000,85.685
109.000000,85.603
110.599998,85.527
112.000000,85.455
113.800003,85.362
115.000000,85.296
117.199997,85.179
118.000000,85.132
120.599998,84.986
122.000000,84.914
124.099998,84.808
125.000000,84.761
126.500000,84.680
128.000000,84.606
131.500000,84.431
132.000000,84.406
134.000000,84.313
136.000000,84.214
138.000000,84.121
140.000000,84.030
143.000000,83.919
145.000000,83.846
147.500000,83.746
150.000000,83.644
152.500000,83.541
155.000000,83.448
157.500000,83.354
160.000000,83.267
162.500000,83.181
165.000000,83.090
167.500000,83.006
170.000000,82.918
172.500000,82.838
175.000000,82.755
177.500000,82.680
180.000000,82.600
182.500000,82.526
185.000000,82.449
187.500000,82.376
190.000000,82.304
192.500000,82.235
195.000000,82.167
197.500000,82.105
200.000000,82.041
203.000000,81.957
206.000000,81.879
209.000000,81.808
212.000000,81.739
214.000000,81.693
218.000000,81.597
220.000000,81.553
224.000000,81.464
227.000000,81.401
230.000000,81.342
233.000000,81.280
236.000000,81.223
240.000000,81.147
243.000000,81.098
247.000000,81.028
250.000000,80.972
254.000000,80.905
258.000000,80.838
262.000000,80.773
265.000000,80.725
269.000000,80.680
272.000000,80.635
276.000000,80.576
280.000000,80.521
285.000000,80.454
290.000000,80.402
295.000000,80.344
300.000000,80.295
304.000000,80.248
307.000000,80.218
311.000000,80.180
315.000000,80.142
320.000000,80.101
325.000000,80.057
330.000000,80.027
335.000000,79.989
340.000000,79.948
345.000000,79.913
350.000000,79.890
355.000000,79.869
360.000000,79.841
365.000000,79.814
370.000000,79.795
375.000000,79.772
382.000000,79.746
387.000000,79.744
395.000000,79.718
400.000000,79.701
406.000000,79.682
412.000000,79.677
418.000000,79.670
425.000000,79.664
431.000000,79.680
437.000000,79.660
444.000000,79.665
450.000000,79.663
455.000000,79.672
462.000000,79.671
468.000000,79.693
475.000000,79.699
