X,Y
20.000000,91.322
20.299999,91.320
20.600000,91.316
20.900000,91.312
21.200001,91.311
21.400000,91.311
21.799999,91.309
22.000000,91.306
22.400000,91.297
22.700001,91.287
23.000000,91.276
23.299999,91.266
23.600000,91.256
24.000000,91.244
24.299999,91.233
24.700001,91.216
25.000000,91.199
25.400000,91.174
25.799999,91.146
26.200001,91.118
26.500000,91.098
26.900000,91.074
27.200001,91.056
27.600000,91.030
28.000000,91.000
28.500000,90.956
29.000000,90.909
29.500000,90.865
30.000000,90.826
30.400000,90.793
30.700001,90.766
31.100000,90.727
31.500000,90.688
32.000000,90.640
32.500000,90.593
33.000000,90.543
33.500000,90.492
34.000000,90.446
34.500000,90.407
35.000000,90.369
35.500000,90.324
36.000000,90.267
36.500000,90.201
37.000000,90.134
37.500000,90.079
38.200001,90.032
38.700001,90.005
39.500000,89.919
40.000000,89.843
40.599998,89.762
41.200001,89.710
41.799999,89.664
42.500000,89.592
43.099998,89.523
43.700001,89.451
44.400002,89.363
45.000000,89.294
45.500000,89.252
46.200001,89.211
46.799999,89.166
47.500000,89.087
48.200001,88.998
48.700001,88.942
49.400002,88.875
50.000000,88.816
50.799999,88.740
51.500000,88.678
52.200001,88.613
53.000000,88.530
53.799999,88.455
54.500000,88.395
55.200001,88.330
56.000000,88.250
57.000000,88.172
58.000000,88.104
59.000000,88.013
60.000000,87.918
60.799999,87.840
61.500000,87.769
62.200001,87.707
63.000000,87.638
64.000000,87.542
65.000000,87.470
66.000000,87.397
67.000000,87.320
68.000000,87.238
69.000000,87.140
70.000000,87.063
71.000000,86.997
72.000000,86.921
73.000000,86.836
74.000000,86.748
75.000000,86.662
76.199997,86.575
77.500000,86.494
78.800003,86.407
80.000000,86.306
81.199997,86.220
82.500000,86.117
83.800003,86.031
85.000000,85.963
86.199997,85.899
87.500000,85.821
88.500000,85.749
90.000000,85.651
91.199997,85.562
92.500000,85.477
93.800003,85.404
95.000000,85.308
96.199997,85.242
97.500000,85.144
98.800003,85.028
100.000000,84.873
101.500000,84.939
103.000000,84.780
104.400002,84.725
106.000000,84.649
107.500000,84.561
109.000000,84.487
110.599998,84.379
112.000000,84.302
113.800003,84.207
115.000000,84.159
117.199997,84.073
118.000000,84.026
120.599998,83.902
122.000000,83.840
124.099998,83.738
125.000000,83.701
126.500000,83.634
128.000000,83.568
131.500000,83.414
132.000000,83.395
134.000000,83.304
136.000000,83.233
138.000000,83.170
140.000000,83.093
143.000000,82.988
145.000000,82.922
147.500000,82.855
150.000000,82.774
152.500000,82.693
155.000000,82.604
157.500000,82.522
160.000000,82.427
162.500000,82.364
165.000000,82.262
167.500000,82.184
170.000000,82.110
172.500000,82.039
175.000000,81.970
177.500000,81.894
180.000000,81.827
182.500000,81.757
185.000000,81.714
187.500000,81.662
190.000000,81.602
192.500000,81.559
195.000000,81.499
197.500000,81.423
200.000000,81.272
203.000000,81.301
206.000000,81.269
209.000000,81.218
212.000000,81.167
214.000000,81.129
218.000000,81.088
220.000000,81.055
224.000000,80.997
227.000000,80.959
230.000000,80.894
233.000000,80.845
236.000000,80.782
240.000000,80.712
243.000000,80.658
247.000000,80.591
250.000000,80.541
254.000000,80.482
258.000000,80.419
262.000000,80.358
265.000000,80.321
269.000000,80.273
272.000000,80.231
276.000000,80.181
280.000000,80.122
285.000000,80.065
290.000000,80.004
295.000000,79.945
300.000000,79.888
304.000000,79.839
307.000000,79.806
311.000000,79.761
315.000000,79.721
320.000000,79.660
325.000000,79.612
330.000000,79.566
335.000000,79.515
340.000000,79.476
345.000000,79.444
350.000000,79.398
355.000000,79.355
360.000000,79.318
365.000000,79.291
370.000000,79.282
375.000000,79.285
382.000000,79.296
387.000000,79.283
395.000000,79.253
400.000000,79.215
406.000000,79.192
412.000000,79.147
418.000000,79.113
425.000000,79.073
431.000000,79.026
437.000000,78.997
444.000000,78.973
450.000000,78.947
