X,Y
20.000000,86.940
20.299999,86.979
20.600000,87.009
20.900000,87.037
21.200001,87.066
21.400000,87.088
21.799999,87.138
22.000000,87.167
22.400000,87.233
22.700001,87.287
23.000000,87.342
23.299999,87.392
23.600000,87.437
24.000000,87.486
24.299999,87.518
24.700001,87.559
25.000000,87.589
25.400000,87.625
25.799999,87.652
26.200001,87.670
26.500000,87.681
26.900000,87.698
27.200001,87.712
27.600000,87.732
28.000000,87.748
28.500000,87.765
29.000000,87.791
29.500000,87.831
30.000000,87.872
30.400000,87.894
30.700001,87.904
31.100000,87.911
31.500000,87.923
32.000000,87.951
32.500000,87.989
33.000000,88.021
33.500000,88.033
34.000000,88.028
34.500000,88.022
35.000000,88.033
35.500000,88.060
36.000000,88.080
36.500000,88.081
37.000000,88.074
37.500000,88.080
38.200001,88.098
38.700001,88.098
39.500000,88.125
40.000000,88.176
40.599998,88.214
41.200001,88.186
41.799999,88.160
42.500000,88.189
43.099998,88.190
43.700001,88.160
44.400002,88.194
45.000000,88.251
45.500000,88.229
46.200001,88.146
46.799999,88.161
47.500000,88.196
48.200001,88.101
48.700001,88.061
49.400002,88.183
50.000000,88.277
50.799999,88.164
51.500000,88.069
52.200001,88.123
53.000000,88.140
53.799999,88.075
54.500000,88.063
55.200001,88.061
56.000000,88.036
57.000000,88.017
58.000000,87.977
59.000000,87.944
60.000000,87.925
60.799999,87.908
61.500000,87.891
62.200001,87.864
63.000000,87.825
64.000000,87.798
65.000000,87.788
66.000000,87.762
67.000000,87.733
68.000000,87.696
69.000000,87.668
70.000000,87.657
71.000000,87.637
72.000000,87.603
73.000000,87.572
74.000000,87.559
75.000000,87.543
76.199997,87.492
77.500000,87.430
78.800003,87.363
80.000000,87.317
81.199997,87.278
82.500000,87.248
83.800003,87.209
85.000000,87.163
86.199997,87.121
87.500000,87.082
88.500000,87.043
90.000000,86.991
91.199997,86.944
92.500000,86.905
93.800003,86.860
95.000000,86.813
96.199997,86.763
97.500000,86.708
98.800003,86.663
100.000000,86.622
101.500000,86.580
103.000000,86.532
104.400002,86.478
106.000000,86.421
107.500000,86.360
109.000000,86.307
110.599998,86.255
112.000000,86.211
113.800003,86.158
115.000000,86.116
117.199997,86.034
118.000000,86.002
120.599998,85.896
122.000000,85.838
124.099998,85.760
125.000000,85.728
126.500000,85.674
128.000000,85.620
131.500000,85.480
132.000000,85.463
134.000000,85.384
136.000000,85.313
138.000000,85.239
140.000000,85.173
143.000000,85.079
145.000000,85.024
147.500000,84.959
150.000000,84.883
152.500000,84.796
155.000000,84.712
157.500000,84.648
160.000000,84.579
162.500000,84.504
165.000000,84.431
167.500000,84.359
170.000000,84.292
172.500000,84.227
175.000000,84.158
177.500000,84.090
180.000000,84.023
182.500000,83.957
185.000000,83.898
187.500000,83.832
190.000000,83.771
192.500000,83.707
195.000000,83.645
197.500000,83.591
200.000000,83.523
203.000000,83.452
206.000000,83.383
209.000000,83.315
212.000000,83.254
214.000000,83.204
218.000000,83.118
220.000000,83.077
224.000000,82.995
227.000000,82.944
230.000000,82.871
233.000000,82.803
236.000000,82.746
240.000000,82.668
